Name,Kind,AvgCyclomatic,AvgCyclomaticModified,AvgCyclomaticStrict,AvgEssential,AvgLine,AvgLineBlank,AvgLineCode,AvgLineComment,CountClassBase,CountClassCoupled,CountClassCoupledModified,CountClassDerived,CountDeclClass,CountDeclClassMethod,CountDeclClassVariable,CountDeclExecutableUnit,CountDeclFile,CountDeclFunction,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclMethod,CountDeclMethodAll,CountDeclMethodDefault,CountDeclMethodPrivate,CountDeclMethodProtected,CountDeclMethodPublic,CountInput,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountOutput,CountPath,CountPathLog,CountSemicolon,CountStmt,CountStmtDecl,CountStmtExe,Cyclomatic,CyclomaticModified,CyclomaticStrict,Essential,Knots,MaxCyclomatic,MaxCyclomaticModified,MaxCyclomaticStrict,MaxEssential,MaxEssentialKnots,MaxInheritanceTree,MaxNesting,MinEssentialKnots,PercentLackOfCohesion,PercentLackOfCohesionModified,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumEssential
uk.ac.ebi.fg.annotare2.web.gwt.editor.client.activity.experiment.DataFileUploadActivity,Public Class,1.0,1.0,1.0,1.0,8.0,0.0,7.0,0.0,2.0,14.0,14.0,0.0,,0.0,0.0,,,,8.0,4.0,8.0,8.0,0.0,1.0,0.0,7.0,,84,13,68,19,34,3,,,,24,39,18,21,,,,,,2.0,2.0,2.0,1.0,,2.0,1,,65.0,59.0,0.04,9,9,9,8
uk.ac.ebi.fg.annotare2.web.gwt.editor.client.activity.experiment.DataFileUploadActivity.loadAsync.(Anon_2),Anonymous Class,1.0,1.0,1.0,1.0,4.0,0.0,4.0,0.0,1.0,5.0,5.0,0.0,,0.0,0.0,,,,2.0,0.0,2.0,2.0,0.0,0.0,0.0,2.0,,10,1,9,0,7,0,,,,2,4,2,2,,,,,,1.0,1.0,1.0,1.0,,2.0,0,,0.0,0.0,0.0,2,2,2,2
uk.ac.ebi.fg.annotare2.web.gwt.editor.client.activity.experiment.DataFileUploadActivity.loadAsync.(Anon_3),Anonymous Class,1.0,1.0,1.0,1.0,4.0,0.0,4.0,0.0,1.0,5.0,5.0,0.0,,0.0,0.0,,,,2.0,0.0,2.0,2.0,0.0,0.0,0.0,2.0,,10,1,9,0,7,0,,,,2,4,2,2,,,,,,1.0,1.0,1.0,1.0,,2.0,0,,0.0,0.0,0.0,2,2,2,2
uk.ac.ebi.fg.annotare2.web.gwt.editor.client.activity.experiment.DataFileUploadActivity.start.(Anon_1),Anonymous Class,1.0,1.0,1.0,1.0,4.0,0.0,4.0,0.0,1.0,2.0,2.0,0.0,,0.0,0.0,,,,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,,5,0,5,0,4,0,,,,1,2,1,1,,,,,,1.0,1.0,1.0,1.0,,2.0,0,,0.0,0.0,0.0,1,1,1,1
uk.ac.ebi.fg.annotare2.web.gwt.editor.client.dataproxy.DataFilesProxy,Public Class,1.0,1.0,1.0,1.0,14.0,1.0,13.0,0.0,1.0,9.0,9.0,0.0,,0.0,0.0,,,,7.0,4.0,7.0,7.0,0.0,2.0,0.0,5.0,,116,16,97,15,60,3,,,,33,57,25,33,,,,,,2.0,2.0,3.0,1.0,,1.0,1,,64.0,60.0,0.03,9,9,10,7
uk.ac.ebi.fg.annotare2.web.gwt.editor.client.dataproxy.DataFilesProxy.DataFilesProxy.(Anon_1),Anonymous Class,1.0,1.0,1.0,1.0,21.0,2.0,19.0,0.0,1.0,3.0,3.0,0.0,,0.0,0.0,,,,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,,22,2,20,0,15,0,,,,6,12,4,8,,,,,,1.0,1.0,1.0,1.0,,2.0,0,,0.0,0.0,0.0,1,1,1,1
uk.ac.ebi.fg.annotare2.web.gwt.editor.client.dataproxy.DataFilesProxy.DataFilesProxy.(Anon_1).onAsyncUpdate.(Anon_2),Anonymous Class,2.0,2.0,2.0,2.0,7.0,0.0,7.0,0.0,1.0,5.0,5.0,0.0,,0.0,0.0,,,,2.0,0.0,2.0,2.0,0.0,0.0,0.0,2.0,,16,1,15,0,11,0,,,,4,9,3,6,,,,,,3.0,3.0,3.0,3.0,,2.0,2,,0.0,0.0,0.0,4,4,4,4
uk.ac.ebi.fg.annotare2.web.gwt.editor.client.dataproxy.DataFilesProxy.load.(Anon_3),Anonymous Class,1.0,1.0,1.0,1.0,4.0,0.0,4.0,0.0,1.0,4.0,4.0,0.0,,0.0,0.0,,,,2.0,0.0,2.0,2.0,0.0,0.0,0.0,2.0,,11,1,10,0,8,0,,,,3,5,2,3,,,,,,1.0,1.0,1.0,1.0,,2.0,0,,0.0,0.0,0.0,2,2,2,2
uk.ac.ebi.fg.annotare2.web.gwt.editor.client.dataproxy.DataFilesProxy.registerFtpFilesAsync.(Anon_5),Anonymous Class,1.0,1.0,1.0,1.0,4.0,0.0,4.0,0.0,1.0,4.0,4.0,0.0,,0.0,0.0,,,,2.0,0.0,2.0,2.0,0.0,0.0,0.0,2.0,,11,1,10,0,8,0,,,,3,5,2,3,,,,,,1.0,1.0,1.0,1.0,,2.0,0,,0.0,0.0,0.0,2,2,2,2
uk.ac.ebi.fg.annotare2.web.gwt.editor.client.dataproxy.DataFilesProxy.registerHttpFilesAsync.(Anon_4),Anonymous Class,1.0,1.0,1.0,1.0,4.0,0.0,4.0,0.0,1.0,5.0,5.0,0.0,,0.0,0.0,,,,2.0,0.0,2.0,2.0,0.0,0.0,0.0,2.0,,10,1,9,0,7,0,,,,2,4,2,2,,,,,,1.0,1.0,1.0,1.0,,2.0,0,,0.0,0.0,0.0,2,2,2,2
