Name,Kind,AvgCyclomatic,AvgCyclomaticModified,AvgCyclomaticStrict,AvgEssential,AvgLine,AvgLineBlank,AvgLineCode,AvgLineComment,CountClassBase,CountClassCoupled,CountClassCoupledModified,CountClassDerived,CountDeclClass,CountDeclClassMethod,CountDeclClassVariable,CountDeclExecutableUnit,CountDeclFile,CountDeclFunction,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclMethod,CountDeclMethodAll,CountDeclMethodDefault,CountDeclMethodPrivate,CountDeclMethodProtected,CountDeclMethodPublic,CountInput,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountOutput,CountPath,CountPathLog,CountSemicolon,CountStmt,CountStmtDecl,CountStmtExe,Cyclomatic,CyclomaticModified,CyclomaticStrict,Essential,Knots,MaxCyclomatic,MaxCyclomaticModified,MaxCyclomaticStrict,MaxEssential,MaxEssentialKnots,MaxInheritanceTree,MaxNesting,MinEssentialKnots,PercentLackOfCohesion,PercentLackOfCohesionModified,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumEssential
jfxtras.labs.icalendarfx.component.GeneralTest,Public Class,1.0,1.0,1.0,1.0,12.0,0.0,12.0,0.0,1.0,6.0,6.0,0.0,,0.0,0.0,,,,3.0,0.0,3.0,3.0,0.0,0.0,0.0,3.0,,44.0,3.0,41.0,20.0,26.0,0.0,,,,14.0,18.0,13.0,12.0,,,,,,1.0,1.0,1.0,1.0,,1.0,0.0,,0.0,0.0,0.0,3,3,3,3
jfxtras.labs.icalendarfx.component.VEventTest,Public Class,1.0,1.0,1.0,1.0,22.0,2.0,20.0,1.0,1.0,16.0,16.0,0.0,,0.0,0.0,,,,6.0,0.0,6.0,6.0,0.0,0.0,0.0,6.0,,141.0,18.0,122.0,53.0,95.0,6.0,,,,41.0,48.0,32.0,41.0,,,,,,1.0,1.0,1.0,1.0,,1.0,0.0,,0.0,0.0,0.05,6,6,6,6
jfxtras.labs.icalendarfx.component.VTodoTest,Public Class,1.0,1.0,1.0,1.0,22.0,2.0,20.0,1.0,1.0,22.0,22.0,0.0,,0.0,0.0,,,,6.0,0.0,6.0,6.0,0.0,0.0,0.0,6.0,,142.0,18.0,123.0,53.0,95.0,6.0,,,,41.0,48.0,32.0,41.0,,,,,,1.0,1.0,1.0,1.0,,1.0,0.0,,0.0,0.0,0.05,6,6,6,6
jfxtras.labs.icalendarfx.components.StandardOrSavingsBase,Public Abstract Generic Class,1.0,1.0,1.0,1.0,5.0,0.0,4.0,0.0,2.0,7.0,7.0,0.0,,0.0,0.0,,,,17.0,0.0,17.0,65.0,0.0,0.0,0.0,17.0,,119.0,23.0,78.0,33.0,11.0,18.0,,,,11.0,29.0,18.0,11.0,,,,,,1.0,1.0,1.0,1.0,,4.0,0.0,,0.0,0.0,0.23,17,17,17,17
jfxtras.labs.icalendarfx.components.VComponentBase,Public Abstract Generic Class,2.0,2.0,2.0,1.0,20.0,0.0,14.0,5.0,2.0,20.0,20.0,1.0,,2.0,1.0,,,,15.0,3.0,17.0,18.0,2.0,2.0,0.0,13.0,,393.0,20.0,262.0,78.0,153.0,116.0,,,,111.0,155.0,68.0,121.0,,,,,,6.0,6.0,7.0,6.0,,1.0,4.0,,84.0,80.0,0.44,54,54,57,36
jfxtras.labs.icalendarfx.components.VComponentDisplayableBase,Public Abstract Generic Class,1.0,1.0,1.0,1.0,7.0,0.0,5.0,1.0,4.0,24.0,24.0,1.0,,0.0,0.0,,,,23.0,4.0,23.0,87.0,0.0,0.0,0.0,23.0,,187.0,8.0,131.0,45.0,63.0,48.0,,,,55.0,95.0,38.0,64.0,,,,,,5.0,5.0,5.0,1.0,,4.0,6.0,,93.0,79.0,0.37,41,41,41,25
jfxtras.labs.icalendarfx.components.VComponentLocatableBase,Public Abstract Generic Class,1.0,1.0,1.0,1.0,4.0,0.0,2.0,2.0,2.0,5.0,5.0,2.0,,0.0,0.0,,,,7.0,1.0,7.0,94.0,0.0,0.0,0.0,7.0,,41.0,2.0,22.0,10.0,8.0,17.0,,,,10.0,19.0,9.0,10.0,,,,,,2.0,2.0,2.0,1.0,,5.0,1.0,,85.0,42.0,0.77,8,8,8,7
jfxtras.labs.icalendarfx.components.VComponentPersonalBase,Public Abstract Generic Class,1.0,1.0,1.0,1.0,4.0,0.0,3.0,1.0,2.0,16.0,16.0,2.0,,0.0,0.0,,,,31.0,6.0,31.0,64.0,2.0,0.0,0.0,29.0,,186.0,8.0,108.0,53.0,44.0,70.0,,,,56.0,92.0,38.0,54.0,,,,,,2.0,2.0,2.0,1.0,,3.0,1.0,,94.0,84.0,0.65,41,41,41,33
jfxtras.labs.icalendarfx.components.VComponentPrimaryBase,Public Abstract Generic Class,1.0,1.0,1.0,1.0,9.0,0.0,3.0,5.0,2.0,16.0,16.0,2.0,,0.0,0.0,,,,15.0,3.0,15.0,33.0,4.0,0.0,0.0,11.0,,186.0,6.0,64.0,24.0,24.0,116.0,,,,24.0,44.0,19.0,25.0,,,,,,4.0,4.0,4.0,1.0,,2.0,1.0,,91.0,77.0,1.81,20,20,20,16
jfxtras.labs.icalendarfx.components.VComponentRepeatableBase,Public Abstract Generic Class,1.0,1.0,1.0,1.0,8.0,0.0,6.0,1.0,2.0,25.0,25.0,2.0,,0.0,0.0,,,,15.0,2.0,15.0,48.0,2.0,0.0,0.0,13.0,,145.0,8.0,109.0,34.0,52.0,28.0,,,,40.0,71.0,28.0,50.0,,,,,,5.0,5.0,5.0,1.0,,3.0,6.0,,90.0,60.0,0.26,31,31,31,16
jfxtras.labs.icalendarfx.components.VEventNew,Public Abstract Generic Class,1.0,1.0,1.0,1.0,3.0,0.0,3.0,0.0,2.0,3.0,3.0,0.0,,0.0,0.0,,,,3.0,0.0,3.0,97.0,0.0,0.0,0.0,3.0,,18.0,2.0,13.0,5.0,2.0,3.0,,,,2.0,6.0,4.0,2.0,,,,,,1.0,1.0,1.0,1.0,,6.0,0.0,,0.0,0.0,0.23,3,3,3,3
jfxtras.labs.icalendarfx.components.VTodo,Public Abstract Generic Class,1.0,1.0,1.0,1.0,3.0,0.0,3.0,0.0,2.0,3.0,3.0,1.0,,0.0,0.0,,,,3.0,0.0,3.0,97.0,0.0,0.0,0.0,3.0,,18.0,2.0,13.0,5.0,2.0,3.0,,,,2.0,6.0,4.0,2.0,,,,,,1.0,1.0,1.0,1.0,,6.0,0.0,,0.0,0.0,0.23,3,3,3,3
jfxtras.labs.icalendarfx.mocks.VTodoMock,Public Class,1.0,1.0,1.0,1.0,5.0,0.0,4.0,0.0,1.0,17.0,17.0,0.0,,0.0,0.0,,,,71.0,0.0,71.0,168.0,0.0,0.0,0.0,71.0,,496.0,93.0,331.0,141.0,48.0,72.0,,,,48.0,120.0,72.0,48.0,,,,,,1.0,1.0,1.0,1.0,,7.0,0.0,,0.0,0.0,0.22,71,71,71,71
jfxtras.labs.icalendarfx.properties.PropertyEnum.(Anon_1),Anonymous Class,1.0,1.0,1.0,1.0,6.0,0.0,4.0,1.0,1.0,3.0,3.0,0.0,,0.0,0.0,,,,2.0,0.0,2.0,16.0,0.0,0.0,0.0,2.0,,14.0,2.0,10.0,4.0,1.0,2.0,,,,1.0,3.0,2.0,1.0,,,,,,1.0,1.0,1.0,1.0,,2.0,0.0,,0.0,0.0,0.2,2,2,2,2
jfxtras.labs.icalendarfx.properties.PropertyEnum.(Anon_10),Anonymous Class,1.0,1.0,1.0,1.0,6.0,0.0,4.0,1.0,1.0,3.0,3.0,0.0,,0.0,0.0,,,,2.0,0.0,2.0,16.0,0.0,0.0,0.0,2.0,,14.0,2.0,10.0,4.0,1.0,2.0,,,,1.0,3.0,2.0,1.0,,,,,,1.0,1.0,1.0,1.0,,2.0,0.0,,0.0,0.0,0.2,2,2,2,2
jfxtras.labs.icalendarfx.properties.PropertyEnum.(Anon_11),Anonymous Class,1.0,1.0,1.0,1.0,6.0,0.0,4.0,1.0,1.0,3.0,3.0,0.0,,0.0,0.0,,,,2.0,0.0,2.0,16.0,0.0,0.0,0.0,2.0,,14.0,2.0,10.0,4.0,1.0,2.0,,,,1.0,3.0,2.0,1.0,,,,,,1.0,1.0,1.0,1.0,,2.0,0.0,,0.0,0.0,0.2,2,2,2,2
jfxtras.labs.icalendarfx.properties.PropertyEnum.(Anon_12),Anonymous Class,1.0,1.0,1.0,1.0,6.0,0.0,4.0,1.0,1.0,3.0,3.0,0.0,,0.0,0.0,,,,2.0,0.0,2.0,16.0,0.0,0.0,0.0,2.0,,14.0,2.0,10.0,4.0,1.0,2.0,,,,1.0,3.0,2.0,1.0,,,,,,1.0,1.0,1.0,1.0,,2.0,0.0,,0.0,0.0,0.2,2,2,2,2
jfxtras.labs.icalendarfx.properties.PropertyEnum.(Anon_13),Anonymous Class,1.0,1.0,1.0,1.0,9.0,0.0,9.0,0.0,1.0,9.0,9.0,0.0,,0.0,0.0,,,,2.0,0.0,2.0,16.0,0.0,0.0,0.0,2.0,,21.0,1.0,20.0,7.0,8.0,0.0,,,,6.0,9.0,5.0,5.0,,,,,,2.0,2.0,2.0,1.0,,2.0,1.0,,0.0,0.0,0.0,3,3,3,2
