Name,Kind,AvgCyclomatic,AvgCyclomaticModified,AvgCyclomaticStrict,AvgEssential,AvgLine,AvgLineBlank,AvgLineCode,AvgLineComment,CountClassBase,CountClassCoupled,CountClassCoupledModified,CountClassDerived,CountDeclClass,CountDeclClassMethod,CountDeclClassVariable,CountDeclExecutableUnit,CountDeclFile,CountDeclFunction,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclMethod,CountDeclMethodAll,CountDeclMethodDefault,CountDeclMethodPrivate,CountDeclMethodProtected,CountDeclMethodPublic,CountInput,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountOutput,CountPath,CountPathLog,CountSemicolon,CountStmt,CountStmtDecl,CountStmtExe,Cyclomatic,CyclomaticModified,CyclomaticStrict,Essential,Knots,MaxCyclomatic,MaxCyclomaticModified,MaxCyclomaticStrict,MaxEssential,MaxEssentialKnots,MaxInheritanceTree,MaxNesting,MinEssentialKnots,PercentLackOfCohesion,PercentLackOfCohesionModified,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumEssential
com.jbidwatcher.ui.JDropListener,Public Class,3.0,3.0,3.0,1.0,14.0,1.0,13.0,0.0,2.0,22.0,22.0,0.0,,0.0,2.0,,,,22.0,3.0,22.0,22.0,0.0,15.0,0.0,7.0,,364,55,303,64,209,6,,,,147,230,59,187,,,,,,10.0,10.0,10.0,6.0,,1.0,4,,87.0,66.0,0.02,81,81,83,42
com.jbidwatcher.ui.commands.UserActions,Public Class,3.0,3.0,3.0,1.0,17.0,1.0,14.0,1.0,2.0,74.0,74.0,0.0,,0.0,23.0,,,,72.0,17.0,72.0,72.0,0.0,15.0,2.0,55.0,,1418,203,1111,304,769,114,,,,561,805,275,645,,,,,,21.0,21.0,25.0,16.0,,1.0,4,,96.0,94.0,0.1,235,233,262,110
com.jbidwatcher.ui.commands.UserActions.DoDelete.(Anon_1),Anonymous Class,5.0,5.0,5.0,1.0,23.0,0.0,21.0,2.0,1.0,6.0,6.0,0.0,,0.0,0.0,,,,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,,25,0,23,3,18,2,,,,11,17,5,14,,,,,,5.0,5.0,5.0,1.0,,2.0,3,,0.0,0.0,0.09,5,5,5,1
com.jbidwatcher.ui.commands.UserActions.DoShowTime.(Anon_3),Anonymous Class,1.0,1.0,1.0,1.0,3.0,0.0,3.0,0.0,1.0,1.0,1.0,0.0,,0.0,0.0,,,,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,,4,0,4,0,3,0,,,,1,2,1,1,,,,,,1.0,1.0,1.0,1.0,,2.0,0,,0.0,0.0,0.0,1,1,1,1
com.jbidwatcher.ui.commands.UserActions.showComplexInformation.(Anon_4),Anonymous Class,1.0,1.0,1.0,1.0,4.0,0.0,4.0,0.0,1.0,1.0,1.0,0.0,,0.0,0.0,,,,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,,5,0,5,1,4,0,,,,2,3,1,2,,,,,,1.0,1.0,1.0,1.0,,2.0,0,,0.0,0.0,0.0,1,1,1,1
com.jbidwatcher.ui.commands.UserActions.showComplexInformation.(Anon_5),Anonymous Class,1.0,1.0,1.0,1.0,4.0,0.0,4.0,0.0,1.0,2.0,2.0,0.0,,0.0,0.0,,,,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,,5,0,5,0,4,0,,,,2,3,1,2,,,,,,1.0,1.0,1.0,1.0,,2.0,0,,0.0,0.0,0.0,1,1,1,1
com.jbidwatcher.ui.commands.UserActions.showLog.(Anon_6),Anonymous Class,1.0,1.0,1.0,1.0,3.0,0.0,3.0,0.0,1.0,2.0,2.0,0.0,,0.0,0.0,,,,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,,4,0,4,0,3,0,,,,1,2,1,1,,,,,,1.0,1.0,1.0,1.0,,2.0,0,,0.0,0.0,0.0,1,1,1,1
com.jbidwatcher.ui.commands.UserActions.silentDelete.(Anon_2),Anonymous Class,2.0,2.0,2.0,1.0,8.0,0.0,8.0,0.0,1.0,4.0,4.0,0.0,,0.0,0.0,,,,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,,9,0,9,2,7,0,,,,4,7,3,5,,,,,,2.0,2.0,2.0,1.0,,2.0,1,,0.0,0.0,0.0,2,2,2,1
com.jbidwatcher.ui.myTableCellRenderer,Public Class,3.0,3.0,4.0,1.0,13.0,0.0,11.0,1.0,1.0,24.0,24.0,0.0,,3.0,10.0,,,,16.0,6.0,19.0,19.0,0.0,13.0,0.0,6.0,,303,37,244,72,178,22,,,,141,197,68,159,,,,,,9.0,9.0,10.0,8.0,,2.0,4,,88.0,83.0,0.09,67,60,78,36
com.jbidwatcher.ui.table.AuctionSortable,Class,1.0,1.0,2.0,1.0,10.0,0.0,6.0,4.0,1.0,10.0,10.0,0.0,,0.0,1.0,,,,17.0,1.0,17.0,17.0,0.0,3.0,0.0,14.0,,207,24,109,34,64,78,,,,50,81,34,60,,,,,,4.0,4.0,5.0,4.0,,1.0,2,,58.0,52.0,0.72,33,33,35,26
