Name,Kind,AvgCyclomatic,AvgCyclomaticModified,AvgCyclomaticStrict,AvgEssential,AvgLine,AvgLineBlank,AvgLineCode,AvgLineComment,CountClassBase,CountClassCoupled,CountClassCoupledModified,CountClassDerived,CountDeclClass,CountDeclClassMethod,CountDeclClassVariable,CountDeclExecutableUnit,CountDeclFile,CountDeclFunction,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclMethod,CountDeclMethodAll,CountDeclMethodDefault,CountDeclMethodPrivate,CountDeclMethodProtected,CountDeclMethodPublic,CountInput,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountOutput,CountPath,CountPathLog,CountSemicolon,CountStmt,CountStmtDecl,CountStmtExe,Cyclomatic,CyclomaticModified,CyclomaticStrict,Essential,Knots,MaxCyclomatic,MaxCyclomaticModified,MaxCyclomaticStrict,MaxEssential,MaxEssentialKnots,MaxInheritanceTree,MaxNesting,MinEssentialKnots,PercentLackOfCohesion,PercentLackOfCohesionModified,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumEssential
erjang.beam.CompilerVisitor,Public Class,1.0,1.0,1.0,1.0,18.0,2.0,14.0,1.0,3.0,52.0,52.0,0.0,,4.0,79.0,,,,14.0,11.0,18.0,18.0,1.0,5.0,0.0,12.0,,2688.0,466.0,1819.0,395.0,1422.0,407.0,,,,1042.0,1305.0,348.0,1114.0,,,,,,6.0,6.0,6.0,1.0,,1.0,1.0,,95.0,94.0,0.22,34,34,34,18
erjang.beam.CompilerVisitor.ASMFunctionAdapter,Class,2.0,2.0,2.0,1.0,25.0,4.0,17.0,3.0,2.0,30.0,30.0,0.0,,0.0,0.0,,,,12.0,20.0,12.0,12.0,2.0,6.0,0.0,4.0,,2160.0,380.0,1458.0,230.0,1130.0,326.0,,,,782.0,1007.0,203.0,858.0,,,,,,8.0,8.0,8.0,1.0,,1.0,3.0,,83.0,76.0,0.22,33,33,33,12
erjang.beam.CompilerVisitor.ASMFunctionAdapter.ASMBlockVisitor,Class,5.0,3.0,5.0,1.0,33.0,5.0,25.0,2.0,2.0,36.0,36.0,0.0,,0.0,0.0,,,,47.0,2.0,47.0,47.0,0.0,16.0,0.0,31.0,,1799.0,313.0,1221.0,157.0,954.0,269.0,,,,618.0,809.0,134.0,703.0,,,,,,18.0,17.0,22.0,12.0,,1.0,4.0,,96.0,96.0,0.22,237,183,266,86
erjang.beam.CompilerVisitor.ASMFunctionAdapter.ASMBlockVisitor.TupleArityLabel,Class,2.0,2.0,2.0,2.0,6.0,0.0,6.0,0.0,2.0,2.0,2.0,0.0,,0.0,0.0,,,,2.0,3.0,2.0,2.0,0.0,0.0,0.0,2.0,,20.0,2.0,17.0,7.0,8.0,1.0,,,,8.0,13.0,6.0,8.0,,,,,,3.0,3.0,3.0,3.0,,1.0,1.0,,50.0,50.0,0.06,4,4,4,4
erjang.beam.CompilerVisitor.ASMFunctionAdapter.ASMBlockVisitor.visitSelectValue.Case,Class,1.0,1.0,1.0,1.0,7.0,0.0,5.0,1.0,2.0,4.0,4.0,0.0,,0.0,0.0,,,,3.0,2.0,3.0,3.0,1.0,0.0,0.0,2.0,,35.0,5.0,21.0,9.0,10.0,9.0,,,,10.0,16.0,8.0,10.0,,,,,,3.0,3.0,3.0,3.0,,1.0,1.0,,50.0,33.0,0.43,5,5,5,5
erjang.beam.EXHandler,Class,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,2.0,0.0,,0.0,0.0,,,,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,,6.0,0.0,5.0,4.0,0.0,1.0,,,,3.0,4.0,4.0,0.0,,,,,,0.0,0.0,0.0,0.0,,1.0,0.0,,0.0,0.0,0.2,0,0,0,0
erjang.beam.analysis.BeamTypeAnalysis,Public Class,1.0,1.0,1.0,1.0,4.0,0.0,3.0,0.0,1.0,30.0,30.0,0.0,,0.0,36.0,,,,7.0,3.0,7.0,7.0,0.0,0.0,0.0,7.0,,2052.0,420.0,1542.0,367.0,1192.0,96.0,,,,806.0,1012.0,353.0,863.0,,,,,,1.0,1.0,1.0,1.0,,2.0,0.0,,76.0,76.0,0.06,7,7,7,7
erjang.beam.analysis.BeamTypeAnalysis.FV,Class,2.0,2.0,2.0,1.0,11.0,1.0,9.0,0.0,2.0,22.0,22.0,0.0,,0.0,0.0,,,,19.0,10.0,19.0,19.0,2.0,4.0,0.0,13.0,,1948.0,407.0,1473.0,316.0,1141.0,74.0,,,,756.0,954.0,305.0,814.0,,,,,,9.0,9.0,9.0,3.0,,2.0,4.0,,85.0,78.0,0.05,40,40,41,21
erjang.beam.analysis.BeamTypeAnalysis.FV.(Anon_1),Anonymous Class,1.0,1.0,1.0,1.0,4.0,0.0,4.0,0.0,1.0,2.0,2.0,0.0,,0.0,0.0,,,,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,,5.0,0.0,5.0,0.0,4.0,0.0,,,,1.0,2.0,1.0,1.0,,,,,,1.0,1.0,1.0,1.0,,2.0,0.0,,0.0,0.0,0.0,1,1,1,1
erjang.beam.analysis.BeamTypeAnalysis.FV.LabeledBlock,Class,9.0,4.0,9.0,4.0,43.0,8.0,33.0,1.0,3.0,28.0,28.0,0.0,,0.0,0.0,,,,37.0,5.0,37.0,37.0,3.0,24.0,0.0,10.0,,1685.0,345.0,1279.0,248.0,1024.0,67.0,,,,660.0,814.0,244.0,718.0,,,,,,84.0,21.0,89.0,53.0,,1.0,4.0,,87.0,79.0,0.05,356,152,367,155
