Name,Kind,AvgCyclomatic,AvgCyclomaticModified,AvgCyclomaticStrict,AvgEssential,AvgLine,AvgLineBlank,AvgLineCode,AvgLineComment,CountClassBase,CountClassCoupled,CountClassCoupledModified,CountClassDerived,CountDeclClass,CountDeclClassMethod,CountDeclClassVariable,CountDeclExecutableUnit,CountDeclFile,CountDeclFunction,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclMethod,CountDeclMethodAll,CountDeclMethodDefault,CountDeclMethodPrivate,CountDeclMethodProtected,CountDeclMethodPublic,CountInput,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountOutput,CountPath,CountPathLog,CountSemicolon,CountStmt,CountStmtDecl,CountStmtExe,Cyclomatic,CyclomaticModified,CyclomaticStrict,Essential,Knots,MaxCyclomatic,MaxCyclomaticModified,MaxCyclomaticStrict,MaxEssential,MaxEssentialKnots,MaxInheritanceTree,MaxNesting,MinEssentialKnots,PercentLackOfCohesion,PercentLackOfCohesionModified,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumEssential
org.lateralgm.file.GMXFileReader,Public Final Class,5.0,5.0,5.0,3.0,41.0,4.0,35.0,1.0,1.0,80.0,80.0,0.0,,35.0,3.0,,,,1.0,0.0,36.0,36.0,0.0,33.0,0.0,3.0,,1606,209,1342,379,1025,67,,,,862,1119,399,949,,,,,,52.0,52.0,53.0,37.0,,1.0,5,,86.0,72.0,0.05,203,203,206,119
org.lateralgm.file.GMXFileReader.DefaultPostponedRef,Static Generic Class,1.0,1.0,1.0,1.0,6.0,0.0,6.0,0.0,2.0,4.0,4.0,0.0,,0.0,0.0,,,,2.0,4.0,2.0,2.0,1.0,0.0,0.0,1.0,,22,2,20,8,7,0,,,,11,15,8,8,,,,,,2.0,2.0,2.0,1.0,,1.0,1,,0.0,0.0,0.0,3,3,3,2
org.lateralgm.file.GMXFileReader.ProjectFileContext,Private Static Class,1.0,1.0,1.0,1.0,6.0,0.0,6.0,0.0,1.0,3.0,3.0,0.0,,0.0,0.0,,,,2.0,5.0,2.0,2.0,0.0,0.0,0.0,2.0,,23,2,21,9,6,0,,,,11,14,8,6,,,,,,1.0,1.0,1.0,1.0,,1.0,0,,0.0,0.0,0.0,2,2,2,2
org.lateralgm.file.GMXFileReader.iterateGmObjects.(Anon_1),Anonymous Class,3.0,3.0,3.0,3.0,9.0,0.0,9.0,0.0,2.0,4.0,4.0,0.0,,0.0,0.0,,,,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,,10,0,10,2,7,0,,,,6,9,3,8,,,,,,3.0,3.0,3.0,3.0,,1.0,1,,0.0,0.0,0.0,3,3,3,3
org.lateralgm.file.GMXFileReader.iterateGmObjects.(Anon_2),Anonymous Class,3.0,3.0,3.0,3.0,9.0,0.0,9.0,0.0,2.0,4.0,4.0,0.0,,0.0,0.0,,,,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,,10,0,10,2,7,0,,,,6,9,3,8,,,,,,3.0,3.0,3.0,3.0,,1.0,1,,0.0,0.0,0.0,3,3,3,3
org.lateralgm.file.GMXFileReader.iterateGmObjects.(Anon_3),Anonymous Class,3.0,3.0,3.0,3.0,9.0,0.0,9.0,0.0,2.0,4.0,4.0,0.0,,0.0,0.0,,,,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,,10,0,10,2,7,0,,,,6,9,3,8,,,,,,3.0,3.0,3.0,3.0,,1.0,1,,0.0,0.0,0.0,3,3,3,3
org.lateralgm.file.GMXFileReader.iterateGmObjects.(Anon_4),Anonymous Class,3.0,3.0,3.0,3.0,9.0,0.0,9.0,0.0,2.0,3.0,3.0,0.0,,0.0,0.0,,,,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,,10,0,10,2,7,0,,,,6,9,3,8,,,,,,3.0,3.0,3.0,3.0,,1.0,1,,0.0,0.0,0.0,3,3,3,3
org.lateralgm.file.GMXFileReader.iterateRooms.(Anon_5),Anonymous Class,3.0,3.0,3.0,3.0,9.0,0.0,9.0,0.0,2.0,4.0,4.0,0.0,,0.0,0.0,,,,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,,10,0,10,2,7,0,,,,6,9,3,8,,,,,,3.0,3.0,3.0,3.0,,1.0,1,,0.0,0.0,0.0,3,3,3,3
org.lateralgm.file.GMXFileReader.iterateRooms.(Anon_6),Anonymous Class,3.0,3.0,3.0,3.0,9.0,0.0,9.0,0.0,2.0,4.0,4.0,0.0,,0.0,0.0,,,,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,,10,0,10,2,7,0,,,,6,9,3,8,,,,,,3.0,3.0,3.0,3.0,,1.0,1,,0.0,0.0,0.0,3,3,3,3
org.lateralgm.file.GMXFileReader.iterateRooms.(Anon_7),Anonymous Class,3.0,3.0,3.0,3.0,9.0,0.0,9.0,0.0,2.0,4.0,4.0,0.0,,0.0,0.0,,,,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,,10,0,10,2,7,0,,,,6,9,3,8,,,,,,3.0,3.0,3.0,3.0,,1.0,1,,0.0,0.0,0.0,3,3,3,3
org.lateralgm.file.GMXFileReader.readActions.(Anon_10),Anonymous Class,3.0,3.0,3.0,3.0,9.0,0.0,9.0,0.0,2.0,3.0,3.0,0.0,,0.0,0.0,,,,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,,10,0,10,2,7,0,,,,6,9,3,8,,,,,,3.0,3.0,3.0,3.0,,1.0,1,,0.0,0.0,0.0,3,3,3,3
org.lateralgm.file.GMXFileReader.readActions.(Anon_11),Anonymous Class,3.0,3.0,3.0,3.0,9.0,0.0,9.0,0.0,2.0,3.0,3.0,0.0,,0.0,0.0,,,,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,,10,0,10,2,7,0,,,,6,9,3,8,,,,,,3.0,3.0,3.0,3.0,,1.0,1,,0.0,0.0,0.0,3,3,3,3
org.lateralgm.file.GMXFileReader.readActions.(Anon_12),Anonymous Class,3.0,3.0,3.0,3.0,9.0,0.0,9.0,0.0,2.0,3.0,3.0,0.0,,0.0,0.0,,,,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,,10,0,10,2,7,0,,,,6,9,3,8,,,,,,3.0,3.0,3.0,3.0,,1.0,1,,0.0,0.0,0.0,3,3,3,3
org.lateralgm.file.GMXFileReader.readActions.(Anon_13),Anonymous Class,3.0,3.0,3.0,3.0,9.0,0.0,9.0,0.0,2.0,3.0,3.0,0.0,,0.0,0.0,,,,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,,10,0,10,2,7,0,,,,6,9,3,8,,,,,,3.0,3.0,3.0,3.0,,1.0,1,,0.0,0.0,0.0,3,3,3,3
org.lateralgm.file.GMXFileReader.readActions.(Anon_14),Anonymous Class,3.0,3.0,3.0,3.0,9.0,0.0,9.0,0.0,2.0,3.0,3.0,0.0,,0.0,0.0,,,,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,,10,0,10,2,7,0,,,,6,9,3,8,,,,,,3.0,3.0,3.0,3.0,,1.0,1,,0.0,0.0,0.0,3,3,3,3
