Name,Kind,AvgCyclomatic,AvgCyclomaticModified,AvgCyclomaticStrict,AvgEssential,AvgLine,AvgLineBlank,AvgLineCode,AvgLineComment,CountClassBase,CountClassCoupled,CountClassCoupledModified,CountClassDerived,CountDeclClass,CountDeclClassMethod,CountDeclClassVariable,CountDeclExecutableUnit,CountDeclFile,CountDeclFunction,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclMethod,CountDeclMethodAll,CountDeclMethodDefault,CountDeclMethodPrivate,CountDeclMethodProtected,CountDeclMethodPublic,CountInput,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountOutput,CountPath,CountPathLog,CountSemicolon,CountStmt,CountStmtDecl,CountStmtExe,Cyclomatic,CyclomaticModified,CyclomaticStrict,Essential,Knots,MaxCyclomatic,MaxCyclomaticModified,MaxCyclomaticStrict,MaxEssential,MaxEssentialKnots,MaxInheritanceTree,MaxNesting,MinEssentialKnots,PercentLackOfCohesion,PercentLackOfCohesionModified,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumEssential
io.vertx.core.http.impl.Http1xServerConnection,Public Class,2.0,2.0,2.0,1.0,11.0,0.0,10.0,0.0,2.0,51.0,51.0,0.0,,1.0,1.0,,,,32.0,15.0,33.0,33.0,10.0,11.0,5.0,7.0,,449,46,374,93,222,29,,,,163,256,78,195,,,,,,8.0,8.0,8.0,8.0,,2.0,2,,90.0,86.0,0.08,92,92,97,45
io.vertx.core.http.impl.Http1xServerConnection.createNetSocket.(Anon_1),Anonymous Class,1.0,1.0,1.0,1.0,6.0,0.0,6.0,0.0,1.0,6.0,6.0,0.0,,0.0,0.0,,,,2.0,0.0,2.0,2.0,0.0,0.0,1.0,1.0,,14,1,13,0,10,0,,,,4,7,2,5,,,,,,2.0,2.0,2.0,1.0,,2.0,1,,0.0,0.0,0.0,3,3,3,2
io.vertx.core.http.impl.Http1xServerConnection.requestHandler.Adapter,Class,2.0,2.0,2.0,1.0,8.0,0.0,8.0,0.0,2.0,3.0,3.0,0.0,,0.0,0.0,,,,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,,11,0,11,4,5,0,,,,4,7,3,4,,,,,,2.0,2.0,2.0,1.0,,1.0,1,,0.0,0.0,0.0,2,2,2,1
io.vertx.core.http.impl.Http1xServerHandler,Public Class,2.0,2.0,2.0,1.0,16.0,1.0,14.0,0.0,1.0,18.0,18.0,1.0,,0.0,1.0,,,,4.0,5.0,4.0,4.0,1.0,0.0,1.0,2.0,,82,12,64,20,41,6,,,,29,39,16,29,,,,,,5.0,5.0,7.0,4.0,,2.0,2,,50.0,50.0,0.09,10,10,12,8
io.vertx.core.http.impl.HttpServerImpl,Public Class,2.0,2.0,2.0,1.0,14.0,0.0,13.0,0.0,4.0,70.0,70.0,0.0,,2.0,7.0,,,,35.0,23.0,37.0,38.0,6.0,8.0,1.0,22.0,,859,89,729,171,472,47,,,,321,476,146,379,,,,,,10.0,10.0,12.0,3.0,,1.0,3,,91.0,86.0,0.06,107,107,111,51
io.vertx.core.http.impl.HttpServerImpl.HttpStreamHandler,Private Generic Class,1.0,1.0,1.0,1.0,7.0,0.0,7.0,0.0,2.0,4.0,4.0,0.0,,0.0,0.0,,,,9.0,3.0,9.0,9.0,3.0,0.0,0.0,6.0,,80,10,69,20,30,1,,,,21,42,14,28,,,,,,3.0,3.0,3.0,1.0,,1.0,2,,70.0,70.0,0.01,13,13,14,9
io.vertx.core.http.impl.HttpServerImpl.listen.(Anon_1),Anonymous Class,6.0,6.0,7.0,1.0,82.0,2.0,76.0,4.0,1.0,12.0,12.0,0.0,,0.0,0.0,,,,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,,83,2,77,9,60,4,,,,31,46,13,40,,,,,,6.0,6.0,7.0,1.0,,2.0,0,,0.0,0.0,0.05,10,10,11,2
io.vertx.core.http.impl.HttpServerImpl.listen.(Anon_1).initChannel.(Anon_2),Anonymous Class,2.0,2.0,2.0,1.0,8.0,0.0,7.0,0.0,1.0,9.0,9.0,0.0,,0.0,0.0,,,,3.0,0.0,3.0,3.0,0.0,0.0,1.0,2.0,,27,2,24,1,18,1,,,,7,13,4,10,,,,,,3.0,3.0,3.0,1.0,,2.0,1,,0.0,0.0,0.04,7,7,8,4
io.vertx.core.http.impl.HttpServerRequestImpl,Public Class,1.0,1.0,2.0,1.0,7.0,0.0,7.0,0.0,2.0,41.0,41.0,0.0,,1.0,1.0,,,,59.0,24.0,60.0,60.0,9.0,14.0,0.0,37.0,,539,71,450,132,203,18,,,,149,275,95,186,,,,,,6.0,6.0,6.0,1.0,,1.0,4,,94.0,85.0,0.04,116,116,127,64
io.vertx.core.http.impl.HttpUtils,Public Final Class,4.0,3.0,4.0,2.0,18.0,0.0,16.0,1.0,1.0,33.0,33.0,0.0,,24.0,2.0,,,,1.0,0.0,25.0,25.0,9.0,4.0,0.0,12.0,,504,35,433,80,290,39,,,,190,292,83,247,,,,,,15.0,15.0,17.0,11.0,,1.0,6,,0.0,0.0,0.09,113,103,123,59
