Name,Kind,AvgCyclomatic,AvgCyclomaticModified,AvgCyclomaticStrict,AvgEssential,AvgLine,AvgLineBlank,AvgLineCode,AvgLineComment,CountClassBase,CountClassCoupled,CountClassCoupledModified,CountClassDerived,CountDeclClass,CountDeclClassMethod,CountDeclClassVariable,CountDeclExecutableUnit,CountDeclFile,CountDeclFunction,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclMethod,CountDeclMethodAll,CountDeclMethodDefault,CountDeclMethodPrivate,CountDeclMethodProtected,CountDeclMethodPublic,CountInput,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountOutput,CountPath,CountPathLog,CountSemicolon,CountStmt,CountStmtDecl,CountStmtExe,Cyclomatic,CyclomaticModified,CyclomaticStrict,Essential,Knots,MaxCyclomatic,MaxCyclomaticModified,MaxCyclomaticStrict,MaxEssential,MaxEssentialKnots,MaxInheritanceTree,MaxNesting,MinEssentialKnots,PercentLackOfCohesion,PercentLackOfCohesionModified,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumEssential
com.google.inject.multibindings.Multibinder,Public Abstract Generic Class,1.0,1.0,1.0,1.0,8.0,0.0,5.0,2.0,1.0,18.0,18.0,1.0,,9.0,0.0,,,,3.0,0.0,12.0,12.0,3.0,1.0,0.0,8.0,,422,48,223,78,113,154,,,,88,140,64,87,,,,,,2.0,2.0,2.0,1.0,,1.0,1,,0.0,0.0,0.69,12,12,12,10
com.google.inject.multibindings.Multibinder.PermitDuplicatesModule,Private Static Class,1.0,1.0,1.0,1.0,3.0,0.0,3.0,0.0,1.0,2.0,2.0,0.0,,0.0,0.0,,,,4.0,1.0,4.0,4.0,1.0,0.0,1.0,2.0,,26,4,17,7,5,5,,,,5,10,6,4,,,,,,1.0,1.0,2.0,1.0,,2.0,0,,0.0,0.0,0.29,4,4,5,4
com.google.inject.multibindings.Multibinder.RealMultibinder,Static Final Generic Class,1.0,1.0,1.0,1.0,7.0,0.0,6.0,0.0,3.0,31.0,31.0,0.0,,0.0,0.0,,,,21.0,8.0,21.0,33.0,3.0,4.0,0.0,14.0,,212,29,148,45,80,37,,,,59,93,40,59,,,,,,3.0,3.0,4.0,3.0,,2.0,2,,79.0,73.0,0.25,32,32,40,23
com.google.inject.multibindings.MultibinderTest,Public Class,1.0,1.0,1.0,1.0,23.0,1.0,20.0,1.0,1.0,35.0,35.0,0.0,,0.0,0.0,,,,23.0,5.0,23.0,23.0,0.0,1.0,0.0,22.0,,627,70,498,193,363,59,,,,277,351,184,280,,,,,,6.0,6.0,6.0,1.0,,2.0,3,,69.0,69.0,0.12,33,33,33,23
com.google.inject.multibindings.MultibinderTest.(Anon_1),Anonymous Class,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0,0,0,0,0,0,,,,0,0,0,0,,,,,,0.0,0.0,0.0,0.0,,2.0,0,,0.0,0.0,0.0,0,0,0,0
com.google.inject.multibindings.MultibinderTest.(Anon_2),Anonymous Class,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0,0,0,0,0,0,,,,0,0,0,0,,,,,,0.0,0.0,0.0,0.0,,2.0,0,,0.0,0.0,0.0,0,0,0,0
com.google.inject.multibindings.MultibinderTest.(Anon_3),Anonymous Class,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0,0,0,0,0,0,,,,0,0,0,0,,,,,,0.0,0.0,0.0,0.0,,2.0,0,,0.0,0.0,0.0,0,0,0,0
com.google.inject.multibindings.MultibinderTest.Collector,Private Static Class,1.0,1.0,1.0,1.0,5.0,0.0,5.0,0.0,2.0,3.0,3.0,0.0,,0.0,0.0,,,,2.0,2.0,2.0,2.0,0.0,0.0,0.0,2.0,,17,2,15,8,4,0,,,,6,9,5,4,,,,,,1.0,1.0,1.0,1.0,,2.0,0,,50.0,50.0,0.0,2,2,2,2
com.google.inject.multibindings.MultibinderTest.testMultibinderAggregatesMultipleModules.(Anon_4),Anonymous Class,1.0,1.0,1.0,1.0,6.0,0.0,6.0,0.0,1.0,2.0,2.0,0.0,,0.0,0.0,,,,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,,7,0,7,2,6,0,,,,4,5,2,4,,,,,,1.0,1.0,1.0,1.0,,2.0,0,,0.0,0.0,0.0,1,1,1,1
com.google.inject.multibindings.MultibinderTest.testMultibinderAggregatesMultipleModules.(Anon_5),Anonymous Class,1.0,1.0,1.0,1.0,5.0,0.0,5.0,0.0,1.0,2.0,2.0,0.0,,0.0,0.0,,,,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,,6,0,6,2,5,0,,,,3,4,2,3,,,,,,1.0,1.0,1.0,1.0,,2.0,0,,0.0,0.0,0.0,1,1,1,1
com.google.inject.multibindings.MultibinderTest.testMultibinderAggregationForAnnotationInstance.(Anon_6),Anonymous Class,1.0,1.0,1.0,1.0,9.0,1.0,8.0,0.0,1.0,3.0,3.0,0.0,,0.0,0.0,,,,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,,10,1,9,3,7,0,,,,5,6,2,5,,,,,,1.0,1.0,1.0,1.0,,2.0,0,,0.0,0.0,0.0,1,1,1,1
com.google.inject.multibindings.MultibinderTest.testMultibinderAggregationForAnnotationType.(Anon_7),Anonymous Class,1.0,1.0,1.0,1.0,9.0,1.0,8.0,0.0,1.0,3.0,3.0,0.0,,0.0,0.0,,,,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,,10,1,9,3,7,0,,,,5,6,2,5,,,,,,1.0,1.0,1.0,1.0,,2.0,0,,0.0,0.0,0.0,1,1,1,1
com.google.inject.multibindings.MultibinderTest.testMultibinderSetIsUnmodifiable.(Anon_12),Anonymous Class,1.0,1.0,1.0,1.0,4.0,0.0,4.0,0.0,1.0,2.0,2.0,0.0,,0.0,0.0,,,,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,,5,0,5,1,4,0,,,,1,2,1,1,,,,,,1.0,1.0,1.0,1.0,,2.0,0,,0.0,0.0,0.0,1,1,1,1
com.google.inject.multibindings.MultibinderTest.testMultibinderWithEmptySet.(Anon_11),Anonymous Class,1.0,1.0,1.0,1.0,3.0,0.0,3.0,0.0,1.0,2.0,2.0,0.0,,0.0,0.0,,,,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,,4,0,4,1,3,0,,,,1,2,1,1,,,,,,1.0,1.0,1.0,1.0,,2.0,0,,0.0,0.0,0.0,1,1,1,1
com.google.inject.multibindings.MultibinderTest.testMultibinderWithMultipleAnnotationTypeSets.(Anon_9),Anonymous Class,1.0,1.0,1.0,1.0,12.0,1.0,11.0,0.0,1.0,4.0,4.0,0.0,,0.0,0.0,,,,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,,13,1,12,5,9,0,,,,7,8,3,7,,,,,,1.0,1.0,1.0,1.0,,2.0,0,,0.0,0.0,0.0,1,1,1,1
com.google.inject.multibindings.MultibinderTest.testMultibinderWithMultipleAnnotationValueSets.(Anon_8),Anonymous Class,1.0,1.0,1.0,1.0,12.0,1.0,11.0,0.0,1.0,2.0,2.0,0.0,,0.0,0.0,,,,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,,13,1,12,5,9,0,,,,7,8,3,7,,,,,,1.0,1.0,1.0,1.0,,2.0,0,,0.0,0.0,0.0,1,1,1,1
com.google.inject.multibindings.MultibinderTest.testMultibinderWithMultipleSetTypes.(Anon_10),Anonymous Class,1.0,1.0,1.0,1.0,6.0,0.0,6.0,0.0,1.0,3.0,3.0,0.0,,0.0,0.0,,,,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,,7,0,7,1,6,0,,,,2,3,1,2,,,,,,1.0,1.0,1.0,1.0,,2.0,0,,0.0,0.0,0.0,1,1,1,1
