Name,Kind,AvgCyclomatic,AvgCyclomaticModified,AvgCyclomaticStrict,AvgEssential,AvgLine,AvgLineBlank,AvgLineCode,AvgLineComment,CountClassBase,CountClassCoupled,CountClassCoupledModified,CountClassDerived,CountDeclClass,CountDeclClassMethod,CountDeclClassVariable,CountDeclExecutableUnit,CountDeclFile,CountDeclFunction,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclMethod,CountDeclMethodAll,CountDeclMethodDefault,CountDeclMethodPrivate,CountDeclMethodProtected,CountDeclMethodPublic,CountInput,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountOutput,CountPath,CountPathLog,CountSemicolon,CountStmt,CountStmtDecl,CountStmtExe,Cyclomatic,CyclomaticModified,CyclomaticStrict,Essential,Knots,MaxCyclomatic,MaxCyclomaticModified,MaxCyclomaticStrict,MaxEssential,MaxEssentialKnots,MaxInheritanceTree,MaxNesting,MinEssentialKnots,PercentLackOfCohesion,PercentLackOfCohesionModified,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumEssential
joptsimple.LongOptionNoArgumentTest,Public Class,1.0,1.0,1.0,1.0,7.0,0.0,6.0,0.0,1.0,4.0,4.0,0.0,,0.0,0.0,,,,5.0,0.0,5.0,5.0,0.0,0.0,0.0,5.0,,47,8,36,14,19,3,,,,19,25,9,19,,,,,,1.0,1.0,1.0,1.0,,2.0,0,,0.0,0.0,0.08,5,5,5,5
joptsimple.LongOptionRequiredArgumentTest,Public Class,1.0,1.0,1.0,1.0,8.0,0.0,7.0,0.0,1.0,4.0,4.0,0.0,,0.0,0.0,,,,7.0,0.0,7.0,7.0,0.0,0.0,0.0,7.0,,68,12,53,20,30,3,,,,30,38,13,30,,,,,,1.0,1.0,1.0,1.0,,2.0,0,,0.0,0.0,0.06,7,7,7,7
joptsimple.OptionParserOptionExceptionTest,Public Class,1.0,1.0,1.0,1.0,7.0,1.0,6.0,0.0,1.0,3.0,3.0,0.0,,0.0,0.0,,,,5.0,0.0,5.0,5.0,0.0,0.0,0.0,5.0,,47,9,35,12,18,3,,,,18,24,7,18,,,,,,1.0,1.0,1.0,1.0,,2.0,0,,0.0,0.0,0.09,5,5,5,5
joptsimple.OptionParserTest,Public Class,1.0,1.0,1.0,1.0,12.0,1.0,10.0,0.0,1.0,5.0,5.0,0.0,,0.0,0.0,,,,17.0,0.0,17.0,17.0,0.0,0.0,0.0,17.0,,228,41,184,56,128,3,,,,127,145,37,124,,,,,,1.0,1.0,1.0,1.0,,2.0,0,,0.0,0.0,0.02,17,17,17,17
joptsimple.OptionParserTest.doubleHyphenSignalsEndsOfOptions.(Anon_1),Anonymous Class,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,4,0,4,1,2,0,,,,1,1,0,1,,,,,,0.0,0.0,0.0,0.0,,2.0,0,,0.0,0.0,0.0,0,0,0,0
joptsimple.ShortOptionsOptionalArgumentTest,Public Class,1.0,1.0,1.0,1.0,8.0,0.0,7.0,0.0,1.0,4.0,4.0,0.0,,0.0,0.0,,,,7.0,0.0,7.0,7.0,0.0,0.0,0.0,7.0,,67,12,52,20,29,3,,,,29,37,13,29,,,,,,1.0,1.0,1.0,1.0,,2.0,0,,0.0,0.0,0.06,7,7,7,7
joptsimple.ShortOptionsRequiredArgumentTest,Public Class,1.0,1.0,1.0,1.0,8.0,1.0,7.0,0.0,1.0,4.0,4.0,0.0,,0.0,0.0,,,,10.0,0.0,10.0,10.0,0.0,0.0,0.0,10.0,,94,19,72,28,40,3,,,,40,51,18,40,,,,,,1.0,1.0,1.0,1.0,,2.0,0,,0.0,0.0,0.04,10,10,10,10
joptsimple.TypesafeOptionArgumentRetrievalTest,Public Class,1.0,1.0,1.0,1.0,10.0,2.0,8.0,0.0,1.0,16.0,16.0,0.0,,0.0,0.0,,,,22.0,0.0,22.0,22.0,0.0,0.0,0.0,22.0,,280,75,202,103,113,3,,,,104,139,83,103,,,,,,1.0,1.0,1.0,1.0,,2.0,0,,0.0,0.0,0.01,22,22,22,22
joptsimple.TypesafeOptionArgumentRetrievalTest.FakeOptionSpec,Private Static Generic Class,1.0,1.0,1.0,1.0,3.0,0.0,3.0,0.0,2.0,4.0,4.0,0.0,,0.0,0.0,,,,5.0,1.0,5.0,5.0,1.0,0.0,0.0,4.0,,23,5,18,7,5,0,,,,6,12,7,5,,,,,,1.0,1.0,1.0,1.0,,1.0,0,,60.0,60.0,0.0,5,5,5,5
joptsimple.TypesafeOptionArgumentRetrievalTest.usesConverterIfProvided.(Anon_1),Anonymous Class,1.0,1.0,1.0,1.0,3.0,0.0,3.0,0.0,1.0,3.0,3.0,0.0,,0.0,0.0,,,,3.0,0.0,3.0,3.0,0.0,0.0,0.0,3.0,,12,2,10,0,7,0,,,,3,6,3,3,,,,,,1.0,1.0,1.0,1.0,,2.0,0,,0.0,0.0,0.0,3,3,3,3
joptsimple.TypesafeOptionArgumentRetrievalTest.wrapsValueConversionExceptionsRaisedByConverter.(Anon_2),Anonymous Class,1.0,1.0,1.0,1.0,3.0,0.0,3.0,0.0,1.0,4.0,4.0,0.0,,0.0,0.0,,,,3.0,0.0,3.0,3.0,0.0,0.0,0.0,3.0,,12,2,10,0,7,0,,,,3,6,3,3,,,,,,1.0,1.0,1.0,1.0,,2.0,0,,0.0,0.0,0.0,3,3,3,3
joptsimple.UtilityClassesUninstantiabilityHarness,Public Abstract Class,1.0,1.0,1.0,1.0,8.0,1.0,7.0,0.0,1.0,8.0,8.0,0.0,,1.0,0.0,,,,2.0,2.0,3.0,3.0,0.0,1.0,1.0,1.0,,37,7,27,8,15,3,,,,12,18,9,11,,,,,,1.0,1.0,1.0,1.0,,1.0,0,,50.0,50.0,0.11,3,3,3,3
joptsimple.WAsAbbreviationForLongOptionTest,Public Class,1.0,1.0,1.0,1.0,7.0,1.0,6.0,0.0,1.0,4.0,4.0,0.0,,0.0,0.0,,,,3.0,0.0,3.0,3.0,0.0,0.0,0.0,3.0,,29,5,21,8,10,3,,,,10,14,5,10,,,,,,1.0,1.0,1.0,1.0,,2.0,0,,0.0,0.0,0.14,3,3,3,3
joptsimple.WAsShortOptionTest,Public Class,1.0,1.0,1.0,1.0,7.0,1.0,6.0,0.0,1.0,4.0,4.0,0.0,,0.0,0.0,,,,3.0,0.0,3.0,3.0,0.0,0.0,0.0,3.0,,28,5,20,8,9,3,,,,9,13,5,9,,,,,,1.0,1.0,1.0,1.0,,2.0,0,,0.0,0.0,0.15,3,3,3,3
