Name,Kind,AvgCyclomatic,AvgCyclomaticModified,AvgCyclomaticStrict,AvgEssential,AvgLine,AvgLineBlank,AvgLineCode,AvgLineComment,CountClassBase,CountClassCoupled,CountClassCoupledModified,CountClassDerived,CountDeclClass,CountDeclClassMethod,CountDeclClassVariable,CountDeclExecutableUnit,CountDeclFile,CountDeclFunction,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclMethod,CountDeclMethodAll,CountDeclMethodDefault,CountDeclMethodPrivate,CountDeclMethodProtected,CountDeclMethodPublic,CountInput,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountOutput,CountPath,CountPathLog,CountSemicolon,CountStmt,CountStmtDecl,CountStmtExe,Cyclomatic,CyclomaticModified,CyclomaticStrict,Essential,Knots,MaxCyclomatic,MaxCyclomaticModified,MaxCyclomaticStrict,MaxEssential,MaxEssentialKnots,MaxInheritanceTree,MaxNesting,MinEssentialKnots,PercentLackOfCohesion,PercentLackOfCohesionModified,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumEssential
st.redline.smalltalk.interpreter.Block,Public Class,1.0,1.0,1.0,1.0,3.0,0.0,3.0,0.0,2.0,7.0,7.0,0.0,,0.0,0.0,,,,7.0,3.0,7.0,7.0,0.0,0.0,0.0,7.0,,34,8,26,11,7,0,,,,10,18,11,7,,,,,,1.0,1.0,1.0,1.0,,1.0,0,,80.0,80.0,0.0,7,7,7,7
st.redline.smalltalk.interpreter.FalseReservedWord,Public Class,1.0,1.0,1.0,1.0,3.0,0.0,3.0,0.0,2.0,2.0,2.0,0.0,,0.0,1.0,,,,4.0,1.0,4.0,4.0,0.0,0.0,0.0,4.0,,21,5,16,7,5,0,,,,6,11,7,4,,,,,,1.0,1.0,1.0,1.0,,1.0,0,,25.0,25.0,0.0,4,4,4,4
st.redline.smalltalk.interpreter.LiteralArray,Public Class,1.0,1.0,1.0,1.0,3.0,0.0,3.0,0.0,2.0,3.0,3.0,0.0,,0.0,0.0,,,,4.0,1.0,4.0,4.0,0.0,0.0,0.0,4.0,,20,5,15,6,4,0,,,,5,10,6,4,,,,,,1.0,1.0,1.0,1.0,,1.0,0,,75.0,75.0,0.0,4,4,4,4
st.redline.smalltalk.interpreter.LiteralCharacter,Public Class,1.0,1.0,1.0,1.0,3.0,0.0,3.0,0.0,2.0,3.0,3.0,0.0,,0.0,0.0,,,,4.0,1.0,4.0,4.0,0.0,0.0,0.0,4.0,,20,5,15,6,4,0,,,,5,10,6,4,,,,,,1.0,1.0,1.0,1.0,,1.0,0,,0.0,0.0,0.0,4,4,4,4
st.redline.smalltalk.interpreter.LiteralNumber,Public Class,1.0,1.0,1.0,1.0,3.0,0.0,3.0,0.0,2.0,3.0,3.0,0.0,,0.0,0.0,,,,4.0,1.0,4.0,4.0,0.0,0.0,0.0,4.0,,20,5,15,6,4,0,,,,5,10,6,4,,,,,,1.0,1.0,1.0,1.0,,1.0,0,,0.0,0.0,0.0,4,4,4,4
st.redline.smalltalk.interpreter.LiteralString,Public Class,1.0,1.0,1.0,1.0,3.0,0.0,3.0,0.0,2.0,3.0,3.0,0.0,,0.0,0.0,,,,4.0,2.0,4.0,4.0,0.0,0.0,0.0,4.0,,22,5,17,7,5,0,,,,7,12,7,5,,,,,,1.0,1.0,1.0,1.0,,1.0,0,,25.0,25.0,0.0,4,4,4,4
st.redline.smalltalk.interpreter.LiteralSymbol,Public Class,1.0,1.0,1.0,1.0,3.0,0.0,3.0,0.0,2.0,3.0,3.0,0.0,,0.0,0.0,,,,4.0,2.0,4.0,4.0,0.0,0.0,0.0,4.0,,22,5,17,7,5,0,,,,7,12,7,5,,,,,,1.0,1.0,1.0,1.0,,1.0,0,,25.0,25.0,0.0,4,4,4,4
st.redline.smalltalk.interpreter.NilReservedWord,Public Class,1.0,1.0,1.0,1.0,3.0,0.0,3.0,0.0,2.0,2.0,2.0,0.0,,0.0,1.0,,,,4.0,1.0,4.0,4.0,0.0,0.0,0.0,4.0,,22,6,16,7,5,0,,,,6,11,7,4,,,,,,1.0,1.0,1.0,1.0,,1.0,0,,25.0,25.0,0.0,4,4,4,4
st.redline.smalltalk.interpreter.NumberConstant,Public Class,1.0,1.0,1.0,1.0,3.0,0.0,3.0,0.0,2.0,2.0,2.0,0.0,,0.0,0.0,,,,4.0,2.0,4.0,4.0,0.0,0.0,0.0,4.0,,22,5,17,7,5,0,,,,7,12,7,5,,,,,,1.0,1.0,1.0,1.0,,1.0,0,,25.0,25.0,0.0,4,4,4,4
st.redline.smalltalk.interpreter.PrimaryExpression,Public Class,1.0,1.0,1.0,1.0,3.0,0.0,3.0,0.0,2.0,3.0,3.0,0.0,,0.0,0.0,,,,4.0,1.0,4.0,4.0,0.0,0.0,0.0,4.0,,20,5,15,6,4,0,,,,5,10,6,4,,,,,,1.0,1.0,1.0,1.0,,1.0,0,,75.0,75.0,0.0,4,4,4,4
st.redline.smalltalk.interpreter.PrimaryStatements,Public Class,1.0,1.0,1.0,1.0,3.0,0.0,3.0,0.0,2.0,3.0,3.0,0.0,,0.0,0.0,,,,4.0,1.0,4.0,4.0,0.0,0.0,0.0,4.0,,20,5,15,6,4,0,,,,5,10,6,4,,,,,,1.0,1.0,1.0,1.0,,1.0,0,,75.0,75.0,0.0,4,4,4,4
st.redline.smalltalk.interpreter.SelfReservedWord,Public Class,1.0,1.0,1.0,1.0,3.0,0.0,3.0,0.0,2.0,2.0,2.0,0.0,,0.0,1.0,,,,4.0,1.0,4.0,4.0,0.0,0.0,0.0,4.0,,21,5,16,7,5,0,,,,6,11,7,4,,,,,,1.0,1.0,1.0,1.0,,1.0,0,,25.0,25.0,0.0,4,4,4,4
st.redline.smalltalk.interpreter.TrueReservedWord,Public Class,1.0,1.0,1.0,1.0,3.0,0.0,3.0,0.0,2.0,2.0,2.0,0.0,,0.0,1.0,,,,4.0,1.0,4.0,4.0,0.0,0.0,0.0,4.0,,21,5,16,7,5,0,,,,6,11,7,4,,,,,,1.0,1.0,1.0,1.0,,1.0,0,,25.0,25.0,0.0,4,4,4,4
st.redline.smalltalk.interpreter.VariableName,Public Class,1.0,1.0,1.0,1.0,3.0,0.0,3.0,0.0,2.0,2.0,2.0,0.0,,0.0,0.0,,,,9.0,4.0,9.0,9.0,0.0,1.0,0.0,8.0,,46,10,36,14,12,0,,,,16,26,14,12,,,,,,1.0,1.0,1.0,1.0,,1.0,0,,66.0,63.0,0.0,9,9,9,9
