Name,Kind,AvgCyclomatic,AvgCyclomaticModified,AvgCyclomaticStrict,AvgEssential,AvgLine,AvgLineBlank,AvgLineCode,AvgLineComment,CountClassBase,CountClassCoupled,CountClassCoupledModified,CountClassDerived,CountDeclClass,CountDeclClassMethod,CountDeclClassVariable,CountDeclExecutableUnit,CountDeclFile,CountDeclFunction,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclMethod,CountDeclMethodAll,CountDeclMethodDefault,CountDeclMethodPrivate,CountDeclMethodProtected,CountDeclMethodPublic,CountInput,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountOutput,CountPath,CountPathLog,CountSemicolon,CountStmt,CountStmtDecl,CountStmtExe,Cyclomatic,CyclomaticModified,CyclomaticStrict,Essential,Knots,MaxCyclomatic,MaxCyclomaticModified,MaxCyclomaticStrict,MaxEssential,MaxEssentialKnots,MaxInheritanceTree,MaxNesting,MinEssentialKnots,PercentLackOfCohesion,PercentLackOfCohesionModified,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumEssential
de.uniluebeck.itm.ncoap.application.client.CoapClientApplication,Public Class,1.0,1.0,1.0,1.0,22.0,3.0,11.0,8.0,1.0,22.0,22.0,0.0,,0.0,1.0,,,,10.0,4.0,10.0,10.0,0.0,0.0,0.0,10.0,,289,48,118,38,78,123,,,,48,69,35,49,,,,,,2.0,2.0,3.0,1.0,,1.0,1,,75.0,35.0,1.04,11,11,12,10
de.uniluebeck.itm.ncoap.application.client.CoapClientApplication.sendCoapPing.(Anon_3),Anonymous Class,1.0,1.0,1.0,1.0,24.0,4.0,20.0,0.0,1.0,5.0,5.0,0.0,,0.0,0.0,,,,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,,26,5,21,5,16,0,,,,6,10,5,8,,,,,,1.0,1.0,1.0,1.0,,2.0,0,,0.0,0.0,0.0,1,1,1,1
de.uniluebeck.itm.ncoap.application.client.CoapClientApplication.sendCoapPing.(Anon_3).run.(Anon_4),Anonymous Class,3.0,3.0,3.0,1.0,11.0,1.0,10.0,0.0,1.0,6.0,6.0,0.0,,0.0,0.0,,,,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,,12,1,11,0,9,0,,,,2,5,1,4,,,,,,3.0,3.0,3.0,1.0,,2.0,2,,0.0,0.0,0.0,3,3,3,1
de.uniluebeck.itm.ncoap.application.client.CoapClientApplication.sendCoapRequest.(Anon_1),Anonymous Class,1.0,1.0,1.0,1.0,20.0,2.0,18.0,0.0,1.0,4.0,4.0,0.0,,0.0,0.0,,,,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,,22,3,19,3,15,0,,,,5,9,4,7,,,,,,1.0,1.0,1.0,1.0,,2.0,0,,0.0,0.0,0.0,1,1,1,1
de.uniluebeck.itm.ncoap.application.client.CoapClientApplication.sendCoapRequest.(Anon_1).run.(Anon_2),Anonymous Class,3.0,3.0,3.0,1.0,11.0,1.0,10.0,0.0,1.0,5.0,5.0,0.0,,0.0,0.0,,,,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,,12,1,11,0,9,0,,,,2,5,1,4,,,,,,3.0,3.0,3.0,1.0,,2.0,2,,0.0,0.0,0.0,3,3,3,1
de.uniluebeck.itm.ncoap.application.client.CoapClientApplication.shutdown.(Anon_5),Anonymous Class,1.0,1.0,1.0,1.0,5.0,0.0,5.0,0.0,1.0,4.0,4.0,0.0,,0.0,0.0,,,,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,,6,0,6,0,5,0,,,,2,3,1,2,,,,,,1.0,1.0,1.0,1.0,,2.0,0,,0.0,0.0,0.0,1,1,1,1
de.uniluebeck.itm.ncoap.application.client.CoapResponseDispatcher,Public Class,2.0,2.0,2.0,1.0,19.0,3.0,13.0,1.0,1.0,25.0,25.0,0.0,,0.0,0.0,,,,12.0,4.0,12.0,12.0,0.0,8.0,0.0,4.0,,290,72,169,44,109,49,,,,67,105,34,84,,,,,,6.0,6.0,6.0,1.0,,2.0,2,,56.0,50.0,0.29,30,30,33,12
de.uniluebeck.itm.ncoap.application.client.CoapResponseDispatcher.sendCoapMessage.(Anon_2),Anonymous Class,4.0,4.0,5.0,1.0,28.0,5.0,23.0,0.0,1.0,10.0,10.0,0.0,,0.0,0.0,,,,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,,29,5,24,5,18,0,,,,8,12,6,10,,,,,,4.0,4.0,5.0,1.0,,2.0,3,,0.0,0.0,0.0,4,4,5,1
de.uniluebeck.itm.ncoap.application.client.CoapResponseDispatcher.writeRequested.(Anon_1),Anonymous Class,4.0,4.0,4.0,1.0,32.0,7.0,21.0,4.0,1.0,10.0,10.0,0.0,,0.0,0.0,,,,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,,33,7,22,6,17,4,,,,10,13,5,11,,,,,,4.0,4.0,4.0,1.0,,2.0,2,,0.0,0.0,0.18,4,4,4,1
de.uniluebeck.itm.ncoap.application.client.Token,Public Class,1.0,1.0,1.0,1.0,7.0,0.0,5.0,0.0,2.0,7.0,7.0,0.0,,1.0,1.0,,,,6.0,1.0,7.0,7.0,0.0,1.0,0.0,6.0,,97,16,45,17,23,36,,,,20,33,14,20,,,,,,4.0,4.0,4.0,4.0,,1.0,1,,57.0,14.0,0.8,12,12,13,10
de.uniluebeck.itm.ncoap.application.client.TokenFactory,Public Class,2.0,2.0,2.0,1.0,21.0,3.0,12.0,6.0,1.0,13.0,13.0,0.0,,0.0,0.0,,,,5.0,3.0,5.0,5.0,0.0,2.0,0.0,3.0,,164,29,65,16,41,70,,,,27,42,17,30,,,,,,5.0,5.0,5.0,5.0,,1.0,2,,53.0,40.0,1.08,12,12,12,9
