Name,Kind,AvgCyclomatic,AvgCyclomaticModified,AvgCyclomaticStrict,AvgEssential,AvgLine,AvgLineBlank,AvgLineCode,AvgLineComment,CountClassBase,CountClassCoupled,CountClassCoupledModified,CountClassDerived,CountDeclClass,CountDeclClassMethod,CountDeclClassVariable,CountDeclExecutableUnit,CountDeclFile,CountDeclFunction,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclMethod,CountDeclMethodAll,CountDeclMethodDefault,CountDeclMethodPrivate,CountDeclMethodProtected,CountDeclMethodPublic,CountInput,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountOutput,CountPath,CountPathLog,CountSemicolon,CountStmt,CountStmtDecl,CountStmtExe,Cyclomatic,CyclomaticModified,CyclomaticStrict,Essential,Knots,MaxCyclomatic,MaxCyclomaticModified,MaxCyclomaticStrict,MaxEssential,MaxEssentialKnots,MaxInheritanceTree,MaxNesting,MinEssentialKnots,PercentLackOfCohesion,PercentLackOfCohesionModified,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumEssential
org.mapfish.print.map.image.wms.WmsLayer,Public Final Class,1.0,1.0,1.0,1.0,18.0,1.0,12.0,4.0,1.0,24.0,24.0,0.0,,0.0,0.0,,,,4.0,1.0,4.0,4.0,0.0,0.0,2.0,2.0,,85,11,52,23,32,22,,,,29,37,18,28,,,,,,3.0,3.0,3.0,1.0,,2.0,2,,0.0,0.0,0.42,6,6,7,4
org.mapfish.print.map.image.wms.WmsLayerParam,Public Final Class,1.0,1.0,2.0,1.0,10.0,1.0,7.0,1.0,1.0,7.0,7.0,0.0,,0.0,0.0,,,,2.0,5.0,2.0,2.0,0.0,0.0,0.0,2.0,,58,8,25,12,11,25,,,,11,15,8,7,,,,,,2.0,2.0,3.0,1.0,,2.0,1,,60.0,50.0,1.0,3,3,4,2
org.mapfish.print.map.tiled.TileLoaderTask,Public Final Class,3.0,3.0,4.0,1.0,34.0,4.0,26.0,3.0,1.0,36.0,36.0,0.0,,0.0,1.0,,,,5.0,8.0,5.0,5.0,0.0,3.0,1.0,1.0,,283,42,210,89,133,31,,,,119,156,80,111,,,,,,9.0,9.0,9.0,3.0,,2.0,5,,57.0,47.0,0.15,18,18,21,7
org.mapfish.print.map.tiled.TileLoaderTask.PlaceHolderImageTask,Private Static Class,1.0,1.0,1.0,1.0,4.0,0.0,4.0,0.0,1.0,3.0,3.0,0.0,,0.0,0.0,,,,2.0,1.0,2.0,5.0,0.0,0.0,1.0,1.0,,14,3,11,5,3,0,,,,4,7,4,3,,,,,,1.0,1.0,1.0,1.0,,3.0,0,,0.0,0.0,0.0,2,2,2,2
org.mapfish.print.map.tiled.TileLoaderTask.SingleTileLoaderTask,Private Static Final Class,2.0,2.0,2.0,2.0,15.0,1.0,14.0,0.0,1.0,10.0,10.0,0.0,,0.0,0.0,,,,2.0,2.0,2.0,5.0,0.0,0.0,1.0,1.0,,37,5,32,10,19,0,,,,15,21,8,15,,,,,,4.0,4.0,4.0,3.0,,3.0,2,,0.0,0.0,0.0,5,5,5,4
org.mapfish.print.map.tiled.TileLoaderTask.Tile,Private Static Final Class,1.0,1.0,1.0,1.0,5.0,0.0,5.0,0.0,1.0,1.0,1.0,0.0,,0.0,0.0,,,,1.0,3.0,1.0,1.0,0.0,1.0,0.0,0.0,,20,1,10,5,3,9,,,,6,8,5,3,,,,,,1.0,1.0,1.0,1.0,,1.0,0,,0.0,0.0,0.9,1,1,1,1
org.mapfish.print.map.tiled.TileLoaderTask.TileTask,Private Static Abstract Class,1.0,1.0,1.0,1.0,3.0,0.0,3.0,0.0,1.0,0.0,0.0,2.0,,0.0,0.0,,,,3.0,2.0,3.0,3.0,0.0,0.0,0.0,3.0,,17,3,14,6,4,0,,,,6,10,6,4,,,,,,1.0,1.0,1.0,1.0,,2.0,0,,33.0,33.0,0.0,3,3,3,3
org.mapfish.print.map.tiled.wms.TiledWmsLayer,Public Final Class,1.0,1.0,1.0,1.0,9.0,0.0,5.0,4.0,1.0,7.0,7.0,0.0,,0.0,0.0,,,,3.0,1.0,3.0,3.0,0.0,0.0,1.0,2.0,,111,15,78,42,28,18,,,,26,40,20,24,,,,,,1.0,1.0,1.0,1.0,,2.0,0,,33.0,33.0,0.23,3,3,3,3
org.mapfish.print.map.tiled.wms.TiledWmsLayer.WmsTileCacheInformation,Private Final Class,1.0,1.0,1.0,1.0,8.0,0.0,8.0,0.0,1.0,23.0,23.0,0.0,,0.0,0.0,,,,7.0,0.0,7.0,7.0,0.0,0.0,2.0,5.0,,71,11,59,31,24,1,,,,21,31,15,20,,,,,,3.0,3.0,3.0,1.0,,2.0,2,,0.0,0.0,0.02,9,9,9,7
org.mapfish.print.map.tiled.wms.TiledWmsLayerParam,Public Final Class,1.0,1.0,1.0,1.0,8.0,1.0,6.0,1.0,1.0,9.0,9.0,0.0,,0.0,0.0,,,,3.0,6.0,3.0,3.0,0.0,0.0,0.0,3.0,,69,11,29,14,12,29,,,,13,18,10,8,,,,,,2.0,2.0,3.0,1.0,,2.0,1,,72.0,66.0,1.0,4,4,5,3
