Name,Kind,AvgCyclomatic,AvgCyclomaticModified,AvgCyclomaticStrict,AvgEssential,AvgLine,AvgLineBlank,AvgLineCode,AvgLineComment,CountClassBase,CountClassCoupled,CountClassCoupledModified,CountClassDerived,CountDeclClass,CountDeclClassMethod,CountDeclClassVariable,CountDeclExecutableUnit,CountDeclFile,CountDeclFunction,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclMethod,CountDeclMethodAll,CountDeclMethodDefault,CountDeclMethodPrivate,CountDeclMethodProtected,CountDeclMethodPublic,CountInput,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountOutput,CountPath,CountPathLog,CountSemicolon,CountStmt,CountStmtDecl,CountStmtExe,Cyclomatic,CyclomaticModified,CyclomaticStrict,Essential,Knots,MaxCyclomatic,MaxCyclomaticModified,MaxCyclomaticStrict,MaxEssential,MaxEssentialKnots,MaxInheritanceTree,MaxNesting,MinEssentialKnots,PercentLackOfCohesion,PercentLackOfCohesionModified,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumEssential
cz.cuni.mff.d3s.deeco.annotations.processor.AnnotationProcessor,Public Class,4.0,4.0,5.0,1.0,29.0,1.0,20.0,7.0,1.0,91.0,91.0,0.0,,0.0,3.0,,,,36.0,5.0,36.0,36.0,23.0,9.0,0.0,4.0,,1191.0,114.0,766.0,178.0,543.0,311.0,,,,353.0,546.0,183.0,462.0,,,,,,16.0,16.0,20.0,5.0,,1.0,5.0,,83.0,76.0,0.41,179,174,212,64
cz.cuni.mff.d3s.deeco.annotations.processor.AnnotationProcessor.(Anon_1),Anonymous Class,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.0,5.0,0.0,,0.0,1.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,8.0,0.0,8.0,0.0,6.0,0.0,,,,5.0,5.0,1.0,4.0,,,,,,0.0,0.0,0.0,0.0,,2.0,0.0,,0.0,0.0,0.0,0,0,0,0
cz.cuni.mff.d3s.deeco.annotations.processor.AnnotationProcessorTest,Public Class,1.0,1.0,1.0,1.0,15.0,1.0,12.0,0.0,1.0,77.0,77.0,0.0,,0.0,0.0,,,,53.0,4.0,53.0,53.0,0.0,3.0,0.0,50.0,,904.0,155.0,682.0,292.0,516.0,67.0,,,,473.0,530.0,239.0,463.0,,,,,,2.0,2.0,2.0,1.0,,1.0,1.0,,33.0,33.0,0.1,56,56,56,54
cz.cuni.mff.d3s.deeco.runtime.DEECo,Public Class,1.0,1.0,1.0,1.0,9.0,1.0,8.0,0.0,2.0,33.0,33.0,0.0,,0.0,0.0,,,,13.0,7.0,13.0,13.0,2.0,1.0,0.0,10.0,,200.0,39.0,134.0,48.0,67.0,27.0,,,,62.0,97.0,44.0,64.0,,,,,,5.0,5.0,5.0,1.0,,1.0,3.0,,75.0,75.0,0.2,24,24,24,13
cz.cuni.mff.d3s.deeco.runtime.DEECo.DependencyNode,Class,1.0,1.0,1.0,1.0,3.0,0.0,3.0,0.0,1.0,3.0,3.0,0.0,,0.0,0.0,,,,2.0,3.0,2.0,2.0,2.0,0.0,0.0,0.0,,14.0,2.0,12.0,6.0,4.0,0.0,,,,6.0,9.0,6.0,4.0,,,,,,1.0,1.0,1.0,1.0,,1.0,0.0,,50.0,50.0,0.0,2,2,2,2
cz.cuni.mff.d3s.deeco.runtime.DEECo.DependencyNodeComparator,Class,1.0,1.0,1.0,1.0,4.0,0.0,4.0,0.0,2.0,2.0,2.0,0.0,,0.0,0.0,,,,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,,7.0,0.0,7.0,3.0,1.0,0.0,,,,1.0,3.0,2.0,1.0,,,,,,1.0,1.0,1.0,1.0,,1.0,0.0,,0.0,0.0,0.0,1,1,1,1
cz.cuni.mff.d3s.deeco.runtime.DEECoTest,Public Class,1.0,1.0,1.0,1.0,20.0,2.0,12.0,4.0,1.0,24.0,24.0,0.0,,0.0,0.0,,,,19.0,0.0,19.0,19.0,0.0,1.0,0.0,18.0,,427.0,73.0,255.0,115.0,166.0,99.0,,,,175.0,197.0,98.0,166.0,,,,,,2.0,2.0,2.0,1.0,,1.0,1.0,,0.0,0.0,0.39,20,20,20,19
cz.cuni.mff.d3s.deeco.runtime.InvalidOperationException,Public Class,1.0,1.0,1.0,1.0,3.0,0.0,3.0,0.0,1.0,1.0,1.0,0.0,,0.0,1.0,,,,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,,16.0,2.0,6.0,3.0,2.0,8.0,,,,2.0,4.0,3.0,1.0,,,,,,1.0,1.0,1.0,1.0,,2.0,0.0,,0.0,0.0,1.33,1,1,1,1
cz.cuni.mff.d3s.deeco.security.runtime.SecurityRuntimeModel,Public Class,1.0,1.0,1.0,1.0,13.0,2.0,11.0,0.0,1.0,31.0,31.0,0.0,,0.0,0.0,,,,4.0,15.0,4.0,4.0,0.0,0.0,0.0,4.0,,209.0,45.0,157.0,85.0,54.0,7.0,,,,77.0,104.0,58.0,50.0,,,,,,2.0,2.0,2.0,1.0,,1.0,1.0,,58.0,50.0,0.04,8,8,11,6
cz.cuni.mff.d3s.deeco.security.runtime.SecurityRuntimeModel.AllEnsemble,Public Static Class,1.0,1.0,1.0,1.0,4.0,0.0,4.0,0.0,1.0,9.0,9.0,0.0,,2.0,1.0,,,,0.0,0.0,2.0,2.0,0.0,0.0,0.0,2.0,,17.0,3.0,14.0,9.0,2.0,0.0,,,,3.0,6.0,4.0,2.0,,,,,,1.0,1.0,1.0,1.0,,1.0,0.0,,50.0,50.0,0.0,2,2,2,2
