Name,Kind,AvgCyclomatic,AvgCyclomaticModified,AvgCyclomaticStrict,AvgEssential,AvgLine,AvgLineBlank,AvgLineCode,AvgLineComment,CountClassBase,CountClassCoupled,CountClassCoupledModified,CountClassDerived,CountDeclClass,CountDeclClassMethod,CountDeclClassVariable,CountDeclExecutableUnit,CountDeclFile,CountDeclFunction,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclMethod,CountDeclMethodAll,CountDeclMethodDefault,CountDeclMethodPrivate,CountDeclMethodProtected,CountDeclMethodPublic,CountInput,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountOutput,CountPath,CountPathLog,CountSemicolon,CountStmt,CountStmtDecl,CountStmtExe,Cyclomatic,CyclomaticModified,CyclomaticStrict,Essential,Knots,MaxCyclomatic,MaxCyclomaticModified,MaxCyclomaticStrict,MaxEssential,MaxEssentialKnots,MaxInheritanceTree,MaxNesting,MinEssentialKnots,PercentLackOfCohesion,PercentLackOfCohesionModified,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumEssential
com.google.inject.multibindings.OptionalBinder,Public Abstract Generic Class,1.0,1.0,1.0,1.0,4.0,0.0,4.0,0.0,1.0,12.0,12.0,1.0,,7.0,0.0,,,,3.0,0.0,10.0,10.0,4.0,1.0,0.0,5.0,,472.0,58.0,278.0,96.0,134.0,137.0,,,,109.0,171.0,82.0,95.0,,,,,,1.0,1.0,1.0,1.0,,1.0,0.0,,0.0,0.0,0.49,8,8,8,8
com.google.inject.multibindings.OptionalBinder.RealOptionalBinder.RealOptionalBinderProviderWithDependencies,Private Static Abstract Generic Class,1.0,1.0,1.0,1.0,4.0,0.0,4.0,0.0,2.0,1.0,1.0,3.0,,0.0,0.0,,,,3.0,1.0,3.0,3.0,0.0,0.0,0.0,3.0,,22.0,3.0,16.0,8.0,4.0,3.0,,,,4.0,8.0,5.0,3.0,,,,,,1.0,1.0,2.0,1.0,,1.0,0.0,,0.0,0.0,0.19,3,3,4,3
com.google.inject.multibindings.OptionalBinder.RealOptionalBinder.RealOptionalKeyProvider,Private Class,1.0,1.0,2.0,1.0,7.0,0.0,7.0,0.0,2.0,12.0,12.0,0.0,,0.0,0.0,,,,8.0,0.0,8.0,11.0,1.0,0.0,0.0,7.0,,72.0,8.0,64.0,17.0,34.0,1.0,,,,17.0,32.0,11.0,22.0,,,,,,3.0,3.0,8.0,3.0,,2.0,1.0,,0.0,0.0,0.02,14,14,19,10
com.google.inject.multibindings.OptionalBinder.RealOptionalBinder.addDirectTypeBinding.(Anon_1),Anonymous Class,1.0,1.0,1.0,1.0,6.0,0.0,5.0,1.0,1.0,3.0,3.0,0.0,,0.0,0.0,,,,2.0,0.0,2.0,5.0,0.0,0.0,0.0,2.0,,15.0,1.0,11.0,1.0,8.0,3.0,,,,4.0,7.0,3.0,5.0,,,,,,2.0,2.0,2.0,1.0,,2.0,1.0,,0.0,0.0,0.27,3,3,3,2
com.google.inject.multibindings.OptionalBinder.RealOptionalBinder.configure.(Anon_2),Anonymous Class,2.0,2.0,2.0,1.0,11.0,0.0,9.0,1.0,1.0,9.0,9.0,0.0,,0.0,0.0,,,,3.0,1.0,3.0,6.0,1.0,0.0,0.0,2.0,,38.0,4.0,30.0,1.0,25.0,4.0,,,,15.0,21.0,5.0,16.0,,,,,,4.0,4.0,4.0,1.0,,2.0,1.0,,33.0,33.0,0.13,6,6,6,3
com.google.inject.multibindings.OptionalBinderTest,Public Class,1.0,1.0,1.0,1.0,23.0,2.0,20.0,0.0,1.0,42.0,42.0,0.0,,0.0,0.0,,,,34.0,9.0,34.0,34.0,0.0,2.0,0.0,32.0,,930.0,133.0,756.0,270.0,549.0,49.0,,,,402.0,501.0,240.0,406.0,,,,,,4.0,4.0,4.0,1.0,,2.0,2.0,,81.0,81.0,0.06,44,44,44,34
com.google.inject.multibindings.OptionalBinderTest.(Anon_1),Anonymous Class,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,,,,,,0.0,0.0,0.0,0.0,,2.0,0.0,,0.0,0.0,0.0,0,0,0,0
com.google.inject.multibindings.OptionalBinderTest.(Anon_2),Anonymous Class,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,,,,,,0.0,0.0,0.0,0.0,,2.0,0.0,,0.0,0.0,0.0,0,0,0,0
com.google.inject.multibindings.OptionalBinderTest.(Anon_3),Anonymous Class,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,,,,,,0.0,0.0,0.0,0.0,,2.0,0.0,,0.0,0.0,0.0,0,0,0,0
com.google.inject.multibindings.OptionalBinderTest.(Anon_4),Anonymous Class,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,,,,,,0.0,0.0,0.0,0.0,,2.0,0.0,,0.0,0.0,0.0,0,0,0,0
