Name,Kind,AvgCyclomatic,AvgCyclomaticModified,AvgCyclomaticStrict,AvgEssential,AvgLine,AvgLineBlank,AvgLineCode,AvgLineComment,CountClassBase,CountClassCoupled,CountClassCoupledModified,CountClassDerived,CountDeclClass,CountDeclClassMethod,CountDeclClassVariable,CountDeclExecutableUnit,CountDeclFile,CountDeclFunction,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclMethod,CountDeclMethodAll,CountDeclMethodDefault,CountDeclMethodPrivate,CountDeclMethodProtected,CountDeclMethodPublic,CountInput,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountOutput,CountPath,CountPathLog,CountSemicolon,CountStmt,CountStmtDecl,CountStmtExe,Cyclomatic,CyclomaticModified,CyclomaticStrict,Essential,Knots,MaxCyclomatic,MaxCyclomaticModified,MaxCyclomaticStrict,MaxEssential,MaxEssentialKnots,MaxInheritanceTree,MaxNesting,MinEssentialKnots,PercentLackOfCohesion,PercentLackOfCohesionModified,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumEssential
ivory.regression.Clue_SIGIR2011,Public Class,1.0,1.0,1.0,1.0,21.0,7.0,14.0,0.0,1.0,16.0,16.0,0.0,,1.0,5.0,,,,1.0,0.0,2.0,2.0,0.0,0.0,0.0,2.0,,77.0,22.0,55.0,23.0,47.0,0.0,,,,24.0,29.0,18.0,20.0,,,,,,2.0,2.0,2.0,1.0,,1.0,1.0,,50.0,50.0,0.0,3,3,3,2
ivory.regression.Gov2_SIGIR2011,Public Class,1.0,1.0,1.0,1.0,21.0,7.0,14.0,0.0,1.0,16.0,16.0,0.0,,1.0,5.0,,,,1.0,0.0,2.0,2.0,0.0,0.0,0.0,2.0,,120.0,25.0,95.0,23.0,87.0,0.0,,,,24.0,29.0,18.0,20.0,,,,,,2.0,2.0,2.0,1.0,,1.0,1.0,,50.0,50.0,0.0,3,3,3,2
ivory.regression.Wt10g_SIGIR2011,Public Class,1.0,1.0,1.0,1.0,21.0,7.0,14.0,0.0,1.0,16.0,16.0,0.0,,1.0,5.0,,,,1.0,0.0,2.0,2.0,0.0,0.0,0.0,2.0,,100.0,25.0,75.0,23.0,67.0,0.0,,,,24.0,29.0,18.0,20.0,,,,,,2.0,2.0,2.0,1.0,,1.0,1.0,,50.0,50.0,0.0,3,3,3,2
ivory.smrf.model.MarkovRandomField,Public Class,1.0,1.0,1.0,1.0,9.0,0.0,5.0,3.0,1.0,10.0,10.0,0.0,,0.0,0.0,,,,10.0,4.0,10.0,10.0,0.0,0.0,0.0,10.0,,115.0,13.0,62.0,21.0,29.0,40.0,,,,27.0,48.0,25.0,29.0,,,,,,4.0,4.0,4.0,1.0,,1.0,3.0,,67.0,65.0,0.65,17,17,17,10
ivory.smrf.model.builder.FeatureBasedMRFBuilder,Public Class,5.0,5.0,5.0,1.0,41.0,9.0,24.0,9.0,1.0,15.0,15.0,1.0,,0.0,0.0,,,,2.0,2.0,2.0,5.0,0.0,0.0,0.0,2.0,,93.0,21.0,52.0,20.0,38.0,23.0,,,,31.0,44.0,21.0,34.0,,,,,,9.0,9.0,9.0,1.0,,2.0,4.0,,0.0,0.0,0.44,10,10,10,2
ivory.smrf.model.builder.FeatureBasedMRFBuilder_new,Public Class,16.0,16.0,19.0,3.0,108.0,24.0,74.0,11.0,1.0,21.0,21.0,0.0,,0.0,0.0,,,,3.0,3.0,3.0,8.0,0.0,0.0,0.0,3.0,,340.0,80.0,229.0,59.0,169.0,37.0,,,,142.0,195.0,74.0,152.0,,,,,,27.0,27.0,36.0,7.0,,3.0,6.0,,55.0,44.0,0.16,48,48,59,9
ivory.smrf.model.builder.MRFBuilder,Public Abstract Class,2.0,2.0,2.0,1.0,14.0,2.0,11.0,1.0,1.0,10.0,10.0,1.0,,1.0,0.0,,,,2.0,1.0,3.0,3.0,0.0,0.0,0.0,3.0,,38.0,7.0,26.0,8.0,16.0,5.0,,,,12.0,18.0,7.0,12.0,,,,,,4.0,4.0,4.0,1.0,,1.0,2.0,,50.0,50.0,0.19,5,5,5,2
ivory.smrf.model.potential.QueryPotential,Public Class,2.0,2.0,3.0,1.0,14.0,1.0,11.0,1.0,1.0,12.0,12.0,1.0,,0.0,1.0,,,,11.0,10.0,11.0,11.0,0.0,0.0,0.0,11.0,,192.0,35.0,138.0,43.0,88.0,23.0,,,,70.0,102.0,35.0,78.0,,,,,,9.0,9.0,10.0,4.0,,2.0,2.0,,66.0,66.0,0.17,29,29,33,14
ivory.smrf.model.score.BM25ScoringFunction,Public Class,1.0,1.0,1.0,1.0,6.0,0.0,6.0,0.0,1.0,3.0,3.0,1.0,,0.0,0.0,,,,6.0,6.0,6.0,6.0,0.0,0.0,0.0,6.0,,60.0,8.0,44.0,19.0,20.0,8.0,,,,19.0,29.0,13.0,16.0,,,,,,4.0,4.0,4.0,1.0,,2.0,1.0,,63.0,63.0,0.18,9,9,9,6
ivory.smrf.model.score.DirichletScoringFunction,Public Class,1.0,1.0,1.0,1.0,4.0,0.0,4.0,0.0,1.0,3.0,3.0,1.0,,0.0,0.0,,,,6.0,3.0,6.0,6.0,0.0,0.0,0.0,6.0,,43.0,6.0,30.0,16.0,9.0,10.0,,,,10.0,17.0,10.0,7.0,,,,,,2.0,2.0,2.0,1.0,,2.0,0.0,,61.0,61.0,0.33,8,8,8,6
ivory.smrf.retrieval.BatchQueryRunner,Public Class,2.0,2.0,3.0,1.0,16.0,2.0,12.0,1.0,1.0,29.0,29.0,1.0,,0.0,1.0,,,,20.0,12.0,20.0,20.0,0.0,9.0,1.0,10.0,,362.0,66.0,268.0,86.0,188.0,28.0,,,,145.0,208.0,93.0,163.0,,,,,,8.0,8.0,8.0,3.0,,1.0,4.0,,84.0,75.0,0.1,59,59,62,22
ivory.smrf.retrieval.CascadeEval,Public Class,10.0,10.0,11.0,4.0,86.0,21.0,54.0,13.0,1.0,22.0,22.0,0.0,,0.0,3.0,,,,11.0,28.0,11.0,11.0,0.0,1.0,0.0,10.0,,1061.0,273.0,634.0,156.0,474.0,184.0,,,,413.0,532.0,184.0,380.0,,,,,,58.0,58.0,67.0,28.0,,1.0,12.0,,80.0,75.0,0.29,115,115,126,48
ivory.util.RetrievalEnvironment,Public Class,1.0,1.0,1.0,1.0,7.0,0.0,5.0,1.0,1.0,37.0,37.0,0.0,,5.0,2.0,,,,67.0,16.0,72.0,72.0,0.0,1.0,1.0,70.0,,642.0,110.0,398.0,127.0,250.0,146.0,,,,220.0,330.0,129.0,230.0,,,,,,8.0,8.0,8.0,5.0,,1.0,4.0,,91.0,88.0,0.37,112,112,112,84
