Name,Kind,AvgCyclomatic,AvgCyclomaticModified,AvgCyclomaticStrict,AvgEssential,AvgLine,AvgLineBlank,AvgLineCode,AvgLineComment,CountClassBase,CountClassCoupled,CountClassCoupledModified,CountClassDerived,CountDeclClass,CountDeclClassMethod,CountDeclClassVariable,CountDeclExecutableUnit,CountDeclFile,CountDeclFunction,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclMethod,CountDeclMethodAll,CountDeclMethodDefault,CountDeclMethodPrivate,CountDeclMethodProtected,CountDeclMethodPublic,CountInput,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountOutput,CountPath,CountPathLog,CountSemicolon,CountStmt,CountStmtDecl,CountStmtExe,Cyclomatic,CyclomaticModified,CyclomaticStrict,Essential,Knots,MaxCyclomatic,MaxCyclomaticModified,MaxCyclomaticStrict,MaxEssential,MaxEssentialKnots,MaxInheritanceTree,MaxNesting,MinEssentialKnots,PercentLackOfCohesion,PercentLackOfCohesionModified,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumEssential
algvis.aatree.AA,Public Class,1.0,1.0,1.0,1.0,5.0,0.0,5.0,0.0,1.0,10.0,10.0,0.0,,0.0,1.0,,,,10.0,1.0,10.0,25.0,0.0,0.0,0.0,10.0,,69.0,10.0,59.0,18.0,29.0,0.0,,,,25.0,40.0,14.0,26.0,,,,,,3.0,3.0,4.0,1.0,,3.0,1.0,,90.0,90.0,0.0,14,14,17,10
algvis.aatree.AADelete,Public Class,17.0,17.0,22.0,4.0,111.0,5.0,104.0,5.0,1.0,6.0,6.0,0.0,,0.0,0.0,,,,2.0,3.0,2.0,13.0,0.0,0.0,0.0,2.0,,229.0,12.0,214.0,16.0,178.0,11.0,,,,137.0,169.0,14.0,157.0,,,,,,33.0,33.0,43.0,8.0,,3.0,6.0,,0.0,0.0,0.05,34,34,44,9
algvis.aatree.AAInsert,Public Class,5.0,5.0,7.0,4.0,48.0,1.0,45.0,1.0,1.0,6.0,6.0,0.0,,0.0,0.0,,,,2.0,3.0,2.0,13.0,0.0,0.0,0.0,2.0,,103.0,5.0,95.0,9.0,77.0,3.0,,,,66.0,78.0,8.0,70.0,,,,,,10.0,10.0,13.0,7.0,,3.0,4.0,,0.0,0.0,0.03,11,11,14,8
algvis.aatree.AANode,Public Class,1.0,1.0,2.0,1.0,6.0,0.0,6.0,0.0,1.0,5.0,5.0,0.0,,0.0,0.0,,,,6.0,0.0,6.0,67.0,0.0,0.0,0.0,6.0,,47.0,5.0,42.0,9.0,23.0,0.0,,,,18.0,30.0,8.0,23.0,,,,,,4.0,4.0,5.0,1.0,,3.0,1.0,,0.0,0.0,0.0,11,11,13,6
algvis.avltree.AVL,Public Class,1.0,1.0,1.0,1.0,3.0,0.0,3.0,0.0,1.0,6.0,6.0,0.0,,0.0,1.0,,,,5.0,0.0,5.0,20.0,0.0,0.0,0.0,5.0,,26.0,5.0,21.0,10.0,6.0,0.0,,,,6.0,12.0,7.0,5.0,,,,,,1.0,1.0,1.0,1.0,,3.0,0.0,,100.0,100.0,0.0,5,5,5,5
algvis.avltree.AVLDelete,Public Class,13.0,13.0,13.0,4.0,97.0,3.0,93.0,6.0,1.0,6.0,6.0,0.0,,0.0,0.0,,,,2.0,3.0,2.0,13.0,0.0,0.0,0.0,2.0,,201.0,9.0,191.0,11.0,162.0,13.0,,,,129.0,155.0,10.0,145.0,,,,,,25.0,25.0,26.0,8.0,,3.0,4.0,,0.0,0.0,0.07,26,26,27,9
algvis.avltree.AVLInsert,Public Class,6.0,6.0,6.0,4.0,61.0,1.0,59.0,2.0,1.0,6.0,6.0,0.0,,0.0,0.0,,,,2.0,3.0,2.0,13.0,0.0,0.0,0.0,2.0,,129.0,5.0,123.0,8.0,104.0,5.0,,,,90.0,104.0,7.0,97.0,,,,,,12.0,12.0,12.0,7.0,,3.0,4.0,,0.0,0.0,0.04,13,13,13,8
algvis.avltree.AVLNode,Public Class,2.0,1.0,2.0,1.0,8.0,0.0,8.0,0.0,1.0,7.0,7.0,0.0,,0.0,0.0,,,,9.0,1.0,9.0,70.0,0.0,0.0,0.0,9.0,,92.0,11.0,81.0,17.0,54.0,0.0,,,,41.0,56.0,14.0,42.0,,,,,,9.0,5.0,11.0,1.0,,3.0,2.0,,55.0,44.0,0.0,20,16,22,9
algvis.binomialheap.BinHeapDecrKey,Public Class,3.0,3.0,4.0,1.0,19.0,0.0,18.0,0.0,1.0,6.0,6.0,0.0,,0.0,0.0,,,,2.0,3.0,2.0,13.0,0.0,0.0,0.0,2.0,,45.0,2.0,42.0,8.0,29.0,1.0,,,,28.0,36.0,7.0,29.0,,,,,,6.0,6.0,7.0,1.0,,3.0,2.0,,0.0,0.0,0.02,7,7,8,2
algvis.binomialheap.BinHeapInsert,Public Class,2.0,2.0,2.0,1.0,11.0,0.0,10.0,0.0,1.0,4.0,4.0,0.0,,0.0,0.0,,,,2.0,1.0,2.0,2.0,0.0,0.0,0.0,2.0,,28.0,3.0,24.0,5.0,14.0,1.0,,,,13.0,18.0,4.0,14.0,,,,,,2.0,2.0,2.0,1.0,,2.0,1.0,,0.0,0.0,0.04,4,4,4,2
