Name,Kind,AvgCyclomatic,AvgCyclomaticModified,AvgCyclomaticStrict,AvgEssential,AvgLine,AvgLineBlank,AvgLineCode,AvgLineComment,CountClassBase,CountClassCoupled,CountClassCoupledModified,CountClassDerived,CountDeclClass,CountDeclClassMethod,CountDeclClassVariable,CountDeclExecutableUnit,CountDeclFile,CountDeclFunction,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclMethod,CountDeclMethodAll,CountDeclMethodDefault,CountDeclMethodPrivate,CountDeclMethodProtected,CountDeclMethodPublic,CountInput,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountOutput,CountPath,CountPathLog,CountSemicolon,CountStmt,CountStmtDecl,CountStmtExe,Cyclomatic,CyclomaticModified,CyclomaticStrict,Essential,Knots,MaxCyclomatic,MaxCyclomaticModified,MaxCyclomaticStrict,MaxEssential,MaxEssentialKnots,MaxInheritanceTree,MaxNesting,MinEssentialKnots,PercentLackOfCohesion,PercentLackOfCohesionModified,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumEssential
io.vertx.core.http.impl.ConnectionManager,Public Class,1.0,1.0,1.0,1.0,7.0,0.0,7.0,0.0,1.0,15.0,15.0,0.0,,0.0,1.0,,,,5.0,13.0,5.0,5.0,2.0,0.0,0.0,3.0,,504,50,394,114,234,62,,,,184,274,100,202,,,,,,2.0,2.0,3.0,1.0,,1.0,1,,70.0,70.0,0.16,7,7,8,5
io.vertx.core.http.impl.ConnectionManager.ChannelConnector,Private Class,3.0,3.0,3.0,1.0,40.0,1.0,37.0,1.0,1.0,28.0,28.0,0.0,,0.0,0.0,,,,4.0,0.0,4.0,4.0,3.0,0.0,1.0,0.0,,177,11,152,37,98,14,,,,59,92,25,79,,,,,,5.0,5.0,5.0,1.0,,1.0,5,,0.0,0.0,0.09,24,24,25,6
io.vertx.core.http.impl.ConnectionManager.ChannelConnector.connect.(lambda_expr_1).(Anon_1),Anonymous Class,3.0,3.0,3.0,1.0,11.0,0.0,11.0,0.0,1.0,7.0,7.0,0.0,,0.0,0.0,,,,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,,12,0,12,2,10,0,,,,4,6,2,5,,,,,,3.0,3.0,3.0,1.0,,2.0,1,,0.0,0.0,0.0,3,3,3,1
io.vertx.core.http.impl.ConnectionManager.ChannelConnector.connect.(lambda_expr_1).(Anon_2),Anonymous Class,1.0,1.0,1.0,1.0,4.0,0.0,4.0,0.0,1.0,6.0,6.0,0.0,,0.0,0.0,,,,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,,5,0,5,1,4,0,,,,1,2,1,1,,,,,,1.0,1.0,1.0,1.0,,2.0,0,,0.0,0.0,0.0,1,1,1,1
io.vertx.core.http.impl.ConnectionManager.ChannelConnector.connect.(lambda_expr_1).UpgradeRequestHandler,Class,2.0,2.0,2.0,1.0,11.0,0.0,10.0,1.0,1.0,10.0,10.0,0.0,,0.0,0.0,,,,2.0,0.0,2.0,2.0,0.0,0.0,0.0,2.0,,24,0,22,8,12,2,,,,10,15,5,12,,,,,,3.0,3.0,3.0,1.0,,2.0,1,,0.0,0.0,0.09,4,4,4,2
io.vertx.core.http.impl.ConnectionManager.ConnQueue,Public Class,2.0,2.0,3.0,1.0,12.0,0.0,11.0,1.0,1.0,24.0,24.0,0.0,,0.0,0.0,,,,12.0,7.0,12.0,12.0,4.0,6.0,0.0,2.0,,188,14,144,31,90,30,,,,64,98,29,75,,,,,,7.0,7.0,9.0,4.0,,1.0,4,,73.0,65.0,0.21,37,37,42,19
io.vertx.core.http.impl.ConnectionManager.QueueManager,Private Class,2.0,2.0,2.0,1.0,6.0,0.0,6.0,0.0,1.0,6.0,6.0,0.0,,0.0,0.0,,,,2.0,2.0,2.0,2.0,1.0,0.0,0.0,1.0,,25,3,16,5,8,6,,,,6,13,7,8,,,,,,3.0,3.0,3.0,1.0,,1.0,1,,25.0,25.0,0.38,5,5,5,3
io.vertx.core.http.impl.ConnectionManager.TargetAddress,Static Class,3.0,3.0,3.0,2.0,6.0,0.0,6.0,0.0,1.0,2.0,2.0,0.0,,0.0,0.0,,,,3.0,2.0,3.0,3.0,1.0,0.0,0.0,2.0,,26,3,23,10,11,0,,,,13,21,8,14,,,,,,6.0,6.0,7.0,5.0,,1.0,1,,0.0,0.0,0.0,9,9,10,7
io.vertx.core.http.impl.Http2Pool,Class,1.0,1.0,1.0,1.0,9.0,0.0,9.0,0.0,2.0,21.0,21.0,0.0,,0.0,0.0,,,,11.0,9.0,11.0,11.0,3.0,1.0,0.0,7.0,,131,12,112,37,58,8,,,,49,74,29,50,,,,,,4.0,4.0,4.0,3.0,,1.0,2,,73.0,69.0,0.07,19,19,21,14
io.vertx.test.core.Http2ClientTest,Public Class,1.0,1.0,1.0,1.0,25.0,0.0,25.0,0.0,1.0,51.0,51.0,0.0,,0.0,0.0,,,,63.0,1.0,63.0,63.0,0.0,9.0,1.0,53.0,,1711,77,1592,311,1342,43,,,,990,1115,248,1023,,,,,,4.0,4.0,4.0,1.0,,2.0,3,,95.0,85.0,0.03,224,222,224,204
io.vertx.test.core.Http2ClientTest.createH2CServer.(Anon_4),Anonymous Class,2.0,2.0,2.0,1.0,18.0,0.0,18.0,0.0,1.0,11.0,11.0,0.0,,0.0,0.0,,,,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,,19,0,19,4,15,0,,,,8,11,4,9,,,,,,2.0,2.0,2.0,1.0,,2.0,2,,0.0,0.0,0.0,4,4,4,2
io.vertx.test.core.Http2ClientTest.createH2Server.(Anon_2),Anonymous Class,1.0,1.0,1.0,1.0,19.0,0.0,19.0,0.0,1.0,8.0,8.0,0.0,,0.0,0.0,,,,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,,20,0,20,4,17,0,,,,10,13,6,11,,,,,,1.0,1.0,1.0,1.0,,2.0,0,,0.0,0.0,0.0,1,1,1,1
io.vertx.test.core.Http2ClientTest.createH2Server.(Anon_2).initChannel.(Anon_3),Anonymous Class,2.0,2.0,2.0,1.0,11.0,0.0,11.0,0.0,1.0,8.0,8.0,0.0,,0.0,0.0,,,,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,,12,0,12,2,10,0,,,,6,8,3,7,,,,,,2.0,2.0,2.0,1.0,,2.0,1,,0.0,0.0,0.0,2,2,2,1
io.vertx.test.core.Http2ClientTest.createHttpConnectionHandler.Builder,Class,1.0,1.0,1.0,1.0,4.0,0.0,4.0,0.0,1.0,6.0,6.0,0.0,,0.0,0.0,,,,2.0,0.0,2.0,2.0,0.0,0.0,1.0,1.0,,10,0,10,5,2,0,,,,2,5,3,2,,,,,,1.0,1.0,1.0,1.0,,2.0,0,,0.0,0.0,0.0,2,2,2,2
io.vertx.test.core.Http2ClientTest.createHttpConnectionHandler.Handler,Class,1.0,1.0,1.0,1.0,4.0,0.0,4.0,0.0,1.0,4.0,4.0,0.0,,0.0,0.0,,,,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,,6,0,6,2,2,0,,,,2,4,2,2,,,,,,1.0,1.0,1.0,1.0,,2.0,0,,0.0,0.0,0.0,1,1,1,1
