Name,Kind,AvgCyclomatic,AvgCyclomaticModified,AvgCyclomaticStrict,AvgEssential,AvgLine,AvgLineBlank,AvgLineCode,AvgLineComment,CountClassBase,CountClassCoupled,CountClassCoupledModified,CountClassDerived,CountDeclClass,CountDeclClassMethod,CountDeclClassVariable,CountDeclExecutableUnit,CountDeclFile,CountDeclFunction,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclMethod,CountDeclMethodAll,CountDeclMethodDefault,CountDeclMethodPrivate,CountDeclMethodProtected,CountDeclMethodPublic,CountInput,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountOutput,CountPath,CountPathLog,CountSemicolon,CountStmt,CountStmtDecl,CountStmtExe,Cyclomatic,CyclomaticModified,CyclomaticStrict,Essential,Knots,MaxCyclomatic,MaxCyclomaticModified,MaxCyclomaticStrict,MaxEssential,MaxEssentialKnots,MaxInheritanceTree,MaxNesting,MinEssentialKnots,PercentLackOfCohesion,PercentLackOfCohesionModified,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumEssential
com.jetbrains.plugin.structure.classes.resolvers.CacheResolver,Public Class,1.0,1.0,1.0,1.0,4.0,0.0,4.0,0.0,1.0,10.0,10.0,0.0,,0.0,0.0,,,,10.0,2.0,10.0,22.0,0.0,0.0,0.0,10.0,,66,11,52,26,16,3,,,,17,29,15,16,,,,,,3.0,3.0,3.0,1.0,,2.0,1,,44.0,35.0,0.06,12,12,12,10
com.jetbrains.plugin.structure.classes.resolvers.CompileOutputResolver,Public Class,1.0,1.0,1.0,1.0,6.0,0.0,6.0,0.0,1.0,19.0,19.0,0.0,,0.0,0.0,,,,10.0,3.0,10.0,22.0,0.0,1.0,0.0,9.0,,82,11,67,32,26,4,,,,24,41,21,26,,,,,,3.0,3.0,3.0,1.0,,2.0,2,,70.0,66.0,0.06,16,16,16,10
com.jetbrains.plugin.structure.classes.resolvers.ContainerResolver,Public Final Class,2.0,2.0,2.0,2.0,9.0,0.0,9.0,0.0,1.0,13.0,13.0,0.0,,1.0,0.0,,,,9.0,2.0,10.0,22.0,0.0,1.0,0.0,9.0,,116,11,102,33,48,3,,,,30,65,27,43,,,,,,5.0,5.0,5.0,3.0,,2.0,2,,50.0,40.0,0.03,26,26,26,20
com.jetbrains.plugin.structure.classes.resolvers.ContainerResolver.getAllClasses.(Anon_1),Anonymous Class,1.0,1.0,1.0,1.0,4.0,0.0,4.0,0.0,1.0,3.0,3.0,0.0,,0.0,0.0,,,,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,,5,0,5,1,4,0,,,,1,2,1,1,,,,,,1.0,1.0,1.0,1.0,,2.0,0,,0.0,0.0,0.0,1,1,1,1
com.jetbrains.plugin.structure.classes.resolvers.EmptyResolver,Public Class,1.0,1.0,1.0,1.0,4.0,0.0,4.0,0.0,1.0,9.0,9.0,0.0,,0.0,1.0,,,,8.0,0.0,8.0,20.0,0.0,0.0,0.0,8.0,,51,9,38,22,8,4,,,,8,17,10,8,,,,,,1.0,1.0,1.0,1.0,,2.0,0,,0.0,0.0,0.11,8,8,8,8
com.jetbrains.plugin.structure.classes.resolvers.FilesResolver,Public Final Class,1.0,1.0,1.0,1.0,5.0,0.0,5.0,0.0,1.0,15.0,15.0,0.0,,0.0,0.0,,,,9.0,3.0,9.0,21.0,0.0,0.0,0.0,9.0,,68,11,54,27,17,3,,,,16,30,16,17,,,,,,3.0,3.0,3.0,1.0,,2.0,2,,62.0,62.0,0.06,13,13,13,9
com.jetbrains.plugin.structure.classes.resolvers.JarFileResolver,Public Final Class,1.0,1.0,1.0,1.0,6.0,0.0,6.0,0.0,1.0,19.0,19.0,0.0,,0.0,1.0,,,,11.0,3.0,11.0,23.0,0.0,2.0,0.0,9.0,,91,15,73,34,29,3,,,,28,44,22,26,,,,,,3.0,3.0,3.0,1.0,,2.0,2,,63.0,57.0,0.04,16,16,16,11
com.jetbrains.plugin.structure.classes.resolvers.Resolver,Public Abstract Class,1.0,1.0,1.0,1.0,11.0,0.0,4.0,7.0,2.0,16.0,16.0,7.0,,6.0,0.0,,,,6.0,0.0,12.0,12.0,0.0,0.0,0.0,12.0,,140,13,37,24,7,90,,,,13,20,14,7,,,,,,2.0,2.0,2.0,1.0,,1.0,0,,0.0,0.0,2.43,7,7,7,6
com.jetbrains.plugin.structure.classes.utils.JarsUtils,Public Class,3.0,3.0,3.0,1.0,12.0,0.0,11.0,0.0,1.0,17.0,17.0,0.0,,3.0,1.0,,,,0.0,0.0,3.0,3.0,0.0,1.0,0.0,2.0,,45,7,38,8,22,0,,,,12,24,9,17,,,,,,4.0,4.0,4.0,1.0,,1.0,2,,0.0,0.0,0.0,9,9,9,3
com.jetbrains.plugin.structure.classes.utils.JarsUtils.collectJars.(Anon_1),Anonymous Class,1.0,1.0,2.0,1.0,4.0,0.0,4.0,0.0,1.0,4.0,4.0,0.0,,0.0,0.0,,,,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,,5,0,5,0,4,0,,,,1,2,1,1,,,,,,1.0,1.0,2.0,1.0,,2.0,0,,0.0,0.0,0.0,1,1,2,1
