Name,Kind,AvgCyclomatic,AvgCyclomaticModified,AvgCyclomaticStrict,AvgEssential,AvgLine,AvgLineBlank,AvgLineCode,AvgLineComment,CountClassBase,CountClassCoupled,CountClassCoupledModified,CountClassDerived,CountDeclClass,CountDeclClassMethod,CountDeclClassVariable,CountDeclExecutableUnit,CountDeclFile,CountDeclFunction,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclMethod,CountDeclMethodAll,CountDeclMethodDefault,CountDeclMethodPrivate,CountDeclMethodProtected,CountDeclMethodPublic,CountInput,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountOutput,CountPath,CountPathLog,CountSemicolon,CountStmt,CountStmtDecl,CountStmtExe,Cyclomatic,CyclomaticModified,CyclomaticStrict,Essential,Knots,MaxCyclomatic,MaxCyclomaticModified,MaxCyclomaticStrict,MaxEssential,MaxEssentialKnots,MaxInheritanceTree,MaxNesting,MinEssentialKnots,PercentLackOfCohesion,PercentLackOfCohesionModified,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumEssential
com.webcohesion.enunciate.modules.jackson.EnunciateJacksonContext,Public Class,2.0,2.0,2.0,1.0,13.0,0.0,10.0,1.0,2.0,45.0,45.0,0.0,,0.0,1.0,,,,28.0,4.0,28.0,28.0,0.0,1.0,11.0,16.0,,547.0,67.0,418.0,87.0,248.0,65.0,,,,188.0,286.0,77.0,231.0,,,,,,8.0,8.0,11.0,4.0,,2.0,3.0,,89.0,86.0,0.16,61,61,71,35
com.webcohesion.enunciate.modules.jackson.EnunciateJacksonContext.JacksonNamespace,Private Class,2.0,2.0,2.0,1.0,11.0,1.0,10.0,0.0,2.0,14.0,14.0,0.0,,0.0,0.0,,,,3.0,0.0,3.0,3.0,0.0,0.0,0.0,3.0,,40.0,6.0,34.0,10.0,18.0,2.0,,,,11.0,21.0,9.0,15.0,,,,,,5.0,5.0,5.0,3.0,,1.0,0.0,,0.0,0.0,0.06,7,7,7,5
com.webcohesion.enunciate.modules.jackson.EnunciateJacksonContext.JacksonNamespace.getTypes.(Anon_1),Anonymous Class,1.0,1.0,1.0,1.0,4.0,0.0,4.0,0.0,1.0,2.0,2.0,0.0,,0.0,0.0,,,,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,,5.0,0.0,5.0,0.0,4.0,0.0,,,,1.0,2.0,1.0,1.0,,,,,,1.0,1.0,1.0,1.0,,2.0,0.0,,0.0,0.0,0.0,1,1,1,1
com.webcohesion.enunciate.modules.jackson.EnunciateJacksonContext.ReferenceContext,Private Static Class,1.0,1.0,1.0,1.0,4.0,0.0,4.0,0.0,1.0,2.0,2.0,0.0,,0.0,0.0,,,,1.0,2.0,1.0,1.0,0.0,0.0,0.0,1.0,,9.0,1.0,8.0,4.0,2.0,0.0,,,,4.0,6.0,4.0,2.0,,,,,,1.0,1.0,1.0,1.0,,1.0,0.0,,0.0,0.0,0.0,1,1,1,1
com.webcohesion.enunciate.modules.jackson.EnunciateJacksonContext.ReferencedJsonDefinitionVisitor,Private Class,3.0,3.0,4.0,2.0,15.0,1.0,13.0,0.0,1.0,17.0,17.0,0.0,,0.0,0.0,,,,5.0,0.0,5.0,5.0,0.0,0.0,0.0,5.0,,87.0,11.0,71.0,17.0,38.0,5.0,,,,22.0,44.0,14.0,36.0,,,,,,12.0,12.0,15.0,6.0,,2.0,4.0,,0.0,0.0,0.07,18,18,21,10
com.webcohesion.enunciate.modules.jackson1.EnunciateJackson1Context,Public Class,2.0,2.0,2.0,1.0,12.0,0.0,9.0,1.0,2.0,44.0,44.0,0.0,,0.0,1.0,,,,28.0,4.0,28.0,28.0,0.0,1.0,11.0,16.0,,525.0,65.0,398.0,86.0,229.0,65.0,,,,170.0,267.0,76.0,212.0,,,,,,8.0,8.0,11.0,4.0,,2.0,3.0,,89.0,86.0,0.16,60,60,68,35
com.webcohesion.enunciate.modules.jackson1.EnunciateJackson1Context.JacksonNamespace,Private Class,2.0,2.0,2.0,1.0,11.0,1.0,10.0,0.0,2.0,14.0,14.0,0.0,,0.0,0.0,,,,3.0,0.0,3.0,3.0,0.0,0.0,0.0,3.0,,40.0,6.0,34.0,10.0,18.0,2.0,,,,11.0,21.0,9.0,15.0,,,,,,5.0,5.0,5.0,3.0,,1.0,0.0,,0.0,0.0,0.06,7,7,7,5
com.webcohesion.enunciate.modules.jackson1.EnunciateJackson1Context.JacksonNamespace.getTypes.(Anon_1),Anonymous Class,1.0,1.0,1.0,1.0,4.0,0.0,4.0,0.0,1.0,2.0,2.0,0.0,,0.0,0.0,,,,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,,5.0,0.0,5.0,0.0,4.0,0.0,,,,1.0,2.0,1.0,1.0,,,,,,1.0,1.0,1.0,1.0,,2.0,0.0,,0.0,0.0,0.0,1,1,1,1
com.webcohesion.enunciate.modules.jackson1.EnunciateJackson1Context.ReferenceContext,Private Static Class,1.0,1.0,1.0,1.0,4.0,0.0,4.0,0.0,1.0,2.0,2.0,0.0,,0.0,0.0,,,,1.0,2.0,1.0,1.0,0.0,0.0,0.0,1.0,,9.0,1.0,8.0,4.0,2.0,0.0,,,,4.0,6.0,4.0,2.0,,,,,,1.0,1.0,1.0,1.0,,1.0,0.0,,0.0,0.0,0.0,1,1,1,1
com.webcohesion.enunciate.modules.jackson1.EnunciateJackson1Context.ReferencedJsonDefinitionVisitor,Private Class,3.0,3.0,4.0,2.0,15.0,1.0,13.0,0.0,1.0,17.0,17.0,0.0,,0.0,0.0,,,,5.0,0.0,5.0,5.0,0.0,0.0,0.0,5.0,,88.0,12.0,71.0,17.0,38.0,5.0,,,,22.0,44.0,14.0,36.0,,,,,,12.0,12.0,15.0,6.0,,2.0,4.0,,0.0,0.0,0.07,18,18,21,10
com.webcohesion.enunciate.modules.jackson1.api.impl.DataTypeImpl,Public Abstract Class,1.0,1.0,1.0,1.0,6.0,0.0,5.0,0.0,2.0,14.0,14.0,0.0,,0.0,0.0,,,,13.0,1.0,13.0,13.0,0.0,0.0,1.0,12.0,,102.0,21.0,78.0,35.0,32.0,3.0,,,,28.0,48.0,24.0,30.0,,,,,,6.0,6.0,6.0,1.0,,1.0,2.0,,23.0,15.0,0.04,22,22,22,13
com.webcohesion.enunciate.modules.jaxrs.EnunciateJaxrsContext,Public Class,2.0,2.0,2.0,1.0,11.0,1.0,8.0,1.0,2.0,36.0,36.0,0.0,,0.0,0.0,,,,25.0,9.0,25.0,25.0,0.0,0.0,4.0,21.0,,345.0,59.0,245.0,77.0,142.0,41.0,,,,115.0,182.0,79.0,132.0,,,,,,7.0,7.0,8.0,1.0,,2.0,4.0,,86.0,84.0,0.17,54,54,55,25
com.webcohesion.enunciate.modules.jaxrs.EnunciateJaxrsContext.RootResourceComparator,Private Static Class,1.0,1.0,1.0,1.0,6.0,0.0,6.0,0.0,2.0,3.0,3.0,0.0,,0.0,0.0,,,,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,,8.0,0.0,8.0,5.0,3.0,0.0,,,,3.0,5.0,4.0,3.0,,,,,,1.0,1.0,1.0,1.0,,1.0,0.0,,0.0,0.0,0.0,1,1,1,1
com.webcohesion.enunciate.modules.jaxrs.EnunciateJaxrsContext.getResourceGroups.(Anon_1),Anonymous Class,1.0,1.0,1.0,1.0,4.0,0.0,4.0,0.0,1.0,2.0,2.0,0.0,,0.0,0.0,,,,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,,5.0,0.0,5.0,0.0,4.0,0.0,,,,1.0,2.0,1.0,1.0,,,,,,1.0,1.0,1.0,1.0,,2.0,0.0,,0.0,0.0,0.0,1,1,1,1
com.webcohesion.enunciate.modules.spring_web.EnunciateSpringWebContext,Public Class,1.0,1.0,1.0,1.0,8.0,0.0,7.0,0.0,2.0,26.0,26.0,0.0,,0.0,0.0,,,,15.0,5.0,15.0,15.0,0.0,0.0,0.0,15.0,,159.0,28.0,122.0,43.0,65.0,9.0,,,,51.0,86.0,42.0,57.0,,,,,,6.0,6.0,6.0,1.0,,2.0,4.0,,73.0,69.0,0.07,28,28,28,15
com.webcohesion.enunciate.modules.spring_web.EnunciateSpringWebContext.getResourceGroups.(Anon_1),Anonymous Class,1.0,1.0,1.0,1.0,4.0,0.0,4.0,0.0,1.0,2.0,2.0,0.0,,0.0,0.0,,,,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,,5.0,0.0,5.0,0.0,4.0,0.0,,,,1.0,2.0,1.0,1.0,,,,,,1.0,1.0,1.0,1.0,,2.0,0.0,,0.0,0.0,0.0,1,1,1,1
com.webcohesion.enunciate.modules.spring_web.api.impl.AnnotationBasedResourceGroupImpl,Public Class,1.0,1.0,1.0,1.0,7.0,0.0,6.0,0.0,2.0,13.0,13.0,0.0,,1.0,0.0,,,,10.0,4.0,11.0,11.0,0.0,1.0,0.0,10.0,,101.0,15.0,81.0,31.0,35.0,5.0,,,,31.0,56.0,26.0,33.0,,,,,,4.0,4.0,6.0,4.0,,1.0,3.0,,70.0,70.0,0.06,19,19,21,16
