Name,Kind,AvgCyclomatic,AvgCyclomaticModified,AvgCyclomaticStrict,AvgEssential,AvgLine,AvgLineBlank,AvgLineCode,AvgLineComment,CountClassBase,CountClassCoupled,CountClassCoupledModified,CountClassDerived,CountDeclClass,CountDeclClassMethod,CountDeclClassVariable,CountDeclExecutableUnit,CountDeclFile,CountDeclFunction,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclMethod,CountDeclMethodAll,CountDeclMethodDefault,CountDeclMethodPrivate,CountDeclMethodProtected,CountDeclMethodPublic,CountInput,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountOutput,CountPath,CountPathLog,CountSemicolon,CountStmt,CountStmtDecl,CountStmtExe,Cyclomatic,CyclomaticModified,CyclomaticStrict,Essential,Knots,MaxCyclomatic,MaxCyclomaticModified,MaxCyclomaticStrict,MaxEssential,MaxEssentialKnots,MaxInheritanceTree,MaxNesting,MinEssentialKnots,PercentLackOfCohesion,PercentLackOfCohesionModified,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumEssential
org.mapfish.print.map.tiled.AbstractTiledLayerParams,Public Abstract Class,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.0,5.0,2.0,,0.0,0.0,,,,3.0,1.0,3.0,3.0,0.0,0.0,0.0,3.0,,36,3,8,7,1,25,,,,4,5,5,0,,,,,,0.0,0.0,0.0,0.0,,2.0,0,,0.0,0.0,3.12,0,0,0,0
org.mapfish.print.map.tiled.AbstractWMXLayerParams,Public Abstract Class,2.0,2.0,2.0,1.0,11.0,0.0,8.0,2.0,1.0,15.0,15.0,1.0,,0.0,0.0,,,,6.0,3.0,6.0,9.0,0.0,1.0,0.0,5.0,,123,13,60,24,31,50,,,,26,40,19,30,,,,,,5.0,5.0,5.0,1.0,,3.0,4,,77.0,61.0,0.83,13,13,13,6
org.mapfish.print.map.tiled.TileCacheInformation,Public Abstract Class,1.0,1.0,1.0,1.0,14.0,0.0,7.0,7.0,1.0,18.0,18.0,3.0,,0.0,0.0,,,,11.0,4.0,11.0,11.0,0.0,0.0,3.0,8.0,,158,15,56,35,21,87,,,,27,34,24,17,,,,,,1.0,1.0,1.0,1.0,,1.0,0,,75.0,75.0,1.55,5,5,5,5
org.mapfish.print.map.tiled.osm.OsmLayer,Public Final Class,1.0,1.0,1.0,1.0,9.0,0.0,5.0,3.0,1.0,10.0,10.0,0.0,,0.0,1.0,,,,2.0,1.0,2.0,2.0,0.0,0.0,1.0,1.0,,124,16,94,43,43,14,,,,37,54,24,34,,,,,,1.0,1.0,1.0,1.0,,2.0,0,,50.0,50.0,0.15,2,2,2,2
org.mapfish.print.map.tiled.osm.OsmLayer.OsmTileCacheInformation,Private Final Class,1.0,1.0,2.0,1.0,11.0,0.0,10.0,0.0,1.0,19.0,19.0,0.0,,0.0,0.0,,,,7.0,2.0,7.0,18.0,0.0,0.0,2.0,5.0,,94,13,79,34,39,2,,,,32,46,19,30,,,,,,5.0,5.0,8.0,1.0,,2.0,2,,71.0,71.0,0.03,13,13,16,7
org.mapfish.print.map.tiled.osm.OsmLayerParam,Public Final Class,1.0,1.0,1.0,1.0,9.0,0.0,7.0,1.0,1.0,15.0,15.0,0.0,,0.0,5.0,,,,6.0,8.0,6.0,9.0,0.0,0.0,0.0,6.0,,136,15,73,39,43,48,,,,31,40,25,16,,,,,,3.0,3.0,3.0,3.0,,3.0,1,,87.0,81.0,0.66,8,8,8,8
org.mapfish.print.map.tiled.wms.TiledWmsLayer,Public Final Class,1.0,1.0,1.0,1.0,9.0,0.0,5.0,4.0,1.0,8.0,8.0,0.0,,0.0,0.0,,,,3.0,1.0,3.0,3.0,0.0,0.0,1.0,2.0,,94,12,64,38,15,18,,,,12,24,14,11,,,,,,1.0,1.0,1.0,1.0,,2.0,0,,33.0,33.0,0.28,3,3,3,3
org.mapfish.print.map.tiled.wms.TiledWmsLayer.WmsTileCacheInformation,Private Final Class,1.0,1.0,1.0,1.0,6.0,0.0,6.0,0.0,1.0,18.0,18.0,0.0,,0.0,0.0,,,,7.0,0.0,7.0,18.0,0.0,0.0,2.0,5.0,,54,8,45,27,11,1,,,,7,15,9,7,,,,,,1.0,1.0,1.0,1.0,,2.0,0,,0.0,0.0,0.02,7,7,7,7
org.mapfish.print.map.tiled.wmts.WMTSLayer,Public Class,1.0,1.0,1.0,1.0,15.0,0.0,9.0,5.0,1.0,13.0,13.0,0.0,,1.0,1.0,,,,2.0,1.0,3.0,3.0,0.0,0.0,2.0,1.0,,163,14,127,57,67,22,,,,64,87,39,60,,,,,,3.0,3.0,3.0,1.0,,2.0,2,,66.0,66.0,0.17,5,5,5,3
org.mapfish.print.map.tiled.wmts.WMTSLayer.WMTSTileCacheInfo,Private Final Class,1.0,1.0,1.0,1.0,11.0,0.0,11.0,0.0,1.0,21.0,21.0,0.0,,0.0,0.0,,,,8.0,1.0,8.0,19.0,0.0,1.0,2.0,5.0,,104,9,94,43,50,1,,,,46,63,29,44,,,,,,4.0,4.0,4.0,1.0,,2.0,2,,25.0,25.0,0.01,15,15,15,8
org.mapfish.print.map.tiled.wmts.WMTSLayerParam,Public Final Class,2.0,2.0,2.0,1.0,8.0,0.0,7.0,0.0,1.0,13.0,13.0,0.0,,0.0,0.0,,,,5.0,11.0,5.0,14.0,0.0,1.0,0.0,4.0,,146,10,59,30,24,77,,,,22,33,18,16,,,,,,5.0,5.0,5.0,5.0,,4.0,2,,94.0,87.0,1.31,10,10,12,9
