Name,Kind,AvgCyclomatic,AvgCyclomaticModified,AvgCyclomaticStrict,AvgEssential,AvgLine,AvgLineBlank,AvgLineCode,AvgLineComment,CountClassBase,CountClassCoupled,CountClassCoupledModified,CountClassDerived,CountDeclClass,CountDeclClassMethod,CountDeclClassVariable,CountDeclExecutableUnit,CountDeclFile,CountDeclFunction,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclMethod,CountDeclMethodAll,CountDeclMethodDefault,CountDeclMethodPrivate,CountDeclMethodProtected,CountDeclMethodPublic,CountInput,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountOutput,CountPath,CountPathLog,CountSemicolon,CountStmt,CountStmtDecl,CountStmtExe,Cyclomatic,CyclomaticModified,CyclomaticStrict,Essential,Knots,MaxCyclomatic,MaxCyclomaticModified,MaxCyclomaticStrict,MaxEssential,MaxEssentialKnots,MaxInheritanceTree,MaxNesting,MinEssentialKnots,PercentLackOfCohesion,PercentLackOfCohesionModified,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumEssential
org.switchyard.serial.graph.node.AccessNode,Public Final Class,5.0,5.0,6.0,1.0,23.0,0.0,20.0,3.0,2.0,32.0,32.0,0.0,,0.0,0.0,,,,8.0,3.0,8.0,8.0,0.0,1.0,0.0,7.0,,207,10,167,41,107,30,,,,61,109,41,89,,,,,,21.0,20.0,33.0,4.0,,1.0,7,,66.0,62.0,0.18,41,40,55,11
org.switchyard.serial.graph.node.AccessNode.decompose.(Anon_1),Anonymous Class,7.0,7.0,10.0,1.0,25.0,0.0,25.0,0.0,1.0,6.0,6.0,0.0,,0.0,0.0,,,,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,,26,0,26,5,20,0,,,,12,19,6,17,,,,,,7.0,7.0,10.0,1.0,,2.0,3,,0.0,0.0,0.0,7,7,10,1
org.switchyard.serial.jackson.JacksonComparisonSerializationTest,Public Final Class,2.0,2.0,2.0,1.0,13.0,0.0,13.0,1.0,1.0,10.0,10.0,0.0,,0.0,0.0,,,,3.0,0.0,3.0,3.0,0.0,2.0,0.0,1.0,,52,4,41,11,28,8,,,,26,35,12,28,,,,,,4.0,4.0,4.0,1.0,,1.0,2,,0.0,0.0,0.2,7,7,7,3
org.switchyard.serial.jackson.JacksonComplexSerializationTest,Public Final Class,1.0,1.0,1.0,1.0,11.0,0.0,11.0,0.0,1.0,32.0,32.0,0.0,,0.0,0.0,,,,14.0,0.0,14.0,14.0,0.0,1.0,0.0,13.0,,180,15,158,62,112,7,,,,114,131,50,113,,,,,,2.0,2.0,2.0,1.0,,1.0,1,,0.0,0.0,0.04,16,16,16,14
org.switchyard.serial.jackson.JacksonSerializationData,Public Final Class,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,,0.0,0.0,,,,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,,202,12,183,83,47,7,,,,66,127,81,47,,,,,,1.0,1.0,1.0,1.0,,1.0,0,,0.0,0.0,0.04,1,1,1,1
org.switchyard.serial.jackson.JacksonSerializationData.Antennae,Public Static Final Class,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,1,0,1,1,0,0,,,,0,1,1,0,,,,,,0.0,0.0,0.0,0.0,,1.0,0,,0.0,0.0,0.0,0,0,0,0
org.switchyard.serial.jackson.JacksonSerializationData.Car,Public Static Final Class,1.0,1.0,1.0,1.0,2.0,0.0,2.0,0.0,2.0,10.0,10.0,0.0,,0.0,0.0,,,,19.0,8.0,19.0,19.0,0.0,0.0,0.0,19.0,,66,0,66,29,18,0,,,,26,46,28,18,,,,,,1.0,1.0,1.0,1.0,,1.0,0,,89.0,84.0,0.0,19,19,19,19
org.switchyard.serial.jackson.JacksonSerializationData.CustomPart,Public Static Final Class,1.0,1.0,1.0,1.0,2.0,0.0,2.0,0.0,2.0,1.0,1.0,0.0,,0.0,0.0,,,,5.0,1.0,5.0,5.0,0.0,0.0,0.0,5.0,,16,0,16,7,4,0,,,,5,11,7,4,,,,,,1.0,1.0,1.0,1.0,,1.0,0,,60.0,19.0,0.0,5,5,5,5
org.switchyard.serial.jackson.JacksonSerializationData.ExpiredPart,Public Static Final Class,1.0,1.0,1.0,1.0,3.0,0.0,3.0,0.0,2.0,2.0,2.0,0.0,,0.0,0.0,,,,4.0,1.0,4.0,4.0,0.0,0.0,0.0,4.0,,15,0,15,6,4,0,,,,5,10,6,4,,,,,,1.0,1.0,1.0,1.0,,1.0,0,,50.0,25.0,0.0,4,4,4,4
org.switchyard.serial.jackson.JacksonSerializationData.FluentTitle,Public Static Final Class,1.0,1.0,1.0,1.0,3.0,0.0,3.0,0.0,2.0,1.0,1.0,0.0,,0.0,0.0,,,,5.0,2.0,5.0,5.0,0.0,0.0,0.0,5.0,,21,0,19,8,6,2,,,,8,14,8,6,,,,,,1.0,1.0,1.0,1.0,,1.0,0,,60.0,60.0,0.11,5,5,5,5
org.switchyard.serial.jackson.JacksonSerializationData.Person,Public Static Final Class,1.0,1.0,1.0,1.0,2.0,0.0,2.0,0.0,2.0,4.0,4.0,0.0,,0.0,0.0,,,,9.0,3.0,9.0,9.0,0.0,0.0,0.0,9.0,,31,0,31,14,9,0,,,,11,21,13,9,,,,,,2.0,2.0,2.0,1.0,,1.0,0,,74.0,62.0,0.0,10,10,10,9
org.switchyard.serial.jackson.JacksonSerializationData.StrictTitle,Public Static Final Class,1.0,1.0,1.0,1.0,2.0,0.0,2.0,0.0,2.0,1.0,1.0,0.0,,0.0,0.0,,,,5.0,2.0,5.0,5.0,0.0,0.0,0.0,5.0,,17,0,17,8,4,0,,,,6,12,8,4,,,,,,1.0,1.0,1.0,1.0,,1.0,0,,60.0,60.0,0.0,5,5,5,5
org.switchyard.serial.jackson.JacksonSerializationData.Wheel,Public Static Final Class,1.0,1.0,1.0,1.0,3.0,0.0,3.0,0.0,2.0,1.0,1.0,0.0,,0.0,0.0,,,,2.0,0.0,2.0,2.0,0.0,0.0,0.0,2.0,,8,0,8,3,2,0,,,,2,5,3,2,,,,,,1.0,1.0,1.0,1.0,,1.0,0,,0.0,0.0,0.0,2,2,2,2
org.switchyard.serial.protostuff.ProtostuffComparisonSerializationTest,Public Final Class,2.0,2.0,2.0,1.0,13.0,0.0,13.0,1.0,1.0,10.0,10.0,0.0,,0.0,0.0,,,,3.0,0.0,3.0,3.0,0.0,2.0,0.0,1.0,,52,4,41,11,28,8,,,,26,35,12,28,,,,,,4.0,4.0,4.0,1.0,,1.0,2,,0.0,0.0,0.2,7,7,7,3
org.switchyard.serial.protostuff.ProtostuffComplexSerializationTest,Public Final Class,1.0,1.0,1.0,1.0,11.0,0.0,11.0,0.0,1.0,32.0,32.0,0.0,,0.0,0.0,,,,14.0,0.0,14.0,14.0,0.0,1.0,0.0,13.0,,180,15,158,62,112,7,,,,114,131,50,113,,,,,,2.0,2.0,2.0,1.0,,1.0,1,,0.0,0.0,0.04,16,16,16,14
org.switchyard.serial.protostuff.ProtostuffSerializationData,Public Final Class,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,,0.0,0.0,,,,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,,202,12,183,83,47,7,,,,66,127,81,47,,,,,,1.0,1.0,1.0,1.0,,1.0,0,,0.0,0.0,0.04,1,1,1,1
org.switchyard.serial.protostuff.ProtostuffSerializationData.Antennae,Public Static Final Class,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,1,0,1,1,0,0,,,,0,1,1,0,,,,,,0.0,0.0,0.0,0.0,,1.0,0,,0.0,0.0,0.0,0,0,0,0
org.switchyard.serial.protostuff.ProtostuffSerializationData.Car,Public Static Final Class,1.0,1.0,1.0,1.0,2.0,0.0,2.0,0.0,2.0,10.0,10.0,0.0,,0.0,0.0,,,,19.0,8.0,19.0,19.0,0.0,0.0,0.0,19.0,,66,0,66,29,18,0,,,,26,46,28,18,,,,,,1.0,1.0,1.0,1.0,,1.0,0,,89.0,84.0,0.0,19,19,19,19
org.switchyard.serial.protostuff.ProtostuffSerializationData.CustomPart,Public Static Final Class,1.0,1.0,1.0,1.0,2.0,0.0,2.0,0.0,2.0,1.0,1.0,0.0,,0.0,0.0,,,,5.0,1.0,5.0,5.0,0.0,0.0,0.0,5.0,,16,0,16,7,4,0,,,,5,11,7,4,,,,,,1.0,1.0,1.0,1.0,,1.0,0,,60.0,19.0,0.0,5,5,5,5
org.switchyard.serial.protostuff.ProtostuffSerializationData.ExpiredPart,Public Static Final Class,1.0,1.0,1.0,1.0,3.0,0.0,3.0,0.0,2.0,2.0,2.0,0.0,,0.0,0.0,,,,4.0,1.0,4.0,4.0,0.0,0.0,0.0,4.0,,15,0,15,6,4,0,,,,5,10,6,4,,,,,,1.0,1.0,1.0,1.0,,1.0,0,,50.0,25.0,0.0,4,4,4,4
org.switchyard.serial.protostuff.ProtostuffSerializationData.FluentTitle,Public Static Final Class,1.0,1.0,1.0,1.0,3.0,0.0,3.0,0.0,2.0,1.0,1.0,0.0,,0.0,0.0,,,,5.0,2.0,5.0,5.0,0.0,0.0,0.0,5.0,,21,0,19,8,6,2,,,,8,14,8,6,,,,,,1.0,1.0,1.0,1.0,,1.0,0,,60.0,60.0,0.11,5,5,5,5
org.switchyard.serial.protostuff.ProtostuffSerializationData.Person,Public Static Final Class,1.0,1.0,1.0,1.0,2.0,0.0,2.0,0.0,2.0,4.0,4.0,0.0,,0.0,0.0,,,,9.0,3.0,9.0,9.0,0.0,0.0,0.0,9.0,,31,0,31,14,9,0,,,,11,21,13,9,,,,,,2.0,2.0,2.0,1.0,,1.0,0,,74.0,62.0,0.0,10,10,10,9
org.switchyard.serial.protostuff.ProtostuffSerializationData.StrictTitle,Public Static Final Class,1.0,1.0,1.0,1.0,2.0,0.0,2.0,0.0,2.0,1.0,1.0,0.0,,0.0,0.0,,,,5.0,2.0,5.0,5.0,0.0,0.0,0.0,5.0,,17,0,17,8,4,0,,,,6,12,8,4,,,,,,1.0,1.0,1.0,1.0,,1.0,0,,60.0,60.0,0.0,5,5,5,5
org.switchyard.serial.protostuff.ProtostuffSerializationData.Wheel,Public Static Final Class,1.0,1.0,1.0,1.0,3.0,0.0,3.0,0.0,2.0,1.0,1.0,0.0,,0.0,0.0,,,,2.0,0.0,2.0,2.0,0.0,0.0,0.0,2.0,,8,0,8,3,2,0,,,,2,5,3,2,,,,,,1.0,1.0,1.0,1.0,,1.0,0,,0.0,0.0,0.0,2,2,2,2
