Name,Kind,AvgCyclomatic,AvgCyclomaticModified,AvgCyclomaticStrict,AvgEssential,AvgLine,AvgLineBlank,AvgLineCode,AvgLineComment,CountClassBase,CountClassCoupled,CountClassCoupledModified,CountClassDerived,CountDeclClass,CountDeclClassMethod,CountDeclClassVariable,CountDeclExecutableUnit,CountDeclFile,CountDeclFunction,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclMethod,CountDeclMethodAll,CountDeclMethodDefault,CountDeclMethodPrivate,CountDeclMethodProtected,CountDeclMethodPublic,CountInput,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountOutput,CountPath,CountPathLog,CountSemicolon,CountStmt,CountStmtDecl,CountStmtExe,Cyclomatic,CyclomaticModified,CyclomaticStrict,Essential,Knots,MaxCyclomatic,MaxCyclomaticModified,MaxCyclomaticStrict,MaxEssential,MaxEssentialKnots,MaxInheritanceTree,MaxNesting,MinEssentialKnots,PercentLackOfCohesion,PercentLackOfCohesionModified,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumEssential
com.vainolo.phd.opm.gef.editor.part.OPMNodeEditPart,Public Abstract Class,1.0,1.0,1.0,1.0,5.0,0.0,4.0,0.0,2.0,14.0,14.0,0.0,,0.0,0.0,,,,11.0,1.0,11.0,11.0,0.0,0.0,4.0,7.0,,100,18,69,30,24,13,,,,23,42,21,24,,,,,,2.0,2.0,2.0,1.0,,2.0,1,,72.0,72.0,0.19,13,13,13,11
com.vainolo.phd.opm.gef.editor.part.OPMNodeEditPart.OPMNodeAdapter,Public Class,1.0,1.0,1.0,1.0,3.0,0.0,2.0,1.0,2.0,4.0,4.0,0.0,,0.0,0.0,,,,4.0,0.0,4.0,4.0,0.0,0.0,0.0,4.0,,27,4,13,5,3,10,,,,3,8,5,3,,,,,,1.0,1.0,1.0,1.0,,1.0,0,,0.0,0.0,0.77,4,4,4,4
com.vainolo.phd.opm.gef.editor.policy.OPMNodeComponentEditPolicy,Public Class,2.0,2.0,2.0,1.0,27.0,2.0,16.0,8.0,1.0,14.0,14.0,0.0,,0.0,1.0,,,,3.0,0.0,3.0,3.0,0.0,1.0,1.0,1.0,,94,10,53,22,37,31,,,,33,45,23,36,,,,,,5.0,5.0,5.0,1.0,,2.0,2,,0.0,0.0,0.58,8,8,8,3
com.vainolo.phd.opm.model.impl.OPMContainerImpl,Public Class,1.0,1.0,1.0,1.0,12.0,0.0,7.0,5.0,2.0,12.0,12.0,1.0,,0.0,0.0,,,,9.0,1.0,9.0,9.0,0.0,0.0,2.0,7.0,,151,10,69,20,32,73,,,,20,37,11,26,,,,,,2.0,2.0,3.0,1.0,,2.0,1,,77.0,22.0,1.06,16,16,17,9
com.vainolo.phd.opm.model.impl.OPMFactoryImpl,Public Class,2.0,1.0,2.0,1.0,12.0,0.0,6.0,5.0,2.0,37.0,37.0,0.0,,2.0,0.0,,,,25.0,0.0,27.0,27.0,0.0,0.0,0.0,27.0,,375,30,190,52,116,156,,,,87,131,48,101,,,,,,11.0,4.0,11.0,3.0,,2.0,2,,0.0,0.0,0.82,63,46,63,33
com.vainolo.phd.opm.model.impl.OPMNodeImpl,Public Class,3.0,2.0,3.0,1.0,16.0,0.0,10.0,5.0,2.0,21.0,21.0,2.0,,0.0,1.0,,,,20.0,3.0,20.0,29.0,0.0,0.0,2.0,18.0,,408,26,215,52,127,168,,,,82,129,34,100,,,,,,7.0,7.0,9.0,1.0,,3.0,2,,86.0,60.0,0.78,61,45,65,20
com.vainolo.phd.opm.model.impl.OPMPackageImpl,Public Class,1.0,1.0,1.0,1.0,12.0,1.0,5.0,5.0,2.0,17.0,17.0,0.0,,1.0,1.0,,,,38.0,17.0,39.0,39.0,0.0,1.0,0.0,38.0,,672,98,240,59,160,335,,,,160,203,59,145,,,,,,3.0,3.0,3.0,1.0,,2.0,1,,90.0,88.0,1.4,43,43,43,39
com.vainolo.phd.opm.model.impl.OPMStateImpl,Public Class,1.0,1.0,1.0,1.0,11.0,0.0,6.0,5.0,2.0,8.0,8.0,0.0,,0.0,1.0,,,,9.0,1.0,9.0,38.0,0.0,0.0,2.0,7.0,,155,12,63,20,33,81,,,,24,40,14,27,,,,,,3.0,3.0,3.0,1.0,,4.0,1,,55.0,22.0,1.29,16,16,16,9
com.vainolo.phd.opm.model.provider.OPMContainerItemProvider,Public Class,1.0,1.0,1.0,1.0,15.0,1.0,8.0,6.0,6.0,13.0,13.0,1.0,,0.0,0.0,,,,9.0,0.0,9.0,9.0,0.0,0.0,2.0,7.0,,170,18,81,25,43,71,,,,21,34,10,24,,,,,,2.0,2.0,2.0,1.0,,2.0,1,,0.0,0.0,0.88,12,12,12,9
com.vainolo.phd.opm.model.provider.OPMItemProviderAdapterFactory,Public Class,2.0,2.0,2.0,1.0,12.0,0.0,6.0,5.0,4.0,25.0,25.0,0.0,,0.0,0.0,,,,20.0,13.0,20.0,34.0,0.0,0.0,0.0,20.0,,396,45,140,48,61,211,,,,59,103,35,71,,,,,,11.0,11.0,11.0,3.0,,3.0,2,,89.0,88.0,1.51,44,44,46,22
com.vainolo.phd.opm.model.provider.OPMNodeItemProvider,Public Class,1.0,1.0,1.0,1.0,15.0,0.0,9.0,6.0,6.0,13.0,13.0,2.0,,0.0,0.0,,,,9.0,0.0,9.0,18.0,0.0,0.0,4.0,5.0,,172,11,93,24,59,68,,,,18,30,12,20,,,,,,3.0,3.0,4.0,1.0,,3.0,1,,0.0,0.0,0.73,13,13,14,9
com.vainolo.phd.opm.model.provider.OPMStateItemProvider,Public Class,1.0,1.0,1.0,1.0,13.0,0.0,7.0,6.0,6.0,12.0,12.0,0.0,,0.0,0.0,,,,7.0,0.0,7.0,25.0,0.0,0.0,2.0,5.0,,125,9,60,21,30,56,,,,13,23,9,15,,,,,,2.0,2.0,3.0,1.0,,4.0,1,,0.0,0.0,0.93,10,10,11,7
com.vainolo.phd.opm.model.provider.OPMThingItemProvider,Public Class,1.0,1.0,1.0,1.0,15.0,0.0,8.0,6.0,6.0,12.0,12.0,0.0,,0.0,0.0,,,,8.0,0.0,8.0,26.0,0.0,0.0,3.0,5.0,,149,10,77,22,45,62,,,,15,26,10,17,,,,,,3.0,2.0,3.0,1.0,,4.0,1,,0.0,0.0,0.81,12,11,13,8
com.vainolo.phd.opm.model.tests.OPMContainerTest,Public Class,1.0,1.0,1.0,1.0,9.0,0.0,3.0,5.0,1.0,6.0,6.0,1.0,,1.0,0.0,,,,5.0,1.0,6.0,6.0,0.0,0.0,4.0,2.0,,84,8,23,10,7,54,,,,7,14,8,6,,,,,,1.0,1.0,1.0,1.0,,2.0,0,,66.0,33.0,2.35,6,6,6,6
com.vainolo.phd.opm.model.tests.OPMExample,Public Class,5.0,5.0,5.0,1.0,43.0,2.0,24.0,17.0,1.0,15.0,15.0,0.0,,2.0,0.0,,,,0.0,0.0,2.0,2.0,0.0,0.0,1.0,1.0,,102,7,50,10,34,47,,,,22,34,13,28,,,,,,8.0,8.0,8.0,1.0,,1.0,5,,0.0,0.0,0.94,10,10,10,2
