Name,Kind,AvgCyclomatic,AvgCyclomaticModified,AvgCyclomaticStrict,AvgEssential,AvgLine,AvgLineBlank,AvgLineCode,AvgLineComment,CountClassBase,CountClassCoupled,CountClassCoupledModified,CountClassDerived,CountDeclClass,CountDeclClassMethod,CountDeclClassVariable,CountDeclExecutableUnit,CountDeclFile,CountDeclFunction,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclMethod,CountDeclMethodAll,CountDeclMethodDefault,CountDeclMethodPrivate,CountDeclMethodProtected,CountDeclMethodPublic,CountInput,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountOutput,CountPath,CountPathLog,CountSemicolon,CountStmt,CountStmtDecl,CountStmtExe,Cyclomatic,CyclomaticModified,CyclomaticStrict,Essential,Knots,MaxCyclomatic,MaxCyclomaticModified,MaxCyclomaticStrict,MaxEssential,MaxEssentialKnots,MaxInheritanceTree,MaxNesting,MinEssentialKnots,PercentLackOfCohesion,PercentLackOfCohesionModified,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumEssential
com.jopdesign.common.AppSetup,Public Class,3.0,3.0,4.0,1.0,22.0,1.0,14.0,5.0,1.0,39.0,39.0,0.0,,2.0,0.0,,,,31.0,13.0,33.0,33.0,0.0,6.0,0.0,27.0,,797.0,102.0,505.0,87.0,332.0,190.0,,,,241.0,378.0,100.0,308.0,,,,,,29.0,29.0,30.0,3.0,,1.0,3.0,,87.0,79.0,0.38,127,124,134,35
com.jopdesign.common.code.CallGraph,Public Class,2.0,2.0,3.0,1.0,17.0,1.0,11.0,5.0,1.0,53.0,53.0,0.0,,3.0,2.0,,,,49.0,14.0,52.0,52.0,0.0,11.0,2.0,39.0,,1325.0,177.0,782.0,252.0,447.0,368.0,,,,354.0,593.0,259.0,421.0,,,,,,11.0,11.0,11.0,4.0,,1.0,4.0,,89.0,73.0,0.47,150,150,157,60
com.jopdesign.common.code.CallGraph.CallGraph.(Anon_1),Anonymous Class,1.0,1.0,1.0,1.0,4.0,0.0,4.0,0.0,1.0,3.0,3.0,0.0,,0.0,0.0,,,,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,,5.0,0.0,5.0,0.0,4.0,0.0,,,,1.0,2.0,1.0,1.0,,,,,,1.0,1.0,1.0,1.0,,2.0,0.0,,0.0,0.0,0.0,1,1,1,1
com.jopdesign.common.code.CallGraph.ContextEdge,Public Static Class,1.0,1.0,1.0,1.0,4.0,0.0,4.0,0.0,1.0,2.0,2.0,0.0,,0.0,0.0,,,,5.0,2.0,5.0,5.0,0.0,1.0,0.0,4.0,,31.0,5.0,26.0,11.0,10.0,0.0,,,,12.0,21.0,9.0,12.0,,,,,,4.0,4.0,5.0,4.0,,1.0,1.0,,19.0,19.0,0.0,8,8,9,8
com.jopdesign.common.code.CallGraph.ContextFilter,Private Class,2.0,2.0,3.0,2.0,8.0,0.0,8.0,0.0,2.0,4.0,4.0,0.0,,0.0,0.0,,,,3.0,2.0,3.0,3.0,0.0,1.0,0.0,2.0,,30.0,1.0,28.0,9.0,13.0,1.0,,,,9.0,16.0,7.0,10.0,,,,,,4.0,4.0,9.0,4.0,,1.0,2.0,,33.0,33.0,0.04,6,6,11,6
com.jopdesign.common.code.CallGraph.GraphUpdateListener,Private Class,1.0,1.0,1.0,1.0,6.0,0.0,5.0,0.0,2.0,4.0,4.0,0.0,,0.0,0.0,,,,4.0,0.0,4.0,4.0,0.0,0.0,0.0,4.0,,33.0,3.0,23.0,9.0,7.0,7.0,,,,5.0,12.0,5.0,7.0,,,,,,2.0,2.0,2.0,1.0,,1.0,1.0,,0.0,0.0,0.3,6,6,6,4
com.jopdesign.common.code.CallGraph.InvokeEdge,Public Static Class,1.0,1.0,1.0,1.0,3.0,0.0,3.0,0.0,1.0,5.0,5.0,0.0,,0.0,0.0,,,,5.0,1.0,5.0,5.0,0.0,0.0,2.0,3.0,,28.0,5.0,19.0,8.0,5.0,4.0,,,,6.0,12.0,7.0,5.0,,,,,,2.0,2.0,2.0,1.0,,1.0,0.0,,0.0,0.0,0.21,6,6,6,5
com.jopdesign.common.code.CallGraph.MethodFilter,Private Class,2.0,2.0,3.0,2.0,9.0,0.0,8.0,0.0,2.0,3.0,3.0,0.0,,0.0,0.0,,,,3.0,3.0,3.0,3.0,0.0,1.0,0.0,2.0,,34.0,1.0,31.0,11.0,15.0,2.0,,,,12.0,19.0,9.0,12.0,,,,,,4.0,4.0,9.0,4.0,,1.0,2.0,,33.0,33.0,0.06,6,6,11,6
com.jopdesign.common.code.CallGraph.MethodNode,Public Static Class,1.0,1.0,1.0,1.0,3.0,0.0,3.0,0.0,2.0,5.0,5.0,0.0,,0.0,0.0,,,,6.0,2.0,6.0,6.0,0.0,0.0,2.0,4.0,,38.0,6.0,25.0,11.0,8.0,7.0,,,,10.0,17.0,10.0,8.0,,,,,,2.0,2.0,2.0,1.0,,1.0,0.0,,33.0,33.0,0.28,7,7,7,6
com.jopdesign.common.code.CallGraph.SubgraphUpdateListener,Private Class,1.0,1.0,1.0,1.0,5.0,0.0,4.0,1.0,2.0,7.0,7.0,0.0,,0.0,0.0,,,,5.0,1.0,5.0,5.0,0.0,1.0,0.0,4.0,,37.0,1.0,26.0,13.0,7.0,10.0,,,,7.0,14.0,8.0,7.0,,,,,,2.0,2.0,2.0,1.0,,1.0,1.0,,19.0,19.0,0.38,6,6,6,5
