Name,Kind,AvgCyclomatic,AvgCyclomaticModified,AvgCyclomaticStrict,AvgEssential,AvgLine,AvgLineBlank,AvgLineCode,AvgLineComment,CountClassBase,CountClassCoupled,CountClassCoupledModified,CountClassDerived,CountDeclClass,CountDeclClassMethod,CountDeclClassVariable,CountDeclExecutableUnit,CountDeclFile,CountDeclFunction,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclMethod,CountDeclMethodAll,CountDeclMethodDefault,CountDeclMethodPrivate,CountDeclMethodProtected,CountDeclMethodPublic,CountInput,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountOutput,CountPath,CountPathLog,CountSemicolon,CountStmt,CountStmtDecl,CountStmtExe,Cyclomatic,CyclomaticModified,CyclomaticStrict,Essential,Knots,MaxCyclomatic,MaxCyclomaticModified,MaxCyclomaticStrict,MaxEssential,MaxEssentialKnots,MaxInheritanceTree,MaxNesting,MinEssentialKnots,PercentLackOfCohesion,PercentLackOfCohesionModified,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumEssential
org.fluentlenium.core.wait.FluentWaitMatcher,Public Class,1.0,1.0,1.0,1.0,15.0,0.0,10.0,4.0,1.0,13.0,13.0,0.0,,1.0,0.0,,,,23.0,4.0,24.0,24.0,2.0,0.0,0.0,22.0,,412,35,253,62,144,124,,,,102,174,69,123,,,,,,3.0,3.0,4.0,1.0,,1.0,2,,53.0,53.0,0.49,26,26,27,24
org.fluentlenium.core.wait.FluentWaitMatcher.areDisplayed.(Anon_9),Anonymous Class,8.0,8.0,8.0,8.0,24.0,0.0,24.0,0.0,1.0,5.0,5.0,0.0,,0.0,0.0,,,,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,,25,0,25,3,17,0,,,,7,17,5,14,,,,,,8.0,8.0,8.0,8.0,,2.0,4,,0.0,0.0,0.0,8,8,8,8
org.fluentlenium.core.wait.FluentWaitMatcher.areEnabled.(Anon_11),Anonymous Class,8.0,8.0,8.0,8.0,24.0,0.0,24.0,0.0,1.0,5.0,5.0,0.0,,0.0,0.0,,,,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,,25,0,25,3,17,0,,,,7,17,5,14,,,,,,8.0,8.0,8.0,8.0,,2.0,4,,0.0,0.0,0.0,8,8,8,8
org.fluentlenium.core.wait.FluentWaitMatcher.areNotDisplayed.(Anon_10),Anonymous Class,3.0,3.0,3.0,3.0,9.0,0.0,9.0,0.0,1.0,5.0,5.0,0.0,,0.0,0.0,,,,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,,10,0,10,2,7,0,,,,3,7,3,5,,,,,,3.0,3.0,3.0,3.0,,2.0,2,,0.0,0.0,0.0,3,3,3,3
org.fluentlenium.core.wait.FluentWaitMatcher.containsText.(Anon_5),Anonymous Class,5.0,5.0,5.0,4.0,16.0,0.0,16.0,0.0,1.0,5.0,5.0,0.0,,0.0,0.0,,,,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,,17,0,17,2,11,0,,,,5,11,3,8,,,,,,5.0,5.0,5.0,4.0,,2.0,3,,0.0,0.0,0.0,5,5,5,4
org.fluentlenium.core.wait.FluentWaitMatcher.hasAttribute.(Anon_1),Anonymous Class,2.0,2.0,2.0,1.0,7.0,0.0,7.0,0.0,1.0,3.0,3.0,0.0,,0.0,0.0,,,,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,,8,0,8,1,6,0,,,,2,4,1,3,,,,,,2.0,2.0,2.0,1.0,,2.0,1,,0.0,0.0,0.0,2,2,2,1
org.fluentlenium.core.wait.FluentWaitMatcher.hasId.(Anon_2),Anonymous Class,2.0,2.0,2.0,1.0,7.0,0.0,7.0,0.0,1.0,3.0,3.0,0.0,,0.0,0.0,,,,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,,8,0,8,1,6,0,,,,2,4,1,3,,,,,,2.0,2.0,2.0,1.0,,2.0,1,,0.0,0.0,0.0,2,2,2,1
org.fluentlenium.core.wait.FluentWaitMatcher.hasName.(Anon_3),Anonymous Class,2.0,2.0,2.0,1.0,8.0,0.0,8.0,0.0,1.0,3.0,3.0,0.0,,0.0,0.0,,,,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,,9,0,9,2,6,0,,,,3,5,2,3,,,,,,2.0,2.0,2.0,1.0,,2.0,1,,0.0,0.0,0.0,2,2,2,1
org.fluentlenium.core.wait.FluentWaitMatcher.hasSize.(Anon_4),Anonymous Class,2.0,2.0,2.0,1.0,9.0,0.0,9.0,0.0,1.0,3.0,3.0,0.0,,0.0,0.0,,,,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,,10,0,10,2,7,0,,,,4,6,2,4,,,,,,2.0,2.0,2.0,1.0,,2.0,1,,0.0,0.0,0.0,2,2,2,1
org.fluentlenium.core.wait.FluentWaitMatcher.hasText.(Anon_6),Anonymous Class,2.0,2.0,2.0,1.0,7.0,0.0,7.0,0.0,1.0,3.0,3.0,0.0,,0.0,0.0,,,,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,,8,0,8,1,6,0,,,,2,4,1,3,,,,,,2.0,2.0,2.0,1.0,,2.0,1,,0.0,0.0,0.0,2,2,2,1
org.fluentlenium.core.wait.FluentWaitMatcher.isNotPresent.(Anon_8),Anonymous Class,2.0,2.0,2.0,1.0,9.0,0.0,9.0,0.0,1.0,3.0,3.0,0.0,,0.0,0.0,,,,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,,10,0,10,2,7,0,,,,4,6,2,4,,,,,,2.0,2.0,2.0,1.0,,2.0,1,,0.0,0.0,0.0,2,2,2,1
org.fluentlenium.core.wait.FluentWaitMatcher.isPresent.(Anon_7),Anonymous Class,2.0,2.0,2.0,1.0,9.0,0.0,9.0,0.0,1.0,3.0,3.0,0.0,,0.0,0.0,,,,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,,10,0,10,2,7,0,,,,4,6,2,4,,,,,,2.0,2.0,2.0,1.0,,2.0,1,,0.0,0.0,0.0,2,2,2,1
