Name,Kind,AvgCyclomatic,AvgCyclomaticModified,AvgCyclomaticStrict,AvgEssential,AvgLine,AvgLineBlank,AvgLineCode,AvgLineComment,CountClassBase,CountClassCoupled,CountClassCoupledModified,CountClassDerived,CountDeclClass,CountDeclClassMethod,CountDeclClassVariable,CountDeclExecutableUnit,CountDeclFile,CountDeclFunction,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclMethod,CountDeclMethodAll,CountDeclMethodDefault,CountDeclMethodPrivate,CountDeclMethodProtected,CountDeclMethodPublic,CountInput,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountOutput,CountPath,CountPathLog,CountSemicolon,CountStmt,CountStmtDecl,CountStmtExe,Cyclomatic,CyclomaticModified,CyclomaticStrict,Essential,Knots,MaxCyclomatic,MaxCyclomaticModified,MaxCyclomaticStrict,MaxEssential,MaxEssentialKnots,MaxInheritanceTree,MaxNesting,MinEssentialKnots,PercentLackOfCohesion,PercentLackOfCohesionModified,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumEssential
org.xtest.XTestRuntimeModule,Public Class,1.0,1.0,1.0,1.0,8.0,0.0,3.0,4.0,1.0,10.0,10.0,0.0,,0.0,0.0,,,,8.0,0.0,8.0,8.0,0.0,0.0,0.0,8.0,,79,7,28,11,8,44,,,,8,17,9,8,,,,,,1.0,1.0,1.0,1.0,,2.0,0,,0.0,0.0,1.57,8,8,8,8
org.xtest.generator.contentassist.XtestContentAssistFragment,Public Class,2.0,2.0,2.0,1.0,11.0,0.0,7.0,3.0,1.0,9.0,9.0,0.0,,0.0,1.0,,,,4.0,1.0,4.0,4.0,0.0,0.0,1.0,3.0,,61,6,34,11,17,21,,,,12,25,12,16,,,,,,6.0,6.0,6.0,1.0,,2.0,5,,25.0,25.0,0.62,9,9,9,4
org.xtest.parser.antlr.internal.InternalXTestLexer,Public Class,2.0,1.0,4.0,1.0,31.0,5.0,22.0,3.0,1.0,10.0,10.0,0.0,,0.0,92.0,,,,82.0,1.0,82.0,82.0,0.0,0.0,0.0,82.0,,3373,559,2384,654,1615,432,,,,920,1200,407,848,,,,,,78.0,18.0,78.0,9.0,,2.0,5,,98.0,98.0,0.18,239,157,357,104
org.xtest.parser.antlr.internal.InternalXTestLexer.DFA19,Class,18.0,17.0,28.0,3.0,45.0,16.0,28.0,0.0,1.0,5.0,5.0,0.0,,0.0,0.0,,,,3.0,0.0,3.0,3.0,0.0,0.0,0.0,3.0,,139,51,88,11,78,0,,,,74,127,10,121,,,,,,52.0,50.0,82.0,7.0,,2.0,2,,0.0,0.0,0.0,54,52,84,9
org.xtest.parser.antlr.internal.InternalXTestParser,Public Class,10.0,9.0,11.0,5.0,74.0,18.0,49.0,7.0,1.0,40.0,40.0,0.0,,0.0,779.0,,,,219.0,15.0,219.0,219.0,0.0,0.0,2.0,217.0,,20139,4658,13390,2935,9226,2126,,,,6243,8593,2051,7463,,,,,,104.0,96.0,117.0,48.0,,2.0,9,,95.0,60.0,0.16,2235,2122,2428,1155
org.xtest.parser.antlr.internal.InternalXTestParser.DFA18,Class,2.0,2.0,2.0,2.0,13.0,1.0,11.0,0.0,1.0,6.0,6.0,0.0,,0.0,0.0,,,,3.0,0.0,3.0,3.0,0.0,0.0,0.0,3.0,,43,6,37,10,27,0,,,,26,35,9,29,,,,,,6.0,6.0,6.0,4.0,,2.0,2,,0.0,0.0,0.0,8,8,8,6
org.xtest.parser.antlr.internal.InternalXTestParser.DFA19,Class,2.0,2.0,2.0,2.0,13.0,1.0,11.0,0.0,1.0,6.0,6.0,0.0,,0.0,0.0,,,,3.0,0.0,3.0,3.0,0.0,0.0,0.0,3.0,,43,6,37,10,27,0,,,,26,35,9,29,,,,,,6.0,6.0,6.0,4.0,,2.0,2,,0.0,0.0,0.0,8,8,8,6
org.xtest.parser.antlr.internal.InternalXTestParser.DFA43,Class,2.0,2.0,2.0,2.0,13.0,1.0,11.0,0.0,1.0,6.0,6.0,0.0,,0.0,0.0,,,,3.0,0.0,3.0,3.0,0.0,0.0,0.0,3.0,,43,6,37,10,27,0,,,,26,35,9,29,,,,,,6.0,6.0,6.0,4.0,,2.0,2,,0.0,0.0,0.0,8,8,8,6
org.xtest.parser.antlr.internal.InternalXTestParser.DFA44,Class,2.0,2.0,2.0,2.0,13.0,1.0,11.0,0.0,1.0,6.0,6.0,0.0,,0.0,0.0,,,,3.0,0.0,3.0,3.0,0.0,0.0,0.0,3.0,,43,6,37,10,27,0,,,,26,35,9,29,,,,,,6.0,6.0,6.0,4.0,,2.0,2,,0.0,0.0,0.0,8,8,8,6
org.xtest.parser.antlr.internal.InternalXTestParser.DFA74,Class,2.0,2.0,2.0,2.0,13.0,1.0,11.0,0.0,1.0,6.0,6.0,0.0,,0.0,0.0,,,,3.0,0.0,3.0,3.0,0.0,0.0,0.0,3.0,,43,6,37,10,27,0,,,,26,35,9,29,,,,,,6.0,6.0,6.0,4.0,,2.0,2,,0.0,0.0,0.0,8,8,8,6
org.xtest.parser.antlr.internal.InternalXTestParser.DFA75,Class,2.0,2.0,2.0,2.0,13.0,1.0,11.0,0.0,1.0,6.0,6.0,0.0,,0.0,0.0,,,,3.0,0.0,3.0,3.0,0.0,0.0,0.0,3.0,,43,6,37,10,27,0,,,,26,35,9,29,,,,,,6.0,6.0,6.0,4.0,,2.0,2,,0.0,0.0,0.0,8,8,8,6
