Name,Kind,AvgCyclomatic,AvgCyclomaticModified,AvgCyclomaticStrict,AvgEssential,AvgLine,AvgLineBlank,AvgLineCode,AvgLineComment,CountClassBase,CountClassCoupled,CountClassCoupledModified,CountClassDerived,CountDeclClass,CountDeclClassMethod,CountDeclClassVariable,CountDeclExecutableUnit,CountDeclFile,CountDeclFunction,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclMethod,CountDeclMethodAll,CountDeclMethodDefault,CountDeclMethodPrivate,CountDeclMethodProtected,CountDeclMethodPublic,CountInput,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountOutput,CountPath,CountPathLog,CountSemicolon,CountStmt,CountStmtDecl,CountStmtExe,Cyclomatic,CyclomaticModified,CyclomaticStrict,Essential,Knots,MaxCyclomatic,MaxCyclomaticModified,MaxCyclomaticStrict,MaxEssential,MaxEssentialKnots,MaxInheritanceTree,MaxNesting,MinEssentialKnots,PercentLackOfCohesion,PercentLackOfCohesionModified,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumEssential
io.vertx.core.datagram.DatagramSocketOptions,Public Class,1.0,1.0,1.0,1.0,6.0,0.0,6.0,0.0,1.0,5.0,5.0,0.0,,0.0,9.0,,,,23.0,9.0,23.0,23.0,0.0,0.0,0.0,23.0,,195,31,161,47,100,4,,,,101,140,44,96,,,,,,13.0,13.0,13.0,12.0,,1.0,1,,69.0,69.0,0.02,44,44,45,34
io.vertx.core.http.HttpClientOptions,Public Class,2.0,2.0,2.0,1.0,6.0,0.0,6.0,0.0,1.0,20.0,20.0,0.0,,0.0,11.0,,,,49.0,22.0,49.0,49.0,0.0,0.0,0.0,49.0,,447,69,369,93,241,9,,,,233,319,90,237,,,,,,30.0,30.0,31.0,25.0,,1.0,2,,87.0,87.0,0.02,116,112,118,73
io.vertx.core.http.HttpServerOptions,Public Class,2.0,2.0,2.0,1.0,6.0,0.0,6.0,0.0,1.0,20.0,20.0,0.0,,0.0,12.0,,,,49.0,22.0,49.0,49.0,0.0,0.0,0.0,49.0,,449,67,374,94,246,9,,,,237,323,91,241,,,,,,32.0,32.0,33.0,25.0,,1.0,2,,87.0,87.0,0.02,120,116,123,73
io.vertx.core.net.NetClientOptions,Public Class,2.0,2.0,2.0,1.0,7.0,0.0,7.0,0.0,1.0,20.0,20.0,0.0,,0.0,10.0,,,,43.0,19.0,43.0,43.0,0.0,0.0,0.0,43.0,,401,60,334,83,219,7,,,,208,286,80,214,,,,,,27.0,27.0,28.0,22.0,,1.0,2,,85.0,85.0,0.02,104,100,106,64
io.vertx.core.net.NetServerOptions,Public Class,2.0,2.0,2.0,1.0,6.0,0.0,6.0,0.0,1.0,20.0,20.0,0.0,,0.0,11.0,,,,43.0,19.0,43.0,43.0,0.0,0.0,0.0,43.0,,393,58,328,84,215,7,,,,206,282,81,209,,,,,,28.0,28.0,29.0,22.0,,1.0,2,,85.0,85.0,0.02,106,102,109,64
io.vertx.test.core.DatagramTest,Public Class,1.0,1.0,1.0,1.0,22.0,0.0,20.0,0.0,1.0,16.0,16.0,0.0,,0.0,0.0,,,,17.0,2.0,17.0,17.0,0.0,0.0,1.0,16.0,,405,29,358,74,289,18,,,,235,265,56,242,,,,,,8.0,8.0,8.0,1.0,,2.0,2,,44.0,44.0,0.05,43,43,43,34
io.vertx.test.core.DatagramTest.testUseInMultithreadedWorker.MyVerticle,Class,2.0,2.0,2.0,1.0,10.0,0.0,9.0,1.0,1.0,4.0,4.0,0.0,,0.0,0.0,,,,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,,12,0,11,3,5,1,,,,3,6,2,4,,,,,,2.0,2.0,2.0,1.0,,2.0,1,,0.0,0.0,0.09,2,2,2,1
io.vertx.test.core.HttpTest,Public Class,1.0,1.0,1.0,1.0,15.0,1.0,14.0,0.0,1.0,76.0,76.0,0.0,,3.0,0.0,,,,221.0,1.0,224.0,224.0,0.0,31.0,0.0,193.0,,3712,492,3154,830,2386,84,,,,1982,2321,630,1985,,,,,,7.0,7.0,7.0,1.0,,2.0,3,,98.0,95.0,0.03,542,542,542,467
io.vertx.test.core.HttpTest.testClientMultiThreaded.(lambda_expr_2).(Anon_1),Anonymous Class,1.0,1.0,1.0,1.0,7.0,0.0,7.0,0.0,1.0,3.0,3.0,0.0,,0.0,0.0,,,,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,,8,0,8,0,7,0,,,,4,5,1,4,,,,,,1.0,1.0,1.0,1.0,,2.0,0,,0.0,0.0,0.0,2,2,2,2
io.vertx.test.core.HttpTest.testInVerticle.MyVerticle,Class,2.0,2.0,2.0,1.0,34.0,0.0,34.0,0.0,1.0,9.0,9.0,0.0,,0.0,0.0,,,,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,,37,0,37,5,27,0,,,,20,26,4,23,,,,,,2.0,2.0,2.0,1.0,,2.0,1,,0.0,0.0,0.0,6,6,6,3
io.vertx.test.core.HttpTest.testUseInMultithreadedWorker.MyVerticle,Class,1.0,1.0,1.0,1.0,6.0,0.0,6.0,0.0,1.0,3.0,3.0,0.0,,0.0,0.0,,,,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,,8,0,8,3,3,0,,,,3,5,2,3,,,,,,1.0,1.0,1.0,1.0,,2.0,0,,0.0,0.0,0.0,3,3,3,3
io.vertx.test.core.NetTest,Public Class,1.0,1.0,1.0,1.0,20.0,0.0,19.0,0.0,1.0,51.0,51.0,0.0,,0.0,0.0,,,,81.0,3.0,81.0,81.0,12.0,2.0,2.0,65.0,,1815,164,1557,380,1240,96,,,,1028,1188,323,1064,,,,,,6.0,6.0,6.0,1.0,,2.0,3,,80.0,68.0,0.06,236,236,236,196
io.vertx.test.core.NetTest.testClientMultiThreaded.(lambda_expr_2).(Anon_1),Anonymous Class,1.0,1.0,1.0,1.0,16.0,0.0,16.0,0.0,1.0,3.0,3.0,0.0,,0.0,0.0,,,,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,,17,0,17,3,15,0,,,,10,12,4,11,,,,,,1.0,1.0,1.0,1.0,,2.0,1,,0.0,0.0,0.0,2,2,2,2
io.vertx.test.core.NetTest.testInMultithreadedWorker.MyVerticle,Class,3.0,3.0,3.0,1.0,16.0,0.0,14.0,2.0,1.0,5.0,5.0,0.0,,0.0,0.0,,,,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,,18,0,16,3,9,2,,,,5,9,2,7,,,,,,3.0,3.0,3.0,1.0,,2.0,1,,0.0,0.0,0.12,3,3,3,1
io.vertx.test.core.NetTest.testInVerticle.MyVerticle,Class,2.0,2.0,2.0,1.0,49.0,0.0,49.0,0.0,1.0,10.0,10.0,0.0,,0.0,0.0,,,,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,,52,0,52,8,40,0,,,,29,37,7,34,,,,,,2.0,2.0,2.0,1.0,,2.0,1,,0.0,0.0,0.0,6,6,6,3
