Name,Kind,AvgCyclomatic,AvgCyclomaticModified,AvgCyclomaticStrict,AvgEssential,AvgLine,AvgLineBlank,AvgLineCode,AvgLineComment,CountClassBase,CountClassCoupled,CountClassCoupledModified,CountClassDerived,CountDeclClass,CountDeclClassMethod,CountDeclClassVariable,CountDeclExecutableUnit,CountDeclFile,CountDeclFunction,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclMethod,CountDeclMethodAll,CountDeclMethodDefault,CountDeclMethodPrivate,CountDeclMethodProtected,CountDeclMethodPublic,CountInput,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountOutput,CountPath,CountPathLog,CountSemicolon,CountStmt,CountStmtDecl,CountStmtExe,Cyclomatic,CyclomaticModified,CyclomaticStrict,Essential,Knots,MaxCyclomatic,MaxCyclomaticModified,MaxCyclomaticStrict,MaxEssential,MaxEssentialKnots,MaxInheritanceTree,MaxNesting,MinEssentialKnots,PercentLackOfCohesion,PercentLackOfCohesionModified,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumEssential
lombok.installer.IdeLocation,Public Abstract Class,2.0,2.0,2.0,1.0,7.0,0.0,5.0,2.0,1.0,12.0,12.0,1.0,,3.0,2.0,,,,6.0,1.0,9.0,9.0,0.0,0.0,0.0,9.0,,50.0,5.0,33.0,16.0,16.0,12.0,,,,18.0,27.0,17.0,13.0,,,,,,4.0,4.0,4.0,1.0,,1.0,2.0,,100.0,100.0,0.36,9,9,9,4
lombok.installer.Installer,Public Class,5.0,5.0,5.0,2.0,21.0,1.0,19.0,0.0,1.0,27.0,27.0,0.0,,8.0,2.0,,,,0.0,0.0,8.0,8.0,3.0,3.0,0.0,2.0,,259.0,33.0,215.0,50.0,131.0,12.0,,,,84.0,148.0,50.0,114.0,,,,,,19.0,19.0,19.0,4.0,,1.0,4.0,,0.0,0.0,0.06,41,41,42,16
lombok.installer.Installer.CmdArgs,Private Static Class,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,6.0,6.0,0.0,,0.0,0.0,,,,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,,9.0,1.0,8.0,7.0,1.0,0.0,,,,2.0,3.0,3.0,1.0,,,,,,0.0,0.0,0.0,0.0,,1.0,0.0,,0.0,0.0,0.0,0,0,0,0
lombok.installer.Installer.CommandLineInstallerApp,Public Static Class,1.0,1.0,1.0,1.0,3.0,0.0,3.0,0.0,1.0,6.0,6.0,0.0,,0.0,0.0,,,,3.0,0.0,3.0,3.0,0.0,0.0,0.0,3.0,,14.0,2.0,12.0,5.0,3.0,0.0,,,,3.0,7.0,4.0,3.0,,,,,,1.0,1.0,1.0,1.0,,2.0,0.0,,0.0,0.0,0.0,3,3,3,3
lombok.installer.Installer.CommandLineUninstallerApp,Public Static Class,1.0,1.0,1.0,1.0,3.0,0.0,3.0,0.0,1.0,6.0,6.0,0.0,,0.0,0.0,,,,3.0,0.0,3.0,3.0,0.0,0.0,0.0,3.0,,14.0,2.0,12.0,5.0,3.0,0.0,,,,3.0,7.0,4.0,3.0,,,,,,1.0,1.0,1.0,1.0,,2.0,0.0,,0.0,0.0,0.0,3,3,3,3
lombok.installer.Installer.GraphicalInstallerApp,Public Static Class,1.0,1.0,1.0,1.0,3.0,0.0,3.0,0.0,1.0,7.0,7.0,0.0,,0.0,0.0,,,,4.0,0.0,4.0,4.0,0.0,0.0,0.0,4.0,,18.0,3.0,15.0,6.0,4.0,0.0,,,,4.0,9.0,5.0,4.0,,,,,,1.0,1.0,1.0,1.0,,2.0,0.0,,0.0,0.0,0.0,4,4,4,4
lombok.installer.Installer.guiInstaller.(Anon_1),Anonymous Class,3.0,3.0,3.0,1.0,11.0,1.0,10.0,0.0,1.0,5.0,5.0,0.0,,0.0,0.0,,,,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,,12.0,1.0,11.0,0.0,9.0,0.0,,,,3.0,6.0,1.0,5.0,,,,,,3.0,3.0,3.0,1.0,,2.0,2.0,,0.0,0.0,0.0,3,3,3,1
lombok.installer.InstallerGUI,Public Class,1.0,1.0,1.0,1.0,47.0,5.0,40.0,1.0,1.0,37.0,37.0,0.0,,0.0,11.0,,,,13.0,13.0,13.0,13.0,1.0,10.0,0.0,2.0,,772.0,120.0,633.0,113.0,496.0,19.0,,,,374.0,485.0,138.0,396.0,,,,,,3.0,3.0,3.0,1.0,,1.0,2.0,,81.0,77.0,0.03,19,19,19,13
lombok.installer.InstallerGUI.IdesList,Private Class,1.0,1.0,1.0,1.0,5.0,0.0,5.0,0.0,2.0,14.0,14.0,0.0,,0.0,1.0,,,,9.0,1.0,9.0,9.0,4.0,0.0,0.0,5.0,,66.0,11.0,55.0,15.0,33.0,0.0,,,,30.0,46.0,17.0,33.0,,,,,,3.0,3.0,3.0,1.0,,2.0,2.0,,77.0,66.0,0.0,13,13,13,9
lombok.installer.InstallerGUI.IdesList.addLocation.(Anon_22),Anonymous Class,1.0,1.0,1.0,1.0,4.0,0.0,4.0,0.0,1.0,4.0,4.0,0.0,,0.0,0.0,,,,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,,5.0,0.0,5.0,0.0,4.0,0.0,,,,2.0,3.0,1.0,2.0,,,,,,1.0,1.0,1.0,1.0,,2.0,0.0,,0.0,0.0,0.0,1,1,1,1
