Kind,Name,AvgCyclomatic,AvgCyclomaticModified,AvgCyclomaticStrict,AvgEssential,AvgLine,AvgLineBlank,AvgLineCode,AvgLineComment,CountClassBase,CountClassCoupled,CountClassCoupledModified,CountClassDerived,CountDeclClass,CountDeclClassMethod,CountDeclClassVariable,CountDeclExecutableUnit,CountDeclFile,CountDeclFunction,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclMethod,CountDeclMethodAll,CountDeclMethodDefault,CountDeclMethodPrivate,CountDeclMethodProtected,CountDeclMethodPublic,CountInput,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountOutput,CountPath,CountPathLog,CountSemicolon,CountStmt,CountStmtDecl,CountStmtExe,Cyclomatic,CyclomaticModified,CyclomaticStrict,Essential,Knots,MaxCyclomatic,MaxCyclomaticModified,MaxCyclomaticStrict,MaxEssential,MaxEssentialKnots,MaxInheritanceTree,MaxNesting,MinEssentialKnots,PercentLackOfCohesion,PercentLackOfCohesionModified,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumEssential
File,AgentManagerController.java,1,1,1,1,19,0,12,6,,,,,3,0,0,7,,7,7,4,7,,0,0,0,7,,184,14,104,60,41,66,,,,59,72,46,34,,,,,,3,3,4,3,,,1,,,,0.63,11,11,12,9
File,UserController.java,2,2,2,1,23,0,12,10,,,,,1,0,0,10,,10,10,1,10,,0,1,0,9,,308,25,155,75,73,128,,,,87,108,53,67,,,,,,4,4,4,4,,,2,,,,0.83,20,20,20,13
Package,org,0,0,0,0,0,0,0,0,,,,,0,0,0,,0,,0,0,0,,0,0,0,0,,0,0,0,0,0,0,,,,0,0,0,0,,,,,,0,0,0,0,,,0,,,,0,0,0,0,0
Package,org.ngrinder,0,0,0,0,0,0,0,0,,,,,0,0,0,,0,,0,0,0,,0,0,0,0,,0,0,0,0,0,0,,,,0,0,0,0,,,,,,0,0,0,0,,,0,,,,0,0,0,0,0
Package,org.ngrinder.agent,0,0,0,0,0,0,0,0,,,,,0,0,0,,0,,0,0,0,,0,0,0,0,,0,0,0,0,0,0,,,,0,0,0,0,,,,,,0,0,0,0,,,0,,,,0,0,0,0,0
Package,org.ngrinder.agent.controller,1,1,1,1,19,0,12,6,,,,,3,0,0,,1,,7,4,7,,0,0,0,7,,184,14,104,60,41,66,,,,59,72,46,34,,,,,,3,3,4,3,,,1,,,,0.63,11,11,12,9
Public Class,org.ngrinder.agent.controller.AgentManagerController,1,1,1,1,22,0,13,9,1,23,23,0,,0,0,,,,5,4,5,5,0,0,0,5,,142,10,79,35,41,53,,,,34,47,21,34,,,,,,2,2,2,1,,2,1,,60,60,0.67,6,6,6,5
Public Method,org.ngrinder.agent.controller.AgentManagerController.approveAgent,,,,,,,,,,,,,,,,,,,,,,,,,,,3,15,0,6,3,2,9,2,1,0,2,3,1,2,1,1,1,1,0,,,,,0,,0,0,,,1.5,1,1,1,1
Public Method,org.ngrinder.agent.controller.AgentManagerController.getAgent,,,,,,,,,,,,,,,,,,,,,,,,,,,3,15,0,6,3,3,9,3,1,0,3,4,2,3,1,1,1,1,0,,,,,0,,0,0,,,1.5,1,1,1,1
Public Method,org.ngrinder.agent.controller.AgentManagerController.getAgentList,,,,,,,,,,,,,,,,,,,,,,,,,,,6,45,1,35,8,27,9,10,1,0,17,23,8,20,1,1,1,1,0,,,,,0,,0,0,,,0.26,1,1,1,1
