Kind,Name,AvgCyclomatic,AvgCyclomaticModified,AvgCyclomaticStrict,AvgEssential,AvgLine,AvgLineBlank,AvgLineCode,AvgLineComment,CountClassBase,CountClassCoupled,CountClassCoupledModified,CountClassDerived,CountDeclClass,CountDeclClassMethod,CountDeclClassVariable,CountDeclExecutableUnit,CountDeclFile,CountDeclFunction,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclMethod,CountDeclMethodAll,CountDeclMethodDefault,CountDeclMethodPrivate,CountDeclMethodProtected,CountDeclMethodPublic,CountInput,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountOutput,CountPath,CountPathLog,CountSemicolon,CountStmt,CountStmtDecl,CountStmtExe,Cyclomatic,CyclomaticModified,CyclomaticStrict,Essential,Knots,MaxCyclomatic,MaxCyclomaticModified,MaxCyclomaticStrict,MaxEssential,MaxEssentialKnots,MaxInheritanceTree,MaxNesting,MinEssentialKnots,PercentLackOfCohesion,PercentLackOfCohesionModified,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumEssential
File,"AgentManagerController.java",1,1,1,1,19,0,12,6,,,,,3,0,0,7,,7,7,4,7,,0,0,0,7,,183,15,102,58,39,66,,,,56,69,43,32,,,,,,3,3,4,3,,,1,,,,"0.65",11,11,12,9
File,"UserController.java",2,2,2,1,23,0,12,10,,,,,1,0,0,10,,10,10,1,10,,0,1,0,9,,308,25,155,75,73,128,,,,87,108,53,67,,,,,,4,4,4,4,,,2,,,,"0.83",20,20,20,13
Package,"org",0,0,0,0,0,0,0,0,,,,,0,0,0,,0,,0,0,0,,0,0,0,0,,0,0,0,0,0,0,,,,0,0,0,0,,,,,,0,0,0,0,,,0,,,,"0.00",0,0,0,0
Package,"org.ngrinder",0,0,0,0,0,0,0,0,,,,,0,0,0,,0,,0,0,0,,0,0,0,0,,0,0,0,0,0,0,,,,0,0,0,0,,,,,,0,0,0,0,,,0,,,,"0.00",0,0,0,0
Package,"org.ngrinder.agent",0,0,0,0,0,0,0,0,,,,,0,0,0,,0,,0,0,0,,0,0,0,0,,0,0,0,0,0,0,,,,0,0,0,0,,,,,,0,0,0,0,,,0,,,,"0.00",0,0,0,0
Package,"org.ngrinder.agent.controller",1,1,1,1,19,0,12,6,,,,,3,0,0,,1,,7,4,7,,0,0,0,7,,183,15,102,58,39,66,,,,56,69,43,32,,,,,,3,3,4,3,,,1,,,,"0.65",11,11,12,9
Public Class,"org.ngrinder.agent.controller.AgentManagerController",1,1,1,1,22,0,13,9,1,20,20,0,,0,0,,,,5,4,5,5,0,0,0,5,,141,10,78,34,39,53,,,,32,45,19,32,,,,,,2,2,2,1,,2,1,,55,55,"0.68",6,6,6,5
Public Method,"org.ngrinder.agent.controller.AgentManagerController.approveAgent",,,,,,,,,,,,,,,,,,,,,,,,,,,6,18,0,9,4,4,9,5,1,0,4,5,1,4,1,1,1,1,0,,,,,0,,0,0,,,"1.00",1,1,1,1
Public Method,"org.ngrinder.agent.controller.AgentManagerController.getAgent",,,,,,,,,,,,,,,,,,,,,,,,,,,3,14,0,5,2,2,9,3,1,0,2,3,1,2,1,1,1,1,0,,,,,0,,0,0,,,"1.80",1,1,1,1
Public Method,"org.ngrinder.agent.controller.AgentManagerController.getAgentList",,,,,,,,,,,,,,,,,,,,,,,,,,,6,45,1,35,8,27,9,10,1,0,17,23,8,20,1,1,1,1,0,,,,,0,,0,0,,,"0.26",1,1,1,1
