Kind,Name,AvgCyclomatic,AvgCyclomaticModified,AvgCyclomaticStrict,AvgEssential,AvgLine,AvgLineBlank,AvgLineCode,AvgLineComment,CountClassBase,CountClassCoupled,CountClassCoupledModified,CountClassDerived,CountDeclClass,CountDeclClassMethod,CountDeclClassVariable,CountDeclExecutableUnit,CountDeclFile,CountDeclFunction,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclMethod,CountDeclMethodAll,CountDeclMethodDefault,CountDeclMethodPrivate,CountDeclMethodProtected,CountDeclMethodPublic,CountInput,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountOutput,CountPath,CountPathLog,CountSemicolon,CountStmt,CountStmtDecl,CountStmtExe,Cyclomatic,CyclomaticModified,CyclomaticStrict,Essential,Knots,MaxCyclomatic,MaxCyclomaticModified,MaxCyclomaticStrict,MaxEssential,MaxEssentialKnots,MaxInheritanceTree,MaxNesting,MinEssentialKnots,PercentLackOfCohesion,PercentLackOfCohesionModified,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumEssential
File,"EnumConverter.java",1,1,1,1,6,0,6,0,,,,,1,3,0,3,,3,0,0,3,,0,1,0,2,,50,7,25,8,11,18,,,,9,15,8,7,,,,,,2,2,2,1,,,1,,,,"0.72",5,5,5,3
File,"EnumConverterTest.java",1,1,1,1,6,0,6,0,,,,,1,0,0,4,,4,4,0,4,,0,0,0,4,,60,9,35,15,13,16,,,,14,21,11,10,,,,,,2,2,2,1,,,1,,,,"0.46",6,6,6,4
Package,"org",0,0,0,0,0,0,0,0,,,,,0,0,0,,0,,0,0,0,,0,0,0,0,,0,0,0,0,0,0,,,,0,0,0,0,,,,,,0,0,0,0,,,0,,,,"0.00",0,0,0,0
Package,"org.ktc",0,0,0,0,0,0,0,0,,,,,0,0,0,,0,,0,0,0,,0,0,0,0,,0,0,0,0,0,0,,,,0,0,0,0,,,,,,0,0,0,0,,,0,,,,"0.00",0,0,0,0
Package,"org.ktc.soapui",0,0,0,0,0,0,0,0,,,,,0,0,0,,0,,0,0,0,,0,0,0,0,,0,0,0,0,0,0,,,,0,0,0,0,,,,,,0,0,0,0,,,0,,,,"0.00",0,0,0,0
Package,"org.ktc.soapui.maven",0,0,0,0,0,0,0,0,,,,,0,0,0,,0,,0,0,0,,0,0,0,0,,0,0,0,0,0,0,,,,0,0,0,0,,,,,,0,0,0,0,,,0,,,,"0.00",0,0,0,0
Package,"org.ktc.soapui.maven.extension",0,0,0,0,0,0,0,0,,,,,0,0,0,,0,,0,0,0,,0,0,0,0,,0,0,0,0,0,0,,,,0,0,0,0,,,,,,0,0,0,0,,,0,,,,"0.00",0,0,0,0
Package,"org.ktc.soapui.maven.extension.impl",0,0,0,0,0,0,0,0,,,,,0,0,0,,0,,0,0,0,,0,0,0,0,,0,0,0,0,0,0,,,,0,0,0,0,,,,,,0,0,0,0,,,0,,,,"0.00",0,0,0,0
Package,"org.ktc.soapui.maven.extension.impl.enums",1,1,1,1,6,0,6,0,,,,,2,3,0,,2,,4,0,7,,0,1,0,6,,110,16,60,23,24,34,,,,23,36,19,17,,,,,,2,2,2,1,,,1,,,,"0.57",11,11,11,7
Public Class,"org.ktc.soapui.maven.extension.impl.enums.EnumConverter",1,1,1,1,6,0,6,0,1,6,6,0,,3,0,,,,0,0,3,3,0,1,0,2,,25,4,21,4,11,0,,,,5,11,4,7,,,,,,2,2,2,1,,1,1,,0,0,"0.00",5,5,5,3
Private Static Method,"org.ktc.soapui.maven.extension.impl.enums.EnumConverter.buildEnumValuesToString",,,,,,,,,,,,,,,,,,,,,,,,,,,3,3,0,3,1,1,0,2,1,0,1,2,1,1,1,1,1,1,0,,,,,0,,0,0,,,"0.00",1,1,1,1
Public Static Method,"org.ktc.soapui.maven.extension.impl.enums.EnumConverter.toProjectConversionType",,,,,,,,,,,,,,,,,,,,,,,,,,,4,8,0,8,1,5,0,4,2,0,2,4,1,3,2,2,2,1,1,,,,,0,,1,0,,,"0.00",2,2,2,1
Public Static Method,"org.ktc.soapui.maven.extension.impl.enums.EnumConverter.toRunnerType",,,,,,,,,,,,,,,,,,,,,,,,,,,4,8,0,8,1,5,0,4,2,0,2,4,1,3,2,2,2,1,1,,,,,0,,1,0,,,"0.00",2,2,2,1
Public Class,"org.ktc.soapui.maven.extension.impl.enums.EnumConverterTest",1,1,1,1,6,0,6,0,1,5,5,0,,0,0,,,,4,0,4,4,0,0,0,4,,34,5,29,9,13,0,,,,8,15,5,10,,,,,,2,2,2,1,,1,1,,0,0,"0.00",6,6,6,4
Public Method,"org.ktc.soapui.maven.extension.impl.enums.EnumConverterTest.toProjectConversionType_from_unknown_value",,,,,,,,,,,,,,,,,,,,,,,,,,,1,10,0,10,2,6,0,5,2,0,3,5,1,4,2,2,2,1,1,,,,,0,,1,0,,,"0.00",2,2,2,1
Public Method,"org.ktc.soapui.maven.extension.impl.enums.EnumConverterTest.toProjectConversionType_valid_value",,,,,,,,,,,,,,,,,,,,,,,,,,,1,4,0,4,2,1,0,3,1,0,1,2,1,1,1,1,1,1,0,,,,,0,,0,0,,,"0.00",1,1,1,1
Public Method,"org.ktc.soapui.maven.extension.impl.enums.EnumConverterTest.toRunnerType_from_unknown_value",,,,,,,,,,,,,,,,,,,,,,,,,,,1,9,0,9,2,5,0,5,2,0,3,5,1,4,2,2,2,1,1,,,,,0,,1,0,,,"0.00",2,2,2,1
Public Method,"org.ktc.soapui.maven.extension.impl.enums.EnumConverterTest.toRunnerType_valid_value",,,,,,,,,,,,,,,,,,,,,,,,,,,1,4,0,4,2,1,0,3,1,0,1,2,1,1,1,1,1,1,0,,,,,0,,0,0,,,"0.00",1,1,1,1
