Kind,Name,AvgCyclomatic,AvgCyclomaticModified,AvgCyclomaticStrict,AvgEssential,AvgLine,AvgLineBlank,AvgLineCode,AvgLineComment,CountClassBase,CountClassCoupled,CountClassCoupledModified,CountClassDerived,CountDeclClass,CountDeclClassMethod,CountDeclClassVariable,CountDeclExecutableUnit,CountDeclFile,CountDeclFunction,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclMethod,CountDeclMethodAll,CountDeclMethodDefault,CountDeclMethodPrivate,CountDeclMethodProtected,CountDeclMethodPublic,CountInput,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountOutput,CountPath,CountPathLog,CountSemicolon,CountStmt,CountStmtDecl,CountStmtExe,Cyclomatic,CyclomaticModified,CyclomaticStrict,Essential,Knots,MaxCyclomatic,MaxCyclomaticModified,MaxCyclomaticStrict,MaxEssential,MaxEssentialKnots,MaxInheritanceTree,MaxNesting,MinEssentialKnots,PercentLackOfCohesion,PercentLackOfCohesionModified,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumEssential
File,"AbstractSoapuiMojo.java",1,1,1,1,8,0,7,1,,,,,1,0,0,2,,3,3,1,3,,0,1,1,1,,51,7,26,16,9,18,,,,17,21,15,8,,,,,,2,2,2,1,,,1,,,,"0.69",3,3,3,2
File,"TestMojo.java",26,26,28,1,106,4,101,1,,,,,1,0,1,1,,1,1,28,1,,0,0,0,1,,168,11,139,42,75,18,,,,78,106,42,66,,,,,,26,26,28,1,,,2,,,,"0.13",26,26,28,1
File,"TestVerifyMojo.java",2,2,2,1,10,0,10,0,,,,,1,0,0,1,,1,1,0,1,,0,0,0,1,,39,6,17,9,6,16,,,,9,12,8,5,,,,,,2,2,2,1,,,1,,,,"0.94",2,2,2,1
Package,"org",0,0,0,0,0,0,0,0,,,,,0,0,0,,0,,0,0,0,,0,0,0,0,,0,0,0,0,0,0,,,,0,0,0,0,,,,,,0,0,0,0,,,0,,,,"0.00",0,0,0,0
Package,"org.ktc",0,0,0,0,0,0,0,0,,,,,0,0,0,,0,,0,0,0,,0,0,0,0,,0,0,0,0,0,0,,,,0,0,0,0,,,,,,0,0,0,0,,,0,,,,"0.00",0,0,0,0
Package,"org.ktc.soapui",0,0,0,0,0,0,0,0,,,,,0,0,0,,0,,0,0,0,,0,0,0,0,,0,0,0,0,0,0,,,,0,0,0,0,,,,,,0,0,0,0,,,0,,,,"0.00",0,0,0,0
Package,"org.ktc.soapui.maven",0,0,0,0,0,0,0,0,,,,,0,0,0,,0,,0,0,0,,0,0,0,0,,0,0,0,0,0,0,,,,0,0,0,0,,,,,,0,0,0,0,,,0,,,,"0.00",0,0,0,0
Package,"org.ktc.soapui.maven.extension",7,7,8,1,33,1,31,0,,,,,3,0,1,,3,,5,29,5,,0,1,1,3,,258,24,182,67,90,52,,,,104,139,65,79,,,,,,26,26,28,1,,,2,,,,"0.29",31,31,33,4
Public Abstract Class,"org.ktc.soapui.maven.extension.AbstractSoapuiMojo",1,1,1,1,8,0,7,1,1,7,7,2,,0,0,,,,3,1,3,3,0,1,1,1,,25,4,19,9,9,2,,,,10,14,8,8,,,,,,2,2,2,1,,2,1,,50,0,"0.11",3,3,3,2
Private Method,"org.ktc.soapui.maven.extension.AbstractSoapuiMojo.configureDefaultLogDirectory",,,,,,,,,,,,,,,,,,,,,,,,,,,3,11,0,9,4,6,2,7,2,0,5,7,4,5,2,2,2,1,0,,,,,0,,1,0,,,"0.22",2,2,2,1
Public Final Method,"org.ktc.soapui.maven.extension.AbstractSoapuiMojo.execute",,,,,,,,,,,,,,,,,,,,,,,,,,,0,6,0,6,2,3,0,6,1,0,3,4,1,3,1,1,1,1,0,,,,,0,,0,0,,,"0.00",1,1,1,1
Protected Abstract Method,"org.ktc.soapui.maven.extension.AbstractSoapuiMojo.performExecute",,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,0,1,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,,,,,0,,0,0,,,"0.00",0,0,0,0
Public Class,"org.ktc.soapui.maven.extension.TestMojo",26,26,28,1,106,4,101,1,1,9,9,0,,0,1,,,,1,28,1,4,0,0,0,1,,142,8,132,35,75,2,,,,71,99,35,66,,,,,,26,26,28,1,,3,2,,0,0,"0.02",26,26,28,1
Public Method,"org.ktc.soapui.maven.extension.TestMojo.performExecute",,,,,,,,,,,,,,,,,,,,,,,,,,,33,106,4,101,5,74,1,40,9437185,7,42,69,5,66,26,26,28,1,3,,,,,0,,2,0,,,"0.01",26,26,28,1
Public Class,"org.ktc.soapui.maven.extension.TestVerifyMojo",2,2,2,1,10,0,10,0,1,6,6,0,,0,0,,,,1,0,1,4,0,0,0,1,,14,2,12,4,6,0,,,,4,7,3,5,,,,,,2,2,2,1,,3,1,,0,0,"0.00",2,2,2,1
Public Method,"org.ktc.soapui.maven.extension.TestVerifyMojo.performExecute",,,,,,,,,,,,,,,,,,,,,,,,,,,2,10,0,10,3,6,0,5,2,0,4,6,2,5,2,2,2,1,0,,,,,0,,1,0,,,"0.00",2,2,2,1
