Kind,Name,AvgCyclomatic,AvgCyclomaticModified,AvgCyclomaticStrict,AvgEssential,AvgLine,AvgLineBlank,AvgLineCode,AvgLineComment,CountClassBase,CountClassCoupled,CountClassCoupledModified,CountClassDerived,CountDeclClass,CountDeclClassMethod,CountDeclClassVariable,CountDeclExecutableUnit,CountDeclFile,CountDeclFunction,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclMethod,CountDeclMethodAll,CountDeclMethodDefault,CountDeclMethodPrivate,CountDeclMethodProtected,CountDeclMethodPublic,CountInput,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountOutput,CountPath,CountPathLog,CountSemicolon,CountStmt,CountStmtDecl,CountStmtExe,Cyclomatic,CyclomaticModified,CyclomaticStrict,Essential,Knots,MaxCyclomatic,MaxCyclomaticModified,MaxCyclomaticStrict,MaxEssential,MaxEssentialKnots,MaxInheritanceTree,MaxNesting,MinEssentialKnots,PercentLackOfCohesion,PercentLackOfCohesionModified,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumEssential
File,"CertificateAuthSettings.java",1,1,1,1,7,0,3,4,,,,,1,1,1,22,,22,21,7,22,,0,1,0,21,,229,28,92,39,31,109,,,,45,68,38,30,,,,,,1,1,1,1,,,0,,,,"1.18",22,22,22,22
File,"ClassPathResolver.java",1,1,2,1,5,0,5,0,,,,,1,2,0,2,,2,0,0,2,,0,1,0,1,,33,4,14,4,6,15,,,,5,9,4,5,,,,,,2,2,2,1,,,1,,,,"1.07",3,3,4,2
File,"ConnectionConfig.java",1,1,1,1,6,0,3,3,,,,,2,1,0,15,,15,14,4,15,,0,1,0,14,,160,22,64,26,20,74,,,,28,46,26,20,,,,,,2,2,2,1,,,1,,,,"1.16",16,16,16,15
File,"Cookie.java",2,2,2,1,10,0,5,4,,,,,2,0,11,32,,32,32,20,32,,0,1,0,31,,442,45,224,80,119,173,,,,130,187,75,115,,,,,,19,19,20,13,,,1,,,,"0.77",70,70,71,44
File,"Cookies.java",1,1,1,1,7,0,3,4,,,,,1,1,0,14,,14,13,1,14,,0,0,1,13,,150,19,57,22,21,74,,,,26,41,21,21,,,,,,1,1,1,1,,,0,,,,"1.30",14,14,14,14
File,"CustomHttpMethod.java",1,1,1,1,3,0,3,0,,,,,1,0,0,3,,3,3,1,3,,0,0,0,3,,42,8,19,10,5,15,,,,11,15,10,5,,,,,,1,1,1,1,,,0,,,,"0.79",3,3,3,3
File,"DecoderConfig.java",1,1,1,1,8,0,4,4,,,,,3,3,3,28,,26,25,7,28,,0,4,0,24,,326,35,143,54,63,148,,,,70,104,50,59,,,,,,3,3,3,3,,,1,,,,"1.03",33,33,35,28
File,"EncoderConfig.java",1,1,1,1,9,0,4,5,,,,,2,1,3,24,,24,23,6,24,,0,1,0,23,,306,32,135,55,60,139,,,,72,102,51,58,,,,,,3,3,3,3,,,1,,,,"1.03",28,28,29,26
File,"FailureConfig.java",1,1,1,1,4,0,4,0,,,,,1,1,1,9,,9,8,2,9,,0,1,0,8,,95,16,49,22,19,30,,,,27,38,22,19,,,,,,2,2,2,1,,,1,,,,"0.61",10,10,10,9
File,"FormAuthConfig.java",1,1,1,1,11,0,3,7,,,,,1,2,0,32,,32,30,9,32,,0,1,0,31,,447,39,148,56,58,260,,,,73,109,54,57,,,,,,2,2,6,1,,,1,,,,"1.76",35,35,42,32
