Kind,Name,AvgCyclomatic,AvgCyclomaticModified,AvgCyclomaticStrict,AvgEssential,AvgLine,AvgLineBlank,AvgLineCode,AvgLineComment,CountClassBase,CountClassCoupled,CountClassCoupledModified,CountClassDerived,CountDeclClass,CountDeclClassMethod,CountDeclClassVariable,CountDeclExecutableUnit,CountDeclFile,CountDeclFunction,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclMethod,CountDeclMethodAll,CountDeclMethodDefault,CountDeclMethodPrivate,CountDeclMethodProtected,CountDeclMethodPublic,CountInput,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountOutput,CountPath,CountPathLog,CountSemicolon,CountStmt,CountStmtDecl,CountStmtExe,Cyclomatic,CyclomaticModified,CyclomaticStrict,Essential,Knots,MaxCyclomatic,MaxCyclomaticModified,MaxCyclomaticStrict,MaxEssential,MaxEssentialKnots,MaxInheritanceTree,MaxNesting,MinEssentialKnots,PercentLackOfCohesion,PercentLackOfCohesionModified,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumEssential
File,"AbstractIrpQueue.java",2,2,2,1,18,0,12,5,,,,,2,0,0,9,,11,11,3,11,,2,0,5,4,,226,23,122,33,53,81,,,,49,71,31,46,,,,,,4,4,4,1,,,3,,,,"0.66",19,19,21,9
File,"ControlIrpQueue.java",1,1,1,1,8,0,5,2,,,,,1,0,0,3,,3,3,1,3,,1,0,2,0,,50,6,26,13,5,18,,,,10,14,10,4,,,,,,1,1,1,1,,,0,,,,"0.69",3,3,3,3
File,"IrpQueue.java",3,3,4,1,31,0,24,6,,,,,1,0,0,6,,6,6,1,6,,1,3,2,0,,228,16,163,46,88,49,,,,68,91,40,66,,,,,,7,7,8,3,,,3,,,,"0.30",23,22,25,10
Package,"de",0,0,0,0,0,0,0,0,,,,,0,0,0,,0,,0,0,0,,0,0,0,0,,0,0,0,0,0,0,,,,0,0,0,0,,,,,,0,0,0,0,,,0,,,,"0.00",0,0,0,0
Package,"de.ailis",0,0,0,0,0,0,0,0,,,,,0,0,0,,0,,0,0,0,,0,0,0,0,,0,0,0,0,0,0,,,,0,0,0,0,,,,,,0,0,0,0,,,0,,,,"0.00",0,0,0,0
Package,"de.ailis.usb4java",2,2,2,1,21,0,15,5,,,,,4,0,0,,3,,20,5,20,,4,3,9,4,,504,45,311,92,146,148,,,,127,176,81,116,,,,,,7,7,8,3,,,3,,,,"0.48",45,44,49,22
Abstract Generic Class,"de.ailis.usb4java.AbstractIrpQueue",2,2,2,1,20,0,12,6,1,15,15,2,,0,0,,,,10,3,10,10,2,0,5,3,,205,17,111,22,53,77,,,,38,60,20,46,,,,,,4,4,4,1,,1,3,,62,54,"0.69",18,18,20,8
Constructor,"de.ailis.usb4java.AbstractIrpQueue.AbstractIrpQueue",,,,,,,,,,,,,,,,,,,,,,,,,,,3,12,0,6,1,3,6,2,2,0,2,4,1,3,2,2,2,1,0,,,,,0,,1,0,,,"1.00",2,2,2,1
TypeVariable,"de.ailis.usb4java.AbstractIrpQueue.T",0,0,0,0,0,0,0,0,0,1,1,0,,0,0,,,,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,,,,0,0,0,0,,,,,,0,0,0,0,,0,0,,0,0,"0.00",0,0,0,0
Public Final Method,"de.ailis.usb4java.AbstractIrpQueue.abort",,,,,,,,,,,,,,,,,,,,,,,,,,,1,23,0,18,1,7,5,5,4,1,3,8,1,7,4,4,4,1,1,,,,,0,,3,0,,,"0.28",4,4,4,1
Public Final Method,"de.ailis.usb4java.AbstractIrpQueue.add",,,,,,,,,,,,,,,,,,,,,,,,,,,3,25,1,17,1,9,7,4,2,0,5,8,2,6,2,2,2,1,0,,,,,0,,0,0,,,"0.41",2,2,2,1
Anonymous Class,"de.ailis.usb4java.AbstractIrpQueue.add.(Anon_1)",1,1,1,1,5,0,5,0,1,2,2,0,,0,0,,,,1,0,1,1,0,0,0,1,,6,0,6,0,3,0,,,,1,2,1,1,,,,,,1,1,1,1,,2,0,,0,0,"0.00",1,1,1,1
Public Method,"de.ailis.usb4java.AbstractIrpQueue.add.(Anon_1).run",,,,,,,,,,,,,,,,,,,,,,,,,,,0,5,0,5,0,3,0,1,1,0,1,2,1,1,1,1,1,1,0,,,,,0,,0,0,,,"0.00",1,1,1,1
Protected Abstract Method,"de.ailis.usb4java.AbstractIrpQueue.finishIrp",,,,,,,,,,,,,,,,,,,,,,,,,,,1,8,0,1,1,0,7,0,0,0,1,1,1,0,0,0,0,0,0,,,,,0,,0,0,,,"7.00",0,0,0,0
Protected Final Method,"de.ailis.usb4java.AbstractIrpQueue.getConfig",,,,,,,,,,,,,,,,,,,,,,,,,,,4,9,0,4,1,1,5,3,1,0,1,2,1,1,1,1,1,1,0,,,,,0,,0,0,,,"1.25",1,1,1,1
Protected Final Method,"de.ailis.usb4java.AbstractIrpQueue.getDevice",,,,,,,,,,,,,,,,,,,,,,,,,,,5,9,0,4,1,1,5,1,1,0,1,2,1,1,1,1,1,1,0,,,,,0,,0,0,,,"1.25",1,1,1,1
Public Final Method,"de.ailis.usb4java.AbstractIrpQueue.isBusy",,,,,,,,,,,,,,,,,,,,,,,,,,,3,10,0,4,1,1,6,2,1,0,1,2,1,1,1,1,2,1,0,,,,,0,,0,0,,,"1.50",1,1,2,1
Final Method,"de.ailis.usb4java.AbstractIrpQueue.process",,,,,,,,,,,,,,,,,,,,,,,,,,,3,39,4,25,3,14,10,7,5,1,10,15,3,14,4,4,4,1,1,,,,,0,,2,0,,,"0.40",4,4,4,1
Protected Final Method,"de.ailis.usb4java.AbstractIrpQueue.processControlIrp",,,,,,,,,,,,,,,,,,,,,,,,,,,3,33,0,25,7,16,8,19,4,1,10,13,4,12,3,3,4,1,0,,,,,0,,1,0,,,"0.32",3,3,4,1
Protected Abstract Method,"de.ailis.usb4java.AbstractIrpQueue.processIrp",,,,,,,,,,,,,,,,,,,,,,,,,,,1,9,0,1,1,0,8,0,0,0,1,1,1,0,0,0,0,0,0,,,,,0,,0,0,,,"8.00",0,0,0,0
Final Class,"de.ailis.usb4java.ControlIrpQueue",1,1,1,1,8,0,5,2,1,7,7,0,,0,0,,,,3,1,3,13,1,0,2,0,,38,3,21,8,5,14,,,,5,9,5,4,,,,,,1,1,1,1,,2,0,,33,33,"0.67",3,3,3,3
Constructor,"de.ailis.usb4java.ControlIrpQueue.ControlIrpQueue",,,,,,,,,,,,,,,,,,,,,,,,,,,2,14,0,6,2,2,8,3,1,0,2,3,1,2,1,1,1,1,0,,,,,0,,0,0,,,"1.33",1,1,1,1
Protected Method,"de.ailis.usb4java.ControlIrpQueue.finishIrp",,,,,,,,,,,,,,,,,,,,,,,,,,,2,6,0,6,2,2,0,2,1,0,1,2,1,1,1,1,1,1,0,,,,,0,,0,0,,,"0.00",1,1,1,1
Protected Method,"de.ailis.usb4java.ControlIrpQueue.processIrp",,,,,,,,,,,,,,,,,,,,,,,,,,,1,5,0,5,2,1,0,1,1,0,1,2,1,1,1,1,1,1,0,,,,,0,,0,0,,,"0.00",1,1,1,1
Final Class,"de.ailis.usb4java.IrpQueue",3,3,4,1,31,0,24,6,1,14,14,0,,0,0,,,,6,1,6,16,1,3,2,0,,206,11,150,33,88,45,,,,55,78,27,66,,,,,,7,7,8,3,,2,3,,0,0,"0.30",23,22,25,10
Constructor,"de.ailis.usb4java.IrpQueue.IrpQueue",,,,,,,,,,,,,,,,,,,,,,,,,,,1,11,0,5,1,2,6,4,1,0,2,3,1,2,1,1,1,1,0,,,,,0,,0,0,,,"1.20",1,1,1,1
Protected Method,"de.ailis.usb4java.IrpQueue.finishIrp",,,,,,,,,,,,,,,,,,,,,,,,,,,2,5,0,5,2,1,0,1,1,0,1,2,1,1,1,1,1,1,0,,,,,0,,0,0,,,"0.00",1,1,1,1
Private Method,"de.ailis.usb4java.IrpQueue.getEndpointDescriptor",,,,,,,,,,,,,,,,,,,,,,,,,,,3,9,0,4,1,1,5,3,1,0,1,2,1,1,1,1,1,1,0,,,,,0,,0,0,,,"1.25",1,1,1,1
Protected Method,"de.ailis.usb4java.IrpQueue.processIrp",,,,,,,,,,,,,,,,,,,,,,,,,,,5,39,3,36,5,24,0,12,6,1,12,17,4,16,6,5,8,1,4,,,,,0,,2,0,,,"0.00",6,5,8,1
Private Method,"de.ailis.usb4java.IrpQueue.read",,,,,,,,,,,,,,,,,,,,,,,,,,,8,63,1,48,11,30,14,17,11,1,19,26,9,23,7,7,7,3,4,,,,,3,,3,2,,,"0.29",7,7,7,3
Private Method,"de.ailis.usb4java.IrpQueue.write",,,,,,,,,,,,,,,,,,,,,,,,,,,8,63,1,48,11,30,14,18,11,1,19,26,9,23,7,7,7,3,4,,,,,3,,3,2,,,"0.29",7,7,7,3
