Kind,Name,AvgCyclomatic,AvgCyclomaticModified,AvgCyclomaticStrict,AvgEssential,AvgLine,AvgLineBlank,AvgLineCode,AvgLineComment,CountClassBase,CountClassCoupled,CountClassCoupledModified,CountClassDerived,CountDeclClass,CountDeclClassMethod,CountDeclClassVariable,CountDeclExecutableUnit,CountDeclFile,CountDeclFunction,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclMethod,CountDeclMethodAll,CountDeclMethodDefault,CountDeclMethodPrivate,CountDeclMethodProtected,CountDeclMethodPublic,CountInput,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountOutput,CountPath,CountPathLog,CountSemicolon,CountStmt,CountStmtDecl,CountStmtExe,Cyclomatic,CyclomaticModified,CyclomaticStrict,Essential,Knots,MaxCyclomatic,MaxCyclomaticModified,MaxCyclomaticStrict,MaxEssential,MaxEssentialKnots,MaxInheritanceTree,MaxNesting,MinEssentialKnots,PercentLackOfCohesion,PercentLackOfCohesionModified,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumEssential
File,"DictionaryImportAction.java",1,1,1,1,11,0,6,4,,,,,1,0,1,5,,5,5,1,5,,0,1,0,4,,164,20,56,36,20,88,,,,36,44,31,18,,,,,,3,3,3,1,,,1,,,,"1.57",8,8,8,5
File,"DictionaryImportWorker.java",2,2,2,1,15,1,13,0,,,,,1,0,0,5,,5,5,4,5,,0,2,1,2,,140,19,90,36,50,31,,,,60,73,35,43,,,,,,5,5,5,1,,,2,,,,"0.34",12,12,14,5
Package,"gov",0,0,0,0,0,0,0,0,,,,,0,0,0,,0,,0,0,0,,0,0,0,0,,0,0,0,0,0,0,,,,0,0,0,0,,,,,,0,0,0,0,,,0,,,,"0.00",0,0,0,0
Package,"gov.nasa",0,0,0,0,0,0,0,0,,,,,0,0,0,,0,,0,0,0,,0,0,0,0,,0,0,0,0,0,0,,,,0,0,0,0,,,,,,0,0,0,0,,,0,,,,"0.00",0,0,0,0
Package,"gov.nasa.arc",0,0,0,0,0,0,0,0,,,,,0,0,0,,0,,0,0,0,,0,0,0,0,,0,0,0,0,0,0,,,,0,0,0,0,,,,,,0,0,0,0,,,0,,,,"0.00",0,0,0,0
Package,"gov.nasa.arc.mct",0,0,0,0,0,0,0,0,,,,,0,0,0,,0,,0,0,0,,0,0,0,0,,0,0,0,0,0,0,,,,0,0,0,0,,,,,,0,0,0,0,,,0,,,,"0.00",0,0,0,0
Package,"gov.nasa.arc.mct.data",0,0,0,0,0,0,0,0,,,,,0,0,0,,0,,0,0,0,,0,0,0,0,,0,0,0,0,0,0,,,,0,0,0,0,,,,,,0,0,0,0,,,0,,,,"0.00",0,0,0,0
Package,"gov.nasa.arc.mct.data.action",2,2,2,1,13,1,10,2,,,,,2,0,1,,2,,10,5,10,,0,3,1,6,,304,39,146,72,70,119,,,,96,117,66,61,,,,,,5,5,5,1,,,2,,,,"0.82",20,20,22,10
Public Class,"gov.nasa.arc.mct.data.action.DictionaryImportAction",1,1,1,1,11,0,6,4,1,11,11,0,,0,1,,,,5,1,5,5,0,1,0,4,,142,16,38,18,20,88,,,,18,26,13,18,,,,,,3,3,3,1,,2,1,,60,60,"2.32",8,8,8,5
Public Constructor,"gov.nasa.arc.mct.data.action.DictionaryImportAction.DictionaryImportAction",,,,,,,,,,,,,,,,,,,,,,,,,,,2,3,0,3,1,1,0,2,1,0,1,2,1,1,1,1,1,1,0,,,,,0,,0,0,,,"0.00",1,1,1,1
Public Method,"gov.nasa.arc.mct.data.action.DictionaryImportAction.actionPerformed",,,,,,,,,,,,,,,,,,,,,,,,,,,1,28,1,14,8,9,13,8,2,0,7,9,5,8,2,2,2,1,0,,,,,0,,1,0,,,"0.93",2,2,2,1
Public Method,"gov.nasa.arc.mct.data.action.DictionaryImportAction.canHandle",,,,,,,,,,,,,,,,,,,,,,,,,,,1,5,0,5,2,2,0,2,1,0,2,3,1,2,1,1,1,1,0,,,,,0,,0,0,,,"0.00",1,1,1,1
Public Method,"gov.nasa.arc.mct.data.action.DictionaryImportAction.isEnabled",,,,,,,,,,,,,,,,,,,,,,,,,,,0,4,0,4,2,1,0,1,1,0,1,2,1,1,1,1,1,1,0,,,,,0,,0,0,,,"0.00",1,1,1,1
Private Method,"gov.nasa.arc.mct.data.action.DictionaryImportAction.selectFile",,,,,,,,,,,,,,,,,,,,,,,,,,,5,18,1,8,2,6,9,6,2,0,5,7,2,6,3,3,3,1,1,,,,,0,,1,0,,,"1.12",3,3,3,1
Public Class,"gov.nasa.arc.mct.data.action.DictionaryImportWorker",2,2,2,1,15,1,13,0,1,19,19,0,,0,0,,,,5,4,5,5,0,2,1,2,,120,15,74,20,50,31,,,,44,57,19,43,,,,,,5,5,5,1,,2,2,,60,40,"0.42",12,12,14,5
Public Constructor,"gov.nasa.arc.mct.data.action.DictionaryImportWorker.DictionaryImportWorker",,,,,,,,,,,,,,,,,,,,,,,,,,,3,11,2,9,1,6,0,8,2,0,5,7,1,6,2,2,3,1,0,,,,,0,,1,0,,,"0.00",2,2,3,1
Private Method,"gov.nasa.arc.mct.data.action.DictionaryImportWorker.createDataComponent",,,,,,,,,,,,,,,,,,,,,,,,,,,7,21,3,18,4,14,0,15,3,0,12,15,4,13,3,3,4,1,0,,,,,0,,2,0,,,"0.00",3,3,4,1
Protected Method,"gov.nasa.arc.mct.data.action.DictionaryImportWorker.doInBackground",,,,,,,,,,,,,,,,,,,,,,,,,,,1,8,1,7,3,4,0,4,1,0,4,5,2,4,1,1,1,1,0,,,,,0,,0,0,,,"0.00",1,1,1,1
Public Method,"gov.nasa.arc.mct.data.action.DictionaryImportWorker.getException",,,,,,,,,,,,,,,,,,,,,,,,,,,1,3,0,3,1,1,0,1,1,0,1,2,1,1,1,1,1,1,0,,,,,0,,0,0,,,"0.00",1,1,1,1
Private Method,"gov.nasa.arc.mct.data.action.DictionaryImportWorker.parseDictionary",,,,,,,,,,,,,,,,,,,,,,,,,,,5,35,3,31,6,25,1,14,9,1,18,23,6,19,5,5,5,1,2,,,,,0,,2,0,,,"0.03",5,5,5,1
