Kind,Name,AvgCyclomatic,AvgCyclomaticModified,AvgCyclomaticStrict,AvgEssential,AvgLine,AvgLineBlank,AvgLineCode,AvgLineComment,CountClassBase,CountClassCoupled,CountClassCoupledModified,CountClassDerived,CountDeclClass,CountDeclClassMethod,CountDeclClassVariable,CountDeclExecutableUnit,CountDeclFile,CountDeclFunction,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclMethod,CountDeclMethodAll,CountDeclMethodDefault,CountDeclMethodPrivate,CountDeclMethodProtected,CountDeclMethodPublic,CountInput,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountOutput,CountPath,CountPathLog,CountSemicolon,CountStmt,CountStmtDecl,CountStmtExe,Cyclomatic,CyclomaticModified,CyclomaticStrict,Essential,Knots,MaxCyclomatic,MaxCyclomaticModified,MaxCyclomaticStrict,MaxEssential,MaxEssentialKnots,MaxInheritanceTree,MaxNesting,MinEssentialKnots,PercentLackOfCohesion,PercentLackOfCohesionModified,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumEssential
File,"ModelerWorkspace.java",2,2,2,1,11,0,9,0,,,,,6,0,1,79,,79,79,21,79,,0,5,3,71,,1015,168,788,249,480,77,,,,389,590,247,425,,,,,,39,39,39,28,,,7,,,,"0.10",175,174,187,117
Package,"org",0,0,0,0,0,0,0,0,,,,,0,0,0,,0,,0,0,0,,0,0,0,0,,0,0,0,0,0,0,,,,0,0,0,0,,,,,,0,0,0,0,,,0,,,,"0.00",0,0,0,0
Package,"org.pentaho",0,0,0,0,0,0,0,0,,,,,0,0,0,,0,,0,0,0,,0,0,0,0,,0,0,0,0,0,0,,,,0,0,0,0,,,,,,0,0,0,0,,,0,,,,"0.00",0,0,0,0
Package,"org.pentaho.agilebi",0,0,0,0,0,0,0,0,,,,,0,0,0,,0,,0,0,0,,0,0,0,0,,0,0,0,0,0,0,,,,0,0,0,0,,,,,,0,0,0,0,,,0,,,,"0.00",0,0,0,0
Package,"org.pentaho.agilebi.modeler",2,2,2,1,11,0,9,0,,,,,6,0,1,,1,,79,21,79,,0,5,3,71,,1015,168,788,249,480,77,,,,389,590,247,425,,,,,,39,39,39,28,,,7,,,,"0.10",175,174,187,117
Public Class,"org.pentaho.agilebi.modeler.ModelerWorkspace",2,2,2,1,11,0,10,0,2,48,48,0,,0,1,,,,74,21,74,74,0,5,3,66,,980,164,773,234,480,61,,,,374,575,232,425,,,,,,39,39,39,28,,2,7,,94,86,"0.08",168,167,180,112
Public Constructor,"org.pentaho.agilebi.modeler.ModelerWorkspace.ModelerWorkspace",,,,,,,,,,,,,,,,,,,,,,,,,,,2,12,3,9,1,7,0,9,1,0,7,8,1,7,1,1,1,1,0,,,,,0,,0,0,,,"0.00",1,1,1,1
Public Method,"org.pentaho.agilebi.modeler.ModelerWorkspace.addCategory",,,,,,,,,,,,,,,,,,,,,,,,,,,3,6,0,6,2,4,0,3,1,0,4,5,2,3,1,1,1,1,0,,,,,0,,0,0,,,"0.00",1,1,1,1
Public Method,"org.pentaho.agilebi.modeler.ModelerWorkspace.addDimension",,,,,,,,,,,,,,,,,,,,,,,,,,,4,6,0,6,2,4,0,3,1,0,4,5,2,3,1,1,1,1,0,,,,,0,,0,0,,,"0.00",1,1,1,1
Public Method,"org.pentaho.agilebi.modeler.ModelerWorkspace.addDimensionFromNode",,,,,,,,,,,,,,,,,,,,,,,,,,,1,3,0,3,1,1,0,2,1,0,1,2,1,1,1,1,1,1,0,,,,,0,,0,0,,,"0.00",1,1,1,1
