Kind,Name,AvgCyclomatic,AvgCyclomaticModified,AvgCyclomaticStrict,AvgEssential,AvgLine,AvgLineBlank,AvgLineCode,AvgLineComment,CountClassBase,CountClassCoupled,CountClassCoupledModified,CountClassDerived,CountDeclClass,CountDeclClassMethod,CountDeclClassVariable,CountDeclExecutableUnit,CountDeclFile,CountDeclFunction,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclMethod,CountDeclMethodAll,CountDeclMethodDefault,CountDeclMethodPrivate,CountDeclMethodProtected,CountDeclMethodPublic,CountInput,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountOutput,CountPath,CountPathLog,CountSemicolon,CountStmt,CountStmtDecl,CountStmtExe,Cyclomatic,CyclomaticModified,CyclomaticStrict,Essential,Knots,MaxCyclomatic,MaxCyclomaticModified,MaxCyclomaticStrict,MaxEssential,MaxEssentialKnots,MaxInheritanceTree,MaxNesting,MinEssentialKnots,PercentLackOfCohesion,PercentLackOfCohesionModified,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumEssential
File,"SteamCommunityTest.java",1,1,1,1,19,3,13,4,,,,,1,0,0,8,,8,8,2,8,,0,0,0,8,,200,43,133,45,89,48,,,,77,86,35,61,,,,,,1,1,1,1,,,0,,,,"0.36",8,8,8,8
Package,"com",0,0,0,0,0,0,0,0,,,,,0,0,0,,0,,0,0,0,,0,0,0,0,,0,0,0,0,0,0,,,,0,0,0,0,,,,,,0,0,0,0,,,0,,,,"0.00",0,0,0,0
Package,"com.github",0,0,0,0,0,0,0,0,,,,,0,0,0,,0,,0,0,0,,0,0,0,0,,0,0,0,0,0,0,,,,0,0,0,0,,,,,,0,0,0,0,,,0,,,,"0.00",0,0,0,0
Package,"com.github.koraktor",0,0,0,0,0,0,0,0,,,,,0,0,0,,0,,0,0,0,,0,0,0,0,,0,0,0,0,0,0,,,,0,0,0,0,,,,,,0,0,0,0,,,0,,,,"0.00",0,0,0,0
Package,"com.github.koraktor.steamcondenser",0,0,0,0,0,0,0,0,,,,,0,0,0,,0,,0,0,0,,0,0,0,0,,0,0,0,0,0,0,,,,0,0,0,0,,,,,,0,0,0,0,,,0,,,,"0.00",0,0,0,0
Package,"com.github.koraktor.steamcondenser.steam",0,0,0,0,0,0,0,0,,,,,0,0,0,,0,,0,0,0,,0,0,0,0,,0,0,0,0,0,0,,,,0,0,0,0,,,,,,0,0,0,0,,,0,,,,"0.00",0,0,0,0
Package,"com.github.koraktor.steamcondenser.steam.community",1,1,1,1,19,3,13,4,,,,,1,0,0,,1,,8,2,8,,0,0,0,8,,200,43,133,45,89,48,,,,77,86,35,61,,,,,,1,1,1,1,,,0,,,,"0.36",8,8,8,8
Public Class,"com.github.koraktor.steamcondenser.steam.community.SteamCommunityTest",1,1,1,1,19,3,13,4,1,10,10,0,,0,0,,,,8,2,8,8,0,0,0,8,,178,37,117,29,89,48,,,,61,70,19,61,,,,,,1,1,1,1,,1,0,,18,18,"0.41",8,8,8,8
Public Method,"com.github.koraktor.steamcondenser.steam.community.SteamCommunityTest.getFriends",,,,,,,,,,,,,,,,,,,,,,,,,,,2,16,3,13,4,10,4,8,1,0,7,8,3,7,1,1,1,1,0,,,,,0,,0,0,,,"0.31",1,1,1,1
Public Method,"com.github.koraktor.steamcondenser.steam.community.SteamCommunityTest.getGames",,,,,,,,,,,,,,,,,,,,,,,,,,,2,16,3,13,4,10,4,11,1,0,8,9,3,8,1,1,1,1,0,,,,,0,,0,0,,,"0.31",1,1,1,1
Public Method,"com.github.koraktor.steamcondenser.steam.community.SteamCommunityTest.groupByCustomUrl",,,,,,,,,,,,,,,,,,,,,,,,,,,1,17,3,11,3,8,5,7,1,0,4,5,2,4,1,1,1,1,0,,,,,0,,0,0,,,"0.45",1,1,1,1
Public Method,"com.github.koraktor.steamcondenser.steam.community.SteamCommunityTest.groupByGroupId64",,,,,,,,,,,,,,,,,,,,,,,,,,,1,18,4,11,3,8,5,7,1,0,4,5,2,4,1,1,1,1,0,,,,,0,,0,0,,,"0.45",1,1,1,1
Public Method,"com.github.koraktor.steamcondenser.steam.community.SteamCommunityTest.setUp",,,,,,,,,,,,,,,,,,,,,,,,,,,2,7,1,6,2,3,0,5,1,0,3,4,1,3,1,1,1,1,0,,,,,0,,0,0,,,"0.00",1,1,1,1
Public Method,"com.github.koraktor.steamcondenser.steam.community.SteamCommunityTest.steamIdByCustomUrl",,,,,,,,,,,,,,,,,,,,,,,,,,,2,33,5,24,3,21,9,18,1,0,14,15,2,14,1,1,1,1,0,,,,,0,,0,0,,,"0.38",1,1,1,1
Public Method,"com.github.koraktor.steamcondenser.steam.community.SteamCommunityTest.steamIdBySteamId64",,,,,,,,,,,,,,,,,,,,,,,,,,,2,34,6,24,3,21,9,18,1,0,14,15,2,14,1,1,1,1,0,,,,,0,,0,0,,,"0.38",1,1,1,1
Public Method,"com.github.koraktor.steamcondenser.steam.community.SteamCommunityTest.testCache",,,,,,,,,,,,,,,,,,,,,,,,,,,2,11,2,9,2,6,2,8,1,0,5,6,1,5,1,1,1,1,0,,,,,0,,0,0,,,"0.22",1,1,1,1
