Kind,Name,AvgCyclomatic,AvgCyclomaticModified,AvgCyclomaticStrict,AvgEssential,AvgLine,AvgLineBlank,AvgLineCode,AvgLineComment,CountClassBase,CountClassCoupled,CountClassCoupledModified,CountClassDerived,CountDeclClass,CountDeclClassMethod,CountDeclClassVariable,CountDeclExecutableUnit,CountDeclFile,CountDeclFunction,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclMethod,CountDeclMethodAll,CountDeclMethodDefault,CountDeclMethodPrivate,CountDeclMethodProtected,CountDeclMethodPublic,CountInput,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountOutput,CountPath,CountPathLog,CountSemicolon,CountStmt,CountStmtDecl,CountStmtExe,Cyclomatic,CyclomaticModified,CyclomaticStrict,Essential,Knots,MaxCyclomatic,MaxCyclomaticModified,MaxCyclomaticStrict,MaxEssential,MaxEssentialKnots,MaxInheritanceTree,MaxNesting,MinEssentialKnots,PercentLackOfCohesion,PercentLackOfCohesionModified,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumEssential
File,"LakeviewFeedCompiler.java",2,2,3,1,12,1,10,0,,,,,2,0,8,32,,32,32,3,32,,2,20,2,8,,484,82,401,130,233,7,,,,207,316,142,211,,,,,,14,14,14,6,,,5,,,,"0.02",95,95,107,54
Package,"org",0,0,0,0,0,0,0,0,,,,,0,0,0,,0,,0,0,0,,0,0,0,0,,0,0,0,0,0,0,,,,0,0,0,0,,,,,,0,0,0,0,,,0,,,,"0.00",0,0,0,0
Package,"org.atlasapi",0,0,0,0,0,0,0,0,,,,,0,0,0,,0,,0,0,0,,0,0,0,0,,0,0,0,0,0,0,,,,0,0,0,0,,,,,,0,0,0,0,,,0,,,,"0.00",0,0,0,0
Package,"org.atlasapi.feeds",0,0,0,0,0,0,0,0,,,,,0,0,0,,0,,0,0,0,,0,0,0,0,,0,0,0,0,0,0,,,,0,0,0,0,,,,,,0,0,0,0,,,0,,,,"0.00",0,0,0,0
Package,"org.atlasapi.feeds.lakeview",2,2,3,1,12,1,10,0,,,,,2,0,8,,1,,32,3,32,,2,20,2,8,,484,82,401,130,233,7,,,,207,316,142,211,,,,,,14,14,14,6,,,5,,,,"0.02",95,95,107,54
Public Class,"org.atlasapi.feeds.lakeview.LakeviewFeedCompiler",3,3,3,1,12,1,11,0,1,42,42,0,,0,8,,,,31,3,31,31,2,20,2,7,,438,76,361,90,233,7,,,,167,276,102,211,,,,,,14,14,14,6,,1,5,,91,83,"0.02",94,94,106,53
Anonymous Class,"org.atlasapi.feeds.lakeview.LakeviewFeedCompiler.(Anon_1)",1,1,1,1,4,0,4,0,1,2,2,0,,0,0,,,,1,0,1,1,0,0,0,1,,5,0,5,1,4,0,,,,1,2,1,1,,,,,,1,1,1,1,,2,0,,0,0,"0.00",1,1,1,1
Public Method,"org.atlasapi.feeds.lakeview.LakeviewFeedCompiler.(Anon_1).compare",,,,,,,,,,,,,,,,,,,,,,,,,,,2,4,0,4,0,3,0,3,1,0,1,2,1,1,1,1,1,1,0,,,,,0,,0,0,,,"0.00",1,1,1,1
Public Constructor,"org.atlasapi.feeds.lakeview.LakeviewFeedCompiler.LakeviewFeedCompiler",,,,,,,,,,,,,,,,,,,,,,,,,,,4,5,0,5,1,3,0,4,1,0,3,4,1,3,1,1,1,1,0,,,,,0,,0,0,,,"0.00",1,1,1,1
Public Constructor,"org.atlasapi.feeds.lakeview.LakeviewFeedCompiler.LakeviewFeedCompiler",,,,,,,,,,,,,,,,,,,,,,,,,,,2,3,0,3,1,1,0,2,1,0,1,2,1,1,1,1,1,1,0,,,,,0,,0,0,,,"0.00",1,1,1,1
Private Method,"org.atlasapi.feeds.lakeview.LakeviewFeedCompiler.appendCommonElements",,,,,,,,,,,,,,,,,,,,,,,,,,,12,46,10,36,6,26,1,14,64,2,19,28,6,26,8,8,9,1,0,,,,,0,,3,0,,,"0.03",8,8,9,1
Public Method,"org.atlasapi.feeds.lakeview.LakeviewFeedCompiler.brandAtomUri",,,,,,,,,,,,,,,,,,,,,,,,,,,3,5,0,5,3,1,0,3,1,0,1,2,1,1,1,1,1,1,0,,,,,0,,0,0,,,"0.00",1,1,1,1
Private Method,"org.atlasapi.feeds.lakeview.LakeviewFeedCompiler.brandId",,,,,,,,,,,,,,,,,,,,,,,,,,,6,3,0,3,1,1,0,3,1,0,1,2,1,1,1,1,1,1,0,,,,,0,,0,0,,,"0.00",1,1,1,1
Public Method,"org.atlasapi.feeds.lakeview.LakeviewFeedCompiler.compile",,,,,,,,,,,,,,,,,,,,,,,,,,,4,19,7,11,4,7,1,6,3,0,5,10,6,7,3,3,3,1,0,,,,,0,,2,0,,,"0.09",3,3,3,1
Private Method,"org.atlasapi.feeds.lakeview.LakeviewFeedCompiler.createBrandElem",,,,,,,,,,,,,,,,,,,,,,,,,,,10,28,4,24,3,18,0,19,10,1,12,17,3,16,6,6,7,3,4,,,,,4,,2,4,,,"0.00",6,6,7,3
Protected Method,"org.atlasapi.feeds.lakeview.LakeviewFeedCompiler.createElement",,,,,,,,,,,,,,,,,,,,,,,,,,,9,7,0,7,2,4,0,5,2,0,3,5,2,4,2,2,2,1,0,,,,,0,,1,0,,,"0.00",2,2,2,1
Method,"org.atlasapi.feeds.lakeview.LakeviewFeedCompiler.createEpisodeElem",,,,,,,,,,,,,,,,,,,,,,,,,,,9,49,8,41,6,36,0,25,10,1,29,35,6,34,6,6,7,1,4,,,,,0,,2,0,,,"0.00",6,6,7,1
