Kind,Name,AvgCyclomatic,AvgCyclomaticModified,AvgCyclomaticStrict,AvgEssential,AvgLine,AvgLineBlank,AvgLineCode,AvgLineComment,CountClassBase,CountClassCoupled,CountClassCoupledModified,CountClassDerived,CountDeclClass,CountDeclClassMethod,CountDeclClassVariable,CountDeclExecutableUnit,CountDeclFile,CountDeclFunction,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclMethod,CountDeclMethodAll,CountDeclMethodDefault,CountDeclMethodPrivate,CountDeclMethodProtected,CountDeclMethodPublic,CountInput,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountOutput,CountPath,CountPathLog,CountSemicolon,CountStmt,CountStmtDecl,CountStmtExe,Cyclomatic,CyclomaticModified,CyclomaticStrict,Essential,Knots,MaxCyclomatic,MaxCyclomaticModified,MaxCyclomaticStrict,MaxEssential,MaxEssentialKnots,MaxInheritanceTree,MaxNesting,MinEssentialKnots,PercentLackOfCohesion,PercentLackOfCohesionModified,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumEssential
File,"RuleFileReader.java",3,3,4,2,25,2,16,6,,,,,1,9,1,19,,19,10,7,19,,0,16,0,3,,579,70,357,106,250,154,,,,207,275,103,214,,,,,,13,13,16,9,,,4,,,,"0.43",71,67,86,49
File,"RuleFileReaderTest.java",1,1,1,1,17,2,13,2,,,,,3,0,0,60,,60,60,0,60,,0,3,0,57,,1142,187,801,320,605,155,,,,534,599,245,513,,,,,,2,2,2,1,,,1,,,,"0.19",64,64,64,60
Package,"uk",0,0,0,0,0,0,0,0,,,,,0,0,0,,0,,0,0,0,,0,0,0,0,,0,0,0,0,0,0,,,,0,0,0,0,,,,,,0,0,0,0,,,0,,,,"0.00",0,0,0,0
Package,"uk.me",0,0,0,0,0,0,0,0,,,,,0,0,0,,0,,0,0,0,,0,0,0,0,,0,0,0,0,0,0,,,,0,0,0,0,,,,,,0,0,0,0,,,0,,,,"0.00",0,0,0,0
Package,"uk.me.parabola",0,0,0,0,0,0,0,0,,,,,0,0,0,,0,,0,0,0,,0,0,0,0,,0,0,0,0,0,0,,,,0,0,0,0,,,,,,0,0,0,0,,,0,,,,"0.00",0,0,0,0
Package,"uk.me.parabola.mkgmap",0,0,0,0,0,0,0,0,,,,,0,0,0,,0,,0,0,0,,0,0,0,0,,0,0,0,0,0,0,,,,0,0,0,0,,,,,,0,0,0,0,,,0,,,,"0.00",0,0,0,0
Package,"uk.me.parabola.mkgmap.osmstyle",1,1,1,1,19,2,13,3,,,,,4,9,1,,2,,70,7,79,,0,19,0,60,,1721,257,1158,426,855,309,,,,741,874,348,727,,,,,,13,13,16,9,,,4,,,,"0.27",135,131,150,109
Public Class,"uk.me.parabola.mkgmap.osmstyle.RuleFileReader",3,3,4,2,25,2,16,6,1,36,36,0,,9,1,,,,10,7,19,19,0,16,0,3,,529,66,327,76,250,138,,,,177,245,73,214,,,,,,13,13,16,9,,1,4,,86,63,"0.42",71,67,86,49
Public Constructor,"uk.me.parabola.mkgmap.osmstyle.RuleFileReader.RuleFileReader",,,,,,,,,,,,,,,,,,,,,,,,,,,7,8,0,8,2,5,0,6,1,0,5,6,1,5,1,1,1,1,0,,,,,0,,0,0,,,"0.00",1,1,1,1
Private Method,"uk.me.parabola.mkgmap.osmstyle.RuleFileReader.checkCommand",,,,,,,,,,,,,,,,,,,,,,,,,,,6,99,7,63,8,51,29,17,22,1,31,44,8,42,13,13,16,9,17,,,,,14,,4,14,,,"0.46",13,13,16,9
Private Method,"uk.me.parabola.mkgmap.osmstyle.RuleFileReader.combineWithExists",,,,,,,,,,,,,,,,,,,,,,,,,,,3,9,1,8,3,6,0,3,1,0,6,7,3,6,1,1,1,1,0,,,,,0,,0,0,,,"0.00",1,1,1,1
