Kind,Name,AvgCyclomatic,AvgCyclomaticModified,AvgCyclomaticStrict,AvgEssential,AvgLine,AvgLineBlank,AvgLineCode,AvgLineComment,CountClassBase,CountClassCoupled,CountClassCoupledModified,CountClassDerived,CountDeclClass,CountDeclClassMethod,CountDeclClassVariable,CountDeclExecutableUnit,CountDeclFile,CountDeclFunction,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclMethod,CountDeclMethodAll,CountDeclMethodDefault,CountDeclMethodPrivate,CountDeclMethodProtected,CountDeclMethodPublic,CountInput,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountOutput,CountPath,CountPathLog,CountSemicolon,CountStmt,CountStmtDecl,CountStmtExe,Cyclomatic,CyclomaticModified,CyclomaticStrict,Essential,Knots,MaxCyclomatic,MaxCyclomaticModified,MaxCyclomaticStrict,MaxEssential,MaxEssentialKnots,MaxInheritanceTree,MaxNesting,MinEssentialKnots,PercentLackOfCohesion,PercentLackOfCohesionModified,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumEssential
File,"BaseStandardCredentials.java",2,2,2,2,10,0,8,2,,,,,2,1,0,10,,10,9,2,10,,0,1,2,7,,190,15,113,48,42,63,,,,50,78,40,41,,,,,,10,10,10,10,,,4,,,,"0.56",24,24,24,24
File,"BaseStandardCredentialsTest.java",1,1,1,1,19,0,17,1,,,,,2,2,0,6,,6,4,1,6,,0,3,0,3,,141,13,98,34,65,31,,,,83,90,35,63,,,,,,1,1,1,1,,,0,,,,"0.32",6,6,6,6
Package,"com",0,0,0,0,0,0,0,0,,,,,0,0,0,,0,,0,0,0,,0,0,0,0,,0,0,0,0,0,0,,,,0,0,0,0,,,,,,0,0,0,0,,,0,,,,"0.00",0,0,0,0
Package,"com.cloudbees",0,0,0,0,0,0,0,0,,,,,0,0,0,,0,,0,0,0,,0,0,0,0,,0,0,0,0,0,0,,,,0,0,0,0,,,,,,0,0,0,0,,,0,,,,"0.00",0,0,0,0
Package,"com.cloudbees.plugins",0,0,0,0,0,0,0,0,,,,,0,0,0,,0,,0,0,0,,0,0,0,0,,0,0,0,0,0,0,,,,0,0,0,0,,,,,,0,0,0,0,,,0,,,,"0.00",0,0,0,0
Package,"com.cloudbees.plugins.credentials",0,0,0,0,0,0,0,0,,,,,0,0,0,,0,,0,0,0,,0,0,0,0,,0,0,0,0,0,0,,,,0,0,0,0,,,,,,0,0,0,0,,,0,,,,"0.00",0,0,0,0
Package,"com.cloudbees.plugins.credentials.impl",1,1,1,1,14,0,11,2,,,,,4,3,0,,2,,13,3,16,,0,4,2,10,,331,28,211,82,107,94,,,,133,168,75,104,,,,,,10,10,10,10,,,4,,,,"0.45",30,30,30,30
Public Abstract Class,"com.cloudbees.plugins.credentials.impl.BaseStandardCredentials",1,1,1,1,9,0,4,4,2,9,9,0,,0,0,,,,6,2,6,6,0,0,0,6,,144,13,92,27,42,40,,,,29,57,19,41,,,,,,1,1,1,1,,2,0,,50,50,"0.43",6,6,6,6
Public Constructor,"com.cloudbees.plugins.credentials.impl.BaseStandardCredentials.BaseStandardCredentials",,,,,,,,,,,,,,,,,,,,,,,,,,,3,11,0,5,1,3,6,5,1,0,3,4,1,3,1,1,1,1,0,,,,,0,,0,0,,,"1.20",1,1,1,1
Public Constructor,"com.cloudbees.plugins.credentials.impl.BaseStandardCredentials.BaseStandardCredentials",,,,,,,,,,,,,,,,,,,,,,,,,,,4,13,0,6,2,3,7,5,1,0,3,4,1,3,1,1,1,1,0,,,,,0,,0,0,,,"1.17",1,1,1,1
