Kind,Name,AvgCyclomatic,AvgCyclomaticModified,AvgCyclomaticStrict,AvgEssential,AvgLine,AvgLineBlank,AvgLineCode,AvgLineComment,CountClassBase,CountClassCoupled,CountClassCoupledModified,CountClassDerived,CountDeclClass,CountDeclClassMethod,CountDeclClassVariable,CountDeclExecutableUnit,CountDeclFile,CountDeclFunction,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclMethod,CountDeclMethodAll,CountDeclMethodDefault,CountDeclMethodPrivate,CountDeclMethodProtected,CountDeclMethodPublic,CountInput,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountOutput,CountPath,CountPathLog,CountSemicolon,CountStmt,CountStmtDecl,CountStmtExe,Cyclomatic,CyclomaticModified,CyclomaticStrict,Essential,Knots,MaxCyclomatic,MaxCyclomaticModified,MaxCyclomaticStrict,MaxEssential,MaxEssentialKnots,MaxInheritanceTree,MaxNesting,MinEssentialKnots,PercentLackOfCohesion,PercentLackOfCohesionModified,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumEssential
File,"BeamTypeAnalysis.java",6,3,6,2,27,4,21,1,,,,,5,0,36,69,,69,69,21,69,,6,29,0,34,,2151,427,1631,428,1220,100,,,,877,1095,416,889,,,,,,84,21,89,53,,,4,,,,"0.06",419,214,433,192
File,"CompilerVisitor.java",3,3,4,1,27,4,20,2,,,,,6,4,79,82,,82,78,42,82,,4,27,0,51,,2754,473,1877,452,1422,409,,,,1098,1362,405,1114,,,,,,18,17,22,12,,,4,,,,"0.22",313,259,342,125
File,"ExceptionHandler.java",1,1,1,1,4,0,4,0,,,,,3,4,1,20,,20,16,3,20,,0,1,0,19,,139,19,97,36,51,25,,,,52,86,39,52,,,,,,5,5,7,4,,,1,,,,"0.26",31,31,35,23
File,"TypeMap.java",2,2,2,1,9,0,8,0,,,,,1,5,4,34,,34,29,6,34,,0,14,0,20,,401,65,317,78,203,21,,,,170,254,85,187,,,,,,9,9,11,5,,,3,,,,"0.07",86,86,101,49
Public Implicit Method,"clone",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0.00",0,0,0,0
Package,"erjang",0,0,0,0,0,0,0,0,,,,,0,0,0,,0,,0,0,0,,0,0,0,0,,0,0,0,0,0,0,,,,0,0,0,0,,,,,,0,0,0,0,,,0,,,,"0.00",0,0,0,0
Package,"erjang.beam",3,3,4,1,27,4,20,2,,,,,6,4,79,,1,,78,42,82,,4,27,0,51,,2754,473,1877,452,1422,409,,,,1098,1362,405,1114,,,,,,18,17,22,12,,,4,,,,"0.22",313,259,342,125
Public Class,"erjang.beam.CompilerVisitor",1,1,1,1,18,2,14,1,3,50,50,0,,4,79,,,,14,11,18,18,1,5,0,12,,2687,466,1818,394,1422,408,,,,1041,1304,347,1114,,,,,,6,6,6,1,,1,1,,95,94,"0.22",34,34,34,18
Class,"erjang.beam.CompilerVisitor.ASMFunctionAdapter",2,2,2,1,25,4,18,4,2,28,28,0,,0,0,,,,12,20,12,12,2,6,0,4,,2159,380,1457,229,1130,327,,,,781,1006,202,858,,,,,,8,8,8,1,,1,3,,83,76,"0.22",33,33,33,12
Class,"erjang.beam.CompilerVisitor.ASMFunctionAdapter.ASMBlockVisitor",5,3,5,1,33,5,25,2,2,29,29,0,,0,0,,,,47,1,47,47,0,16,0,31,,1797,313,1219,156,953,269,,,,616,807,133,702,,,,,,18,17,22,12,,1,4,,95,95,"0.22",237,183,266,86
Public Constructor,"erjang.beam.CompilerVisitor.ASMFunctionAdapter.ASMBlockVisitor.ASMBlockVisitor",,,,,,,,,,,,,,,,,,,,,,,,,,,2,1,0,1,1,1,0,2,1,0,1,2,1,1,1,1,1,1,0,,,,,0,,0,0,,,"0.00",1,1,1,1
