Kind,Name,AvgCyclomatic,AvgCyclomaticModified,AvgCyclomaticStrict,AvgEssential,AvgLine,AvgLineBlank,AvgLineCode,AvgLineComment,CountClassBase,CountClassCoupled,CountClassCoupledModified,CountClassDerived,CountDeclClass,CountDeclClassMethod,CountDeclClassVariable,CountDeclExecutableUnit,CountDeclFile,CountDeclFunction,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclMethod,CountDeclMethodAll,CountDeclMethodDefault,CountDeclMethodPrivate,CountDeclMethodProtected,CountDeclMethodPublic,CountInput,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountOutput,CountPath,CountPathLog,CountSemicolon,CountStmt,CountStmtDecl,CountStmtExe,Cyclomatic,CyclomaticModified,CyclomaticStrict,Essential,Knots,MaxCyclomatic,MaxCyclomaticModified,MaxCyclomaticStrict,MaxEssential,MaxEssentialKnots,MaxInheritanceTree,MaxNesting,MinEssentialKnots,PercentLackOfCohesion,PercentLackOfCohesionModified,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumEssential
File,"DbObjectDiff.java",1,1,1,0,3,0,3,0,,,,,2,0,0,18,,16,18,9,18,,5,5,0,8,,119,25,74,31,25,20,,,,31,53,31,25,,,,,,2,2,2,1,,,1,,,,"0.27",19,19,19,16
File,"DiffStrategy.java",1,1,1,1,9,0,7,1,,,,,1,0,1,3,,3,3,0,3,,0,2,0,1,,63,7,32,15,15,24,,,,19,25,14,15,,,,,,2,2,2,1,,,1,,,,"0.75",5,5,5,3
File,"DiffStrategyTest.java",1,1,1,1,15,2,13,0,,,,,1,0,0,3,,3,3,0,3,,0,0,0,3,,59,12,47,26,31,0,,,,36,40,23,31,,,,,,1,1,1,1,,,0,,,,"0.00",3,3,3,3
File,"ListVisitor.java",1,1,1,1,6,0,6,0,,,,,1,0,0,6,,6,5,0,5,,0,2,1,2,,78,11,47,21,23,20,,,,25,35,19,21,,,,,,3,3,3,1,,,1,,,,"0.43",10,10,11,6
File,"TestsDbObjectDiff.java",1,1,1,1,11,1,10,0,,,,,1,0,0,14,,14,14,2,14,,0,1,0,13,,215,43,152,72,102,20,,,,109,124,59,102,,,,,,1,1,1,1,,,0,,,,"0.13",14,14,14,14
File,"TestsListVisitor.java",1,1,1,1,7,0,6,0,,,,,1,0,0,9,,9,9,1,9,,0,2,0,7,,90,20,70,34,31,0,,,,40,50,24,31,,,,,,1,1,1,1,,,0,,,,"0.00",9,9,9,9
Package,"org",0,0,0,0,0,0,0,0,,,,,0,0,0,,0,,0,0,0,,0,0,0,0,,0,0,0,0,0,0,,,,0,0,0,0,,,,,,0,0,0,0,,,0,,,,"0.00",0,0,0,0
Package,"org.mongolink",0,0,0,0,0,0,0,0,,,,,0,0,0,,0,,0,0,0,,0,0,0,0,,0,0,0,0,0,0,,,,0,0,0,0,,,,,,0,0,0,0,,,0,,,,"0.00",0,0,0,0
Package,"org.mongolink.domain",0,0,0,0,0,0,0,0,,,,,0,0,0,,0,,0,0,0,,0,0,0,0,,0,0,0,0,0,0,,,,0,0,0,0,,,,,,0,0,0,0,,,0,,,,"0.00",0,0,0,0
Package,"org.mongolink.domain.updateStrategy",1,1,1,0,7,0,6,0,,,,,7,0,1,,6,,52,12,52,,5,12,1,34,,624,118,422,199,227,84,,,,260,327,170,225,,,,,,3,3,3,1,,,1,,,,"0.20",60,60,61,51
Public Class,"org.mongolink.domain.updateStrategy.DbObjectDiff",1,1,1,1,3,0,3,0,1,9,9,0,,0,0,,,,14,3,14,14,4,5,0,5,,88,20,68,25,25,0,,,,25,47,25,25,,,,,,2,2,2,1,,1,1,,80,50,"0.00",17,17,17,14
Public Constructor,"org.mongolink.domain.updateStrategy.DbObjectDiff.DbObjectDiff",,,,,,,,,,,,,,,,,,,,,,,,,,,15,6,0,6,1,3,0,4,2,0,2,5,2,3,2,2,2,1,0,,,,,0,,1,0,,,"0.00",2,2,2,1
Enum Type,"org.mongolink.domain.updateStrategy.DbObjectDiff.Modifier",0,0,0,0,1,0,1,0,1,2,2,0,,0,0,,,,4,6,4,4,1,0,0,3,,14,3,11,6,2,0,,,,4,6,4,2,,,,,,1,1,1,1,,1,0,,,,"0.00",2,2,2,2
Constructor,"org.mongolink.domain.updateStrategy.DbObjectDiff.Modifier.Modifier",,,,,,,,,,,,,,,,,,,,,,,,,,,1,3,0,3,1,1,0,2,1,0,1,2,1,1,1,1,1,1,0,,,,,0,,0,0,,,"0.00",1,1,1,1
Public Method,"org.mongolink.domain.updateStrategy.DbObjectDiff.Modifier.toString",,,,,,,,,,,,,,,,,,,,,,,,,,,2,4,0,4,2,1,0,1,1,0,1,2,1,1,1,1,1,1,0,,,,,0,,0,0,,,"0.00",1,1,1,1
Public Implicit Method,"org.mongolink.domain.updateStrategy.DbObjectDiff.Modifier.valueOf",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0.00",0,0,0,0
Public Implicit Method,"org.mongolink.domain.updateStrategy.DbObjectDiff.Modifier.values",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0.00",0,0,0,0
Private Method,"org.mongolink.domain.updateStrategy.DbObjectDiff.addForModifier",,,,,,,,,,,,,,,,,,,,,,,,,,,8,3,0,3,1,1,0,3,1,0,1,2,1,1,1,1,1,1,0,,,,,0,,0,0,,,"0.00",1,1,1,1
Method,"org.mongolink.domain.updateStrategy.DbObjectDiff.addPull",,,,,,,,,,,,,,,,,,,,,,,,,,,3,3,0,3,1,1,0,1,1,0,1,2,1,1,1,1,1,1,0,,,,,0,,0,0,,,"0.00",1,1,1,1
Method,"org.mongolink.domain.updateStrategy.DbObjectDiff.addPush",,,,,,,,,,,,,,,,,,,,,,,,,,,2,3,0,3,1,1,0,1,1,0,1,2,1,1,1,1,1,1,0,,,,,0,,0,0,,,"0.00",1,1,1,1
Public Method,"org.mongolink.domain.updateStrategy.DbObjectDiff.addPushAll",,,,,,,,,,,,,,,,,,,,,,,,,,,2,3,0,3,1,1,0,1,1,0,1,2,1,1,1,1,1,1,0,,,,,0,,0,0,,,"0.00",1,1,1,1
Method,"org.mongolink.domain.updateStrategy.DbObjectDiff.addSet",,,,,,,,,,,,,,,,,,,,,,,,,,,2,3,0,3,1,1,0,1,1,0,1,2,1,1,1,1,1,1,0,,,,,0,,0,0,,,"0.00",1,1,1,1
Method,"org.mongolink.domain.updateStrategy.DbObjectDiff.addUnset",,,,,,,,,,,,,,,,,,,,,,,,,,,2,3,0,3,1,1,0,1,1,0,1,2,1,1,1,1,1,1,0,,,,,0,,0,0,,,"0.00",1,1,1,1
Private Method,"org.mongolink.domain.updateStrategy.DbObjectDiff.appendChanges",,,,,,,,,,,,,,,,,,,,,,,,,,,3,6,1,5,1,2,0,3,2,0,1,4,2,2,2,2,2,1,0,,,,,0,,1,0,,,"0.00",2,2,2,1
Private Method,"org.mongolink.domain.updateStrategy.DbObjectDiff.appendIfNeeded",,,,,,,,,,,,,,,,,,,,,,,,,,,5,5,0,5,1,2,0,2,2,0,1,3,1,2,2,2,2,1,0,,,,,0,,1,0,,,"0.00",2,2,2,1
Public Method,"org.mongolink.domain.updateStrategy.DbObjectDiff.compareWith",,,,,,,,,,,,,,,,,,,,,,,,,,,14,6,0,6,2,4,0,3,1,0,4,5,2,4,1,1,1,1,0,,,,,0,,0,0,,,"0.00",1,1,1,1
Private Method,"org.mongolink.domain.updateStrategy.DbObjectDiff.generateDiff",,,,,,,,,,,,,,,,,,,,,,,,,,,3,3,0,3,1,1,0,1,1,0,1,2,1,1,1,1,1,1,0,,,,,0,,0,0,,,"0.00",1,1,1,1
Private Method,"org.mongolink.domain.updateStrategy.DbObjectDiff.makeKey",,,,,,,,,,,,,,,,,,,,,,,,,,,3,3,0,3,1,1,0,3,1,0,1,2,1,1,1,1,1,1,0,,,,,0,,0,0,,,"0.00",1,1,1,1
Public Method,"org.mongolink.domain.updateStrategy.DbObjectDiff.popKey",,,,,,,,,,,,,,,,,,,,,,,,,,,1,3,0,3,1,1,0,1,1,0,1,2,1,1,1,1,1,1,0,,,,,0,,0,0,,,"0.00",1,1,1,1
Public Method,"org.mongolink.domain.updateStrategy.DbObjectDiff.pushKey",,,,,,,,,,,,,,,,,,,,,,,,,,,4,3,0,3,1,1,0,1,1,0,1,2,1,1,1,1,1,1,0,,,,,0,,0,0,,,"0.00",1,1,1,1
Public Class,"org.mongolink.domain.updateStrategy.DiffStrategy",1,1,1,1,9,0,7,1,1,8,8,0,,0,1,,,,3,0,3,3,0,2,0,1,,34,4,26,9,15,4,,,,13,19,8,15,,,,,,2,2,2,1,,2,1,,0,0,"0.15",5,5,5,3
Private Method,"org.mongolink.domain.updateStrategy.DiffStrategy.execute",,,,,,,,,,,,,,,,,,,,,,,,,,,6,8,0,8,2,5,0,5,2,0,4,6,2,5,2,2,2,1,0,,,,,0,,1,0,,,"0.00",2,2,2,1
Private Method,"org.mongolink.domain.updateStrategy.DiffStrategy.executePushAndPull",,,,,,,,,,,,,,,,,,,,,,,,,,,7,9,0,5,1,3,4,1,1,0,3,4,1,3,1,1,1,1,0,,,,,0,,0,0,,,"0.80",1,1,1,1
Public Method,"org.mongolink.domain.updateStrategy.DiffStrategy.update",,,,,,,,,,,,,,,,,,,,,,,,,,,7,10,0,10,4,6,0,9,2,0,5,7,3,6,2,2,2,1,0,,,,,0,,1,0,,,"0.00",2,2,2,1
Public Class,"org.mongolink.domain.updateStrategy.DiffStrategyTest",1,1,1,1,15,2,13,0,1,5,5,0,,0,0,,,,3,0,3,3,0,0,0,3,,51,9,42,21,31,0,,,,31,35,18,31,,,,,,1,1,1,1,,1,0,,0,0,"0.00",3,3,3,3
Public Method,"org.mongolink.domain.updateStrategy.DiffStrategyTest.dontMakeUpdateIfNoChanges",,,,,,,,,,,,,,,,,,,,,,,,,,,0,9,2,7,4,4,0,3,1,0,4,5,3,4,1,1,1,1,0,,,,,0,,0,0,,,"0.00",1,1,1,1
