Kind,Name,AvgCyclomatic,AvgCyclomaticModified,AvgCyclomaticStrict,AvgEssential,AvgLine,AvgLineBlank,AvgLineCode,AvgLineComment,CountClassBase,CountClassCoupled,CountClassCoupledModified,CountClassDerived,CountDeclClass,CountDeclClassMethod,CountDeclClassVariable,CountDeclExecutableUnit,CountDeclFile,CountDeclFunction,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclMethod,CountDeclMethodAll,CountDeclMethodDefault,CountDeclMethodPrivate,CountDeclMethodProtected,CountDeclMethodPublic,CountInput,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountOutput,CountPath,CountPathLog,CountSemicolon,CountStmt,CountStmtDecl,CountStmtExe,Cyclomatic,CyclomaticModified,CyclomaticStrict,Essential,Knots,MaxCyclomatic,MaxCyclomaticModified,MaxCyclomaticStrict,MaxEssential,MaxEssentialKnots,MaxInheritanceTree,MaxNesting,MinEssentialKnots,PercentLackOfCohesion,PercentLackOfCohesionModified,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumEssential
File,"ERXFileUtilities.java",3,3,4,1,21,1,13,6,,,,,1,35,1,35,,35,0,0,35,,0,0,0,35,,807,84,470,131,315,256,,,,238,364,126,286,,,,,,14,14,17,6,,,4,,,,"0.54",129,129,144,48
Package,"er",0,0,0,0,0,0,0,0,,,,,0,0,0,,0,,0,0,0,,0,0,0,0,,0,0,0,0,0,0,,,,0,0,0,0,,,,,,0,0,0,0,,,0,,,,"0.00",0,0,0,0
Package,"er.extensions",3,3,4,1,21,1,13,6,,,,,1,35,1,,1,,0,0,35,,0,0,0,35,,807,84,470,131,315,256,,,,238,364,126,286,,,,,,14,14,17,6,,,4,,,,"0.54",129,129,144,48
Public Class,"er.extensions.ERXFileUtilities",3,3,4,1,21,1,13,6,1,36,36,0,,35,1,,,,0,0,35,35,0,0,0,35,,792,82,463,124,315,250,,,,231,357,119,286,,,,,,14,14,17,6,,1,4,,0,0,"0.54",129,129,144,48
Public Static Method,"er.extensions.ERXFileUtilities.URLFromFile",,,,,,,,,,,,,,,,,,,,,,,,,,,2,16,0,11,2,7,5,3,3,0,4,7,2,5,3,3,3,1,1,,,,,0,,2,0,,,"0.45",3,3,3,1
Public Static Method,"er.extensions.ERXFileUtilities.URLFromPath",,,,,,,,,,,,,,,,,,,,,,,,,,,3,16,0,11,2,7,6,1,3,0,4,7,2,5,3,3,3,1,1,,,,,0,,2,0,,,"0.55",3,3,3,1
Public Static Method,"er.extensions.ERXFileUtilities.arrayByAddingFilesInDirectory",,,,,,,,,,,,,,,,,,,,,,,,,,,4,30,2,19,4,13,9,6,5,1,10,15,5,12,5,5,6,3,3,,,,,2,,2,2,,,"0.47",5,5,6,3
Public Static Method,"er.extensions.ERXFileUtilities.bytesFromFile",,,,,,,,,,,,,,,,,,,,,,,,,,,4,17,0,11,5,9,6,4,4,1,8,11,5,8,3,3,3,1,0,,,,,0,,1,0,,,"0.55",3,3,3,1
Public Static Method,"er.extensions.ERXFileUtilities.bytesFromInputStream",,,,,,,,,,,,,,,,,,,,,,,,,,,3,18,2,10,4,7,6,4,4,1,6,9,4,6,3,3,3,1,0,,,,,0,,1,0,,,"0.60",3,3,3,1
Public Static Method,"er.extensions.ERXFileUtilities.copyFileToFile",,,,,,,,,,,,,,,,,,,,,,,,,,,8,52,2,40,8,30,10,9,321,3,17,31,7,27,14,14,17,1,5,,,,,0,,4,0,,,"0.25",14,14,17,1
Public Static Method,"er.extensions.ERXFileUtilities.copyFilesFromDirectory",,,,,,,,,,,,,,,,,,,,,,,,,,,7,45,1,34,12,23,10,9,14,1,13,21,7,16,9,9,12,1,3,,,,,0,,4,0,,,"0.29",9,9,12,1
Public Static Final Method,"er.extensions.ERXFileUtilities.createTempDir",,,,,,,,,,,,,,,,,,,,,,,,,,,0,16,2,7,2,5,7,4,1,0,5,6,2,5,1,1,1,1,0,,,,,0,,0,0,,,"1.00",1,1,1,1
Public Static Final Method,"er.extensions.ERXFileUtilities.createTempDir",,,,,,,,,,,,,,,,,,,,,,,,,,,2,16,2,7,2,5,7,4,1,0,5,6,2,5,1,1,1,1,0,,,,,0,,0,0,,,"1.00",1,1,1,1
