Kind,Name,AvgCyclomatic,AvgCyclomaticModified,AvgCyclomaticStrict,AvgEssential,AvgLine,AvgLineBlank,AvgLineCode,AvgLineComment,CountClassBase,CountClassCoupled,CountClassCoupledModified,CountClassDerived,CountDeclClass,CountDeclClassMethod,CountDeclClassVariable,CountDeclExecutableUnit,CountDeclFile,CountDeclFunction,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclMethod,CountDeclMethodAll,CountDeclMethodDefault,CountDeclMethodPrivate,CountDeclMethodProtected,CountDeclMethodPublic,CountInput,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountOutput,CountPath,CountPathLog,CountSemicolon,CountStmt,CountStmtDecl,CountStmtExe,Cyclomatic,CyclomaticModified,CyclomaticStrict,Essential,Knots,MaxCyclomatic,MaxCyclomaticModified,MaxCyclomaticStrict,MaxEssential,MaxEssentialKnots,MaxInheritanceTree,MaxNesting,MinEssentialKnots,PercentLackOfCohesion,PercentLackOfCohesionModified,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumEssential
File,"PropertyQuery.java",3,3,4,1,15,1,13,0,,,,,1,0,0,4,,4,4,2,4,,1,1,0,2,,94,13,65,19,25,16,,,,26,47,24,25,,,,,,10,10,11,3,,,4,,,,"0.25",15,15,16,6
Package,"org",0,0,0,0,0,0,0,0,,,,,0,0,0,,0,,0,0,0,,0,0,0,0,,0,0,0,0,0,0,,,,0,0,0,0,,,,,,0,0,0,0,,,0,,,,"0.00",0,0,0,0
Package,"org.jboss",0,0,0,0,0,0,0,0,,,,,0,0,0,,0,,0,0,0,,0,0,0,0,,0,0,0,0,0,0,,,,0,0,0,0,,,,,,0,0,0,0,,,0,,,,"0.00",0,0,0,0
Package,"org.jboss.weld",0,0,0,0,0,0,0,0,,,,,0,0,0,,0,,0,0,0,,0,0,0,0,,0,0,0,0,0,0,,,,0,0,0,0,,,,,,0,0,0,0,,,0,,,,"0.00",0,0,0,0
Package,"org.jboss.weld.extensions",0,0,0,0,0,0,0,0,,,,,0,0,0,,0,,0,0,0,,0,0,0,0,,0,0,0,0,0,0,,,,0,0,0,0,,,,,,0,0,0,0,,,0,,,,"0.00",0,0,0,0
Package,"org.jboss.weld.extensions.util",0,0,0,0,0,0,0,0,,,,,0,0,0,,0,,0,0,0,,0,0,0,0,,0,0,0,0,0,0,,,,0,0,0,0,,,,,,0,0,0,0,,,0,,,,"0.00",0,0,0,0
Package,"org.jboss.weld.extensions.util.properties",0,0,0,0,0,0,0,0,,,,,0,0,0,,0,,0,0,0,,0,0,0,0,,0,0,0,0,0,0,,,,0,0,0,0,,,,,,0,0,0,0,,,0,,,,"0.00",0,0,0,0
Package,"org.jboss.weld.extensions.util.properties.query",3,3,4,1,15,1,13,0,,,,,1,0,0,,1,,4,2,4,,1,1,0,2,,94,13,65,19,25,16,,,,26,47,24,25,,,,,,10,10,11,3,,,4,,,,"0.25",15,15,16,6
Public Generic Class,"org.jboss.weld.extensions.util.properties.query.PropertyQuery",3,3,4,1,15,1,13,0,1,9,9,0,,0,0,,,,4,2,4,4,1,1,0,2,,84,10,58,12,25,16,,,,19,40,17,25,,,,,,10,10,11,3,,1,4,,37,37,"0.28",15,15,16,6
Constructor,"org.jboss.weld.extensions.util.properties.query.PropertyQuery.PropertyQuery",,,,,,,,,,,,,,,,,,,,,,,,,,,1,5,0,5,1,2,0,3,1,0,2,3,1,2,1,1,1,1,0,,,,,0,,0,0,,,"0.00",1,1,1,1
TypeVariable,"org.jboss.weld.extensions.util.properties.query.PropertyQuery.V",0,0,0,0,0,0,0,0,1,0,0,0,,0,0,,,,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,,,,0,0,0,0,,,,,,0,0,0,0,,1,0,,0,0,"0.00",0,0,0,0
Public Method,"org.jboss.weld.extensions.util.properties.query.PropertyQuery.addCriteria",,,,,,,,,,,,,,,,,,,,,,,,,,,2,5,0,5,1,2,0,2,1,0,2,3,1,2,1,1,1,1,0,,,,,0,,0,0,,,"0.00",1,1,1,1
Public Method,"org.jboss.weld.extensions.util.properties.query.PropertyQuery.getResultList",,,,,,,,,,,,,,,,,,,,,,,,,,,3,43,6,35,6,18,2,11,56,2,11,25,10,17,10,10,11,1,0,,,,,0,,4,0,,,"0.06",10,10,11,1
Private Method,"org.jboss.weld.extensions.util.properties.query.PropertyQuery.resultsContainsProperty",,,,,,,,,,,,,,,,,,,,,,,,,,,3,8,0,8,1,3,0,3,3,0,2,6,2,4,3,3,3,3,3,,,,,3,,2,3,,,"0.00",3,3,3,3
