Kind,Name,AvgCyclomatic,AvgCyclomaticModified,AvgCyclomaticStrict,AvgEssential,AvgLine,AvgLineBlank,AvgLineCode,AvgLineComment,CountClassBase,CountClassCoupled,CountClassCoupledModified,CountClassDerived,CountDeclClass,CountDeclClassMethod,CountDeclClassVariable,CountDeclExecutableUnit,CountDeclFile,CountDeclFunction,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclMethod,CountDeclMethodAll,CountDeclMethodDefault,CountDeclMethodPrivate,CountDeclMethodProtected,CountDeclMethodPublic,CountInput,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountOutput,CountPath,CountPathLog,CountSemicolon,CountStmt,CountStmtDecl,CountStmtExe,Cyclomatic,CyclomaticModified,CyclomaticStrict,Essential,Knots,MaxCyclomatic,MaxCyclomaticModified,MaxCyclomaticStrict,MaxEssential,MaxEssentialKnots,MaxInheritanceTree,MaxNesting,MinEssentialKnots,PercentLackOfCohesion,PercentLackOfCohesionModified,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumEssential
File,"AbstractOozieEntityMapper.java",1,1,1,1,9,0,8,0,,,,,1,0,9,17,,19,19,1,19,,0,1,17,1,,259,38,203,91,120,19,,,,128,161,87,100,,,,,,3,3,3,1,,,2,,,,"0.09",28,28,28,17
File,"EntityInstanceMessage.java",1,1,1,1,6,0,6,0,,,,,3,4,4,45,,41,41,23,45,,0,6,0,39,,412,64,310,89,187,38,,,,128,183,79,116,,,,,,4,4,5,4,,,2,,,,"0.12",52,52,54,46
File,"FeedProducerTest.java",1,1,1,1,18,1,16,0,,,,,2,0,3,8,,8,8,7,8,,0,3,0,5,,204,27,157,60,103,21,,,,115,126,52,85,,,,,,5,5,5,1,,,1,,,,"0.13",15,15,15,8
File,"IvoryCLITest.java",1,1,1,1,23,3,18,0,,,,,1,0,9,21,,21,21,3,21,,0,4,1,16,,572,112,434,108,337,29,,,,208,240,91,179,,,,,,5,5,5,1,,,2,,,,"0.07",30,30,30,21
File,"IvoryTopicProducerTest.java",1,1,1,1,15,1,14,0,,,,,2,0,3,6,,6,6,3,6,,0,2,0,4,,132,14,99,41,62,20,,,,72,81,35,53,,,,,,3,3,3,1,,,1,,,,"0.20",10,10,10,6
File,"IvoryTopicSubscriber.java",1,1,1,1,13,0,12,0,,,,,1,1,2,7,,7,6,8,7,,0,1,0,6,,154,20,114,60,64,20,,,,64,76,49,35,,,,,,3,3,3,1,,,2,,,,"0.18",11,11,11,7
File,"LogMover.java",2,2,3,1,21,0,20,0,,,,,2,1,1,5,,5,4,6,5,,0,3,0,2,,175,15,142,67,84,18,,,,102,117,65,72,,,,,,6,6,7,3,,,4,,,,"0.13",12,12,15,9
File,"MessageProducer.java",3,3,3,1,23,2,18,3,,,,,1,2,2,4,,4,2,1,4,,0,2,1,1,,139,19,86,38,54,34,,,,42,55,28,36,,,,,,6,6,6,1,,,2,,,,"0.40",12,12,12,4
File,"ProcessInstanceManager.java",2,2,2,1,17,1,16,0,,,,,1,0,1,14,,14,14,0,14,,0,6,1,7,,329,39,269,144,145,23,,,,144,179,95,128,,,,,,6,6,6,1,,,3,,,,"0.09",37,37,39,14
File,"ProcessProducerTest.java",1,1,1,1,16,1,15,0,,,,,2,0,3,6,,6,6,3,6,,0,2,0,4,,142,18,105,41,68,20,,,,79,88,35,60,,,,,,3,3,3,1,,,1,,,,"0.19",11,11,11,6
Package,"org",0,0,0,0,0,0,0,0,,,,,0,0,0,,0,,0,0,0,,0,0,0,0,,0,0,0,0,0,0,,,,0,0,0,0,,,,,,0,0,0,0,,,0,,,,"0.00",0,0,0,0
Package,"org.apache",0,0,0,0,0,0,0,0,,,,,0,0,0,,0,,0,0,0,,0,0,0,0,,0,0,0,0,0,0,,,,0,0,0,0,,,,,,0,0,0,0,,,0,,,,"0.00",0,0,0,0
Package,"org.apache.ivory",0,0,0,0,0,0,0,0,,,,,0,0,0,,0,,0,0,0,,0,0,0,0,,0,0,0,0,0,0,,,,0,0,0,0,,,,,,0,0,0,0,,,0,,,,"0.00",0,0,0,0
Package,"org.apache.ivory.aspect",0,0,0,0,0,0,0,0,,,,,0,0,0,,0,,0,0,0,,0,0,0,0,,0,0,0,0,0,0,,,,0,0,0,0,,,,,,0,0,0,0,,,0,,,,"0.00",0,0,0,0
Package,"org.apache.ivory.aspect.instances",1,1,1,1,13,0,12,0,,,,,1,1,2,,1,,6,8,7,,0,1,0,6,,154,20,114,60,64,20,,,,64,76,49,35,,,,,,3,3,3,1,,,2,,,,"0.18",11,11,11,7
Public Class,"org.apache.ivory.aspect.instances.IvoryTopicSubscriber",1,1,1,1,13,0,12,0,3,24,24,0,,1,2,,,,6,8,7,7,0,1,0,6,,117,16,98,44,64,3,,,,48,60,33,35,,,,,,3,3,3,1,,1,2,,69,66,"0.03",11,11,11,7
