Kind,Name,AvgCyclomatic,AvgCyclomaticModified,AvgCyclomaticStrict,AvgEssential,AvgLine,AvgLineBlank,AvgLineCode,AvgLineComment,CountClassBase,CountClassCoupled,CountClassCoupledModified,CountClassDerived,CountDeclClass,CountDeclClassMethod,CountDeclClassVariable,CountDeclExecutableUnit,CountDeclFile,CountDeclFunction,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclMethod,CountDeclMethodAll,CountDeclMethodDefault,CountDeclMethodPrivate,CountDeclMethodProtected,CountDeclMethodPublic,CountInput,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountOutput,CountPath,CountPathLog,CountSemicolon,CountStmt,CountStmtDecl,CountStmtExe,Cyclomatic,CyclomaticModified,CyclomaticStrict,Essential,Knots,MaxCyclomatic,MaxCyclomaticModified,MaxCyclomaticStrict,MaxEssential,MaxEssentialKnots,MaxInheritanceTree,MaxNesting,MinEssentialKnots,PercentLackOfCohesion,PercentLackOfCohesionModified,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumEssential
File,"Map2dTree.java",2,2,2,1,13,4,9,0,,,,,4,1,1,15,,18,17,8,18,,3,1,3,11,,281,95,173,64,88,14,,,,83,127,60,72,,,,,,8,8,9,4,,,3,,,,"0.08",35,35,38,20
File,"Map2dTreeDebugView.java",1,1,1,1,14,3,10,0,,,,,2,0,0,6,,6,6,1,6,,0,1,0,5,,109,32,77,25,43,0,,,,24,37,19,19,,,,,,3,3,3,1,,,2,,,,"0.00",10,10,10,6
File,"MapDataIndex.java",0,0,0,0,0,0,0,0,,,,,1,0,0,0,,3,3,0,3,,0,0,0,3,,34,7,8,7,0,19,,,,6,7,7,0,,,,,,0,0,0,0,,,0,,,,"2.38",0,0,0,0
File,"MapIntersectionGrid.java",1,1,1,1,5,0,5,0,,,,,1,0,0,4,,4,4,1,4,,0,0,0,4,,41,13,28,15,9,0,,,,12,17,12,6,,,,,,1,1,1,1,,,0,,,,"0.00",4,4,4,4
File,"MapQuadtree.java",2,2,2,1,11,2,8,0,,,,,5,0,1,18,,21,21,9,21,,15,0,0,6,,282,81,185,67,90,17,,,,94,139,64,80,,,,,,8,8,10,8,,,3,,,,"0.09",38,38,43,32
File,"OSMToMapDataConverter.java",6,6,7,2,49,15,28,5,,,,,2,6,1,11,,11,5,2,11,,0,8,0,3,,588,179,343,118,206,66,,,,165,261,127,170,,,,,,16,16,18,6,,,5,,,,"0.19",71,71,85,28
File,"QuadtreeDebugView.java",3,3,3,1,22,5,16,0,,,,,1,0,4,4,,4,4,2,4,,0,0,0,4,,121,33,86,43,49,2,,,,44,60,37,32,,,,,,9,9,9,1,,,4,,,,"0.02",12,12,12,4
Package,"org",0,0,0,0,0,0,0,0,,,,,0,0,0,,0,,0,0,0,,0,0,0,0,,0,0,0,0,0,0,,,,0,0,0,0,,,,,,0,0,0,0,,,0,,,,"0.00",0,0,0,0
Package,"org.osm2world",0,0,0,0,0,0,0,0,,,,,0,0,0,,0,,0,0,0,,0,0,0,0,,0,0,0,0,0,0,,,,0,0,0,0,,,,,,0,0,0,0,,,0,,,,"0.00",0,0,0,0
Package,"org.osm2world.core",0,0,0,0,0,0,0,0,,,,,0,0,0,,0,,0,0,0,,0,0,0,0,,0,0,0,0,0,0,,,,0,0,0,0,,,,,,0,0,0,0,,,0,,,,"0.00",0,0,0,0
Package,"org.osm2world.core.map_data",0,0,0,0,0,0,0,0,,,,,0,0,0,,0,,0,0,0,,0,0,0,0,,0,0,0,0,0,0,,,,0,0,0,0,,,,,,0,0,0,0,,,0,,,,"0.00",0,0,0,0
Package,"org.osm2world.core.map_data.creation",6,6,7,2,49,15,28,5,,,,,2,6,1,,1,,5,2,11,,0,8,0,3,,588,179,343,118,206,66,,,,165,261,127,170,,,,,,16,16,18,6,,,5,,,,"0.19",71,71,85,28
Public Class,"org.osm2world.core.map_data.creation.OSMToMapDataConverter",6,6,8,2,51,16,29,6,1,39,39,0,,6,1,,,,4,2,10,10,0,8,0,2,,540,175,299,74,206,66,,,,121,217,83,170,,,,,,16,16,18,6,,1,5,,80,70,"0.22",66,66,80,27
Public Constructor,"org.osm2world.core.map_data.creation.OSMToMapDataConverter.OSMToMapDataConverter",,,,,,,,,,,,,,,,,,,,,,,,,,,1,3,0,3,1,1,0,2,1,0,1,2,1,1,1,1,1,1,0,,,,,0,,0,0,,,"0.00",1,1,1,1
Private Static Method,"org.osm2world.core.map_data.creation.OSMToMapDataConverter.addOverlapBetween",,,,,,,,,,,,,,,,,,,,,,,,,,,3,40,14,21,1,18,5,4,7,1,6,13,1,12,7,7,13,1,5,,,,,0,,1,0,,,"0.24",7,7,13,1
Private Static Method,"org.osm2world.core.map_data.creation.OSMToMapDataConverter.addOverlapBetween",,,,,,,,,,,,,,,,,,,,,,,,,,,3,28,8,15,6,10,5,6,3,0,5,8,3,7,3,3,3,1,1,,,,,0,,1,0,,,"0.33",3,3,3,1
Private Static Method,"org.osm2world.core.map_data.creation.OSMToMapDataConverter.addOverlapBetween",,,,,,,,,,,,,,,,,,,,,,,,,,,8,110,37,57,15,40,16,17,41,2,25,38,14,32,11,11,15,6,6,,,,,6,,4,6,,,"0.28",11,11,15,6
Private Static Method,"org.osm2world.core.map_data.creation.OSMToMapDataConverter.addOverlapBetween",,,,,,,,,,,,,,,,,,,,,,,,,,,6,102,26,62,15,44,14,12,1009,3,28,49,19,37,15,15,17,6,10,,,,,10,,3,7,,,"0.23",15,15,17,6
Private Static Method,"org.osm2world.core.map_data.creation.OSMToMapDataConverter.addOverlapBetween",,,,,,,,,,,,,,,,,,,,,,,,,,,4,14,6,7,3,3,1,4,2,0,2,4,2,3,2,2,2,1,0,,,,,0,,1,0,,,"0.14",2,2,2,1
Private Method,"org.osm2world.core.map_data.creation.OSMToMapDataConverter.calculateFileBoundary",,,,,,,,,,,,,,,,,,,,,,,,,,,4,21,6,15,3,10,0,8,4,1,7,11,3,9,3,3,3,1,1,,,,,0,,1,0,,,"0.00",3,3,3,1
