Kind,Name,AvgCyclomatic,AvgCyclomaticModified,AvgCyclomaticStrict,AvgEssential,AvgLine,AvgLineBlank,AvgLineCode,AvgLineComment,CountClassBase,CountClassCoupled,CountClassCoupledModified,CountClassDerived,CountDeclClass,CountDeclClassMethod,CountDeclClassVariable,CountDeclExecutableUnit,CountDeclFile,CountDeclFunction,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclMethod,CountDeclMethodAll,CountDeclMethodDefault,CountDeclMethodPrivate,CountDeclMethodProtected,CountDeclMethodPublic,CountInput,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountOutput,CountPath,CountPathLog,CountSemicolon,CountStmt,CountStmtDecl,CountStmtExe,Cyclomatic,CyclomaticModified,CyclomaticStrict,Essential,Knots,MaxCyclomatic,MaxCyclomaticModified,MaxCyclomaticStrict,MaxEssential,MaxEssentialKnots,MaxInheritanceTree,MaxNesting,MinEssentialKnots,PercentLackOfCohesion,PercentLackOfCohesionModified,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumEssential
File,"FixMissingOpenmrsIdentifiers.java",2,2,3,1,16,3,11,2,,,,,1,0,0,2,,2,2,3,2,,0,0,1,1,,84,15,48,33,15,21,,,,30,37,28,14,,,,,,4,4,4,1,,,3,,,,"0.44",5,5,6,2
File,"FixMissingOpenmrsIdentifiersTest.java",1,1,1,1,12,1,7,3,,,,,1,0,0,2,,2,2,3,2,,0,0,0,2,,76,13,38,29,7,25,,,,24,29,24,7,,,,,,2,2,2,1,,,1,,,,"0.66",3,3,3,2
File,"VoidDuplicateIdentifiers.java",2,2,2,1,18,1,13,3,,,,,1,0,0,2,,2,2,1,2,,0,0,1,1,,81,10,47,30,18,24,,,,32,38,28,16,,,,,,3,3,3,1,,,2,,,,"0.51",4,4,4,2
Package,"org",0,0,0,0,0,0,0,0,,,,,0,0,0,,0,,0,0,0,,0,0,0,0,,0,0,0,0,0,0,,,,0,0,0,0,,,,,,0,0,0,0,,,0,,,,"0.00",0,0,0,0
Package,"org.openmrs",0,0,0,0,0,0,0,0,,,,,0,0,0,,0,,0,0,0,,0,0,0,0,,0,0,0,0,0,0,,,,0,0,0,0,,,,,,0,0,0,0,,,0,,,,"0.00",0,0,0,0
Package,"org.openmrs.module",0,0,0,0,0,0,0,0,,,,,0,0,0,,0,,0,0,0,,0,0,0,0,,0,0,0,0,0,0,,,,0,0,0,0,,,,,,0,0,0,0,,,0,,,,"0.00",0,0,0,0
Package,"org.openmrs.module.kenyaemr",0,0,0,0,0,0,0,0,,,,,0,0,0,,0,,0,0,0,,0,0,0,0,,0,0,0,0,0,0,,,,0,0,0,0,,,,,,0,0,0,0,,,0,,,,"0.00",0,0,0,0
Package,"org.openmrs.module.kenyaemr.chore",2,2,2,1,15,2,10,3,,,,,3,0,0,,3,,6,7,6,,0,0,2,4,,241,38,133,92,40,70,,,,86,104,80,37,,,,,,4,4,4,1,,,3,,,,"0.53",12,12,13,6
Public Class,"org.openmrs.module.kenyaemr.chore.FixMissingOpenmrsIdentifiers",2,2,3,1,16,3,11,2,1,16,16,0,,0,0,,,,2,3,2,2,0,0,1,1,,65,11,33,18,15,21,,,,15,22,13,14,,,,,,4,4,4,1,,2,3,,50,50,"0.64",5,5,6,2
Protected Method,"org.openmrs.module.kenyaemr.chore.FixMissingOpenmrsIdentifiers.patientHasPreferredId",,,,,,,,,,,,,,,,,,,,,,,,,,,2,4,0,4,2,2,0,3,1,0,2,3,2,2,1,1,2,1,0,,,,,0,,0,0,,,"0.00",1,1,2,1
Public Method,"org.openmrs.module.kenyaemr.chore.FixMissingOpenmrsIdentifiers.perform",,,,,,,,,,,,,,,,,,,,,,,,,,,7,29,6,19,7,13,4,11,4,1,10,15,7,12,4,4,4,1,0,,,,,0,,3,0,,,"0.21",4,4,4,1
Public Class,"org.openmrs.module.kenyaemr.chore.FixMissingOpenmrsIdentifiersTest",1,1,1,1,12,1,7,3,1,14,14,0,,0,0,,,,2,3,2,2,0,0,0,2,,55,8,22,14,7,25,,,,9,14,9,7,,,,,,2,2,2,1,,2,1,,50,50,"1.14",3,3,3,2
Public Method,"org.openmrs.module.kenyaemr.chore.FixMissingOpenmrsIdentifiersTest.perform",,,,,,,,,,,,,,,,,,,,,,,,,,,6,17,3,10,4,6,4,8,2,0,5,8,4,6,2,2,2,1,0,,,,,0,,1,0,,,"0.40",2,2,2,1
Public Method,"org.openmrs.module.kenyaemr.chore.FixMissingOpenmrsIdentifiersTest.setup",,,,,,,,,,,,,,,,,,,,,,,,,,,1,7,0,4,2,1,3,1,1,0,1,2,1,1,1,1,1,1,0,,,,,0,,0,0,,,"0.75",1,1,1,1
Public Class,"org.openmrs.module.kenyaemr.chore.VoidDuplicateIdentifiers",2,2,2,1,18,1,13,3,1,16,16,0,,0,0,,,,2,1,2,2,0,0,1,1,,61,6,31,14,18,24,,,,16,22,12,16,,,,,,3,3,3,1,,2,2,,50,0,"0.77",4,4,4,2
Public Method,"org.openmrs.module.kenyaemr.chore.VoidDuplicateIdentifiers.perform",,,,,,,,,,,,,,,,,,,,,,,,,,,6,15,1,11,6,8,3,2,1,0,8,9,5,8,1,1,1,1,0,,,,,0,,0,0,,,"0.27",1,1,1,1
Protected Method,"org.openmrs.module.kenyaemr.chore.VoidDuplicateIdentifiers.voidDuplicatesOfType",,,,,,,,,,,,,,,,,,,,,,,,,,,4,21,2,15,4,10,4,8,3,0,7,11,5,8,3,3,3,1,1,,,,,0,,2,0,,,"0.27",3,3,3,1
