Kind,Name,AvgCyclomatic,AvgCyclomaticModified,AvgCyclomaticStrict,AvgEssential,AvgLine,AvgLineBlank,AvgLineCode,AvgLineComment,CountClassBase,CountClassCoupled,CountClassCoupledModified,CountClassDerived,CountDeclClass,CountDeclClassMethod,CountDeclClassVariable,CountDeclExecutableUnit,CountDeclFile,CountDeclFunction,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclMethod,CountDeclMethodAll,CountDeclMethodDefault,CountDeclMethodPrivate,CountDeclMethodProtected,CountDeclMethodPublic,CountInput,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountOutput,CountPath,CountPathLog,CountSemicolon,CountStmt,CountStmtDecl,CountStmtExe,Cyclomatic,CyclomaticModified,CyclomaticStrict,Essential,Knots,MaxCyclomatic,MaxCyclomaticModified,MaxCyclomaticStrict,MaxEssential,MaxEssentialKnots,MaxInheritanceTree,MaxNesting,MinEssentialKnots,PercentLackOfCohesion,PercentLackOfCohesionModified,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumEssential
File,"MapMaker.java",5,5,5,2,30,2,22,5,,,,,1,0,1,9,,9,9,0,9,,2,6,0,1,,334,39,225,70,148,73,,,,128,187,81,137,,,,,,13,13,13,5,,,7,,,,"0.32",50,50,52,20
File,"MapPoint.java",1,1,1,1,3,0,3,0,,,,,1,1,0,10,,10,9,2,10,,0,1,0,9,,77,12,39,16,11,26,,,,15,26,16,10,,,,,,1,1,2,1,,,0,,,,"0.67",10,10,11,10
File,"MapPointFastFindMap.java",2,2,3,1,16,3,12,1,,,,,1,0,2,12,,12,12,3,12,,0,1,0,11,,249,58,161,46,86,36,,,,77,112,49,71,,,,,,9,9,14,7,,,7,,,,"0.22",32,32,41,18
Package,"uk",0,0,0,0,0,0,0,0,,,,,0,0,0,,0,,0,0,0,,0,0,0,0,,0,0,0,0,0,0,,,,0,0,0,0,,,,,,0,0,0,0,,,0,,,,"0.00",0,0,0,0
Package,"uk.me",0,0,0,0,0,0,0,0,,,,,0,0,0,,0,,0,0,0,,0,0,0,0,,0,0,0,0,0,0,,,,0,0,0,0,,,,,,0,0,0,0,,,0,,,,"0.00",0,0,0,0
Package,"uk.me.parabola",0,0,0,0,0,0,0,0,,,,,0,0,0,,0,,0,0,0,,0,0,0,0,,0,0,0,0,0,0,,,,0,0,0,0,,,,,,0,0,0,0,,,0,,,,"0.00",0,0,0,0
Package,"uk.me.parabola.mkgmap",0,0,0,0,0,0,0,0,,,,,0,0,0,,0,,0,0,0,,0,0,0,0,,0,0,0,0,0,0,,,,0,0,0,0,,,,,,0,0,0,0,,,0,,,,"0.00",0,0,0,0
Package,"uk.me.parabola.mkgmap.general",1,1,2,1,10,1,8,0,,,,,2,1,2,,2,,21,5,22,,0,2,0,20,,326,70,200,62,97,62,,,,92,138,65,81,,,,,,9,9,14,7,,,7,,,,"0.31",42,42,52,28
Public Class,"uk.me.parabola.mkgmap.general.MapPoint",1,1,1,1,3,0,3,0,1,2,2,0,,1,0,,,,9,2,10,10,0,1,0,9,,72,10,36,13,11,26,,,,12,23,13,10,,,,,,1,1,2,1,,2,0,,70,65,"0.72",10,10,11,10
Public Constructor,"uk.me.parabola.mkgmap.general.MapPoint.MapPoint",,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,0,2,1,0,0,1,1,0,0,1,1,0,1,1,1,1,0,,,,,0,,0,0,,,"0.00",1,1,1,1
