Kind,Name,AvgCyclomatic,AvgCyclomaticModified,AvgCyclomaticStrict,AvgEssential,AvgLine,AvgLineBlank,AvgLineCode,AvgLineComment,CountClassBase,CountClassCoupled,CountClassCoupledModified,CountClassDerived,CountDeclClass,CountDeclClassMethod,CountDeclClassVariable,CountDeclExecutableUnit,CountDeclFile,CountDeclFunction,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclMethod,CountDeclMethodAll,CountDeclMethodDefault,CountDeclMethodPrivate,CountDeclMethodProtected,CountDeclMethodPublic,CountInput,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountOutput,CountPath,CountPathLog,CountSemicolon,CountStmt,CountStmtDecl,CountStmtExe,Cyclomatic,CyclomaticModified,CyclomaticStrict,Essential,Knots,MaxCyclomatic,MaxCyclomaticModified,MaxCyclomaticStrict,MaxEssential,MaxEssentialKnots,MaxInheritanceTree,MaxNesting,MinEssentialKnots,PercentLackOfCohesion,PercentLackOfCohesionModified,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumEssential
File,"MultiSourceDataSet.java",1,1,1,1,6,0,6,0,,,,,1,4,0,10,,10,6,2,10,,0,6,0,4,,107,20,78,28,39,9,,,,34,57,30,34,,,,,,3,3,3,1,,,2,,,,"0.12",18,18,18,10
File,"MultiSourceDataSetTest.java",1,1,1,1,5,0,5,0,,,,,1,0,0,18,,18,18,4,18,,0,0,0,18,,141,27,106,62,43,8,,,,46,65,44,35,,,,,,1,1,1,1,,,0,,,,"0.08",18,18,18,18
Package,"org",0,0,0,0,0,0,0,0,,,,,0,0,0,,0,,0,0,0,,0,0,0,0,,0,0,0,0,0,0,,,,0,0,0,0,,,,,,0,0,0,0,,,0,,,,"0.00",0,0,0,0
Package,"org.cassandraunit",0,0,0,0,0,0,0,0,,,,,0,0,0,,0,,0,0,0,,0,0,0,0,,0,0,0,0,0,0,,,,0,0,0,0,,,,,,0,0,0,0,,,0,,,,"0.00",0,0,0,0
Package,"org.cassandraunit.dataset",1,1,1,1,5,0,5,0,,,,,2,4,0,,2,,24,6,28,,0,6,0,22,,248,47,184,90,82,17,,,,80,122,74,69,,,,,,3,3,3,1,,,2,,,,"0.09",36,36,36,28
Public Class,"org.cassandraunit.dataset.MultiSourceDataSet",1,1,1,1,6,0,6,0,2,12,12,0,,4,0,,,,6,2,10,10,0,6,0,4,,93,14,70,21,39,9,,,,27,50,23,34,,,,,,3,3,3,1,,1,2,,75,50,"0.13",18,18,18,10
Private Constructor,"org.cassandraunit.dataset.MultiSourceDataSet.MultiSourceDataSet",,,,,,,,,,,,,,,,,,,,,,,,,,,5,15,2,13,2,9,0,9,3,0,6,10,3,7,3,3,3,1,1,,,,,0,,2,0,,,"0.00",3,3,3,1
Private Static Method,"org.cassandraunit.dataset.MultiSourceDataSet.buildDataSetList",,,,,,,,,,,,,,,,,,,,,,,,,,,4,6,0,6,1,3,0,1,2,0,2,4,1,3,2,2,2,1,0,,,,,0,,1,0,,,"0.00",2,2,2,1
Private Final Method,"org.cassandraunit.dataset.MultiSourceDataSet.checkForDuplicateColumnFamilies",,,,,,,,,,,,,,,,,,,,,,,,,,,3,9,0,9,3,6,0,4,2,0,4,6,3,5,2,2,2,1,0,,,,,0,,1,0,,,"0.00",2,2,2,1
Private Final Method,"org.cassandraunit.dataset.MultiSourceDataSet.checkForInconsistentKeyspaceNames",,,,,,,,,,,,,,,,,,,,,,,,,,,3,7,0,7,1,4,0,3,2,0,1,3,1,2,2,2,2,1,0,,,,,0,,1,0,,,"0.00",2,2,2,1
Private Method,"org.cassandraunit.dataset.MultiSourceDataSet.firstDataSet",,,,,,,,,,,,,,,,,,,,,,,,,,,2,3,0,3,1,1,0,2,1,0,1,2,1,1,1,1,1,1,0,,,,,0,,0,0,,,"0.00",1,1,1,1
Public Static Method,"org.cassandraunit.dataset.MultiSourceDataSet.fromClassPath",,,,,,,,,,,,,,,,,,,,,,,,,,,8,7,0,7,2,4,0,4,2,0,3,6,3,4,2,2,2,1,0,,,,,0,,1,0,,,"0.00",2,2,2,1
Public Static Method,"org.cassandraunit.dataset.MultiSourceDataSet.fromFiles",,,,,,,,,,,,,,,,,,,,,,,,,,,11,7,0,7,2,4,0,4,2,0,3,6,3,4,2,2,2,1,0,,,,,0,,1,0,,,"0.00",2,2,2,1
Public Method,"org.cassandraunit.dataset.MultiSourceDataSet.getColumnFamilies",,,,,,,,,,,,,,,,,,,,,,,,,,,1,4,0,4,2,1,0,1,1,0,1,2,1,1,1,1,1,1,0,,,,,0,,0,0,,,"0.00",1,1,1,1
Private Static Final Method,"org.cassandraunit.dataset.MultiSourceDataSet.getColumnFamilyNames",,,,,,,,,,,,,,,,,,,,,,,,,,,2,7,0,7,2,4,0,3,2,0,3,6,3,4,2,2,2,1,0,,,,,0,,1,0,,,"0.00",2,2,2,1
Public Method,"org.cassandraunit.dataset.MultiSourceDataSet.getKeyspace",,,,,,,,,,,,,,,,,,,,,,,,,,,0,4,0,4,2,1,0,3,1,0,1,2,1,1,1,1,1,1,0,,,,,0,,0,0,,,"0.00",1,1,1,1
Public Class,"org.cassandraunit.dataset.MultiSourceDataSetTest",1,1,1,1,5,0,5,0,1,7,7,0,,0,0,,,,18,4,18,18,0,0,0,18,,131,24,99,55,43,8,,,,39,58,37,35,,,,,,1,1,1,1,,1,0,,83,83,"0.08",18,18,18,18
Public Method,"org.cassandraunit.dataset.MultiSourceDataSetTest.before",,,,,,,,,,,,,,,,,,,,,,,,,,,0,11,0,11,2,8,0,6,1,0,4,5,1,4,1,1,1,1,0,,,,,0,,0,0,,,"0.00",1,1,1,1
Public Method,"org.cassandraunit.dataset.MultiSourceDataSetTest.shouldGetAJsonDataSetStructureFromASingleClasspathFile",,,,,,,,,,,,,,,,,,,,,,,,,,,0,5,0,5,3,2,0,2,1,0,2,3,2,2,1,1,1,1,0,,,,,0,,0,0,,,"0.00",1,1,1,1
Public Method,"org.cassandraunit.dataset.MultiSourceDataSetTest.shouldGetAJsonDataSetStructureFromASingleFile",,,,,,,,,,,,,,,,,,,,,,,,,,,1,5,0,5,3,2,0,2,1,0,2,3,2,2,1,1,1,1,0,,,,,0,,0,0,,,"0.00",1,1,1,1
Public Method,"org.cassandraunit.dataset.MultiSourceDataSetTest.shouldGetAXmlDataSetStructure",,,,,,,,,,,,,,,,,,,,,,,,,,,1,6,1,5,3,2,0,2,1,0,2,3,2,2,1,1,1,1,0,,,,,0,,0,0,,,"0.00",1,1,1,1
Public Method,"org.cassandraunit.dataset.MultiSourceDataSetTest.shouldGetAXmlDataSetStructureFromClasspath",,,,,,,,,,,,,,,,,,,,,,,,,,,0,5,0,5,3,2,0,2,1,0,2,3,2,2,1,1,1,1,0,,,,,0,,0,0,,,"0.00",1,1,1,1
Public Method,"org.cassandraunit.dataset.MultiSourceDataSetTest.shouldGetAYamlDataSetStructure",,,,,,,,,,,,,,,,,,,,,,,,,,,1,6,1,5,3,2,0,2,1,0,2,3,2,2,1,1,1,1,0,,,,,0,,0,0,,,"0.00",1,1,1,1
Public Method,"org.cassandraunit.dataset.MultiSourceDataSetTest.shouldGetAYamlDataSetStructureFromClasspath",,,,,,,,,,,,,,,,,,,,,,,,,,,0,5,0,5,3,2,0,2,1,0,2,3,2,2,1,1,1,1,0,,,,,0,,0,0,,,"0.00",1,1,1,1
Public Method,"org.cassandraunit.dataset.MultiSourceDataSetTest.shouldNotBeAbleToGetColumnFamiliesIfDuplicateNamesExist",,,,,,,,,,,,,,,,,,,,,,,,,,,2,4,0,4,2,1,0,1,1,0,1,2,1,1,1,1,1,1,0,,,,,0,,0,0,,,"0.00",1,1,1,1
Public Method,"org.cassandraunit.dataset.MultiSourceDataSetTest.shouldNotBeAbleToMergeMultipleFilesIfKeyspacesDiffer",,,,,,,,,,,,,,,,,,,,,,,,,,,2,4,0,4,2,1,0,1,1,0,1,2,1,1,1,1,1,1,0,,,,,0,,0,0,,,"0.00",1,1,1,1
Public Method,"org.cassandraunit.dataset.MultiSourceDataSetTest.shouldNotBeAbleToMergeTheSameFileTwice",,,,,,,,,,,,,,,,,,,,,,,,,,,1,4,0,4,2,1,0,1,1,0,1,2,1,1,1,1,1,1,0,,,,,0,,0,0,,,"0.00",1,1,1,1
Public Method,"org.cassandraunit.dataset.MultiSourceDataSetTest.shouldNotGetADataSetStructureBecauseOfNull",,,,,,,,,,,,,,,,,,,,,,,,,,,0,5,0,5,3,2,0,2,1,0,2,3,2,2,1,1,1,1,0,,,,,0,,0,0,,,"0.00",1,1,1,1
Public Method,"org.cassandraunit.dataset.MultiSourceDataSetTest.shouldNotGetADataSetStructureFromClasspathBecauseOfNull",,,,,,,,,,,,,,,,,,,,,,,,,,,0,5,0,5,3,2,0,2,1,0,2,3,2,2,1,1,1,1,0,,,,,0,,0,0,,,"0.00",1,1,1,1
Public Method,"org.cassandraunit.dataset.MultiSourceDataSetTest.shouldNotGetAJsonDataSetStructureBecauseOfFileNotFound",,,,,,,,,,,,,,,,,,,,,,,,,,,0,5,0,5,3,2,0,2,1,0,2,3,2,2,1,1,1,1,0,,,,,0,,0,0,,,"0.00",1,1,1,1
Public Method,"org.cassandraunit.dataset.MultiSourceDataSetTest.shouldNotGetAJsonDataSetStructureFromClasspathBecauseOfDataSetNotExist",,,,,,,,,,,,,,,,,,,,,,,,,,,0,5,0,5,3,2,0,2,1,0,2,3,2,2,1,1,1,1,0,,,,,0,,0,0,,,"0.00",1,1,1,1
Public Method,"org.cassandraunit.dataset.MultiSourceDataSetTest.shouldNotGetAXmlDataSetStructureBecauseOfFileNotFound",,,,,,,,,,,,,,,,,,,,,,,,,,,0,5,0,5,3,2,0,2,1,0,2,3,2,2,1,1,1,1,0,,,,,0,,0,0,,,"0.00",1,1,1,1
Public Method,"org.cassandraunit.dataset.MultiSourceDataSetTest.shouldNotGetAXmlDataSetStructureFromClasspathBecauseOfDataSetNotExist",,,,,,,,,,,,,,,,,,,,,,,,,,,0,5,0,5,3,2,0,2,1,0,2,3,2,2,1,1,1,1,0,,,,,0,,0,0,,,"0.00",1,1,1,1
Public Method,"org.cassandraunit.dataset.MultiSourceDataSetTest.shouldNotGetAYamlDataSetStructureBecauseOfFileNotFound",,,,,,,,,,,,,,,,,,,,,,,,,,,0,5,0,5,3,2,0,2,1,0,2,3,2,2,1,1,1,1,0,,,,,0,,0,0,,,"0.00",1,1,1,1
Public Method,"org.cassandraunit.dataset.MultiSourceDataSetTest.shouldNotGetAYamlDataSetStructureFromClasspathBecauseOfDataSetNotExist",,,,,,,,,,,,,,,,,,,,,,,,,,,0,5,0,5,3,2,0,2,1,0,2,3,2,2,1,1,1,1,0,,,,,0,,0,0,,,"0.00",1,1,1,1
