Kind,Name,AvgCyclomatic,AvgCyclomaticModified,AvgCyclomaticStrict,AvgEssential,AvgLine,AvgLineBlank,AvgLineCode,AvgLineComment,CountClassBase,CountClassCoupled,CountClassCoupledModified,CountClassDerived,CountDeclClass,CountDeclClassMethod,CountDeclClassVariable,CountDeclExecutableUnit,CountDeclFile,CountDeclFunction,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclMethod,CountDeclMethodAll,CountDeclMethodDefault,CountDeclMethodPrivate,CountDeclMethodProtected,CountDeclMethodPublic,CountInput,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountOutput,CountPath,CountPathLog,CountSemicolon,CountStmt,CountStmtDecl,CountStmtExe,Cyclomatic,CyclomaticModified,CyclomaticStrict,Essential,Knots,MaxCyclomatic,MaxCyclomaticModified,MaxCyclomaticStrict,MaxEssential,MaxEssentialKnots,MaxInheritanceTree,MaxNesting,MinEssentialKnots,PercentLackOfCohesion,PercentLackOfCohesionModified,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumEssential
File,"DeleteDuplicates.java",1,1,2,1,10,0,8,0,,,,,8,1,2,37,,37,36,14,37,,0,0,0,37,,514,82,361,122,215,77,,,,202,274,106,186,,,,,,8,8,8,5,,,2,,,,"0.21",70,70,77,48
File,"TestDeleteDuplicates.java",2,2,2,2,15,0,14,1,,,,,1,0,0,8,,8,8,6,8,,0,3,0,5,,176,13,142,54,92,27,,,,104,122,57,86,,,,,,5,5,5,5,,,2,,,,"0.19",20,20,20,16
Package,"org",0,0,0,0,0,0,0,0,,,,,0,0,0,,0,,0,0,0,,0,0,0,0,,0,0,0,0,0,0,,,,0,0,0,0,,,,,,0,0,0,0,,,0,,,,"0.00",0,0,0,0
Package,"org.apache",0,0,0,0,0,0,0,0,,,,,0,0,0,,0,,0,0,0,,0,0,0,0,,0,0,0,0,0,0,,,,0,0,0,0,,,,,,0,0,0,0,,,0,,,,"0.00",0,0,0,0
Package,"org.apache.nutch",0,0,0,0,0,0,0,0,,,,,0,0,0,,0,,0,0,0,,0,0,0,0,,0,0,0,0,0,0,,,,0,0,0,0,,,,,,0,0,0,0,,,0,,,,"0.00",0,0,0,0
Package,"org.apache.nutch.indexer",2,2,2,1,11,0,9,0,,,,,9,1,2,,2,,44,20,45,,0,3,0,42,,690,95,503,176,307,104,,,,306,396,163,272,,,,,,8,8,8,5,,,2,,,,"0.21",90,90,97,64
Public Class,"org.apache.nutch.indexer.DeleteDuplicates",1,1,1,1,13,2,10,0,4,31,31,0,,1,1,,,,11,1,12,12,0,0,0,12,,489,75,343,104,215,77,,,,184,256,88,186,,,,,,5,5,5,3,,2,2,,75,50,"0.22",22,22,22,14
Public Constructor,"org.apache.nutch.indexer.DeleteDuplicates.DeleteDuplicates",,,,,,,,,,,,,,,,,,,,,,,,,,,4,3,0,3,1,1,0,2,1,0,1,2,1,1,1,1,1,1,0,,,,,0,,0,0,,,"0.00",1,1,1,1
Public Constructor,"org.apache.nutch.indexer.DeleteDuplicates.DeleteDuplicates",,,,,,,,,,,,,,,,,,,,,,,,,,,1,3,1,2,1,0,0,1,1,0,0,1,1,0,1,1,1,1,0,,,,,0,,0,0,,,"0.00",1,1,1,1
Public Static Class,"org.apache.nutch.indexer.DeleteDuplicates.HashPartitioner",1,1,1,1,2,0,2,0,2,4,4,0,,0,0,,,,3,0,3,3,0,0,0,3,,9,0,9,6,2,0,,,,2,6,5,2,,,,,,1,1,1,1,,1,0,,0,0,"0.00",3,3,3,3
Public Method,"org.apache.nutch.indexer.DeleteDuplicates.HashPartitioner.close",,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,0,1,1,0,0,0,1,0,0,1,1,0,1,1,1,1,0,,,,,0,,0,0,,,"0.00",1,1,1,1
Public Method,"org.apache.nutch.indexer.DeleteDuplicates.HashPartitioner.configure",,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,0,1,1,0,0,0,1,0,0,1,1,0,1,1,1,1,0,,,,,0,,0,0,,,"0.00",1,1,1,1
Public Method,"org.apache.nutch.indexer.DeleteDuplicates.HashPartitioner.getPartition",,,,,,,,,,,,,,,,,,,,,,,,,,,4,5,0,5,3,2,0,2,1,0,2,3,2,2,1,1,1,1,0,,,,,0,,0,0,,,"0.00",1,1,1,1
Public Static Class,"org.apache.nutch.indexer.DeleteDuplicates.HashReducer",3,3,3,2,14,0,12,1,2,8,8,0,,0,0,,,,3,1,3,3,0,0,0,3,,49,4,41,12,26,4,,,,20,29,9,21,,,,,,7,7,7,4,,1,2,,33,33,"0.10",9,9,9,6
