Kind,Name,AvgCyclomatic,AvgCyclomaticModified,AvgCyclomaticStrict,AvgEssential,AvgLine,AvgLineBlank,AvgLineCode,AvgLineComment,CountClassBase,CountClassCoupled,CountClassCoupledModified,CountClassDerived,CountDeclClass,CountDeclClassMethod,CountDeclClassVariable,CountDeclExecutableUnit,CountDeclFile,CountDeclFunction,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclMethod,CountDeclMethodAll,CountDeclMethodDefault,CountDeclMethodPrivate,CountDeclMethodProtected,CountDeclMethodPublic,CountInput,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountOutput,CountPath,CountPathLog,CountSemicolon,CountStmt,CountStmtDecl,CountStmtExe,Cyclomatic,CyclomaticModified,CyclomaticStrict,Essential,Knots,MaxCyclomatic,MaxCyclomaticModified,MaxCyclomaticStrict,MaxEssential,MaxEssentialKnots,MaxInheritanceTree,MaxNesting,MinEssentialKnots,PercentLackOfCohesion,PercentLackOfCohesionModified,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumEssential
File,"TracksKMLController.java",2,2,2,1,13,0,13,0,,,,,2,0,0,6,,6,6,6,6,,0,0,1,5,,134,14,120,76,40,0,,,,60,69,54,21,,,,,,7,7,7,3,,,1,,,,"0.00",12,12,12,8
Package,"org",0,0,0,0,0,0,0,0,,,,,0,0,0,,0,,0,0,0,,0,0,0,0,,0,0,0,0,0,0,,,,0,0,0,0,,,,,,0,0,0,0,,,0,,,,"0.00",0,0,0,0
Package,"org.oztrack",0,0,0,0,0,0,0,0,,,,,0,0,0,,0,,0,0,0,,0,0,0,0,,0,0,0,0,0,0,,,,0,0,0,0,,,,,,0,0,0,0,,,0,,,,"0.00",0,0,0,0
Package,"org.oztrack.controller",2,2,2,1,13,0,13,0,,,,,2,0,0,,1,,6,6,6,,0,0,1,5,,134,14,120,76,40,0,,,,60,69,54,21,,,,,,7,7,7,3,,,1,,,,"0.00",12,12,12,8
Public Class,"org.oztrack.controller.TracksKMLController",2,2,2,1,14,0,14,0,1,31,31,0,,0,0,,,,5,6,5,5,0,0,0,5,,94,10,84,40,40,0,,,,24,33,18,21,,,,,,7,7,7,3,,1,1,,83,83,"0.00",11,11,11,7
Public Method,"org.oztrack.controller.TracksKMLController.getProject",,,,,,,,,,,,,,,,,,,,,,,,,,,2,4,0,4,2,1,0,2,1,0,1,2,1,1,1,1,1,1,0,,,,,0,,0,0,,,"0.00",1,1,1,1
Public Method,"org.oztrack.controller.TracksKMLController.getSearchQuery",,,,,,,,,,,,,,,,,,,,,,,,,,,0,5,0,5,3,2,0,1,1,0,2,3,2,2,1,1,1,1,0,,,,,0,,0,0,,,"0.00",1,1,1,1
Public Method,"org.oztrack.controller.TracksKMLController.getView",,,,,,,,,,,,,,,,,,,,,,,,,,,7,49,0,49,19,28,0,7,3,0,12,16,6,13,7,7,7,3,2,,,,,2,,1,2,,,"0.00",7,7,7,3
Anonymous Class,"org.oztrack.controller.TracksKMLController.getView.(Anon_1)",1,1,1,1,12,0,12,0,1,7,7,0,,0,0,,,,1,0,1,1,0,0,1,0,,13,0,13,0,12,0,,,,4,5,1,4,,,,,,1,1,1,1,,2,0,,0,0,"0.00",1,1,1,1
Protected Method,"org.oztrack.controller.TracksKMLController.getView.(Anon_1).renderMergedOutputModel",,,,,,,,,,,,,,,,,,,,,,,,,,,1,12,0,12,0,11,0,5,1,0,4,5,1,4,1,1,1,1,0,,,,,0,,0,0,,,"0.00",1,1,1,1
Public Method,"org.oztrack.controller.TracksKMLController.initProjectBinder",,,,,,,,,,,,,,,,,,,,,,,,,,,1,4,0,4,2,1,0,1,1,0,1,2,1,1,1,1,1,1,0,,,,,0,,0,0,,,"0.00",1,1,1,1
Public Method,"org.oztrack.controller.TracksKMLController.initSearchQueryBinder",,,,,,,,,,,,,,,,,,,,,,,,,,,2,9,0,9,2,6,0,2,1,0,2,3,1,2,1,1,1,1,0,,,,,0,,0,0,,,"0.00",1,1,1,1
