Kind,Name,AvgCyclomatic,AvgCyclomaticModified,AvgCyclomaticStrict,AvgEssential,AvgLine,AvgLineBlank,AvgLineCode,AvgLineComment,CountClassBase,CountClassCoupled,CountClassCoupledModified,CountClassDerived,CountDeclClass,CountDeclClassMethod,CountDeclClassVariable,CountDeclExecutableUnit,CountDeclFile,CountDeclFunction,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclMethod,CountDeclMethodAll,CountDeclMethodDefault,CountDeclMethodPrivate,CountDeclMethodProtected,CountDeclMethodPublic,CountInput,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountOutput,CountPath,CountPathLog,CountSemicolon,CountStmt,CountStmtDecl,CountStmtExe,Cyclomatic,CyclomaticModified,CyclomaticStrict,Essential,Knots,MaxCyclomatic,MaxCyclomaticModified,MaxCyclomaticStrict,MaxEssential,MaxEssentialKnots,MaxInheritanceTree,MaxNesting,MinEssentialKnots,PercentLackOfCohesion,PercentLackOfCohesionModified,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumEssential
File,"AbstractDataProcessor.java",2,2,2,1,14,0,10,3,,,,,1,0,2,23,,24,17,11,17,,0,0,14,3,,399,38,271,102,139,90,,,,152,199,99,121,,,,,,9,9,9,3,,,4,,,,"0.33",51,51,52,27
File,"BillSobiProcessor.java",3,2,3,1,24,0,14,9,,,,,1,0,9,26,,26,22,1,22,,0,17,0,5,,726,48,418,129,264,262,,,,230,307,123,239,,,,,,22,9,22,1,,,4,,,,"0.63",89,73,96,26
File,"XmlLDSponProcessor.java",2,2,2,1,15,0,12,2,,,,,1,0,3,6,,6,6,1,6,,0,0,0,6,,145,17,110,68,54,19,,,,73,88,61,52,,,,,,9,9,9,3,,,5,,,,"0.17",14,14,14,8
Package,"gov",0,0,0,0,0,0,0,0,,,,,0,0,0,,0,,0,0,0,,0,0,0,0,,0,0,0,0,0,0,,,,0,0,0,0,,,,,,0,0,0,0,,,0,,,,"0.00",0,0,0,0
Package,"gov.nysenate",0,0,0,0,0,0,0,0,,,,,0,0,0,,0,,0,0,0,,0,0,0,0,,0,0,0,0,0,0,,,,0,0,0,0,,,,,,0,0,0,0,,,0,,,,"0.00",0,0,0,0
Package,"gov.nysenate.openleg",0,0,0,0,0,0,0,0,,,,,0,0,0,,0,,0,0,0,,0,0,0,0,,0,0,0,0,0,0,,,,0,0,0,0,,,,,,0,0,0,0,,,0,,,,"0.00",0,0,0,0
Package,"gov.nysenate.openleg.processor",0,0,0,0,0,0,0,0,,,,,0,0,0,,0,,0,0,0,,0,0,0,0,,0,0,0,0,0,0,,,,0,0,0,0,,,,,,0,0,0,0,,,0,,,,"0.00",0,0,0,0
Package,"gov.nysenate.openleg.processor.base",2,2,2,1,14,0,10,3,,,,,1,0,2,,1,,17,11,17,,0,0,14,3,,399,38,271,102,139,90,,,,152,199,99,121,,,,,,9,9,9,3,,,4,,,,"0.33",51,51,52,27
Public Abstract Class,"gov.nysenate.openleg.processor.base.AbstractDataProcessor",2,2,2,1,18,0,13,5,1,49,49,2,,0,2,,,,17,11,17,17,0,0,14,3,,353,35,228,60,139,90,,,,110,157,57,121,,,,,,9,9,9,3,,1,4,,91,88,"0.39",51,51,52,27
Protected Method,"gov.nysenate.openleg.processor.base.AbstractDataProcessor.addAnyMissingAmendments",,,,,,,,,,,,,,,,,,,,,,,,,,,3,15,0,9,3,5,6,5,3,0,3,7,4,5,3,3,3,1,0,,,,,0,,2,0,,,"0.67",3,3,3,1
Protected Method,"gov.nysenate.openleg.processor.base.AbstractDataProcessor.createDataProcessUnit",,,,,,,,,,,,,,,,,,,,,,,,,,,2,3,0,3,1,1,0,3,1,0,1,2,1,1,1,1,1,1,0,,,,,0,,0,0,,,"0.00",1,1,1,1
Protected Method,"gov.nysenate.openleg.processor.base.AbstractDataProcessor.createProcessUnit",,,,,,,,,,,,,,,,,,,,,,,,,,,4,5,0,4,1,2,1,5,1,0,1,2,1,1,1,1,1,1,0,,,,,0,,0,0,,,"0.25",1,1,1,1
Protected Method,"gov.nysenate.openleg.processor.base.AbstractDataProcessor.flushAgendaUpdates",,,,,,,,,,,,,,,,,,,,,,,,,,,6,14,0,11,3,7,3,11,2,0,5,7,2,6,2,2,2,1,0,,,,,0,,1,0,,,"0.27",4,4,4,3
Lambda Method,"gov.nysenate.openleg.processor.base.AbstractDataProcessor.flushAgendaUpdates.(lambda_expr_1)",,,,,,,,,,,,,,,,,,,,,,,,,,,2,1,0,1,0,1,0,4,1,0,0,0,0,0,1,1,1,1,0,,,,,0,,0,0,,,"0.00",1,1,1,1
Lambda Method,"gov.nysenate.openleg.processor.base.AbstractDataProcessor.flushAgendaUpdates.(lambda_expr_2)",,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,0,1,0,1,0,2,1,0,0,0,0,0,1,1,1,1,0,,,,,0,,0,0,,,"0.00",1,1,1,1
Protected Method,"gov.nysenate.openleg.processor.base.AbstractDataProcessor.flushAllUpdates",,,,,,,,,,,,,,,,,,,,,,,,,,,0,8,0,5,1,3,3,3,1,0,3,4,1,3,1,1,1,1,0,,,,,0,,0,0,,,"0.60",1,1,1,1
Protected Method,"gov.nysenate.openleg.processor.base.AbstractDataProcessor.flushBillUpdates",,,,,,,,,,,,,,,,,,,,,,,,,,,9,15,0,12,3,8,3,12,2,0,6,8,2,7,2,2,2,1,0,,,,,0,,1,0,,,"0.25",4,4,4,3
Lambda Method,"gov.nysenate.openleg.processor.base.AbstractDataProcessor.flushBillUpdates.(lambda_expr_1)",,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,0,2,0,2,0,4,1,0,0,0,0,0,1,1,1,1,0,,,,,0,,0,0,,,"0.00",1,1,1,1
Lambda Method,"gov.nysenate.openleg.processor.base.AbstractDataProcessor.flushBillUpdates.(lambda_expr_2)",,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,0,1,0,1,0,2,1,0,0,0,0,0,1,1,1,1,0,,,,,0,,0,0,,,"0.00",1,1,1,1
Protected Method,"gov.nysenate.openleg.processor.base.AbstractDataProcessor.flushCalendarUpdates",,,,,,,,,,,,,,,,,,,,,,,,,,,6,14,0,11,3,7,3,11,2,0,5,7,2,6,2,2,2,1,0,,,,,0,,1,0,,,"0.27",4,4,4,3
Lambda Method,"gov.nysenate.openleg.processor.base.AbstractDataProcessor.flushCalendarUpdates.(lambda_expr_1)",,,,,,,,,,,,,,,,,,,,,,,,,,,2,1,0,1,0,1,0,4,1,0,0,0,0,0,1,1,1,1,0,,,,,0,,0,0,,,"0.00",1,1,1,1
Lambda Method,"gov.nysenate.openleg.processor.base.AbstractDataProcessor.flushCalendarUpdates.(lambda_expr_2)",,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,0,1,0,1,0,2,1,0,0,0,0,0,1,1,1,1,0,,,,,0,,0,0,,,"0.00",1,1,1,1
Protected Method,"gov.nysenate.openleg.processor.base.AbstractDataProcessor.getMemberFromShortName",,,,,,,,,,,,,,,,,,,,,,,,,,,9,6,0,3,1,1,3,2,1,0,1,2,1,1,1,1,1,1,0,,,,,0,,0,0,,,"1.00",1,1,1,1
Protected Final Method,"gov.nysenate.openleg.processor.base.AbstractDataProcessor.getOrCreateAgenda",,,,,,,,,,,,,,,,,,,,,,,,,,,4,26,0,18,2,11,8,9,3,0,8,11,2,9,3,3,3,3,3,,,,,3,,2,3,,,"0.44",3,3,3,3
Protected Final Method,"gov.nysenate.openleg.processor.base.AbstractDataProcessor.getOrCreateBaseBill",,,,,,,,,,,,,,,,,,,,,,,,,,,11,66,1,48,8,34,17,25,44,2,24,33,8,31,9,9,9,1,3,,,,,0,,3,0,,,"0.35",9,9,9,1
Protected Final Method,"gov.nysenate.openleg.processor.base.AbstractDataProcessor.getOrCreateCalendar",,,,,,,,,,,,,,,,,,,,,,,,,,,4,26,0,18,2,11,8,9,3,0,8,11,2,9,3,3,3,3,3,,,,,3,,2,3,,,"0.44",3,3,3,3
