Kind,Name,AvgCyclomatic,AvgCyclomaticModified,AvgCyclomaticStrict,AvgEssential,AvgLine,AvgLineBlank,AvgLineCode,AvgLineComment,CountClassBase,CountClassCoupled,CountClassCoupledModified,CountClassDerived,CountDeclClass,CountDeclClassMethod,CountDeclClassVariable,CountDeclExecutableUnit,CountDeclFile,CountDeclFunction,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclMethod,CountDeclMethodAll,CountDeclMethodDefault,CountDeclMethodPrivate,CountDeclMethodProtected,CountDeclMethodPublic,CountInput,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountOutput,CountPath,CountPathLog,CountSemicolon,CountStmt,CountStmtDecl,CountStmtExe,Cyclomatic,CyclomaticModified,CyclomaticStrict,Essential,Knots,MaxCyclomatic,MaxCyclomaticModified,MaxCyclomaticStrict,MaxEssential,MaxEssentialKnots,MaxInheritanceTree,MaxNesting,MinEssentialKnots,PercentLackOfCohesion,PercentLackOfCohesionModified,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumEssential
File,"CyclomaticComplexityRule.java",1,1,1,1,8,1,7,0,,,,,1,0,0,6,,6,6,0,6,,0,0,0,6,,77,14,54,27,25,9,,,,32,40,21,25,,,,,,2,2,2,1,,,1,,,,"0.17",7,7,7,6
Package,"net",0,0,0,0,0,0,0,0,,,,,0,0,0,,0,,0,0,0,,0,0,0,0,,0,0,0,0,0,0,,,,0,0,0,0,,,,,,0,0,0,0,,,0,,,,"0.00",0,0,0,0
Package,"net.sourceforge",0,0,0,0,0,0,0,0,,,,,0,0,0,,0,,0,0,0,,0,0,0,0,,0,0,0,0,0,0,,,,0,0,0,0,,,,,,0,0,0,0,,,0,,,,"0.00",0,0,0,0
Package,"net.sourceforge.pmd",0,0,0,0,0,0,0,0,,,,,0,0,0,,0,,0,0,0,,0,0,0,0,,0,0,0,0,0,0,,,,0,0,0,0,,,,,,0,0,0,0,,,0,,,,"0.00",0,0,0,0
Package,"net.sourceforge.pmd.lang",0,0,0,0,0,0,0,0,,,,,0,0,0,,0,,0,0,0,,0,0,0,0,,0,0,0,0,0,0,,,,0,0,0,0,,,,,,0,0,0,0,,,0,,,,"0.00",0,0,0,0
Package,"net.sourceforge.pmd.lang.java",0,0,0,0,0,0,0,0,,,,,0,0,0,,0,,0,0,0,,0,0,0,0,,0,0,0,0,0,0,,,,0,0,0,0,,,,,,0,0,0,0,,,0,,,,"0.00",0,0,0,0
Package,"net.sourceforge.pmd.lang.java.rule",0,0,0,0,0,0,0,0,,,,,0,0,0,,0,,0,0,0,,0,0,0,0,,0,0,0,0,0,0,,,,0,0,0,0,,,,,,0,0,0,0,,,0,,,,"0.00",0,0,0,0
Package,"net.sourceforge.pmd.lang.java.rule.codesize",1,1,1,1,8,1,7,0,,,,,1,0,0,,1,,6,0,6,,0,0,0,6,,77,14,54,27,25,9,,,,32,40,21,25,,,,,,2,2,2,1,,,1,,,,"0.17",7,7,7,6
Public Class,"net.sourceforge.pmd.lang.java.rule.codesize.CyclomaticComplexityRule",1,1,1,1,8,1,7,0,1,8,8,0,,0,0,,,,6,0,6,6,0,0,0,6,,67,12,46,19,25,9,,,,24,32,13,25,,,,,,2,2,2,1,,2,1,,0,0,"0.20",7,7,7,6
Public Method,"net.sourceforge.pmd.lang.java.rule.codesize.CyclomaticComplexityRule.visit",,,,,,,,,,,,,,,,,,,,,,,,,,,4,8,1,7,3,4,0,6,1,0,4,5,2,4,1,1,1,1,0,,,,,0,,0,0,,,"0.00",1,1,1,1
Public Method,"net.sourceforge.pmd.lang.java.rule.codesize.CyclomaticComplexityRule.visit",,,,,,,,,,,,,,,,,,,,,,,,,,,4,8,1,7,3,4,0,6,1,0,4,5,2,4,1,1,1,1,0,,,,,0,,0,0,,,"0.00",1,1,1,1
Public Method,"net.sourceforge.pmd.lang.java.rule.codesize.CyclomaticComplexityRule.visit",,,,,,,,,,,,,,,,,,,,,,,,,,,4,8,1,7,3,4,0,6,1,0,4,5,2,4,1,1,1,1,0,,,,,0,,0,0,,,"0.00",1,1,1,1
Public Method,"net.sourceforge.pmd.lang.java.rule.codesize.CyclomaticComplexityRule.visit",,,,,,,,,,,,,,,,,,,,,,,,,,,4,8,1,7,3,4,0,6,1,0,4,5,2,4,1,1,1,1,0,,,,,0,,0,0,,,"0.00",1,1,1,1
Public Method,"net.sourceforge.pmd.lang.java.rule.codesize.CyclomaticComplexityRule.visit",,,,,,,,,,,,,,,,,,,,,,,,,,,4,8,1,7,3,4,0,6,1,0,4,5,2,4,1,1,1,1,0,,,,,0,,0,0,,,"0.00",1,1,1,1
Public Method,"net.sourceforge.pmd.lang.java.rule.codesize.CyclomaticComplexityRule.visit",,,,,,,,,,,,,,,,,,,,,,,,,,,4,10,1,9,3,5,0,7,2,0,4,6,2,5,2,2,2,1,0,,,,,0,,1,0,,,"0.00",2,2,2,1
