Kind,Name,AvgCyclomatic,AvgCyclomaticModified,AvgCyclomaticStrict,AvgEssential,AvgLine,AvgLineBlank,AvgLineCode,AvgLineComment,CountClassBase,CountClassCoupled,CountClassCoupledModified,CountClassDerived,CountDeclClass,CountDeclClassMethod,CountDeclClassVariable,CountDeclExecutableUnit,CountDeclFile,CountDeclFunction,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclMethod,CountDeclMethodAll,CountDeclMethodDefault,CountDeclMethodPrivate,CountDeclMethodProtected,CountDeclMethodPublic,CountInput,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountOutput,CountPath,CountPathLog,CountSemicolon,CountStmt,CountStmtDecl,CountStmtExe,Cyclomatic,CyclomaticModified,CyclomaticStrict,Essential,Knots,MaxCyclomatic,MaxCyclomaticModified,MaxCyclomaticStrict,MaxEssential,MaxEssentialKnots,MaxInheritanceTree,MaxNesting,MinEssentialKnots,PercentLackOfCohesion,PercentLackOfCohesionModified,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumEssential
File,"AgentManagerService.java",1,1,1,1,12,0,7,4,,,,,1,0,1,26,,26,26,3,26,,7,2,2,15,,413,47,227,98,113,139,,,,118,175,97,104,,,,,,9,9,9,5,,,3,,,,"0.61",47,47,48,34
File,"AgentManagerServiceTest.java",1,1,1,1,13,1,12,0,,,,,1,0,0,5,,5,5,3,5,,0,1,0,4,,132,20,84,42,46,28,,,,66,72,36,46,,,,,,1,1,1,1,,,0,,,,"0.33",5,5,5,5
File,"ClusteredAgentManagerService.java",2,2,3,1,20,0,14,5,,,,,2,0,1,15,,15,15,6,15,,4,1,0,10,,387,40,242,106,131,105,,,,127,181,103,110,,,,,,11,11,11,6,,,4,,,,"0.43",44,44,46,24
Package,"org",0,0,0,0,0,0,0,0,,,,,0,0,0,,0,,0,0,0,,0,0,0,0,,0,0,0,0,0,0,,,,0,0,0,0,,,,,,0,0,0,0,,,0,,,,"0.00",0,0,0,0
Package,"org.ngrinder",0,0,0,0,0,0,0,0,,,,,0,0,0,,0,,0,0,0,,0,0,0,0,,0,0,0,0,0,0,,,,0,0,0,0,,,,,,0,0,0,0,,,0,,,,"0.00",0,0,0,0
Package,"org.ngrinder.agent",0,0,0,0,0,0,0,0,,,,,0,0,0,,0,,0,0,0,,0,0,0,0,,0,0,0,0,0,0,,,,0,0,0,0,,,,,,0,0,0,0,,,0,,,,"0.00",0,0,0,0
Package,"org.ngrinder.agent.service",2,2,2,1,14,0,10,4,,,,,4,0,2,,3,,46,12,46,,11,4,2,29,,932,107,553,246,290,272,,,,311,428,236,260,,,,,,11,11,11,6,,,4,,,,"0.49",96,96,99,63
Public Class,"org.ngrinder.agent.service.AgentManagerService",1,1,1,1,12,0,7,4,1,27,27,1,,0,1,,,,26,3,26,26,7,2,2,15,,357,41,199,70,113,117,,,,90,147,69,104,,,,,,9,9,9,5,,1,3,,92,62,"0.59",47,47,48,34
Public Method,"org.ngrinder.agent.service.AgentManagerService.approve",,,,,,,,,,,,,,,,,,,,,,,,,,,3,18,1,9,3,5,8,5,2,0,4,6,2,5,2,2,2,1,0,,,,,0,,1,0,,,"0.89",2,2,2,1
Protected Method,"org.ngrinder.agent.service.AgentManagerService.checkAgentStatus",,,,,,,,,,,,,,,,,,,,,,,,,,,2,58,6,44,12,34,8,25,104,2,24,38,17,30,9,9,9,3,3,,,,,3,,3,1,,,"0.18",9,9,9,3
Public Method,"org.ngrinder.agent.service.AgentManagerService.checkAgentStatusRegularly",,,,,,,,,,,,,,,,,,,,,,,,,,,1,12,0,5,3,1,7,1,1,0,1,2,1,1,1,1,1,1,0,,,,,0,,0,0,,,"1.40",1,1,1,1
Private Method,"org.ngrinder.agent.service.AgentManagerService.creatAgentInfo",,,,,,,,,,,,,,,,,,,,,,,,,,,3,8,0,8,3,4,0,4,2,0,3,5,2,4,2,2,2,1,0,,,,,0,,1,0,,,"0.00",2,2,2,1
Public Method,"org.ngrinder.agent.service.AgentManagerService.createAgentKey",,,,,,,,,,,,,,,,,,,,,,,,,,,5,3,0,3,1,1,0,3,1,0,1,2,1,1,1,1,1,1,0,,,,,0,,0,0,,,"0.00",1,1,1,1
Public Method,"org.ngrinder.agent.service.AgentManagerService.createAgentKey",,,,,,,,,,,,,,,,,,,,,,,,,,,4,3,0,3,1,1,0,3,1,0,1,2,1,1,1,1,1,1,0,,,,,0,,0,0,,,"0.00",1,1,1,1
