Kind,Name,AvgCyclomatic,AvgCyclomaticModified,AvgCyclomaticStrict,AvgEssential,AvgLine,AvgLineBlank,AvgLineCode,AvgLineComment,CountClassBase,CountClassCoupled,CountClassCoupledModified,CountClassDerived,CountDeclClass,CountDeclClassMethod,CountDeclClassVariable,CountDeclExecutableUnit,CountDeclFile,CountDeclFunction,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclMethod,CountDeclMethodAll,CountDeclMethodDefault,CountDeclMethodPrivate,CountDeclMethodProtected,CountDeclMethodPublic,CountInput,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountOutput,CountPath,CountPathLog,CountSemicolon,CountStmt,CountStmtDecl,CountStmtExe,Cyclomatic,CyclomaticModified,CyclomaticStrict,Essential,Knots,MaxCyclomatic,MaxCyclomaticModified,MaxCyclomaticStrict,MaxEssential,MaxEssentialKnots,MaxInheritanceTree,MaxNesting,MinEssentialKnots,PercentLackOfCohesion,PercentLackOfCohesionModified,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumEssential
File,"JsonOpenlegDaoUtils.java",2,2,2,1,15,0,12,2,,,,,1,3,1,3,,3,0,0,3,,0,0,0,3,,70,7,55,27,27,8,,,,38,45,26,23,,,,,,3,3,3,1,,,2,,,,"0.15",6,6,6,3
File,"OpenlegCalendarReportService.java",1,1,1,1,11,1,7,2,,,,,1,0,1,11,,11,3,6,3,,0,0,1,2,,159,29,107,60,52,23,,,,70,78,51,39,,,,,,3,3,3,1,,,1,,,,"0.21",14,14,14,11
Package,"gov",0,0,0,0,0,0,0,0,,,,,0,0,0,,0,,0,0,0,,0,0,0,0,,0,0,0,0,0,0,,,,0,0,0,0,,,,,,0,0,0,0,,,0,,,,"0.00",0,0,0,0
Package,"gov.nysenate",0,0,0,0,0,0,0,0,,,,,0,0,0,,0,,0,0,0,,0,0,0,0,,0,0,0,0,0,0,,,,0,0,0,0,,,,,,0,0,0,0,,,0,,,,"0.00",0,0,0,0
Package,"gov.nysenate.openleg",0,0,0,0,0,0,0,0,,,,,0,0,0,,0,,0,0,0,,0,0,0,0,,0,0,0,0,0,0,,,,0,0,0,0,,,,,,0,0,0,0,,,0,,,,"0.00",0,0,0,0
Package,"gov.nysenate.openleg.service",0,0,0,0,0,0,0,0,,,,,0,0,0,,0,,0,0,0,,0,0,0,0,,0,0,0,0,0,0,,,,0,0,0,0,,,,,,0,0,0,0,,,0,,,,"0.00",0,0,0,0
Package,"gov.nysenate.openleg.service.spotcheck",0,0,0,0,0,0,0,0,,,,,0,0,0,,0,,0,0,0,,0,0,0,0,,0,0,0,0,0,0,,,,0,0,0,0,,,,,,0,0,0,0,,,0,,,,"0.00",0,0,0,0
Package,"gov.nysenate.openleg.service.spotcheck.openleg",1,1,1,1,12,1,8,2,,,,,2,3,2,,2,,3,6,6,,0,0,1,5,,229,36,162,87,79,31,,,,108,123,77,62,,,,,,3,3,3,1,,,2,,,,"0.19",20,20,20,14
Public Class,"gov.nysenate.openleg.service.spotcheck.openleg.JsonOpenlegDaoUtils",2,2,2,1,15,0,12,2,1,16,16,0,,3,1,,,,0,0,3,3,0,0,0,3,,52,4,40,12,27,8,,,,23,30,11,23,,,,,,3,3,3,1,,1,2,,0,0,"0.20",6,6,6,3
Public Static Method,"gov.nysenate.openleg.service.spotcheck.openleg.JsonOpenlegDaoUtils.addObservationData",,,,,,,,,,,,,,,,,,,,,,,,,,,5,15,0,7,3,4,8,5,1,0,4,5,2,4,1,1,1,1,0,,,,,0,,0,0,,,"1.14",1,1,1,1
Public Static Method,"gov.nysenate.openleg.service.spotcheck.openleg.JsonOpenlegDaoUtils.readInputStream",,,,,,,,,,,,,,,,,,,,,,,,,,,4,15,0,15,4,10,0,6,3,0,8,11,4,8,3,3,3,1,1,,,,,0,,2,0,,,"0.00",3,3,3,1
Public Static Method,"gov.nysenate.openleg.service.spotcheck.openleg.JsonOpenlegDaoUtils.setConnection",,,,,,,,,,,,,,,,,,,,,,,,,,,6,16,1,15,3,12,0,7,2,0,10,12,3,10,2,2,2,1,1,,,,,0,,1,0,,,"0.00",2,2,2,1
Public Class,"gov.nysenate.openleg.service.spotcheck.openleg.OpenlegCalendarReportService",1,1,1,1,32,4,21,6,1,33,33,0,,0,1,,,,3,6,3,3,0,0,1,2,,120,23,78,32,52,19,,,,42,50,23,39,,,,,,3,3,3,1,,2,1,,77,77,"0.24",14,14,14,11
Public Method,"gov.nysenate.openleg.service.spotcheck.openleg.OpenlegCalendarReportService.generateReport",,,,,,,,,,,,,,,,,,,,,,,,,,,16,88,14,55,13,49,19,23,4,1,33,38,13,36,3,3,3,1,0,,,,,0,,1,0,,,"0.35",12,12,12,9
