Kind,Name,AvgCyclomatic,AvgCyclomaticModified,AvgCyclomaticStrict,AvgEssential,AvgLine,AvgLineBlank,AvgLineCode,AvgLineComment,CountClassBase,CountClassCoupled,CountClassCoupledModified,CountClassDerived,CountDeclClass,CountDeclClassMethod,CountDeclClassVariable,CountDeclExecutableUnit,CountDeclFile,CountDeclFunction,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclMethod,CountDeclMethodAll,CountDeclMethodDefault,CountDeclMethodPrivate,CountDeclMethodProtected,CountDeclMethodPublic,CountInput,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountOutput,CountPath,CountPathLog,CountSemicolon,CountStmt,CountStmtDecl,CountStmtExe,Cyclomatic,CyclomaticModified,CyclomaticStrict,Essential,Knots,MaxCyclomatic,MaxCyclomaticModified,MaxCyclomaticStrict,MaxEssential,MaxEssentialKnots,MaxInheritanceTree,MaxNesting,MinEssentialKnots,PercentLackOfCohesion,PercentLackOfCohesionModified,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumEssential
File,"ToLowerCaseParser.java",1,1,1,1,6,0,6,0,,,,,1,0,0,4,,4,4,1,4,,0,0,0,4,,46,8,36,18,10,2,,,,16,23,16,10,,,,,,2,2,2,1,,,1,,,,"0.06",5,5,5,4
Package,"com",0,0,0,0,0,0,0,0,,,,,0,0,0,,0,,0,0,0,,0,0,0,0,,0,0,0,0,0,0,,,,0,0,0,0,,,,,,0,0,0,0,,,0,,,,"0.00",0,0,0,0
Package,"com.metamx",0,0,0,0,0,0,0,0,,,,,0,0,0,,0,,0,0,0,,0,0,0,0,,0,0,0,0,0,0,,,,0,0,0,0,,,,,,0,0,0,0,,,0,,,,"0.00",0,0,0,0
Package,"com.metamx.common",0,0,0,0,0,0,0,0,,,,,0,0,0,,0,,0,0,0,,0,0,0,0,,0,0,0,0,0,0,,,,0,0,0,0,,,,,,0,0,0,0,,,0,,,,"0.00",0,0,0,0
Package,"com.metamx.common.parsers",1,1,1,1,6,0,6,0,,,,,1,0,0,,1,,4,1,4,,0,0,0,4,,46,8,36,18,10,2,,,,16,23,16,10,,,,,,2,2,2,1,,,1,,,,"0.06",5,5,5,4
Public Class,"com.metamx.common.parsers.ToLowerCaseParser",1,1,1,1,6,0,6,0,2,9,9,0,,0,0,,,,4,1,4,4,0,0,0,4,,37,5,30,12,10,2,,,,10,17,10,10,,,,,,2,2,2,1,,1,1,,0,0,"0.07",5,5,5,4
Public Constructor,"com.metamx.common.parsers.ToLowerCaseParser.ToLowerCaseParser",,,,,,,,,,,,,,,,,,,,,,,,,,,1,4,0,4,1,1,0,2,1,0,1,2,1,1,1,1,1,1,0,,,,,0,,0,0,,,"0.00",1,1,1,1
Public Method,"com.metamx.common.parsers.ToLowerCaseParser.getFieldNames",,,,,,,,,,,,,,,,,,,,,,,,,,,1,5,0,5,2,1,0,2,1,0,1,2,1,1,1,1,1,1,0,,,,,0,,0,0,,,"0.00",1,1,1,1
Public Method,"com.metamx.common.parsers.ToLowerCaseParser.parse",,,,,,,,,,,,,,,,,,,,,,,,,,,2,13,1,12,5,7,0,10,2,0,6,9,5,7,2,2,2,1,0,,,,,0,,1,0,,,"0.00",2,2,2,1
Public Method,"com.metamx.common.parsers.ToLowerCaseParser.setFieldNames",,,,,,,,,,,,,,,,,,,,,,,,,,,2,5,0,5,2,1,0,1,1,0,1,2,1,1,1,1,1,1,0,,,,,0,,0,0,,,"0.00",1,1,1,1
