Kind,Name,AvgCyclomatic,AvgCyclomaticModified,AvgCyclomaticStrict,AvgEssential,AvgLine,AvgLineBlank,AvgLineCode,AvgLineComment,CountClassBase,CountClassCoupled,CountClassCoupledModified,CountClassDerived,CountDeclClass,CountDeclClassMethod,CountDeclClassVariable,CountDeclExecutableUnit,CountDeclFile,CountDeclFunction,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclMethod,CountDeclMethodAll,CountDeclMethodDefault,CountDeclMethodPrivate,CountDeclMethodProtected,CountDeclMethodPublic,CountInput,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountOutput,CountPath,CountPathLog,CountSemicolon,CountStmt,CountStmtDecl,CountStmtExe,Cyclomatic,CyclomaticModified,CyclomaticStrict,Essential,Knots,MaxCyclomatic,MaxCyclomaticModified,MaxCyclomaticStrict,MaxEssential,MaxEssentialKnots,MaxInheritanceTree,MaxNesting,MinEssentialKnots,PercentLackOfCohesion,PercentLackOfCohesionModified,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumEssential
File,"Mx4jLoader.java",2,2,2,2,15,1,10,3,,,,,1,3,1,3,,3,0,0,3,,0,2,0,1,,88,10,36,11,24,42,,,,22,28,11,22,,,,,,4,4,4,4,,,2,,,,"1.17",6,6,6,6
File,"Server.java",2,2,2,1,12,0,11,2,,,,,1,0,0,6,,6,6,9,6,,0,0,0,6,,143,23,89,33,52,35,,,,55,69,33,44,,,,,,5,5,5,1,,,3,,,,"0.39",13,13,13,6
File,"ServerStartable.java",1,1,1,1,7,0,7,0,,,,,1,0,0,7,,7,7,6,7,,0,1,0,6,,94,11,62,19,30,21,,,,31,45,19,27,,,,,,3,3,3,1,,,2,,,,"0.34",13,13,13,7
File,"Utils.java",1,1,1,1,9,0,6,3,,,,,1,38,0,38,,38,0,0,38,,1,2,0,35,,464,43,272,95,146,151,,,,134,205,96,130,,,,,,5,5,6,5,,,2,,,,"0.56",70,70,74,42
Package,"com",0,0,0,0,0,0,0,0,,,,,0,0,0,,0,,0,0,0,,0,0,0,0,,0,0,0,0,0,0,,,,0,0,0,0,,,,,,0,0,0,0,,,0,,,,"0.00",0,0,0,0
Package,"com.sohu",0,0,0,0,0,0,0,0,,,,,0,0,0,,0,,0,0,0,,0,0,0,0,,0,0,0,0,0,0,,,,0,0,0,0,,,,,,0,0,0,0,,,0,,,,"0.00",0,0,0,0
Package,"com.sohu.jafka",0,0,0,0,0,0,0,0,,,,,0,0,0,,0,,0,0,0,,0,0,0,0,,0,0,0,0,0,0,,,,0,0,0,0,,,,,,0,0,0,0,,,0,,,,"0.00",0,0,0,0
Package,"com.sohu.jafka.server",2,2,2,1,9,0,8,0,,,,,2,0,0,,2,,13,15,13,,0,1,0,12,,237,34,151,52,82,56,,,,86,114,52,71,,,,,,5,5,5,1,,,3,,,,"0.37",26,26,26,13
Public Class,"com.sohu.jafka.server.Server",2,2,2,1,12,0,11,2,2,15,15,0,,0,0,,,,6,9,6,6,0,0,0,6,,126,18,77,21,52,35,,,,43,57,21,44,,,,,,5,5,5,1,,1,3,,64,61,"0.45",13,13,13,6
Public Constructor,"com.sohu.jafka.server.Server.Server",,,,,,,,,,,,,,,,,,,,,,,,,,,3,7,0,7,1,4,0,6,2,0,3,5,1,4,2,2,2,1,0,,,,,0,,1,0,,,"0.00",2,2,2,1
Public Method,"com.sohu.jafka.server.Server.awaitShutdown",,,,,,,,,,,,,,,,,,,,,,,,,,,2,3,0,3,1,1,0,1,1,0,1,2,1,1,1,1,1,1,0,,,,,0,,0,0,,,"0.00",1,1,1,1
Public Method,"com.sohu.jafka.server.Server.close",,,,,,,,,,,,,,,,,,,,,,,,,,,11,23,1,22,3,16,0,11,6,1,11,16,3,15,5,5,5,1,1,,,,,0,,3,0,,,"0.00",5,5,5,1
Public Method,"com.sohu.jafka.server.Server.getLogManager",,,,,,,,,,,,,,,,,,,,,,,,,,,2,6,0,3,1,1,3,1,1,0,1,2,1,1,1,1,1,1,0,,,,,0,,0,0,,,"1.00",1,1,1,1
Public Method,"com.sohu.jafka.server.Server.getStats",,,,,,,,,,,,,,,,,,,,,,,,,,,1,3,0,3,1,1,0,2,1,0,1,2,1,1,1,1,1,1,0,,,,,0,,0,0,,,"0.00",1,1,1,1
Public Method,"com.sohu.jafka.server.Server.startup",,,,,,,,,,,,,,,,,,,,,,,,,,,8,34,1,28,4,24,9,17,3,0,17,20,4,18,3,3,3,1,1,,,,,0,,2,0,,,"0.32",3,3,3,1
Public Class,"com.sohu.jafka.server.ServerStartable",1,1,1,1,7,0,7,0,2,8,8,0,,0,0,,,,7,6,7,7,0,1,0,6,,82,4,57,14,30,21,,,,26,40,14,27,,,,,,3,3,3,1,,1,2,,59,45,"0.37",13,13,13,7
Public Constructor,"com.sohu.jafka.server.ServerStartable.ServerStartable",,,,,,,,,,,,,,,,,,,,,,,,,,,4,8,0,8,1,6,0,7,1,0,6,7,1,6,1,1,1,1,0,,,,,0,,0,0,,,"0.00",1,1,1,1
Public Constructor,"com.sohu.jafka.server.ServerStartable.ServerStartable",,,,,,,,,,,,,,,,,,,,,,,,,,,1,3,0,3,1,1,0,2,1,0,1,2,1,1,1,1,1,1,0,,,,,0,,0,0,,,"0.00",1,1,1,1
Public Method,"com.sohu.jafka.server.ServerStartable.awaitShutdown",,,,,,,,,,,,,,,,,,,,,,,,,,,3,7,0,7,1,4,0,3,2,0,2,4,1,3,2,2,2,1,1,,,,,0,,1,0,,,"0.00",2,2,2,1
Public Method,"com.sohu.jafka.server.ServerStartable.close",,,,,,,,,,,,,,,,,,,,,,,,,,,6,11,0,11,1,7,0,5,3,0,4,7,1,6,3,3,3,1,1,,,,,0,,2,0,,,"0.00",3,3,3,1
Public Method,"com.sohu.jafka.server.ServerStartable.flush",,,,,,,,,,,,,,,,,,,,,,,,,,,2,4,0,4,1,2,0,3,1,0,2,3,1,2,1,1,1,1,0,,,,,0,,0,0,,,"0.00",1,1,1,1
