Kind,Name,AvgCyclomatic,AvgCyclomaticModified,AvgCyclomaticStrict,AvgEssential,AvgLine,AvgLineBlank,AvgLineCode,AvgLineComment,CountClassBase,CountClassCoupled,CountClassCoupledModified,CountClassDerived,CountDeclClass,CountDeclClassMethod,CountDeclClassVariable,CountDeclExecutableUnit,CountDeclFile,CountDeclFunction,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclMethod,CountDeclMethodAll,CountDeclMethodDefault,CountDeclMethodPrivate,CountDeclMethodProtected,CountDeclMethodPublic,CountInput,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountOutput,CountPath,CountPathLog,CountSemicolon,CountStmt,CountStmtDecl,CountStmtExe,Cyclomatic,CyclomaticModified,CyclomaticStrict,Essential,Knots,MaxCyclomatic,MaxCyclomaticModified,MaxCyclomaticStrict,MaxEssential,MaxEssentialKnots,MaxInheritanceTree,MaxNesting,MinEssentialKnots,PercentLackOfCohesion,PercentLackOfCohesionModified,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumEssential
File,"Diff.java",2,2,2,1,26,1,15,10,,,,,1,3,1,8,,8,5,7,8,,0,4,0,4,,286,20,153,50,96,114,,,,99,122,52,81,,,,,,6,6,6,1,,,3,,,,"0.75",22,22,23,8
File,"DiffTest.java",2,2,2,1,21,0,16,5,,,,,1,0,3,7,,7,7,8,7,,0,0,2,5,,288,15,220,52,164,101,,,,106,132,53,88,,,,,,4,4,4,1,,,1,,,,"0.46",16,16,16,7
Package,"org",0,0,0,0,0,0,0,0,,,,,0,0,0,,0,,0,0,0,,0,0,0,0,,0,0,0,0,0,0,,,,0,0,0,0,,,,,,0,0,0,0,,,0,,,,"0.00",0,0,0,0
Package,"org.vivoweb",0,0,0,0,0,0,0,0,,,,,0,0,0,,0,,0,0,0,,0,0,0,0,,0,0,0,0,0,0,,,,0,0,0,0,,,,,,0,0,0,0,,,0,,,,"0.00",0,0,0,0
Package,"org.vivoweb.harvester",0,0,0,0,0,0,0,0,,,,,0,0,0,,0,,0,0,0,,0,0,0,0,,0,0,0,0,0,0,,,,0,0,0,0,,,,,,0,0,0,0,,,0,,,,"0.00",0,0,0,0
Package,"org.vivoweb.harvester.diff",2,2,2,1,26,1,15,10,,,,,1,3,1,,1,,5,7,8,,0,4,0,4,,286,20,153,50,96,114,,,,99,122,52,81,,,,,,6,6,6,1,,,3,,,,"0.75",22,22,23,8
Public Class,"org.vivoweb.harvester.diff.Diff",2,2,2,1,26,1,15,10,1,19,19,0,,3,1,,,,5,7,8,8,0,4,0,4,,264,18,133,30,96,114,,,,79,102,32,81,,,,,,6,6,6,1,,1,3,,71,48,"0.86",22,22,23,8
Public Constructor,"org.vivoweb.harvester.diff.Diff.Diff",,,,,,,,,,,,,,,,,,,,,,,,,,,12,29,0,19,1,14,11,9,8,1,11,15,1,14,4,4,5,1,0,,,,,0,,1,0,,,"0.58",4,4,5,1
Private Constructor,"org.vivoweb.harvester.diff.Diff.Diff",,,,,,,,,,,,,,,,,,,,,,,,,,,2,9,0,3,1,1,6,4,1,0,1,2,1,1,1,1,1,1,0,,,,,0,,0,0,,,"2.00",1,1,1,1
Private Constructor,"org.vivoweb.harvester.diff.Diff.Diff",,,,,,,,,,,,,,,,,,,,,,,,,,,1,16,1,10,1,8,5,5,1,0,1,2,1,1,1,1,1,1,0,,,,,0,,0,0,,,"0.50",1,1,1,1
