Kind,Name,AvgCyclomatic,AvgCyclomaticModified,AvgCyclomaticStrict,AvgEssential,AvgLine,AvgLineBlank,AvgLineCode,AvgLineComment,CountClassBase,CountClassCoupled,CountClassCoupledModified,CountClassDerived,CountDeclClass,CountDeclClassMethod,CountDeclClassVariable,CountDeclExecutableUnit,CountDeclFile,CountDeclFunction,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclMethod,CountDeclMethodAll,CountDeclMethodDefault,CountDeclMethodPrivate,CountDeclMethodProtected,CountDeclMethodPublic,CountInput,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountOutput,CountPath,CountPathLog,CountSemicolon,CountStmt,CountStmtDecl,CountStmtExe,Cyclomatic,CyclomaticModified,CyclomaticStrict,Essential,Knots,MaxCyclomatic,MaxCyclomaticModified,MaxCyclomaticStrict,MaxEssential,MaxEssentialKnots,MaxInheritanceTree,MaxNesting,MinEssentialKnots,PercentLackOfCohesion,PercentLackOfCohesionModified,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumEssential
File,"ContentList.java",3,3,3,1,21,1,13,6,,,,,3,0,10,47,,47,47,11,47,,2,8,12,25,,1208,144,676,105,441,388,,,,288,447,113,351,,,,,,10,9,10,5,,,4,,,,"0.57",168,158,178,68
File,"Document.java",1,1,1,1,17,0,6,10,,,,,1,0,1,22,,22,22,2,22,,0,1,1,20,,501,51,147,42,83,304,,,,64,103,40,73,,,,,,7,7,7,1,,,2,,,,"2.07",39,39,39,22
Package,"org",0,0,0,0,0,0,0,0,,,,,0,0,0,,0,,0,0,0,,0,0,0,0,,0,0,0,0,0,0,,,,0,0,0,0,,,,,,0,0,0,0,,,0,,,,"0.00",0,0,0,0
Package,"org.jdom",3,2,3,1,20,1,11,7,,,,,4,0,11,,2,,69,13,69,,2,9,13,45,,1709,195,823,147,524,692,,,,352,550,153,424,,,,,,10,9,10,5,,,4,,,,"0.84",207,197,217,90
Class,"org.jdom.ContentList",3,3,4,1,24,1,14,7,4,16,16,0,,0,2,,,,23,2,23,23,0,3,12,8,,1148,130,674,103,441,344,,,,286,445,111,351,,,,,,9,9,10,4,,2,3,,47,30,"0.51",88,88,95,26
Protected Constructor,"org.jdom.ContentList.ContentList",,,,,,,,,,,,,,,,,,,,,,,,,,,3,10,0,4,1,2,6,3,1,0,2,3,1,2,1,1,1,1,0,,,,,0,,0,0,,,"1.50",1,1,1,1
Private Constructor,"org.jdom.ContentList.ContentList",,,,,,,,,,,,,,,,,,,,,,,,,,,0,2,0,1,1,0,1,1,1,0,0,1,1,0,1,1,1,1,0,,,,,0,,0,0,,,"1.00",1,1,1,1
Protected Constructor,"org.jdom.ContentList.ContentList",,,,,,,,,,,,,,,,,,,,,,,,,,,2,10,0,4,1,2,6,3,1,0,2,3,1,2,1,1,1,1,0,,,,,0,,0,0,,,"1.50",1,1,1,1
Class,"org.jdom.ContentList.FilterList",2,2,2,1,16,0,9,6,1,6,6,0,,0,0,,,,10,3,10,10,1,1,0,8,,196,18,99,23,63,79,,,,45,67,25,49,,,,,,5,5,5,5,,2,3,,46,43,"0.80",21,21,21,14
Constructor,"org.jdom.ContentList.FilterList.FilterList",,,,,,,,,,,,,,,,,,,,,,,,,,,2,8,0,3,1,1,5,2,1,0,1,2,1,1,1,1,1,1,0,,,,,0,,0,0,,,"1.67",1,1,1,1
Public Method,"org.jdom.ContentList.FilterList.add",,,,,,,,,,,,,,,,,,,,,,,,,,,3,22,0,11,2,8,11,7,2,0,5,7,2,6,2,2,2,1,1,,,,,0,,1,0,,,"1.00",2,2,2,1
Public Method,"org.jdom.ContentList.FilterList.get",,,,,,,,,,,,,,,,,,,,,,,,,,,1,12,0,4,2,2,8,3,1,0,2,3,2,2,1,1,1,1,0,,,,,0,,0,0,,,"2.00",1,1,1,1
Private Final Method,"org.jdom.ContentList.FilterList.getAdjustedIndex",,,,,,,,,,,,,,,,,,,,,,,,,,,7,26,2,16,3,10,8,4,7,1,8,13,4,10,5,5,5,5,5,,,,,5,,3,5,,,"0.50",5,5,5,5
Public Method,"org.jdom.ContentList.FilterList.iterator",,,,,,,,,,,,,,,,,,,,,,,,,,,1,3,0,3,1,1,0,2,1,0,1,2,1,1,1,1,1,1,0,,,,,0,,0,0,,,"0.00",1,1,1,1
Public Method,"org.jdom.ContentList.FilterList.listIterator",,,,,,,,,,,,,,,,,,,,,,,,,,,1,3,0,3,1,1,0,2,1,0,1,2,1,1,1,1,1,1,0,,,,,0,,0,0,,,"0.00",1,1,1,1
Public Method,"org.jdom.ContentList.FilterList.listIterator",,,,,,,,,,,,,,,,,,,,,,,,,,,2,3,0,3,1,1,0,2,1,0,1,2,1,1,1,1,1,1,0,,,,,0,,0,0,,,"0.00",1,1,1,1
Public Method,"org.jdom.ContentList.FilterList.remove",,,,,,,,,,,,,,,,,,,,,,,,,,,2,24,0,16,3,12,8,9,2,0,7,9,3,8,2,2,2,1,1,,,,,0,,1,0,,,"0.50",2,2,2,1
Public Method,"org.jdom.ContentList.FilterList.set",,,,,,,,,,,,,,,,,,,,,,,,,,,3,32,0,21,3,16,11,9,3,0,8,11,3,9,3,3,3,1,1,,,,,0,,2,0,,,"0.52",3,3,3,1
Public Method,"org.jdom.ContentList.FilterList.size",,,,,,,,,,,,,,,,,,,,,,,,,,,4,29,2,14,2,9,13,7,4,1,8,12,3,10,4,4,4,1,1,,,,,0,,2,0,,,"0.93",4,4,4,1
Class,"org.jdom.ContentList.FilterListIterator",4,3,4,2,20,1,14,3,2,6,6,0,,0,8,,,,14,6,14,14,1,4,0,9,,330,44,224,37,151,62,,,,115,163,42,126,,,,,,10,6,10,5,,1,4,,52,32,"0.28",59,49,62,28
Constructor,"org.jdom.ContentList.FilterListIterator.FilterListIterator",,,,,,,,,,,,,,,,,,,,,,,,,,,6,10,0,7,1,5,3,8,1,0,5,6,1,5,1,1,1,1,0,,,,,0,,0,0,,,"0.43",1,1,1,1
Public Method,"org.jdom.ContentList.FilterListIterator.add",,,,,,,,,,,,,,,,,,,,,,,,,,,7,21,2,16,1,11,3,8,4,1,6,9,1,8,3,3,4,1,1,,,,,0,,1,0,,,"0.19",3,3,4,1
Private Method,"org.jdom.ContentList.FilterListIterator.checkConcurrentModification",,,,,,,,,,,,,,,,,,,,,,,,,,,10,8,0,5,1,2,3,1,2,0,1,3,1,2,2,2,2,1,0,,,,,0,,1,0,,,"0.60",2,2,2,1
Public Method,"org.jdom.ContentList.FilterListIterator.hasNext",,,,,,,,,,,,,,,,,,,,,,,,,,,13,27,3,21,1,17,3,6,12,1,14,17,1,16,9,4,9,1,15,,,,,0,,1,0,,,"0.14",9,4,9,1
Public Method,"org.jdom.ContentList.FilterListIterator.hasPrevious",,,,,,,,,,,,,,,,,,,,,,,,,,,13,30,3,23,1,18,4,6,12,1,13,17,1,16,10,5,10,1,10,,,,,0,,2,0,,,"0.17",10,5,10,1
Private Method,"org.jdom.ContentList.FilterListIterator.initializeCursor",,,,,,,,,,,,,,,,,,,,,,,,,,,3,27,3,20,3,13,4,4,14,1,9,15,4,12,6,6,6,4,4,,,,,4,,3,4,,,"0.20",6,6,6,4
Private Method,"org.jdom.ContentList.FilterListIterator.moveBackward",,,,,,,,,,,,,,,,,,,,,,,,,,,3,17,1,12,2,7,4,4,6,1,6,10,3,8,4,4,4,3,3,,,,,3,,2,3,,,"0.33",4,4,4,3
Private Method,"org.jdom.ContentList.FilterListIterator.moveForward",,,,,,,,,,,,,,,,,,,,,,,,,,,3,16,0,12,2,7,4,4,6,1,6,10,3,8,4,4,4,3,3,,,,,3,,2,3,,,"0.33",4,4,4,3
Public Method,"org.jdom.ContentList.FilterListIterator.next",,,,,,,,,,,,,,,,,,,,,,,,,,,3,16,2,11,1,7,3,6,2,0,5,7,1,6,2,2,2,1,1,,,,,0,,1,0,,,"0.27",2,2,2,1
Public Method,"org.jdom.ContentList.FilterListIterator.nextIndex",,,,,,,,,,,,,,,,,,,,,,,,,,,2,20,1,15,2,10,4,8,4,1,9,13,3,10,4,4,4,4,4,,,,,4,,3,4,,,"0.27",4,4,4,4
Public Method,"org.jdom.ContentList.FilterListIterator.previous",,,,,,,,,,,,,,,,,,,,,,,,,,,3,16,2,11,1,7,3,6,2,0,5,7,1,6,2,2,2,1,1,,,,,0,,1,0,,,"0.27",2,2,2,1
Public Method,"org.jdom.ContentList.FilterListIterator.previousIndex",,,,,,,,,,,,,,,,,,,,,,,,,,,2,21,1,15,2,9,5,6,5,1,7,12,3,9,5,5,5,5,5,,,,,5,,4,5,,,"0.33",5,5,5,5
Public Method,"org.jdom.ContentList.FilterListIterator.remove",,,,,,,,,,,,,,,,,,,,,,,,,,,6,24,2,17,2,13,5,9,4,1,7,10,2,9,3,3,4,1,1,,,,,0,,1,0,,,"0.29",3,3,4,1
Public Method,"org.jdom.ContentList.FilterListIterator.set",,,,,,,,,,,,,,,,,,,,,,,,,,,7,30,3,23,2,17,4,10,6,1,8,12,2,11,4,4,5,1,1,,,,,0,,2,0,,,"0.17",4,4,5,1
Public Method,"org.jdom.ContentList.add",,,,,,,,,,,,,,,,,,,,,,,,,,,6,41,0,30,1,19,11,8,8,1,8,16,1,15,8,8,8,1,7,,,,,0,,2,0,,,"0.37",8,8,8,1
Protected Method,"org.jdom.ContentList.add",,,,,,,,,,,,,,,,,,,,,,,,,,,8,53,7,37,1,26,9,7,144,2,10,19,1,18,9,9,10,1,1,,,,,0,,2,0,,,"0.24",9,9,10,1
Protected Method,"org.jdom.ContentList.add",,,,,,,,,,,,,,,,,,,,,,,,,,,8,35,4,22,1,15,9,5,12,1,7,12,1,11,5,5,5,1,1,,,,,0,,2,0,,,"0.41",5,5,5,1
Protected Method,"org.jdom.ContentList.add",,,,,,,,,,,,,,,,,,,,,,,,,,,8,35,4,22,1,15,9,5,12,1,7,12,1,11,5,5,5,1,1,,,,,0,,2,0,,,"0.41",5,5,5,1
Protected Method,"org.jdom.ContentList.add",,,,,,,,,,,,,,,,,,,,,,,,,,,8,39,4,26,1,18,9,5,24,1,8,14,1,13,6,6,6,1,1,,,,,0,,2,0,,,"0.35",6,6,6,1
Protected Method,"org.jdom.ContentList.add",,,,,,,,,,,,,,,,,,,,,,,,,,,8,39,4,26,1,18,9,5,24,1,8,14,1,13,6,6,6,1,1,,,,,0,,2,0,,,"0.35",6,6,6,1
Protected Method,"org.jdom.ContentList.add",,,,,,,,,,,,,,,,,,,,,,,,,,,8,39,4,26,1,18,9,5,24,1,8,14,1,13,6,6,6,1,1,,,,,0,,2,0,,,"0.35",6,6,6,1
Public Method,"org.jdom.ContentList.addAll",,,,,,,,,,,,,,,,,,,,,,,,,,,1,12,0,3,1,1,9,3,1,0,1,2,1,1,1,1,1,1,0,,,,,0,,0,0,,,"3.00",1,1,1,1
Public Method,"org.jdom.ContentList.addAll",,,,,,,,,,,,,,,,,,,,,,,,,,,6,41,3,25,4,17,13,8,10,1,12,18,5,15,6,6,8,1,2,,,,,0,,2,0,,,"0.52",6,6,8,1
Protected Method,"org.jdom.ContentList.clearAndSet",,,,,,,,,,,,,,,,,,,,,,,,,,,4,30,2,19,2,12,9,6,9,1,9,14,3,11,5,5,6,1,1,,,,,0,,2,0,,,"0.47",5,5,6,1
Protected Method,"org.jdom.ContentList.ensureCapacity",,,,,,,,,,,,,,,,,,,,,,,,,,,11,17,0,8,1,4,9,2,2,0,2,4,1,3,2,2,2,1,1,,,,,0,,1,0,,,"1.12",2,2,2,1
Public Method,"org.jdom.ContentList.get",,,,,,,,,,,,,,,,,,,,,,,,,,,16,16,1,7,1,4,8,3,2,0,2,4,1,3,2,2,2,1,0,,,,,0,,1,0,,,"1.14",2,2,2,1
Private Method,"org.jdom.ContentList.getModCount",,,,,,,,,,,,,,,,,,,,,,,,,,,8,4,0,3,1,1,1,1,1,0,1,2,1,1,1,1,1,1,0,,,,,0,,0,0,,,"0.33",1,1,1,1
Protected Method,"org.jdom.ContentList.getView",,,,,,,,,,,,,,,,,,,,,,,,,,,1,11,0,3,1,1,8,2,1,0,1,2,1,1,1,1,1,1,0,,,,,0,,0,0,,,"2.67",1,1,1,1
Protected Method,"org.jdom.ContentList.indexOfFirstElement",,,,,,,,,,,,,,,,,,,,,,,,,,,7,19,0,10,1,5,9,3,4,1,4,8,2,6,4,4,4,4,4,,,,,4,,3,4,,,"0.90",4,4,4,4
Public Method,"org.jdom.ContentList.remove",,,,,,,,,,,,,,,,,,,,,,,,,,,10,19,1,10,2,8,8,5,2,0,6,8,2,7,2,2,2,1,0,,,,,0,,1,0,,,"0.80",2,2,2,1
Private Method,"org.jdom.ContentList.removeParent",,,,,,,,,,,,,,,,,,,,,,,,,,,4,27,0,26,7,18,1,0,7,1,12,19,7,12,7,7,7,1,5,,,,,0,,1,0,,,"0.04",7,7,7,1
Public Method,"org.jdom.ContentList.set",,,,,,,,,,,,,,,,,,,,,,,,,,,8,34,2,21,3,15,11,5,12,1,8,13,3,12,5,5,7,1,1,,,,,0,,2,0,,,"0.52",5,5,7,1
Public Method,"org.jdom.ContentList.size",,,,,,,,,,,,,,,,,,,,,,,,,,,21,12,0,5,1,3,7,2,2,0,2,4,1,3,2,2,2,1,1,,,,,0,,1,0,,,"1.40",2,2,2,1
Public Method,"org.jdom.ContentList.toString",,,,,,,,,,,,,,,,,,,,,,,,,,,1,12,0,5,1,3,7,3,2,0,2,4,1,3,2,2,3,1,1,,,,,0,,1,0,,,"1.40",2,2,3,1
