Kind,Name,AvgCyclomatic,AvgCyclomaticModified,AvgCyclomaticStrict,AvgEssential,AvgLine,AvgLineBlank,AvgLineCode,AvgLineComment,CountClassBase,CountClassCoupled,CountClassCoupledModified,CountClassDerived,CountDeclClass,CountDeclClassMethod,CountDeclClassVariable,CountDeclExecutableUnit,CountDeclFile,CountDeclFunction,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclMethod,CountDeclMethodAll,CountDeclMethodDefault,CountDeclMethodPrivate,CountDeclMethodProtected,CountDeclMethodPublic,CountInput,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountOutput,CountPath,CountPathLog,CountSemicolon,CountStmt,CountStmtDecl,CountStmtExe,Cyclomatic,CyclomaticModified,CyclomaticStrict,Essential,Knots,MaxCyclomatic,MaxCyclomaticModified,MaxCyclomaticStrict,MaxEssential,MaxEssentialKnots,MaxInheritanceTree,MaxNesting,MinEssentialKnots,PercentLackOfCohesion,PercentLackOfCohesionModified,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumEssential
File,"GenericBundleAdapter.java",2,2,2,1,17,1,11,6,,,,,1,0,0,4,,4,4,5,4,,0,1,0,3,,122,19,58,22,25,54,,,,25,34,22,19,,,,,,3,3,3,1,,,2,,,,"0.93",8,8,9,4
Package,"nl",0,0,0,0,0,0,0,0,,,,,0,0,0,,0,,0,0,0,,0,0,0,0,,0,0,0,0,0,0,,,,0,0,0,0,,,,,,0,0,0,0,,,0,,,,"0.00",0,0,0,0
Package,"nl.lxtreme",0,0,0,0,0,0,0,0,,,,,0,0,0,,0,,0,0,0,,0,0,0,0,,0,0,0,0,0,0,,,,0,0,0,0,,,,,,0,0,0,0,,,0,,,,"0.00",0,0,0,0
Package,"nl.lxtreme.ols",0,0,0,0,0,0,0,0,,,,,0,0,0,,0,,0,0,0,,0,0,0,0,,0,0,0,0,0,0,,,,0,0,0,0,,,,,,0,0,0,0,,,0,,,,"0.00",0,0,0,0
Package,"nl.lxtreme.ols.client",0,0,0,0,0,0,0,0,,,,,0,0,0,,0,,0,0,0,,0,0,0,0,,0,0,0,0,0,0,,,,0,0,0,0,,,,,,0,0,0,0,,,0,,,,"0.00",0,0,0,0
Package,"nl.lxtreme.ols.client.osgi",2,2,2,1,17,1,11,6,,,,,1,0,0,,1,,4,5,4,,0,1,0,3,,122,19,58,22,25,54,,,,25,34,22,19,,,,,,3,3,3,1,,,2,,,,"0.93",8,8,9,4
Public Generic Class,"nl.lxtreme.ols.client.osgi.GenericBundleAdapter",2,2,2,1,17,1,11,6,1,10,10,0,,0,0,,,,4,5,4,4,0,1,0,3,,92,14,53,17,25,34,,,,20,29,17,19,,,,,,3,3,3,1,,1,2,,55,55,"0.64",8,8,9,4
Public Constructor,"nl.lxtreme.ols.client.osgi.GenericBundleAdapter.GenericBundleAdapter",,,,,,,,,,,,,,,,,,,,,,,,,,,2,8,0,5,1,2,3,3,1,0,2,3,1,2,1,1,1,1,0,,,,,0,,0,0,,,"0.60",1,1,1,1
TypeVariable,"nl.lxtreme.ols.client.osgi.GenericBundleAdapter.TYPE",0,0,0,0,0,0,0,0,1,0,0,0,,0,0,,,,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,,,,0,0,0,0,,,,,,0,0,0,0,,1,0,,0,0,"0.00",0,0,0,0
Private Method,"nl.lxtreme.ols.client.osgi.GenericBundleAdapter.copyOlsProperties",,,,,,,,,,,,,,,,,,,,,,,,,,,2,25,2,14,4,7,9,8,3,0,5,8,4,7,3,3,3,1,0,,,,,0,,2,0,,,"0.64",3,3,3,1
Public Method,"nl.lxtreme.ols.client.osgi.GenericBundleAdapter.destroy",,,,,,,,,,,,,,,,,,,,,,,,,,,2,10,0,7,1,2,3,1,2,0,1,3,1,2,2,2,2,1,0,,,,,0,,1,0,,,"0.43",2,2,2,1
Public Method,"nl.lxtreme.ols.client.osgi.GenericBundleAdapter.init",,,,,,,,,,,,,,,,,,,,,,,,,,,6,26,4,19,5,14,9,14,2,0,7,9,5,8,2,2,3,1,0,,,,,0,,1,0,,,"0.47",2,2,3,1
