Kind,Name,AvgCyclomatic,AvgCyclomaticModified,AvgCyclomaticStrict,AvgEssential,AvgLine,AvgLineBlank,AvgLineCode,AvgLineComment,CountClassBase,CountClassCoupled,CountClassCoupledModified,CountClassDerived,CountDeclClass,CountDeclClassMethod,CountDeclClassVariable,CountDeclExecutableUnit,CountDeclFile,CountDeclFunction,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclMethod,CountDeclMethodAll,CountDeclMethodDefault,CountDeclMethodPrivate,CountDeclMethodProtected,CountDeclMethodPublic,CountInput,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountOutput,CountPath,CountPathLog,CountSemicolon,CountStmt,CountStmtDecl,CountStmtExe,Cyclomatic,CyclomaticModified,CyclomaticStrict,Essential,Knots,MaxCyclomatic,MaxCyclomaticModified,MaxCyclomaticStrict,MaxEssential,MaxEssentialKnots,MaxInheritanceTree,MaxNesting,MinEssentialKnots,PercentLackOfCohesion,PercentLackOfCohesionModified,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumEssential
File,"KettleElementType.java",2,2,2,1,14,2,10,1,,,,,3,0,1,21,,21,21,9,21,,1,3,1,16,,396,83,272,93,157,45,,,,158,210,94,130,,,,,,12,12,13,1,,,2,,,,"0.17",48,48,49,21
Package,"pt",0,0,0,0,0,0,0,0,,,,,0,0,0,,0,,0,0,0,,0,0,0,0,,0,0,0,0,0,0,,,,0,0,0,0,,,,,,0,0,0,0,,,0,,,,"0.00",0,0,0,0
Package,"pt.webdetails",0,0,0,0,0,0,0,0,,,,,0,0,0,,0,,0,0,0,,0,0,0,0,,0,0,0,0,0,0,,,,0,0,0,0,,,,,,0,0,0,0,,,0,,,,"0.00",0,0,0,0
Package,"pt.webdetails.cpk",0,0,0,0,0,0,0,0,,,,,0,0,0,,0,,0,0,0,,0,0,0,0,,0,0,0,0,0,0,,,,0,0,0,0,,,,,,0,0,0,0,,,0,,,,"0.00",0,0,0,0
Package,"pt.webdetails.cpk.elements",0,0,0,0,0,0,0,0,,,,,0,0,0,,0,,0,0,0,,0,0,0,0,,0,0,0,0,0,0,,,,0,0,0,0,,,,,,0,0,0,0,,,0,,,,"0.00",0,0,0,0
Package,"pt.webdetails.cpk.elements.impl",2,2,2,1,14,2,10,1,,,,,3,0,1,,1,,21,9,21,,1,3,1,16,,396,83,272,93,157,45,,,,158,210,94,130,,,,,,12,12,13,1,,,2,,,,"0.17",48,48,49,21
Public Class,"pt.webdetails.cpk.elements.impl.KettleElementType",4,4,4,1,34,8,21,5,1,22,22,0,,0,1,,,,6,4,6,6,0,2,1,3,,352,80,234,55,157,42,,,,120,172,56,130,,,,,,12,12,13,1,,2,2,,62,54,"0.18",24,24,25,6
Public Constructor,"pt.webdetails.cpk.elements.impl.KettleElementType.KettleElementType",,,,,,,,,,,,,,,,,,,,,,,,,,,0,4,0,4,1,2,2,3,1,0,2,3,1,2,1,1,1,1,0,,,,,0,,0,0,,,"0.50",1,1,1,1
Private Class,"pt.webdetails.cpk.elements.impl.KettleElementType.KettleOutput",1,1,1,1,7,0,7,0,1,14,14,0,,0,0,,,,13,5,13,13,1,1,0,11,,128,23,101,26,60,4,,,,49,72,26,48,,,,,,3,3,3,1,,1,1,,69,58,"0.04",22,22,22,13
Constructor,"pt.webdetails.cpk.elements.impl.KettleElementType.KettleOutput.KettleOutput",,,,,,,,,,,,,,,,,,,,,,,,,,,2,3,0,3,1,1,0,2,1,0,1,2,1,1,1,1,1,1,0,,,,,0,,0,0,,,"0.00",1,1,1,1
Public Method,"pt.webdetails.cpk.elements.impl.KettleElementType.KettleOutput.ResultJson",,,,,,,,,,,,,,,,,,,,,,,,,,,5,14,1,13,3,9,0,7,4,1,6,9,3,7,3,3,3,1,1,,,,,0,,1,0,,,"0.00",3,3,3,1
Public Method,"pt.webdetails.cpk.elements.impl.KettleElementType.KettleOutput.ResultStatusJson",,,,,,,,,,,,,,,,,,,,,,,,,,,6,25,5,20,4,16,0,13,4,1,13,16,4,13,3,3,3,1,1,,,,,0,,1,0,,,"0.00",3,3,3,1
Public Method,"pt.webdetails.cpk.elements.impl.KettleElementType.KettleOutput.RowsJson",,,,,,,,,,,,,,,,,,,,,,,,,,,6,16,2,14,3,10,0,5,4,1,7,10,3,7,3,3,3,1,1,,,,,0,,1,0,,,"0.00",3,3,3,1
Public Method,"pt.webdetails.cpk.elements.impl.KettleElementType.KettleOutput.getObjectJSONString",,,,,,,,,,,,,,,,,,,,,,,,,,,5,8,0,8,1,5,0,5,2,0,3,5,1,4,2,2,2,1,1,,,,,0,,1,0,,,"0.00",2,2,2,1
Public Method,"pt.webdetails.cpk.elements.impl.KettleElementType.KettleOutput.getResult",,,,,,,,,,,,,,,,,,,,,,,,,,,2,3,0,3,1,1,0,1,1,0,1,2,1,1,1,1,1,1,0,,,,,0,,0,0,,,"0.00",1,1,1,1
Public Method,"pt.webdetails.cpk.elements.impl.KettleElementType.KettleOutput.getRows",,,,,,,,,,,,,,,,,,,,,,,,,,,1,3,0,3,1,1,0,1,1,0,1,2,1,1,1,1,1,1,0,,,,,0,,0,0,,,"0.00",1,1,1,1
Public Method,"pt.webdetails.cpk.elements.impl.KettleElementType.KettleOutput.getRowsMeta",,,,,,,,,,,,,,,,,,,,,,,,,,,1,3,0,3,1,1,0,1,1,0,1,2,1,1,1,1,1,1,0,,,,,0,,0,0,,,"0.00",1,1,1,1
Private Method,"pt.webdetails.cpk.elements.impl.KettleElementType.KettleOutput.init",,,,,,,,,,,,,,,,,,,,,,,,,,,2,10,0,10,1,7,0,7,2,0,5,7,1,6,2,2,2,1,1,,,,,0,,1,0,,,"0.00",2,2,2,1
Public Method,"pt.webdetails.cpk.elements.impl.KettleElementType.KettleOutput.setResult",,,,,,,,,,,,,,,,,,,,,,,,,,,2,3,0,3,1,1,0,1,1,0,1,2,1,1,1,1,1,1,0,,,,,0,,0,0,,,"0.00",1,1,1,1
Public Method,"pt.webdetails.cpk.elements.impl.KettleElementType.KettleOutput.storeRow",,,,,,,,,,,,,,,,,,,,,,,,,,,3,3,0,3,1,1,0,1,1,0,1,2,1,1,1,1,1,1,0,,,,,0,,0,0,,,"0.00",1,1,1,1
Public Method,"pt.webdetails.cpk.elements.impl.KettleElementType.KettleOutput.storeRow",,,,,,,,,,,,,,,,,,,,,,,,,,,4,4,0,4,1,2,0,1,1,0,2,3,1,2,1,1,1,1,0,,,,,0,,0,0,,,"0.00",1,1,1,1
Public Method,"pt.webdetails.cpk.elements.impl.KettleElementType.KettleOutput.writeJsonToStream",,,,,,,,,,,,,,,,,,,,,,,,,,,8,7,0,7,1,4,0,4,2,0,2,4,1,3,2,2,2,1,1,,,,,0,,1,0,,,"0.00",2,2,2,1
Protected Method,"pt.webdetails.cpk.elements.impl.KettleElementType.createElementInfo",,,,,,,,,,,,,,,,,,,,,,,,,,,2,4,0,4,2,1,0,1,1,0,1,2,1,1,1,1,1,1,0,,,,,0,,0,0,,,"0.00",1,1,1,1
Private Method,"pt.webdetails.cpk.elements.impl.KettleElementType.executeJob",,,,,,,,,,,,,,,,,,,,,,,,,,,5,42,7,22,3,17,13,12,6,1,13,18,4,16,4,4,4,1,1,,,,,0,,2,0,,,"0.59",4,4,4,1
Private Method,"pt.webdetails.cpk.elements.impl.KettleElementType.executeTransformation",,,,,,,,,,,,,,,,,,,,,,,,,,,6,70,19,37,4,29,14,17,8,1,18,26,7,22,5,5,5,1,2,,,,,0,,0,0,,,"0.38",5,5,5,1
Anonymous Class,"pt.webdetails.cpk.elements.impl.KettleElementType.executeTransformation.(Anon_1)",1,1,1,1,4,0,3,0,1,5,5,0,,0,0,,,,2,0,2,2,0,0,0,2,,11,2,8,0,6,1,,,,1,3,2,1,,,,,,1,1,1,1,,2,0,,0,0,"0.12",2,2,2,2
Public Method,"pt.webdetails.cpk.elements.impl.KettleElementType.executeTransformation.(Anon_1).rowReadEvent",,,,,,,,,,,,,,,,,,,,,,,,,,,2,4,0,4,0,3,0,1,1,0,1,2,1,1,1,1,1,1,0,,,,,0,,0,0,,,"0.00",1,1,1,1
