Kind,Name,AvgCyclomatic,AvgCyclomaticModified,AvgCyclomaticStrict,AvgEssential,AvgLine,AvgLineBlank,AvgLineCode,AvgLineComment,CountClassBase,CountClassCoupled,CountClassCoupledModified,CountClassDerived,CountDeclClass,CountDeclClassMethod,CountDeclClassVariable,CountDeclExecutableUnit,CountDeclFile,CountDeclFunction,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclMethod,CountDeclMethodAll,CountDeclMethodDefault,CountDeclMethodPrivate,CountDeclMethodProtected,CountDeclMethodPublic,CountInput,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountOutput,CountPath,CountPathLog,CountSemicolon,CountStmt,CountStmtDecl,CountStmtExe,Cyclomatic,CyclomaticModified,CyclomaticStrict,Essential,Knots,MaxCyclomatic,MaxCyclomaticModified,MaxCyclomaticStrict,MaxEssential,MaxEssentialKnots,MaxInheritanceTree,MaxNesting,MinEssentialKnots,PercentLackOfCohesion,PercentLackOfCohesionModified,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumEssential
File,"Delete.java",1,1,1,1,3,0,3,0,,,,,1,0,0,10,,10,10,4,10,,0,0,0,10,,85,14,50,26,13,21,,,,23,34,24,10,,,,,,4,4,4,1,,,0,,,,"0.42",13,13,13,10
File,"DeleteDeParser.java",1,1,1,1,6,0,4,1,,,,,1,0,0,6,,6,6,2,6,,0,0,0,6,,78,11,36,12,14,31,,,,16,26,12,14,,,,,,4,4,4,1,,,1,,,,"0.86",9,9,9,6
File,"DeleteTest.java",1,1,1,1,5,0,5,0,,,,,1,0,0,6,,6,6,1,6,,0,0,0,6,,56,13,43,29,15,0,,,,23,30,23,9,,,,,,1,1,1,1,,,0,,,,"0.00",6,6,6,6
File,"LimitDeparser.java",3,3,3,1,10,0,9,0,,,,,1,0,0,2,,2,2,1,2,,0,0,0,2,,52,7,24,6,13,21,,,,11,19,6,13,,,,,,6,6,6,1,,,1,,,,"0.88",7,7,7,2
File,"OrderByDeParser.java",2,2,2,1,8,0,8,0,,,,,1,0,0,4,,4,4,2,4,,0,0,0,4,,74,11,42,13,20,21,,,,22,32,14,20,,,,,,5,5,5,1,,,2,,,,"0.50",11,11,11,4
File,"SelectDeParser.java",3,3,4,1,15,1,14,0,,,,,1,0,0,23,,23,23,2,23,,0,0,0,23,,423,55,334,61,207,34,,,,148,233,56,200,,,,,,31,31,31,1,,,4,,,,"0.10",89,89,92,23
File,"Update.java",1,1,1,1,5,0,5,0,,,,,1,0,0,24,,24,24,11,24,,0,0,0,24,,215,31,148,52,60,36,,,,70,110,53,58,,,,,,15,15,15,1,,,4,,,,"0.24",38,38,38,24
File,"UpdateDeParser.java",3,3,3,1,14,0,12,1,,,,,1,0,0,7,,7,7,3,7,,0,0,0,7,,151,15,101,27,54,35,,,,53,79,29,54,,,,,,15,15,15,1,,,4,,,,"0.35",25,25,25,7
File,"UpdateTest.java",1,1,1,1,5,0,5,0,,,,,1,0,1,12,,12,12,0,12,,0,0,0,12,,95,18,77,45,25,0,,,,39,52,33,22,,,,,,1,1,1,1,,,0,,,,"0.00",12,12,12,12
Package,"net",0,0,0,0,0,0,0,0,,,,,0,0,0,,0,,0,0,0,,0,0,0,0,,0,0,0,0,0,0,,,,0,0,0,0,,,,,,0,0,0,0,,,0,,,,"0.00",0,0,0,0
Package,"net.sf",0,0,0,0,0,0,0,0,,,,,0,0,0,,0,,0,0,0,,0,0,0,0,,0,0,0,0,0,0,,,,0,0,0,0,,,,,,0,0,0,0,,,0,,,,"0.00",0,0,0,0
Package,"net.sf.jsqlparser",0,0,0,0,0,0,0,0,,,,,0,0,0,,0,,0,0,0,,0,0,0,0,,0,0,0,0,0,0,,,,0,0,0,0,,,,,,0,0,0,0,,,0,,,,"0.00",0,0,0,0
Package,"net.sf.jsqlparser.statement",0,0,0,0,0,0,0,0,,,,,0,0,0,,0,,0,0,0,,0,0,0,0,,0,0,0,0,0,0,,,,0,0,0,0,,,,,,0,0,0,0,,,0,,,,"0.00",0,0,0,0
Package,"net.sf.jsqlparser.statement.delete",1,1,1,1,3,0,3,0,,,,,1,0,0,,1,,10,4,10,,0,0,0,10,,85,14,50,26,13,21,,,,23,34,24,10,,,,,,4,4,4,1,,,0,,,,"0.42",13,13,13,10
Public Class,"net.sf.jsqlparser.statement.delete.Delete",1,1,1,1,3,0,3,0,2,8,8,0,,0,0,,,,10,4,10,10,0,0,0,10,,52,11,41,17,13,0,,,,14,25,15,10,,,,,,4,4,4,1,,1,0,,70,70,"0.00",13,13,13,10
Public Method,"net.sf.jsqlparser.statement.delete.Delete.accept",,,,,,,,,,,,,,,,,,,,,,,,,,,1,4,0,4,2,1,0,1,1,0,1,2,1,1,1,1,1,1,0,,,,,0,,0,0,,,"0.00",1,1,1,1
Public Method,"net.sf.jsqlparser.statement.delete.Delete.getLimit",,,,,,,,,,,,,,,,,,,,,,,,,,,2,3,0,3,1,1,0,1,1,0,1,2,1,1,1,1,1,1,0,,,,,0,,0,0,,,"0.00",1,1,1,1
Public Method,"net.sf.jsqlparser.statement.delete.Delete.getOrderByElements",,,,,,,,,,,,,,,,,,,,,,,,,,,2,3,0,3,1,1,0,1,1,0,1,2,1,1,1,1,1,1,0,,,,,0,,0,0,,,"0.00",1,1,1,1
Public Method,"net.sf.jsqlparser.statement.delete.Delete.getTable",,,,,,,,,,,,,,,,,,,,,,,,,,,3,3,0,3,1,1,0,1,1,0,1,2,1,1,1,1,1,1,0,,,,,0,,0,0,,,"0.00",1,1,1,1
Public Method,"net.sf.jsqlparser.statement.delete.Delete.getWhere",,,,,,,,,,,,,,,,,,,,,,,,,,,2,3,0,3,1,1,0,1,1,0,1,2,1,1,1,1,1,1,0,,,,,0,,0,0,,,"0.00",1,1,1,1
Public Method,"net.sf.jsqlparser.statement.delete.Delete.setLimit",,,,,,,,,,,,,,,,,,,,,,,,,,,1,3,0,3,1,1,0,1,1,0,1,2,1,1,1,1,1,1,0,,,,,0,,0,0,,,"0.00",1,1,1,1
Public Method,"net.sf.jsqlparser.statement.delete.Delete.setOrderByElements",,,,,,,,,,,,,,,,,,,,,,,,,,,1,3,0,3,1,1,0,1,1,0,1,2,1,1,1,1,1,1,0,,,,,0,,0,0,,,"0.00",1,1,1,1
Public Method,"net.sf.jsqlparser.statement.delete.Delete.setTable",,,,,,,,,,,,,,,,,,,,,,,,,,,1,3,0,3,1,1,0,1,1,0,1,2,1,1,1,1,1,1,0,,,,,0,,0,0,,,"0.00",1,1,1,1
Public Method,"net.sf.jsqlparser.statement.delete.Delete.setWhere",,,,,,,,,,,,,,,,,,,,,,,,,,,1,3,0,3,1,1,0,1,1,0,1,2,1,1,1,1,1,1,0,,,,,0,,0,0,,,"0.00",1,1,1,1
Public Method,"net.sf.jsqlparser.statement.delete.Delete.toString",,,,,,,,,,,,,,,,,,,,,,,,,,,5,7,0,7,2,4,0,2,1,0,1,2,1,1,4,4,4,1,0,,,,,0,,0,0,,,"0.00",4,4,4,1
Package,"net.sf.jsqlparser.statement.update",1,1,1,1,5,0,5,0,,,,,1,0,0,,1,,24,11,24,,0,0,0,24,,215,31,148,52,60,36,,,,70,110,53,58,,,,,,15,15,15,1,,,4,,,,"0.24",38,38,38,24
Public Class,"net.sf.jsqlparser.statement.update.Update",1,1,1,1,5,0,5,0,2,11,11,0,,0,0,,,,24,11,24,24,0,0,0,24,,178,28,135,39,60,15,,,,57,97,40,58,,,,,,15,15,15,1,,1,4,,87,87,"0.11",38,38,38,24
Public Method,"net.sf.jsqlparser.statement.update.Update.accept",,,,,,,,,,,,,,,,,,,,,,,,,,,1,4,0,4,2,1,0,1,1,0,1,2,1,1,1,1,1,1,0,,,,,0,,0,0,,,"0.00",1,1,1,1
Public Method,"net.sf.jsqlparser.statement.update.Update.getColumns",,,,,,,,,,,,,,,,,,,,,,,,,,,4,9,0,3,1,1,6,1,1,0,1,2,1,1,1,1,1,1,0,,,,,0,,0,0,,,"2.00",1,1,1,1
Public Method,"net.sf.jsqlparser.statement.update.Update.getExpressions",,,,,,,,,,,,,,,,,,,,,,,,,,,3,9,0,3,1,1,6,1,1,0,1,2,1,1,1,1,1,1,0,,,,,0,,0,0,,,"2.00",1,1,1,1
Public Method,"net.sf.jsqlparser.statement.update.Update.getFromItem",,,,,,,,,,,,,,,,,,,,,,,,,,,2,3,0,3,1,1,0,1,1,0,1,2,1,1,1,1,1,1,0,,,,,0,,0,0,,,"0.00",1,1,1,1
Public Method,"net.sf.jsqlparser.statement.update.Update.getJoins",,,,,,,,,,,,,,,,,,,,,,,,,,,2,3,0,3,1,1,0,1,1,0,1,2,1,1,1,1,1,1,0,,,,,0,,0,0,,,"0.00",1,1,1,1
Public Method,"net.sf.jsqlparser.statement.update.Update.getLimit",,,,,,,,,,,,,,,,,,,,,,,,,,,2,3,0,3,1,1,0,1,1,0,1,2,1,1,1,1,1,1,0,,,,,0,,0,0,,,"0.00",1,1,1,1
Public Method,"net.sf.jsqlparser.statement.update.Update.getOrderByElements",,,,,,,,,,,,,,,,,,,,,,,,,,,2,3,0,3,1,1,0,1,1,0,1,2,1,1,1,1,1,1,0,,,,,0,,0,0,,,"0.00",1,1,1,1
Public Method,"net.sf.jsqlparser.statement.update.Update.getSelect",,,,,,,,,,,,,,,,,,,,,,,,,,,2,3,0,3,1,1,0,1,1,0,1,2,1,1,1,1,1,1,0,,,,,0,,0,0,,,"0.00",1,1,1,1
Public Method,"net.sf.jsqlparser.statement.update.Update.getTables",,,,,,,,,,,,,,,,,,,,,,,,,,,4,3,0,3,1,1,0,1,1,0,1,2,1,1,1,1,1,1,0,,,,,0,,0,0,,,"0.00",1,1,1,1
Public Method,"net.sf.jsqlparser.statement.update.Update.getWhere",,,,,,,,,,,,,,,,,,,,,,,,,,,3,3,0,3,1,1,0,1,1,0,1,2,1,1,1,1,1,1,0,,,,,0,,0,0,,,"0.00",1,1,1,1
