Kind,Name,AvgCyclomatic,AvgCyclomaticModified,AvgCyclomaticStrict,AvgEssential,AvgLine,AvgLineBlank,AvgLineCode,AvgLineComment,CountClassBase,CountClassCoupled,CountClassCoupledModified,CountClassDerived,CountDeclClass,CountDeclClassMethod,CountDeclClassVariable,CountDeclExecutableUnit,CountDeclFile,CountDeclFunction,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclMethod,CountDeclMethodAll,CountDeclMethodDefault,CountDeclMethodPrivate,CountDeclMethodProtected,CountDeclMethodPublic,CountInput,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountOutput,CountPath,CountPathLog,CountSemicolon,CountStmt,CountStmtDecl,CountStmtExe,Cyclomatic,CyclomaticModified,CyclomaticStrict,Essential,Knots,MaxCyclomatic,MaxCyclomaticModified,MaxCyclomaticStrict,MaxEssential,MaxEssentialKnots,MaxInheritanceTree,MaxNesting,MinEssentialKnots,PercentLackOfCohesion,PercentLackOfCohesionModified,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumEssential
File,"TopologyCommands.java",4,4,4,2,22,0,21,0,,,,,1,0,0,5,,5,5,1,5,,0,3,0,2,,162,12,133,47,78,17,,,,68,93,44,59,,,,,,9,9,11,5,,,6,,,,"0.13",21,21,23,11
Package,"com",0,0,0,0,0,0,0,0,,,,,0,0,0,,0,,0,0,0,,0,0,0,0,,0,0,0,0,0,0,,,,0,0,0,0,,,,,,0,0,0,0,,,0,,,,"0.00",0,0,0,0
Package,"com.vmware",0,0,0,0,0,0,0,0,,,,,0,0,0,,0,,0,0,0,,0,0,0,0,,0,0,0,0,0,0,,,,0,0,0,0,,,,,,0,0,0,0,,,0,,,,"0.00",0,0,0,0
Package,"com.vmware.bdd",0,0,0,0,0,0,0,0,,,,,0,0,0,,0,,0,0,0,,0,0,0,0,,0,0,0,0,0,0,,,,0,0,0,0,,,,,,0,0,0,0,,,0,,,,"0.00",0,0,0,0
Package,"com.vmware.bdd.cli",0,0,0,0,0,0,0,0,,,,,0,0,0,,0,,0,0,0,,0,0,0,0,,0,0,0,0,0,0,,,,0,0,0,0,,,,,,0,0,0,0,,,0,,,,"0.00",0,0,0,0
Package,"com.vmware.bdd.cli.commands",4,4,4,2,22,0,21,0,,,,,1,0,0,,1,,5,1,5,,0,3,0,2,,162,12,133,47,78,17,,,,68,93,44,59,,,,,,9,9,11,5,,,6,,,,"0.13",21,21,23,11
Public Class,"com.vmware.bdd.cli.commands.TopologyCommands",4,4,4,2,22,0,21,0,2,20,20,0,,0,0,,,,5,1,5,5,0,3,0,2,,138,8,113,28,78,17,,,,49,74,25,59,,,,,,9,9,11,5,,1,6,,60,60,"0.15",21,21,23,11
Private Method,"com.vmware.bdd.cli.commands.TopologyCommands.duplicatedNameCheck",,,,,,,,,,,,,,,,,,,,,,,,,,,7,22,1,21,3,15,0,6,5,1,9,16,5,13,5,5,5,5,8,,,,,8,,3,8,,,"0.00",5,5,5,5
Public Method,"com.vmware.bdd.cli.commands.TopologyCommands.list",,,,,,,,,,,,,,,,,,,,,,,,,,,7,11,0,11,3,7,0,4,2,0,3,5,2,4,2,2,2,1,1,,,,,0,,1,0,,,"0.00",2,2,2,1
Private Method,"com.vmware.bdd.cli.commands.TopologyCommands.prettyOutputRackInfo",,,,,,,,,,,,,,,,,,,,,,,,,,,7,14,1,13,3,9,0,3,2,0,4,6,2,5,2,2,2,1,0,,,,,0,,1,0,,,"0.00",2,2,2,1
Private Method,"com.vmware.bdd.cli.commands.TopologyCommands.readRackInfoFromFile",,,,,,,,,,,,,,,,,,,,,,,,,,,5,50,1,49,12,37,0,11,36,2,27,37,12,30,9,9,11,3,2,,,,,2,,6,1,,,"0.00",9,9,11,3
Public Method,"com.vmware.bdd.cli.commands.TopologyCommands.upload",,,,,,,,,,,,,,,,,,,,,,,,,,,9,15,0,15,3,10,0,6,3,0,5,8,2,7,3,3,3,1,2,,,,,0,,2,0,,,"0.00",3,3,3,1
