Kind,Name,AvgCyclomatic,AvgCyclomaticModified,AvgCyclomaticStrict,AvgEssential,AvgLine,AvgLineBlank,AvgLineCode,AvgLineComment,CountClassBase,CountClassCoupled,CountClassCoupledModified,CountClassDerived,CountDeclClass,CountDeclClassMethod,CountDeclClassVariable,CountDeclExecutableUnit,CountDeclFile,CountDeclFunction,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclMethod,CountDeclMethodAll,CountDeclMethodDefault,CountDeclMethodPrivate,CountDeclMethodProtected,CountDeclMethodPublic,CountInput,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountOutput,CountPath,CountPathLog,CountSemicolon,CountStmt,CountStmtDecl,CountStmtExe,Cyclomatic,CyclomaticModified,CyclomaticStrict,Essential,Knots,MaxCyclomatic,MaxCyclomaticModified,MaxCyclomaticStrict,MaxEssential,MaxEssentialKnots,MaxInheritanceTree,MaxNesting,MinEssentialKnots,PercentLackOfCohesion,PercentLackOfCohesionModified,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumEssential
File,"ServiceReportBuilder.java",1,1,1,1,11,0,7,2,,,,,1,0,2,10,,10,10,3,10,,0,2,3,5,,171,23,106,57,48,42,,,,60,77,48,40,,,,,,3,3,4,1,,,1,,,,"0.40",16,16,19,10
File,"ServiceReportBuilderTest.java",1,1,1,1,13,1,11,0,,,,,1,0,0,8,,8,8,4,8,,0,3,0,5,,155,27,115,52,69,13,,,,80,90,47,53,,,,,,2,2,2,1,,,1,,,,"0.11",9,9,9,8
Package,"org",0,0,0,0,0,0,0,0,,,,,0,0,0,,0,,0,0,0,,0,0,0,0,,0,0,0,0,0,0,,,,0,0,0,0,,,,,,0,0,0,0,,,0,,,,"0.00",0,0,0,0
Package,"org.duracloud",0,0,0,0,0,0,0,0,,,,,0,0,0,,0,,0,0,0,,0,0,0,0,,0,0,0,0,0,0,,,,0,0,0,0,,,,,,0,0,0,0,,,0,,,,"0.00",0,0,0,0
Package,"org.duracloud.durareport",0,0,0,0,0,0,0,0,,,,,0,0,0,,0,,0,0,0,,0,0,0,0,,0,0,0,0,0,0,,,,0,0,0,0,,,,,,0,0,0,0,,,0,,,,"0.00",0,0,0,0
Package,"org.duracloud.durareport.service",1,1,1,1,12,1,9,1,,,,,2,0,2,,2,,18,7,18,,0,5,3,10,,326,50,221,109,117,55,,,,140,167,95,93,,,,,,3,3,4,1,,,1,,,,"0.25",25,25,28,18
Public Class,"org.duracloud.durareport.service.ServiceReportBuilder",1,1,1,1,11,0,7,2,1,21,21,0,,0,2,,,,10,3,10,10,0,2,3,5,,139,19,85,37,48,35,,,,40,57,28,40,,,,,,3,3,4,1,,1,1,,73,70,"0.41",16,16,19,10
Public Constructor,"org.duracloud.durareport.service.ServiceReportBuilder.ServiceReportBuilder",,,,,,,,,,,,,,,,,,,,,,,,,,,3,5,0,5,2,2,0,3,1,0,2,3,1,2,1,1,1,1,0,,,,,0,,0,0,,,"0.00",1,1,1,1
Protected Method,"org.duracloud.durareport.service.ServiceReportBuilder.addSummaries",,,,,,,,,,,,,,,,,,,,,,,,,,,5,13,1,10,4,5,2,7,2,0,4,6,2,5,2,2,3,1,0,,,,,0,,1,0,,,"0.20",2,2,3,1
Protected Method,"org.duracloud.durareport.service.ServiceReportBuilder.collectCompletedServices",,,,,,,,,,,,,,,,,,,,,,,,,,,4,14,2,12,7,7,0,8,2,0,6,8,5,7,2,2,3,1,0,,,,,0,,1,0,,,"0.00",2,2,3,1
