Kind,Name,AvgCyclomatic,AvgCyclomaticModified,AvgCyclomaticStrict,AvgEssential,AvgLine,AvgLineBlank,AvgLineCode,AvgLineComment,CountClassBase,CountClassCoupled,CountClassCoupledModified,CountClassDerived,CountDeclClass,CountDeclClassMethod,CountDeclClassVariable,CountDeclExecutableUnit,CountDeclFile,CountDeclFunction,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclMethod,CountDeclMethodAll,CountDeclMethodDefault,CountDeclMethodPrivate,CountDeclMethodProtected,CountDeclMethodPublic,CountInput,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountOutput,CountPath,CountPathLog,CountSemicolon,CountStmt,CountStmtDecl,CountStmtExe,Cyclomatic,CyclomaticModified,CyclomaticStrict,Essential,Knots,MaxCyclomatic,MaxCyclomaticModified,MaxCyclomaticStrict,MaxEssential,MaxEssentialKnots,MaxInheritanceTree,MaxNesting,MinEssentialKnots,PercentLackOfCohesion,PercentLackOfCohesionModified,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumEssential
File,"CrawlURI.java",1,1,1,1,9,0,5,3,,,,,2,7,5,146,,144,139,42,146,,0,3,2,141,,1887,220,962,340,502,709,,,,488,689,315,415,,,,,,65,5,65,5,,,3,,,,"0.74",270,207,279,157
File,"Link.java",1,1,1,1,8,0,6,1,,,,,1,4,2,13,,13,9,4,13,,0,1,0,12,,183,28,100,44,46,55,,,,47,68,36,40,,,,,,4,4,5,1,,,2,,,,"0.55",20,20,23,13
Package,"org",0,0,0,0,0,0,0,0,,,,,0,0,0,,0,,0,0,0,,0,0,0,0,,0,0,0,0,0,0,,,,0,0,0,0,,,,,,0,0,0,0,,,0,,,,"0.00",0,0,0,0
Package,"org.archive",0,0,0,0,0,0,0,0,,,,,0,0,0,,0,,0,0,0,,0,0,0,0,,0,0,0,0,0,0,,,,0,0,0,0,,,,,,0,0,0,0,,,0,,,,"0.00",0,0,0,0
Package,"org.archive.modules",1,1,1,1,9,0,5,3,,,,,2,7,5,,1,,139,42,146,,0,3,2,141,,1887,220,962,340,502,709,,,,488,689,315,415,,,,,,65,5,65,5,,,3,,,,"0.74",270,207,279,157
Public Class,"org.archive.modules.CrawlURI",1,1,1,1,9,0,5,3,4,45,45,0,,7,5,,,,137,39,144,144,0,3,2,139,,1786,214,885,263,502,691,,,,411,612,238,415,,,,,,65,5,65,5,,1,3,,98,96,"0.78",270,207,279,157
Public Constructor,"org.archive.modules.CrawlURI.CrawlURI",,,,,,,,,,,,,,,,,,,,,,,,,,,1,8,0,3,1,1,5,2,1,0,1,2,1,1,1,1,1,1,0,,,,,0,,0,0,,,"1.67",1,1,1,1
Public Constructor,"org.archive.modules.CrawlURI.CrawlURI",,,,,,,,,,,,,,,,,,,,,,,,,,,6,13,0,7,2,4,6,5,1,0,4,5,1,4,1,1,1,1,0,,,,,0,,0,0,,,"0.86",1,1,1,1
Private Constructor,"org.archive.modules.CrawlURI.CrawlURI",,,,,,,,,,,,,,,,,,,,,,,,,,,0,2,0,2,2,0,0,1,1,0,0,1,1,0,1,1,1,1,0,,,,,0,,0,0,,,"0.00",1,1,1,1
Public Enum Type,"org.archive.modules.CrawlURI.FetchType",0,0,0,0,0,0,0,0,1,1,1,0,,0,0,,,,2,3,2,2,0,0,0,2,,1,0,1,1,0,0,,,,1,1,1,0,,,,,,0,0,0,0,,1,0,,,,"0.00",0,0,0,0
Public Implicit Method,"org.archive.modules.CrawlURI.FetchType.valueOf",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0.00",0,0,0,0
Public Implicit Method,"org.archive.modules.CrawlURI.FetchType.values",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0.00",0,0,0,0
