Kind,Name,AvgCyclomatic,AvgCyclomaticModified,AvgCyclomaticStrict,AvgEssential,AvgLine,AvgLineBlank,AvgLineCode,AvgLineComment,CountClassBase,CountClassCoupled,CountClassCoupledModified,CountClassDerived,CountDeclClass,CountDeclClassMethod,CountDeclClassVariable,CountDeclExecutableUnit,CountDeclFile,CountDeclFunction,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclMethod,CountDeclMethodAll,CountDeclMethodDefault,CountDeclMethodPrivate,CountDeclMethodProtected,CountDeclMethodPublic,CountInput,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountOutput,CountPath,CountPathLog,CountSemicolon,CountStmt,CountStmtDecl,CountStmtExe,Cyclomatic,CyclomaticModified,CyclomaticStrict,Essential,Knots,MaxCyclomatic,MaxCyclomaticModified,MaxCyclomaticStrict,MaxEssential,MaxEssentialKnots,MaxInheritanceTree,MaxNesting,MinEssentialKnots,PercentLackOfCohesion,PercentLackOfCohesionModified,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumEssential
File,"AbstractReduntantVersionRule.java",3,3,4,2,17,0,15,0,,,,,1,0,0,3,,3,3,0,3,,0,1,1,1,,69,9,58,28,33,2,,,,34,44,25,31,,,,,,6,6,7,4,,,2,,,,"0.03",9,9,12,6
File,"DuplicateDependenciesRule.java",1,1,2,1,8,0,8,0,,,,,1,0,0,7,,7,7,0,7,,0,2,1,4,,88,15,73,40,29,0,,,,35,48,34,24,,,,,,5,5,8,1,,,4,,,,"0.00",12,12,15,7
File,"ModelUtil.java",2,2,2,1,10,1,8,0,,,,,1,0,2,17,,17,17,2,17,,0,2,0,15,,223,43,176,78,101,4,,,,96,132,72,83,,,,,,6,6,7,6,,,2,,,,"0.02",36,36,38,27
File,"ObjectWithPath.java",1,1,1,1,3,0,3,0,,,,,1,0,0,4,,4,4,3,4,,0,0,0,4,,29,8,21,10,6,0,,,,11,16,10,6,,,,,,1,1,1,1,,,0,,,,"0.00",4,4,4,4
File,"RedundantDependencyVersionsRule.java",2,2,2,1,10,1,9,0,,,,,1,0,0,5,,5,5,0,5,,0,0,1,4,,80,15,65,32,29,0,,,,27,40,29,18,,,,,,6,6,6,1,,,2,,,,"0.00",10,10,10,5
File,"RedundantPluginVersionsRule.java",2,2,2,2,12,1,11,0,,,,,1,0,0,5,,5,5,0,5,,0,0,1,4,,89,15,72,33,33,2,,,,30,47,32,22,,,,,,8,8,8,7,,,3,,,,"0.03",12,12,12,11
File,"VersionPropertiesMustUseDotVersionRule.java",1,1,1,1,5,0,5,0,,,,,1,0,0,7,,7,7,0,7,,0,0,3,4,,64,13,51,28,15,0,,,,21,34,24,13,,,,,,4,4,5,1,,,3,,,,"0.00",10,10,12,7
Package,"com",0,0,0,0,0,0,0,0,,,,,0,0,0,,0,,0,0,0,,0,0,0,0,,0,0,0,0,0,0,,,,0,0,0,0,,,,,,0,0,0,0,,,0,,,,"0.00",0,0,0,0
Package,"com.lewisd",0,0,0,0,0,0,0,0,,,,,0,0,0,,0,,0,0,0,,0,0,0,0,,0,0,0,0,0,0,,,,0,0,0,0,,,,,,0,0,0,0,,,0,,,,"0.00",0,0,0,0
Package,"com.lewisd.maven",0,0,0,0,0,0,0,0,,,,,0,0,0,,0,,0,0,0,,0,0,0,0,,0,0,0,0,0,0,,,,0,0,0,0,,,,,,0,0,0,0,,,0,,,,"0.00",0,0,0,0
Package,"com.lewisd.maven.lint",0,0,0,0,0,0,0,0,,,,,0,0,0,,0,,0,0,0,,0,0,0,0,,0,0,0,0,0,0,,,,0,0,0,0,,,,,,0,0,0,0,,,0,,,,"0.00",0,0,0,0
Package,"com.lewisd.maven.lint.model",1,1,1,1,3,0,3,0,,,,,1,0,0,,1,,4,3,4,,0,0,0,4,,29,8,21,10,6,0,,,,11,16,10,6,,,,,,1,1,1,1,,,0,,,,"0.00",4,4,4,4
Public Generic Class,"com.lewisd.maven.lint.model.ObjectWithPath",1,1,1,1,3,0,3,0,1,2,2,0,,0,0,,,,4,3,4,4,0,0,0,4,,25,6,19,8,6,0,,,,9,14,8,6,,,,,,1,1,1,1,,1,0,,50,50,"0.00",4,4,4,4
